<video_id>dOC5urye7Bk</video_id>	NP	<video_id>dOC5urye7Bk</video_id>
<video_title>Israel	NP	<video_title>Israel
to	TO	to
open	VV	open
its	PP$	its
Kerem	NP	Kerem
Shalom	NP	Shalom
crossing	VVG	cross
for	IN	for
Gaza	NP	Gaza
aid	NN	aid
-	NN	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israel	NP	<thumbnail_path>data/en_BBCNews\Israel
to	TO	to
open	VV	open
its	PP$	its
Kerem	NP	Kerem
Shalom	NP	Shalom
crossing	VVG	cross
for	IN	for
Gaza	NP	Gaza
aid	NN	aid
-	NN	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231215</publish_date>	JJ	<publish_date>20231215</publish_date>
<doc>	NN	<doc>
you're	NNS	you're
live	VVP	live
with	IN	with
BBC	NP	BBC
News	NP	News
let's	NNS	let's
turn	VVP	turn
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
because	IN	because
Israel	NP	Israel
has	VHZ	have
said	VVN	say
it	PP	it
is	VBZ	be
opening	VVG	open
the	DT	the
border	NN	border
crossing	VVG	cross
point	NN	point
at	IN	at
Kem	NP	Kem
Shalom	NP	Shalom
for	IN	for
more	JJR	more
Aid	NN	aid
to	TO	to
go	VV	go
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
first	JJ	first
time	NN	time
since	IN	since
the	DT	the
outbreak	NN	outbreak
of	IN	of
the	DT	the
war	NN	war
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
allowed	VVN	allow
supplies	NNS	supply
to	TO	to
enter	VV	enter
Gaza	NP	Gaza
from	IN	from
its	PP$	its
own	JJ	own
territory	NN	territory
it's	NNS	it's
a	DT	a
decision	NN	decision
that's	NN	that's
been	VBN	be
welcomed	VVN	welcome
by	IN	by
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
the	DT	the
move	NN	move
was	VBD	be
also	RB	also
supported	VVN	support
by	IN	by
the	DT	the
White	NP	White
House	NP	House
National	NP	National
Security	NP	Security
adviser	NN	adviser
Jake	NP	Jake
Sullivan	NP	Sullivan
who's	NNS	who's
visiting	VVG	visit
the	DT	the
region	NN	region
Mr	NP	Mr
Sullivan	NP	Sullivan
has	VHZ	have
met	VVN	meet
today	NN	today
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
president	NN	president
Mahmud	NP	Mahmud
abas	NNS	aba
he	PP	he
called	VVD	call
that	IN/that	that
Crossing	VVG	cross
Point	NP	Point
decision	NN	decision
move	NN	move
a	DT	a
significant	JJ	significant
step	NN	step
well	RB	well
our	PP$	our
Middle	NP	Middle
East	NP	East
correspondent	NN	correspondent
Hugo	NP	Hugo
Bea	NP	Bea
told	VVD	tell
me	PP	me
more	JJR	more
about	IN	about
that	DT	that
opening	NN	opening
of	IN	of
the	DT	the
second	JJ	second
crossing	VVG	cross
point	NN	point
and	CC	and
more	JJR	more
about	IN	about
those	DT	those
talks	NNS	talk
with	IN	with
Mahmud	NP	Mahmud
abas	NNS	aba
an	DT	an
important	JJ	important
uh	UH	uh
announcement	NN	announcement
by	IN	by
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
because	IN	because
this	DT	this
is	VBZ	be
going	VVG	go
to	TO	to
allow	VV	allow
more	RBR	more
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
be	VB	be
delivered	VVN	deliver
to	TO	to
Gaza	NP	Gaza
for	IN	for
days	NNS	day
we've	NNS	we've
been	VBN	be
talking	VVG	talk
about	IN	about
uh	UH	uh
the	DT	the
desperate	JJ	desperate
situation	NN	situation
ation	NN	ation
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
with	IN	with
widespread	JJ	widespread
shortages	NNS	shortage
of	IN	of
basic	JJ	basic
supplies	NNS	supply
also	RB	also
hospitals	NNS	hospital
under	IN	under
a	DT	a
lot	NN	lot
of	IN	of
pressure	NN	pressure
with	IN	with
the	DT	the
health	NN	health
system	NN	system
on	IN	on
the	DT	the
verge	NN	verge
of	IN	of
collapse	NN	collapse
so	RB	so
now	RB	now
uh	UH	uh
more	RBR	more
uh	UH	uh
trucks	NNS	truck
carrying	VVG	carry
uh	UH	uh
basic	JJ	basic
supplies	NNS	supply
will	MD	will
be	VB	be
entering	VVG	enter
uh	UH	uh
Gaza	NP	Gaza
up	RP	up
until	IN	until
now	RB	now
all	DT	all
trucks	VVZ	truck
uh	UH	uh
were	VBD	be
entering	VVG	enter
uh	UH	uh
the	DT	the
territory	NN	territory
uh	UH	uh
through	IN	through
the	DT	the
rougher	JJR	rough
Crossing	VVG	cross
uh	UH	uh
on	IN	on
the	DT	the
border	NN	border
with	IN	with
Egypt	NP	Egypt
and	CC	and
now	RB	now
Israel	NP	Israel
saying	VVG	say
that	IN/that	that
the	DT	the
Kem	NP	Kem
shalom	NN	shalom
crossing	VVG	cross
point	NN	point
will	MD	will
also	RB	also
be	VB	be
open	JJ	open
for	IN	for
uh	UH	uh
the	DT	the
delivery	NN	delivery
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
and	CC	and
this	DT	this
comes	VVZ	come
on	IN	on
the	DT	the
second	JJ	second
day	NN	day
of	IN	of
the	DT	the
visit	NN	visit
by	IN	by
the	DT	the
US	NP	US
National	NP	National
Security	NP	Security
advisor	NN	advisor
Jake	NP	Jake
Sullivan	NP	Sullivan
he	PP	he
was	VBD	be
in	IN	in
ramala	NN	ramala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
he	PP	he
met	VVD	meet
the	DT	the
president	NN	president
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
Mahmud	NP	Mahmud
Abbas	NP	Abbas
and	CC	and
yesterday	RB	yesterday
he	PP	he
had	VHD	have
meetings	NNS	meeting
with	IN	with
the	DT	the
Israeli	JJ	Israeli
leadership	NN	leadership
and	CC	and
I	PP	I
think	VVP	think
the	DT	the
message	NN	message
here	RB	here
from	IN	from
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
was	VBD	be
that	DT	that
uh	UH	uh
he	PP	he
was	VBD	be
trying	VVG	try
to	TO	to
tell	VV	tell
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
change	VV	change
you	PP	you
know	VV	know
tactics	NNS	tactic
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
and	CC	and
to	TO	to
move	VV	move
to	TO	to
a	DT	a
phase	NN	phase
that	IN/that	that
he	PP	he
described	VVD	describe
as	RB	as
more	RBR	more
targeted	JJ	targeted
and	CC	and
precise	JJ	precise
uh	UH	uh
attacks	NNS	attack
to	TO	to
Target	NP	Target
the	DT	the
Hamas	JJ	Hamas
leadership	NN	leadership
in	IN	in
Gaza	NP	Gaza
this	DT	this
obviously	RB	obviously
amid	IN	amid
uh	UH	uh
International	NP	International
pressure	NN	pressure
on	IN	on
the	DT	the
Israelis	NPS	Israelis
as	IN	as
uh	UH	uh
you	PP	you
know	VVP	know
that	WDT	that
have	VHP	have
been	VBN	be
concerns	NNS	concern
about	IN	about
uh	UH	uh
mounting	VVG	mount
civilian	JJ	civilian
casualties	NNS	casualty
in	IN	in
Gaza	NP	Gaza
and	CC	and
also	RB	also
the	DT	the
worsening	VVG	worsen
uh	UH	uh
humanitarian	JJ	humanitarian
situation	NN	situation
and	CC	and
fighting	VVG	fight
in	IN	in
Gaza	NP	Gaza
continues	VVZ	continue
and	CC	and
we	PP	we
actually	RB	actually
heard	VVD	hear
the	DT	the
Iron	NP	Iron
Dome	NP	Dome
intercepting	VVG	intercept
uh	UH	uh
Rockets	NNS	rocket
here	RB	here
over	IN	over
the	DT	the
city	NN	city
Reports	NNS	report
say	VVP	say
that	IN/that	that
three	CD	three
rockets	NNS	rocket
were	VBD	be
intercepted	VVN	intercept
by	IN	by
the	DT	the
country's	JJ	country's
uh	UH	uh
military	JJ	military
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
Jerusalem	NP	Jerusalem
came	VVD	come
