now	RB	now
let	VV	let
me	PP	me
tell	VV	tell
you	PP	you
about	IN	about
the	DT	the
latest	JJS	late
in	IN	in
terms	NNS	term
of	IN	of
on	IN	on
the	DT	the
ground	NN	ground
there	RB	there
in	IN	in
Gaza	NP	Gaza
because	IN	because
the	DT	the
UN	NP	UN
Regional	NP	Regional
relief	NN	relief
agency	NN	agency
Ana	NP	Ana
says	VVZ	say
that	IN/that	that
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
have	VHP	have
displaced	VVN	displace
in	IN	in
the	DT	the
last	JJ	last
12	CD	@card@
hours	NNS	hour
nearly	RB	nearly
a	DT	a
million	CD	million
almost	RB	almost
half	PDT	half
the	DT	the
territory	NN	territory
'	POS	'
s	JJ	s
population	NN	population
in	IN	in
the	DT	the
last	JJ	last
week	NN	week
let	VV	let
me	PP	me
tell	VV	tell
you	PP	you
more	JJR	more
from	IN	from
that	DT	that
statement	NN	statement
because	IN	because
there	EX	there
is	VBZ	be
more	JJR	more
detail	NN	detail
coming	VVG	come
in	IN	in
they	PP	they
'	POS	'
re	NN	re
talking	NN	talking
about	IN	about
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
order	NN	order
as	IN	as
well	RB	well
to	TO	to
Le	NP	Le
leave	VV	leave
that	DT	that
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
territory	NN	territory
uh	UH	uh
this	DT	this
the	DT	the
full	JJ	full
statement	NN	statement
there	RB	there
that	RB	that
'	''	'
s	VVG	s
available	JJ	available
online	JJ	online
let	NN	let
me	PP	me
take	VVP	take
you	PP	you
through	IN	through
it	PP	it
because	IN	because
there	EX	there
are	VBP	be
significant	JJ	significant
new	JJ	new
detail	NN	detail
they	PP	they
'	POS	'
ve	NN	ve
called	VVD	call
on	IN	on
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
to	TO	to
protect	VV	protect
all	DT	all
civilians	NNS	civilian
who	WP	who
'	POS	'
ve	RB	ve
been	VBN	be
Sheltering	VVG	shelter
in	IN	in
un	NNS	un
under	IN	under
premises	NNS	premise
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
including	VVG	include
those	DT	those
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
and	CC	and
Gaza	NP	Gaza
City	NP	City
despite	IN	despite
the	DT	the
order	NN	order
they	PP	they
say	VVP	say
for	IN	for
more	JJR	more
than	IN	than
a	DT	a
million	CD	million
people	NNS	people
to	TO	to
actually	RB	actually
move	VV	move
they	PP	they
say	VVP	say
that	IN/that	that
many	JJ	many
people	NNS	people
pregn	JJ	pregn
pregnant	JJ	pregnant
women	NNS	woman
children	NNS	child
older	JJR	old
people	NNS	people
people	NNS	people
with	IN	with
disabilities	NNS	disability
will	MD	will
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
flee	VV	flee
the	DT	the
area	NN	area
they	PP	they
have	VHP	have
no	DT	no
choice	NN	choice
they	PP	they
say	VVP	say
and	CC	and
they	PP	they
must	MD	must
be	VB	be
protected	VVN	protect
at	IN	at
all	DT	all
times	NNS	time
Wars	NNS	war
have	VHP	have
rules	NNS	rule
this	DT	this
statement	NN	statement
says	VVZ	say
civilians	NNS	civilian
hospitals	NNS	hospital
schools	NNS	school
clinics	NNS	clinic
and	CC	and
un	NN	un
premises	NNS	premise
cannot	MD	can
be	VB	be
targeted	JJ	targeted
we	PP	we
'	''	'
re	IN	re
sparing	VVG	spare
no	DT	no
effort	NN	effort
to	TO	to
Advocate	NN	advocate
with	IN	with
parties	NNS	party
to	TO	to
the	DT	the
conflicts	NNS	conflict
to	TO	to
meet	VV	meet
their	PP$	their
obligations	NNS	obligation
under	IN	under
international	JJ	international
law	NN	law
to	TO	to
protect	VV	protect
civilians	NNS	civilian
including	VVG	include
those	DT	those
seeking	VVG	seek
refuge	NN	refuge
in	IN	in
H	NN	H
shelters	NNS	shelter
and	CC	and
it	PP	it
goes	VVZ	go
on	RP	on
finally	RB	finally
to	TO	to
say	VV	say
at	IN	at
the	DT	the
end	NN	end
of	IN	of
this	DT	this
statement	NN	statement
this	DT	this
is	VBZ	be
unprecedented	JJ	unprecedented
what	WP	what
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
this	DT	this
war	NN	war
should	MD	should
be	VB	be
no	DT	no
exception	NN	exception
protection	NN	protection
of	IN	of
civilians	NNS	civilian
and	CC	and
civilian	JJ	civilian
infrastructure	NN	infrastructure
including	VVG	include
un	NN	un
buildings	NNS	building
applies	VVZ	apply
to	TO	to
this	DT	this
conflict	NN	conflict
too	RB	too
so	CC	so
uh	UH	uh
a	DT	a
long	JJ	long
statement	NN	statement
there	RB	there
from	IN	from
ANA	NN	ana
about	IN	about
their	PP$	their
assessment	NN	assessment
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
people	NNS	people
displaced	VVN	displace
but	CC	but
very	RB	very
clearly	RB	clearly
articulating	VVG	articulate
that	IN/that	that
many	JJ	many
people	NNS	people
won	VVD	win
'	''	'
t	NN	t
be	VB	be
able	JJ	able
to	TO	to
to	TO	to
move	VV	move
won	NN	won
'	''	'
t	NN	t
be	VB	be
able	JJ	able
to	TO	to
follow	VV	follow
that	DT	that
Israeli	JJ	Israeli
instruction	NN	instruction
and	CC	and
absolutely	RB	absolutely
underlying	VVG	underlie
the	DT	the
point	NN	point
that	IN/that	that
they	PP	they
say	VVP	say
that	IN/that	that
un	JJ	un
premises	NNS	premise
cannot	MD	can
be	VB	be
targeted	VVN	target
if	IN	if
those	DT	those
people	NNS	people
do	VVP	do
not	RB	not
move	VV	move
and	CC	and
follow	VV	follow
that	DT	that
deadline	NN	deadline
order	NN	order
from	IN	from
the	DT	the
Israelis	NPS	Israelis
well	UH	well
uh	UH	uh
let	VV	let
'	''	'
s	NNS	s
reflect	VVP	reflect
more	JJR	more
about	IN	about
what	WP	what
is	VBZ	be
happening	VVG	happen
on	IN	on
the	DT	the
ground	NN	ground
because	IN	because
Mahmud	NP	Mahmud
shalabi	NP	shalabi
is	VBZ	be
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
the	DT	the
Gaza	NP	Gaza
director	NN	director
for	IN	for
medical	JJ	medical
aid	NN	aid
for	IN	for
Palestinians	NPS	Palestinians
he	PP	he
spoke	VVD	speak
to	TO	to
us	PP	us
about	IN	about
what	WP	what
life	NN	life
is	VBZ	be
actually	RB	actually
there	RB	there
in	IN	in
at	IN	at
on	IN	on
the	DT	the
ground	NN	ground
at	IN	at
the	DT	the
moment	NN	moment
life	NN	life
is	VBZ	be
really	RB	really
miserable	JJ	miserable
and	CC	and
dire	JJ	dire
the	DT	the
situation	NN	situation
is	VBZ	be
really	RB	really
tense	JJ	tense
where	WRB	where
I	PP	I
live	VVP	live
I	PP	I
live	VVP	live
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
and	CC	and
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
governorates	NNS	governorates
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
asked	VVN	ask
uh	UH	uh
the	DT	the
peoples	NNS	people
to	TO	to
flee	VV	flee
from	IN	from
uh	UH	uh
yesterday	NN	yesterday
I	PP	I
am	VBP	be
one	CD	one
of	IN	of
the	DT	the
people	NNS	people
who	WP	who
did	VVD	do
not	RB	not
flee	VV	flee
um	VVG	um
uh	UH	uh
their	PP$	their
home	NN	home
and	CC	and
I	PP	I
refuse	VVP	refuse
to	TO	to
do	VV	do
so	RB	so
because	IN	because
there	EX	there
is	VBZ	be
no	DT	no
place	NN	place
that	WDT	that
is	VBZ	be
safe	JJ	safe
in	IN	in
Gaza	NP	Gaza
even	RB	even
in	IN	in
the	DT	the
southern	JJ	southern
parts	NNS	part
of	IN	of
Gaza	NP	Gaza
where	WRB	where
many	JJ	many
of	IN	of
my	PP$	my
colleagues	NNS	colleague
have	VHP	have
went	VVD	go
and	CC	and
where	WRB	where
many	JJ	many
of	IN	of
internally	RB	internally
displaced	VVN	displace
people	NNS	people
are	VBP	be
located	VVN	locate
right	RB	right
now	RB	now
it	PP	it
'	POS	'
s	NN	S
really	RB	really
unsafe	JJ	unsafe
just	RB	just
yesterday	NN	yesterday
at	IN	at
around	RB	around
400	CD	@card@
p	NN	p
.	SENT	.
m	NN	m
.	SENT	.
one	CD	one
truck	NN	truck
full	JJ	full
of	IN	of
internally	RB	internally
displaced	VVN	displace
people	NNS	people
was	VBD	be
direct	JJ	direct
directly	RB	directly
targeted	VVN	target
by	IN	by
the	DT	the
Israelis	NPS	Israelis
and	CC	and
71	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
in	IN	in
that	DT	that
Direct	NP	Direct
Hit	VVP	hit
of	IN	of
internally	RB	internally
displaced	VVN	displace
people	NNS	people
so	RB	so
there	EX	there
is	VBZ	be
no	DT	no
place	NN	place
that	WDT	that
is	VBZ	be
currently	RB	currently
safe	JJ	safe
uh	UH	uh
right	RB	right
now	RB	now
I	PP	I
am	VBP	be
talking	VVG	talk
to	TO	to
you	PP	you
uh	UH	uh
because	IN	because
I	PP	I
have	VHP	have
a	DT	a
generator	NN	generator
that	IN/that	that
we	PP	we
bought	VVD	buy
years	NNS	year
ago	RB	ago
and	CC	and
I	PP	I
managed	VVD	manage
to	TO	to
have	VH	have
some	DT	some
fuel	VV	fuel
uh	UH	uh
leftt	NN	leftt
over	IN	over
fuel	NN	fuel
from	IN	from
like	IN	like
the	DT	the
fuel	NN	fuel
station	NN	station
where	WRB	where
I	PP	I
live	VVP	live
so	RB	so
I	PP	I
am	VBP	be
one	CD	one
of	IN	of
the	DT	the
few	JJ	few
ones	NNS	one
who	WP	who
can	MD	can
actually	RB	actually
connect	VV	connect
to	TO	to
the	DT	the
outside	JJ	outside
world	NN	world
and	CC	and
tell	VV	tell
you	PP	you
about	IN	about
the	DT	the
situation	NN	situation
right	RB	right
now	RB	now
in	IN	in
Gaza	NP	Gaza
we	PP	we
do	VVP	do
believe	VV	believe
that	IN/that	that
it	PP	it
is	VBZ	be
unsafe	JJ	unsafe
to	TO	to
move	VV	move
right	RB	right
now	RB	now
to	TO	to
any	DT	any
place	NN	place
in	IN	in
the	DT	the
southern	JJ	southern
parts	NNS	part
of	IN	of
Gaza	NP	Gaza
as	IN	as
I	PP	I
told	VVD	tell
you	PP	you
there	EX	there
have	VHP	have
been	VBN	be
uh	UH	uh
many	JJ	many
air	NN	air
strikes	VVZ	strike
uh	UH	uh
uh	UH	uh
since	IN	since
yesterday	NN	yesterday
and	CC	and
early	RB	early
this	DT	this
morning	NN	morning
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
areas	NNS	area
of	IN	of
the	DT	the
safe	JJ	safe
areas	NNS	area
in	IN	in
the	DT	the
south	NN	south
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
kanun	JJ	kanun
uh	UH	uh
a	DT	a
colleague	NN	colleague
of	IN	of
mine	NN	mine
Liv	NP	Liv
lives	VVZ	live
there	EX	there
he	PP	he
has	VHZ	have
hosted	VVN	host
six	CD	six
families	NNS	family
of	IN	of
internally	RB	internally
displaced	VVN	displace
people	NNS	people
uh	UH	uh
this	DT	this
morning	NN	morning
at	IN	at
7	CD	@card@
A	DT	a
.	SENT	.
M	NP	M
an	DT	an
air	NN	air
strike	NN	strike
happened	VVD	happen
next	JJ	next
to	TO	to
his	PP$	his
home	NN	home
and	CC	and
they	PP	they
are	VBP	be
trying	VVG	try
to	TO	to
extract	VV	extract
dead	JJ	dead
bodies	NNS	body
from	IN	from
under	IN	under
the	DT	the
rubble	NN	rubble
so	RB	so
as	IN	as
I	PP	I
told	VVD	tell
you	PP	you
there	EX	there
is	VBZ	be
no	DT	no
place	NN	place
that	WDT	that
is	VBZ	be
safe	JJ	safe
right	NN	right
now	IN	now
uh	UH	uh
yesterday	NN	yesterday
we	PP	we
were	VBD	be
also	RB	also
given	VVN	give
as	IN	as
Palestinians	NPS	Palestinians
a	DT	a
safe	JJ	safe
passage	NN	passage
from	IN	from
like	IN	like
the	DT	the
early	JJ	early
sunlight	NN	sunlight
until	IN	until
like	JJ	like
around	IN	around
uh	UH	uh
like	IN	like
6	CD	@card@
:	:	:
00	CD	@card@
p	NN	p
.	SENT	.
m	NN	m
.	SENT	.
or	CC	or
something	NN	something
and	CC	and
that	IN/that	that
happened	VVN	happen
during	IN	during
the	DT	the
time	NN	time
in	IN	in
addition	NN	addition
uh	UH	uh
if	IN	if
you	PP	you
also	RB	also
uh	UH	uh
see	VV	see
what	WP	what
'	POS	'
s	JJ	s
happenening	NN	happenening
during	IN	during
the	DT	the
night	NN	night
in	IN	in
those	DT	those
areas	NNS	area
in	IN	in
the	DT	the
southern	JJ	southern
parts	NNS	part
of	IN	of
Gaza	NP	Gaza
there	EX	there
have	VHP	have
been	VBN	be
many	JJ	many
air	NN	air
strikes	NNS	strike
and	CC	and
many	JJ	many
houses	NNS	house
destroyed	VVN	destroy
over	IN	over
the	DT	the
top	NN	top
of	IN	of
their	PP$	their
residents	NNS	resident
there	EX	there
have	VHP	have
been	VBN	be
no	DT	no
warnings	NNS	warning
such	JJ	such
as	RB	as
like	IN	like
in	IN	in
previous	JJ	previous
escalations	NNS	escalation
where	WRB	where
they	PP	they
would	MD	would
throw	VV	throw
a	DT	a
you	PP	you
know	VVP	know
drone	NN	drone
missile	NN	missile
on	IN	on
top	NN	top
of	IN	of
a	DT	a
building	NN	building
to	TO	to
warn	VV	warn
the	DT	the
citizens	NNS	citizen
that	IN/that	that
they	PP	they
have	VHP	have
to	TO	to
flee	VV	flee
their	PP$	their
homes	NNS	home
