Chris	NP	Chris
gunnis	NP	gunnis
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
now	RB	now
wants	VVZ	want
to	TO	to
know	VV	know
from	IN	from
Israel	NP	Israel
how	WRB	how
you	PP	you
justify	VVP	justify
shelling	VVG	shell
a	DT	a
un	JJ	un
School	NP	School
uh	UH	uh
I	PP	I
must	MD	must
say	VV	say
that	IN/that	that
you	PP	you
need	VVP	need
to	TO	to
ask	VV	ask
this	DT	this
question	NN	question
leadership	NN	leadership
of	IN	of
Kamas	NP	Kamas
when	WRB	when
you	PP	you
see	VVP	see
a	DT	a
terror	NN	terror
organization	NN	organization
that	WDT	that
is	VBZ	be
using	VVG	use
the	DT	the
most	RBS	most
cical	JJ	cical
way	NN	way
children	NNS	child
women	NNS	woman
uh	UH	uh
to	TO	to
be	VB	be
a	DT	a
human	JJ	human
shelter	NN	shelter
to	TO	to
uh	UH	uh
amount	VV	amount
uh	UH	uh
amounts	NNS	amount
of	IN	of
rockets	VVZ	rocket
uh	UH	uh
that	WDT	that
have	VHP	have
only	RB	only
one	CD	one
goal	NN	goal
to	TO	to
shoot	VV	shoot
on	IN	on
the	DT	the
cities	NNS	city
of	IN	of
Israel	NP	Israel
to	TO	to
uh	UH	uh
Herm	NP	Herm
civilians	NNS	civilian
just	RB	just
civilians	NNS	civilian
uh	UH	uh
they	PP	they
they	PP	they
have	VHP	have
no	UH	no
uh	UH	uh
territorial	JJ	territorial
claim	NN	claim
from	IN	from
Israel	NP	Israel
because	IN	because
Israel	NP	Israel
made	VVD	make
a	DT	a
withow	NN	withow
in	IN	in
2005	CD	@card@
but	CC	but
since	IN	since
then	RB	then
Hamas	NN	Hamas
keeps	VVZ	keep
on	IN	on
shooting	VVG	shoot
rockets	NNS	rocket
on	IN	on
our	PP$	our
cities	NNS	city
and	CC	and
our	PP$	our
children	NNS	child
and	CC	and
unfortunately	RB	unfortunately
Miss	NP	Miss
hot	JJ	hot
Valley	NP	Valley
I	PP	I
have	VHP	have
to	TO	to
say	VV	say
there	EX	there
were	VBD	be
no	DT	no
rockets	NNS	rocket
in	IN	in
this	DT	this
school	NN	school
the	DT	the
UN	NP	UN
had	VHD	have
removed	VVN	remove
them	PP	them
before	IN	before
this	DT	this
offensive	NN	offensive
began	VVD	begin
the	DT	the
UN	NP	UN
told	VVD	tell
Israel	NP	Israel
17	CD	@card@
times	NNS	time
of	IN	of
the	DT	the
location	NN	location
of	IN	of
this	DT	this
school	NN	school
Israel	NP	Israel
knew	VVD	know
there	EX	there
were	VBD	be
3	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
Sheltering	VVG	shelter
there	RB	there
again	RB	again
how	WRB	how
do	VVP	do
you	PP	you
justify	VV	justify
would	MD	would
like	VV	like
to	TO	to
remind	VV	remind
you	PP	you
I	PP	I
would	MD	would
like	VV	like
to	TO	to
remind	VV	remind
you	PP	you
since	IN	since
this	DT	this
military	JJ	military
operation	NN	operation
has	VHZ	have
started	VVN	start
because	IN	because
Hamas	NP	Hamas
decided	VVD	decide
to	TO	to
shoot	VV	shoot
and	CC	and
fire	VV	fire
Israel	NP	Israel
'	POS	'
s	NN	S
cities	NNS	city
and	CC	and
Israel	NP	Israel
'	POS	'
s	NNS	s
children	NNS	child
uh	UH	uh
they	PP	they
were	VBD	be
found	VVN	find
thousands	NNS	thousand
thousands	NNS	thousand
of	IN	of
rockets	NNS	rocket
in	IN	in
chifa	NN	chifa
in	IN	in
the	DT	the
hospital	NN	hospital
in	IN	in
G	NP	G
particular	JJ	particular
un	NN	un
schools	NNS	school
in	IN	in
un	JJ	un
schools	NNS	school
I	PP	I
have	VHP	have
to	TO	to
correct	VV	correct
you	PP	you
in	IN	in
this	DT	this
particular	JJ	particular
case	NN	case
we	PP	we
spoke	VVD	speak
to	TO	to
the	DT	the
UN	NP	UN
less	JJR	less
than	IN	than
an	DT	an
hour	NN	hour
ago	RB	ago
to	TO	to
the	DT	the
man	NN	man
who	WP	who
runs	VVZ	run
these	DT	these
schools	NNS	school
there	EX	there
were	VBD	be
no	DT	no
rockets	NNS	rocket
in	IN	in
that	DT	that
school	NN	school
there	EX	there
was	VBD	be
no	DT	no
warning	NN	warning
given	VVN	give
to	TO	to
them	PP	them
and	CC	and
they	PP	they
told	VVD	tell
Israel	NP	Israel
17	CD	@card@
times	NNS	time
of	IN	of
the	DT	the
location	NN	location
of	IN	of
the	DT	the
school	NN	school
and	CC	and
who	WP	who
was	VBD	be
there	RB	there
so	RB	so
again	RB	again
I	PP	I
would	MD	would
like	VV	like
to	TO	to
remind	VV	remind
you	PP	you
throughout	IN	throughout
this	DT	this
military	JJ	military
operation	NN	operation
time	NN	time
after	IN	after
time	VV	time
uh	UH	uh
Israeli	NP	Israeli
Army	NP	Army
found	VVD	find
rockets	NNS	rocket
in	IN	in
those	DT	those
un	JJ	un
schools	NNS	school
you	PP	you
can	MD	can
'	''	'
t	NN	t
deny	VV	deny
this	DT	this
fact	NN	fact
uh	UH	uh
specifically	RB	specifically
if	IN	if
you	PP	you
can	MD	can
say	VV	say
if	IN	if
if	IN	if
there	EX	there
are	VBP	be
mistakes	NNS	mistake
that	WDT	that
are	VBP	be
done	VVN	do
in	IN	in
a	DT	a
military	JJ	military
operations	NNS	operation
of	IN	of
course	VV	course
uh	UH	uh
are	VBP	be
you	PP	you
asking	VVG	ask
U	NP	U
me	PP	me
if	IN	if
Israel	NP	Israel
deliberately	RB	deliberately
is	VBZ	be
harming	VVG	harm
children	NNS	child
definitely	RB	definitely
not	RB	not
Israel	NP	Israel
is	VBZ	be
doing	VVG	do
everything	NN	everything
in	IN	in
order	NN	order
to	TO	to
prevent	VV	prevent
those	DT	those
harms	NNS	harm
but	CC	but
unfortunately	RB	unfortunately
Kamas	NP	Kamas
leadership	NN	leadership
at	IN	at
this	DT	this
moment	NN	moment
still	RB	still
using	VVG	use
the	DT	the
uh	UH	uh
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
in	IN	in
order	NN	order
to	TO	to
use	VV	use
those	DT	those
pictures	NNS	picture
you	PP	you
you	PP	you
enjoy	VV	enjoy
uh	UH	uh
showing	VVG	show
to	TO	to
the	DT	the
world	NN	world
uh	UH	uh
instead	RB	instead
of	IN	of
using	VVG	use
the	DT	the
Army	NP	Army
in	IN	in
Israel	NP	Israel
that	WDT	that
is	VBZ	be
saying	VVG	say
time	NN	time
after	IN	after
time	NN	time
to	TO	to
the	DT	the
children	NNS	child
in	IN	in
don	NN	don
'	POS	'
t	NN	t
cooperate	VV	cooperate
with	IN	with
these	DT	these
people	NNS	people
now	RB	now
I	PP	I
would	MD	would
like	VV	like
to	TO	to
remind	VV	remind
you	PP	you
that	IN/that	that
Israel	NP	Israel
didn	NP	didn
'	POS	'
t	NN	t
go	VV	go
to	TO	to
this	DT	this
military	JJ	military
operation	NN	operation
uh	UH	uh
uh	UH	uh
because	IN	because
we	PP	we
came	VVD	come
up	RP	up
in	IN	in
in	IN	in
the	DT	the
morning	NN	morning
and	CC	and
we	PP	we
'	POS	'
decided	VVN	decide
to	TO	to
go	VV	go
to	TO	to
this	DT	this
military	JJ	military
operation	NN	operation
we	PP	we
did	VVD	do
that	IN/that	that
because	IN	because
we	PP	we
needed	VVD	need
to	TO	to
defend	VV	defend
ourselves	PP	ourselves
defend	VV	defend
our	PP$	our
children	NNS	child
10	CD	@card@
,	,	,
000	CD	@card@
Rockets	NNS	rocket
were	VBD	be
shoot	NN	shoot
to	TO	to
Israel	NP	Israel
'	POS	'
s	JJ	s
border	NN	border
since	IN	since
2005	CD	@card@
those	DT	those
were	VBD	be
against	IN	against
children	NNS	child
in	IN	in
Israel	NP	Israel
in	IN	in
military	JJ	military
elementary	JJ	elementary
schools	NNS	school
in	IN	in
Israel	NP	Israel
many	JJ	many
many	JJ	many
hundreds	NNS	hundred
now	RB	now
of	IN	of
children	NNS	child
have	VHP	have
died	VVN	die
Palestinian	JJ	Palestinian
children	NNS	child
have	VHP	have
died	VVN	die
there	EX	there
are	VBP	be
not	RB	not
many	JJ	many
people	NNS	people
in	IN	in
the	DT	the
International	NP	International
Community	NP	Community
who	WP	who
believe	VVP	believe
now	RB	now
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
doing	VVG	do
its	PP$	its
very	JJ	very
best	JJS	good
not	RB	not
to	TO	to
kill	VV	kill
civilians	NNS	civilian
and	CC	and
what	WP	what
is	VBZ	be
the	DT	the
most	RBS	most
densely	RB	densely
populated	VVN	populate
part	NN	part
of	IN	of
the	DT	the
world	NN	world
many	JJ	many
people	NNS	people
are	VBP	be
asking	VVG	ask
and	CC	and
I	PP	I
'	POS	'
d	NN	d
like	IN	like
you	PP	you
to	TO	to
explain	VV	explain
to	TO	to
us	PP	us
what	WP	what
the	DT	the
moral	JJ	moral
line	NN	line
is	VBZ	be
for	IN	for
Israel	NP	Israel
now	RB	now
where	WRB	where
does	VVZ	do
it	PP	it
stop	VV	stop
okay	RB	okay
unfortunately	RB	unfortunately
um	JJ	um
as	IN	as
you	PP	you
know	VV	know
uh	UH	uh
there	EX	there
was	VBD	be
an	DT	an
Egyptian	JJ	Egyptian
offer	NN	offer
on	IN	on
the	DT	the
table	NN	table
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
that	IN/that	that
Kamas	NP	Kamas
refused	VVD	refuse
to	TO	to
accept	VV	accept
time	NN	time
after	IN	after
time	NN	time
Hamas	NN	Hamas
wants	VVZ	want
to	TO	to
get	VV	get
reward	NN	reward
for	IN	for
the	DT	the
fact	NN	fact
it	PP	it
'	POS	'
s	JJ	s
shooting	NN	shooting
on	IN	on
our	PP$	our
cities	NNS	city
and	CC	and
on	IN	on
our	PP$	our
children	NNS	child
now	RB	now
I	PP	I
want	VVP	want
to	TO	to
say	VV	say
that	IN/that	that
Israel	NP	Israel
can	MD	can
sit	VV	sit
quietly	RB	quietly
and	CC	and
peacefully	RB	peacefully
if	IN	if
it	PP	it
wouldn	NN	wouldn
'	''	'
t	NN	t
have	VHP	have
been	VBN	be
Hamas	JJ	Hamas
again	RB	again
trying	VVG	try
time	NN	time
after	IN	after
time	NN	time
to	TO	to
kidnap	VV	kidnap
children	NNS	child
uh	UH	uh
would	MD	would
like	VV	like
to	TO	to
remind	VV	remind
you	PP	you
that	IN/that	that
three	CD	three
children	NNS	child
were	VBD	be
kidnapped	VVN	kidnap
and	CC	and
murdered	VVN	murder
in	IN	in
the	DT	the
most	RBS	most
uh	UH	uh
cruel	JJ	cruel
way	NN	way
uh	UH	uh
by	IN	by
Hamas	NP	Hamas
and	CC	and
Time	NP	Time
After	IN	after
Time	NP	Time
Israel	NP	Israel
needs	VVZ	need
to	TO	to
defend	VV	defend
itself	PP	itself
now	IN	now
no	DT	no
uh	UH	uh
proof	NN	proof
at	IN	at
the	DT	the
moment	NN	moment
uh	UH	uh
that	IN/that	that
the	DT	the
international	JJ	international
Comm	NP	Comm
Community	NP	Community
is	VBZ	be
offering	VVG	offer
us	PP	us
uh	UH	uh
and	CC	and
after	IN	after
that	IN/that	that
going	VVG	go
to	TO	to
demilitarize	VV	demilitarize
demilitarize	VV	demilitarize
so	RB	so
can	MD	can
I	PP	I
can	MD	can
I	PP	I
ask	VV	ask
you	PP	you
about	RB	about
that	IN/that	that
we	PP	we
have	VHP	have
heard	VVN	hear
from	IN	from
Hamas	NP	Hamas
and	CC	and
we	PP	we
have	VHP	have
heard	VVN	hear
from	IN	from
fata	NP	Fata
and	CC	and
Islamic	NP	Islamic
Jihad	NP	Jihad
as	RB	as
well	RB	well
that	IN/that	that
they	PP	they
will	MD	will
not	RB	not
accept	VV	accept
any	DT	any
ceasefire	NN	ceasefire
offer	NN	offer
unless	IN	unless
we	PP	we
see	VVP	see
a	DT	a
lifting	NN	lifting
of	IN	of
the	DT	the
siege	NN	siege
of	IN	of
Gaza	NP	Gaza
do	VVP	do
you	PP	you
think	VVP	think
that	IN/that	that
your	PP$	your
leader	NN	leader
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
will	MD	will
accept	VV	accept
that	DT	that
condition	NN	condition
ever	RB	ever
of	IN	of
course	NN	course
not	RB	not
um	JJ	um
as	IN	as
you	PP	you
as	IN	as
you	PP	you
know	VV	know
uh	UH	uh
unfortunately	RB	unfortunately
uh	UH	uh
no	UH	no
one	CD	one
in	IN	in
the	DT	the
world	NN	world
is	VBZ	be
doing	VVG	do
the	DT	the
work	NN	work
for	IN	for
Israel	NP	Israel
um	NNS	um
if	IN	if
wouldn	NP	wouldn
'	POS	'
t	NN	t
have	VH	have
been	VBN	be
our	PP$	our
soldiers	NNS	soldier
that	IN/that	that
now	RB	now
cleaning	VVG	clean
Gaza	NP	Gaza
from	IN	from
the	DT	the
terror	NN	terror
tunnels	NNS	tunnel
so	IN	so
those	DT	those
T	NN	T
tunnels	NNS	tunnel
that	WDT	that
were	VBD	be
supposed	VVN	suppose
to	TO	to
be	VB	be
outside	JJ	outside
of	IN	of
Israel	NP	Israel
uh	UH	uh
as	IN	as
part	NN	part
of	IN	of
uh	UH	uh
elementary	JJ	elementary
schools	NNS	school
kindergartens	NNS	kindergarten
so	RB	so
if	IN	if
you	PP	you
see	VVP	see
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
says	VVZ	say
he	PP	he
will	MD	will
not	RB	not
accept	VV	accept
this	DT	this
when	WRB	when
do	VVP	do
you	PP	you
think	VVP	think
this	DT	this
will	MD	will
come	VV	come
to	TO	to
an	DT	an
end	NN	end
how	WRB	how
long	RB	long
will	MD	will
this	RB	this
go	VV	go
on	IN	on
for	IN	for
uh	UH	uh
the	DT	the
truth	NN	truth
is	VBZ	be
if	IN	if
Hamas	NP	Hamas
would	MD	would
have	VH	have
decided	VVN	decide
to	TO	to
uh	UH	uh
to	TO	to
say	VV	say
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VVG	go
to	TO	to
use	VV	use
uh	UH	uh
this	DT	this
uh	UH	uh
Terror	NN	terror
power	NN	power
anymore	RB	anymore
it	PP	it
would	MD	would
have	VH	have
stopped	VVN	stop
unfort	NN	unfort
we	PP	we
know	VVP	know
how	WRB	how
ter	NN	ter
organizations	NNS	organization
working	VVG	work
and	CC	and
it	PP	it
doesn	NP	doesn
'	POS	'
t	NN	t
seem	VVP	seem
like	IN	like
at	IN	at
the	DT	the
moment	NN	moment
when	WRB	when
they	PP	they
have	VHP	have
still	RB	still
over	IN	over
10	CD	@card@
,	,	,
000	CD	@card@
rockets	NNS	rocket
in	IN	in
Gaza	NP	Gaza
itself	PP	itself
and	CC	and
still	RB	still
there	EX	there
'	''	'
s	VVG	s
a	DT	a
work	NN	work
in	IN	in
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
tunels	VVZ	tunels
uh	UH	uh
that	RB	that
now	RB	now
Israel	NP	Israel
is	VBZ	be
working	VVG	work
very	RB	very
hard	JJ	hard
to	TO	to
find	VV	find
each	DT	each
one	CD	one
of	IN	of
them	PP	them
uh	UH	uh
we	PP	we
still	RB	still
need	VVP	need
to	TO	to
work	VV	work
on	IN	on
it	PP	it
and	CC	and
unfortunately	RB	unfortunately
no	RB	no
one	CD	one
in	IN	in
the	DT	the
International	NP	International
Community	NP	Community
can	MD	can
promise	VV	promise
US	PP	us
that	IN/that	that
the	DT	the
day	NN	day
after	IN	after
the	DT	the
ceasefire	NN	ceasefire
we	PP	we
won	VVD	win
'	''	'
t	NN	t
have	VHP	have
rockets	NNS	rocket
on	IN	on
our	PP$	our
cities	NNS	city
again	RB	again
and	CC	and
I	PP	I
would	MD	would
like	VV	like
to	TO	to
offer	VV	offer
you	PP	you
to	TO	to
come	VV	come
to	TO	to
the	DT	the
south	JJ	south
side	NN	side
of	IN	of
Israel	NP	Israel
to	TO	to
Tel	NP	Tel
Aviv	NP	Aviv
to	TO	to
Sirens	NNS	siren
are	VBP	be
sound	JJ	sound
here	RB	here
day	NN	day
after	IN	after
day	NN	day
and	CC	and
everyone	NN	everyone
need	VVP	need
to	TO	to
be	VB	be
in	IN	in
shelters	NNS	shelter
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
daily	JJ	daily
life	NN	life
in	IN	in
a	DT	a
normal	JJ	normal
country	NN	country
a	DT	a
normal	JJ	normal
country	NN	country
goes	VVZ	go
to	TO	to
defend	VV	defend
on	IN	on
our	PP$	our
cities	NNS	city
