<video_id>d-vzAqSX9QU</video_id>	NP	<video_id>d-vzAqSX9QU</video_id>
<video_title>Israel	NP	<video_title>Israel
war	NN	war
cabinet	NN	cabinet
meets	VVZ	meet
to	TO	to
discuss	VV	discuss
Iran	NP	Iran
attack	NN	attack
response	NN	response
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israel	NP	<thumbnail_path>data/en_BBCNews\Israel
war	NN	war
cabinet	NN	cabinet
meets	VVZ	meet
to	TO	to
discuss	VV	discuss
Iran	NP	Iran
attack	NN	attack
response	NN	response
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240416</publish_date>	NP	<publish_date>20240416</publish_date>
<doc>	NP	<doc>
Israel's	NP	Israel's
war	NN	war
cabinet	NN	cabinet
has	VHZ	have
met	VVN	meet
for	IN	for
a	DT	a
second	JJ	second
time	NN	time
in	IN	in
less	JJR	less
than	IN	than
24	CD	@card@
hours	NNS	hour
to	TO	to
discuss	VV	discuss
how	WRB	how
to	TO	to
respond	VV	respond
to	TO	to
Iran's	NP	Iran's
unprecedented	JJ	unprecedented
drone	NN	drone
and	CC	and
missile	NN	missile
attack	NN	attack
the	DT	the
government	NN	government
has	VHZ	have
not	RB	not
made	VVN	make
public	NN	public
whether	IN	whether
a	DT	a
decision	NN	decision
had	VHD	have
been	VBN	be
reached	VVN	reach
during	IN	during
the	DT	the
late	JJ	late
night	NN	night
meeting	NN	meeting
but	CC	but
reiterated	VVD	reiterate
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
a	DT	a
response	NN	response
meanwhile	RB	meanwhile
the	DT	the
White	NP	White
House	NP	House
has	VHZ	have
described	VVN	describe
Iran's	NP	Iran's
attack	NN	attack
on	IN	on
Israel	NP	Israel
over	IN	over
the	DT	the
weekend	NN	weekend
as	IN	as
a	DT	a
spectacular	JJ	spectacular
and	CC	and
embarrassing	JJ	embarrassing
failure	NN	failure
nearly	RB	nearly
all	RB	all
of	IN	of
the	DT	the
more	JJR	more
than	IN	than
300	CD	@card@
missiles	NNS	missile
and	CC	and
drones	NNS	drone
were	VBD	be
shot	VVN	shoot
down	RB	down
earlier	RBR	earlier
s	JJ	s
shahata	NN	shahata
from	IN	from
BBC	NP	BBC
Arabic	NP	Arabic
explained	VVN	explain
what	WP	what
we've	NN	we've
learned	VVN	learn
about	IN	about
Israel's	NP	Israel's
next	RB	next
moves	VVZ	move
this	DT	this
is	VBZ	be
no	DT	no
decision	NN	decision
was	VBD	be
announced	VVN	announce
yet	RB	yet
but	CC	but
uh	UH	uh
the	DT	the
agreement	NN	agreement
