if	IN	if
the	DT	the
ceasefire	NN	ceasefire
works	VVZ	work
so	RB	so
that	IN/that	that
really	RB	really
there	EX	there
is	VBZ	be
quiet	JJ	quiet
and	CC	and
Hamas	JJ	Hamas
is	VBZ	be
not	RB	not
able	JJ	able
to	TO	to
rearm	VV	rearm
themselves	PP	themselves
and	CC	and
something	NN	something
is	VBZ	be
put	VVN	put
in	IN	in
place	NN	place
so	RB	so
that	IN/that	that
they	PP	they
are	VBP	be
demilitarized	VVN	demilitarize
then	RB	then
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	VVG	s
a	DT	a
good	JJ	good
thing	NN	thing
I	PP	I
think	VVP	think
everybody	NN	everybody
is	VBZ	be
tired	JJ	tired
and	CC	and
needs	VVZ	need
a	DT	a
rest	NN	rest
and	CC	and
needs	VVZ	need
to	TO	to
get	VV	get
back	RB	back
to	TO	to
a	DT	a
normal	JJ	normal
life	NN	life
I	NP	I
'	POS	'
m	NN	m
a	DT	a
little	JJ	little
bit	NN	bit
skeptical	JJ	skeptical
as	IN	as
to	TO	to
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
really	RB	really
going	VVG	go
to	TO	to
hold	VV	hold
and	CC	and
whether	IN	whether
Hamas	NP	Hamas
will	MD	will
follow	VV	follow
through	IN	through
this	DT	this
time	NN	time
as	IN	as
we	PP	we
know	VVP	know
they	PP	they
'	''	'
ve	RB	ve
broken	VVN	break
their	PP$	their
ceasefire	NN	ceasefire
time	NN	time
and	CC	and
time	NN	time
again	RB	again
I	PP	I
think	VVP	think
we	PP	we
'	''	'
ve	NNS	ve
seen	VVN	see
it	PP	it
before	IN	before
um	VVG	um
I	PP	I
don	NN	don
'	POS	'
t	NN	t
think	NN	think
really	RB	really
solves	VVZ	solve
anything	NN	anything
the	DT	the
whole	JJ	whole
Mi	NP	Mi
didn	NN	didn
'	POS	'
t	NN	t
solve	VV	solve
anything	NN	anything
we	PP	we
'	POS	'
re	NN	re
back	RB	back
where	WRB	where
exactly	RB	exactly
where	WRB	where
we	PP	we
were	VBD	be
before	IN	before
uh	UH	uh
it	PP	it
'	''	'
s	VVG	s
my	PP$	my
opinion	NN	opinion
as	RB	as
long	RB	long
as	IN	as
they	PP	they
don	NN	don
'	POS	'
t	NN	t
want	VVP	want
peace	VV	peace
we	PP	we
'	''	'
re	IN	re
not	RB	not
going	VVG	go
to	TO	to
have	VH	have
peace	VV	peace
uh	UH	uh
they	PP	they
have	VHP	have
great	JJ	great
opportunities	NNS	opportunity
to	TO	to
have	VH	have
economic	JJ	economic
growth	NN	growth
and	CC	and
have	VH	have
peace	NN	peace
and	CC	and
grow	VV	grow
they	PP	they
just	RB	just
don	VVP	don
'	POS	'
t	NN	t
want	VVP	want
to	TO	to
do	VV	do
it	PP	it
so	RB	so
as	RB	as
long	JJ	long
as	IN	as
they	PP	they
don	NN	don
'	POS	'
t	NN	t
want	VVP	want
to	TO	to
do	VV	do
it	PP	it
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VVG	go
to	TO	to
have	VH	have
peace	NN	peace
I	PP	I
'	POS	'
m	NN	m
not	RB	not
really	RB	really
sure	JJ	sure
it	PP	it
will	MD	will
be	VB	be
I	PP	I
think	VVP	think
we	PP	we
'	''	'
d	SYM	d
have	VH	have
to	TO	to
go	VV	go
in	IN	in
and	CC	and
physically	RB	physically
remove	VV	remove
the	DT	the
Rockets	VVZ	rocket
the	DT	the
missiles	NNS	missile
and	CC	and
the	DT	the
launching	VVG	launch
infrastructure	NN	infrastructure
it	PP	it
'	POS	'
s	NN	S
the	DT	the
only	JJ	only
way	NN	way
I	PP	I
could	MD	could
see	VV	see
it	PP	it
being	VBG	be
quiet	JJ	quiet
anytime	RB	anytime
soon	RB	soon
