<video_id>zVP1RdZPFwc</video_id>	JJ	<video_id>zVP1RdZPFwc</video_id>
<video_title>Israeli	NN	<video_title>Israeli
strikes	NNS	strike
on	IN	on
Syrian	JJ	Syrian
military	JJ	military
sites	NNS	site
kill	VVP	kill
dozens,	NP	dozens,
health	NN	health
minister	NN	minister
says	VVZ	say
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israeli	NN	<thumbnail_path>data/en_BBCNews\Israeli
strikes	NNS	strike
on	IN	on
Syrian	JJ	Syrian
military	JJ	military
sites	NNS	site
kill	VVP	kill
dozens,	NP	dozens,
health	NN	health
minister	NN	minister
says	VVZ	say
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240909</publish_date>	NP	<publish_date>20240909</publish_date>
<doc>	NP	<doc>
Syria	NP	Syria
says	VVZ	say
at	IN	at
least	JJS	least
16	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
what	WP	what
it	PP	it
says	VVZ	say
were	VBD	be
a	DT	a
series	NN	series
of	IN	of
Israeli	JJ	Israeli
air	NN	air
strikes	VVZ	strike
State	NN	state
media	NNS	medium
say	VVP	say
five	CD	five
sites	NNS	site
were	VBD	be
targeted	VVN	target
including	VVG	include
scientific	JJ	scientific
research	NN	research
centers	NNS	center
monitoring	VVG	monitor
organizations	NNS	organization
say	VVP	say
that	IN/that	that
one	CD	one
of	IN	of
the	DT	the
sites	NNS	site
in	IN	in
the	DT	the
city	NN	city
of	IN	of
msaf	NN	msaf
was	VBD	be
housing	VVG	house
pro-iranian	JJ	pro-iranian
weapons	NNS	weapon
experts	NNS	expert
our	PP$	our
Middle	NP	Middle
East	NP	East
correspondent	NN	correspondent
Huga	NP	Huga
MAA	NP	MAA
has	VHZ	have
the	DT	the
latest	JJS	late
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
sharp	JJ	sharp
increase	VV	increase
uh	UH	uh
in	IN	in
the	DT	the
number	NN	number
of	IN	of
Israeli	JJ	Israeli
attacks	NNS	attack
targeting	VVG	target
locations	NNS	location
inside	IN	inside
Syria	NP	Syria
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
almost	RB	almost
a	DT	a
year	NN	year
ago	RB	ago
and	CC	and
many	JJ	many
of	IN	of
those	DT	those
locations	NNS	location
are	VBP	be
weapons	NNS	weapon
and	CC	and
ammunitions	NNS	ammunition
depos	NNS	depos
also	RB	also
facilities	NNS	facility
being	VBG	be
used	VVN	use
by	IN	by
uh	UH	uh
Iran	NP	Iran
and	CC	and
uh	UH	uh
Iranian	JJ	Iranian
supported	VVN	support
proxies	NNS	proxy
uh	UH	uh
such	JJ	such
as	IN	as
Hezbollah	NP	Hezbollah
here	RB	here
in	IN	in
Lebanon	NP	Lebanon
which	WDT	which
is	VBZ	be
the	DT	the
main	JJ	main
group	NN	group
in	IN	in
this	DT	this
Alliance	NP	Alliance
of	IN	of
of	IN	of
factions	NNS	faction
across	IN	across
the	DT	the
