within	IN	within
the	DT	the
last	JJ	last
half	NN	half
hour	NN	hour
the	DT	the
Hamas	NNS	Hamas
run	VVP	run
Health	NP	Health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
has	VHZ	have
announced	VVN	announce
that	IN/that	that
more	JJR	more
than	IN	than
30	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
territory	NN	territory
since	IN	since
the	DT	the
conflict	NN	conflict
began	VVD	begin
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
well	RB	well
that	IN/that	that
number	NN	number
equates	VVZ	equate
to	TO	to
about	RB	about
1	CD	@card@
.	SENT	.
3	CD	@card@
%	NN	%
of	IN	of
the	DT	the
2	CD	@card@
.	SENT	.
3	CD	@card@
million	CD	million
population	NN	population
there	RB	there
let	VVD	let
'	''	'
s	NNS	s
go	VVP	go
live	VV	live
now	RB	now
to	TO	to
Jerusalem	NP	Jerusalem
and	CC	and
our	PP$	our
Middle	NP	Middle
East	NP	East
correspondent	NN	correspondent
Yulan	NN	yulan
Nell	NP	Nell
so	IN	so
it	PP	it
'	POS	'
s	VVG	s
quite	PDT	quite
a	DT	a
an	DT	an
extraordinary	JJ	extraordinary
toll	NN	toll
isn	NN	isn
'	POS	'
t	NN	t
it	PP	it
it	PP	it
is	VBZ	be
indeed	RB	indeed
and	CC	and
we	PP	we
'	POS	'
re	NN	re
hearing	NN	hearing
from	IN	from
the	DT	the
Hamas	NP	Hamas
Swan	NP	Swan
Health	NP	Health
Ministry	NP	Ministry
that	IN/that	that
there	EX	there
were	VBD	be
more	JJR	more
than	IN	than
80	CD	@card@
people	NNS	people
killed	VVN	kill
uh	UH	uh
overnight	RB	overnight
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
most	RBS	most
of	IN	of
those	DT	those
actually	RB	actually
apparently	RB	apparently
waiting	VVG	wait
for	IN	for
Aid	NP	Aid
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
City	NP	City
um	NNS	um
when	WRB	when
witnesses	NNS	witness
there	RB	there
say	VVP	say
that	IN/that	that
there	EX	there
was	VBD	be
shelling	VVG	shell
uh	UH	uh
by	IN	by
Israeli	JJ	Israeli
tanks	NNS	tank
um	NNS	um
and	CC	and
still	RB	still
an	DT	an
unclear	JJ	unclear
picture	NN	picture
um	NNS	um
from	IN	from
about	RB	about
exactly	RB	exactly
what	WP	what
has	VHZ	have
happened	VVN	happen
there	RB	there
um	JJ	um
but	CC	but
overall	RB	overall
now	RB	now
this	DT	this
really	RB	really
uh	UH	uh
Grim	NP	Grim
Milestone	NN	milestone
has	VHZ	have
been	VBN	be
uh	UH	uh
passed	VVD	pass
the	DT	the
uh	UH	uh
Health	NP	Health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
really	RB	really
the	DT	the
only	JJ	only
official	NN	official
source	NN	source
source	NN	source
of	IN	of
data	NNS	datum
that	IN/that	that
we	PP	we
have	VHP	have
for	IN	for
casualty	NN	casualty
numbers	NNS	number
um	JJ	um
and	CC	and
uh	UH	uh
it	PP	it
'	POS	'
s	NN	S
the	DT	the
one	CD	one
that	WDT	that
'	POS	'
s	NN	S
relied	VVD	rely
on	IN	on
uh	UH	uh
by	IN	by
the	DT	the
UN	NP	UN
and	CC	and
others	NNS	other
and	CC	and
it	PP	it
'	POS	'
s	NN	S
saying	VVG	say
that	DT	that
uh	UH	uh
the	DT	the
majority	NN	majority
of	IN	of
those	DT	those
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
are	VBP	be
women	NNS	woman
and	CC	and
children	NNS	child
uh	UH	uh
since	IN	since
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
and	CC	and
also	RB	also
more	JJR	more
than	IN	than
70	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
injured	VVN	injure
as	IN	as
well	RB	well
these	DT	these
figures	NNS	figure
rely	VVP	rely
on	IN	on
bodies	NNS	body
being	VBG	be
brought	VVN	bring
in	IN	in
uh	UH	uh
to	TO	to
hospitals	NNS	hospital
or	CC	or
seen	VVN	see
uh	UH	uh
by	IN	by
medical	JJ	medical
workers	NNS	worker
so	IN	so
they	PP	they
can	MD	can
be	VB	be
uh	UH	uh
properly	RB	properly
registered	VVN	register
um	NNS	um
but	CC	but
actually	RB	actually
it	PP	it
'	POS	'
s	NN	S
thought	VVD	think
that	IN/that	that
real	JJ	real
death	NN	death
toll	NN	toll
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
much	RB	much
higher	JJR	high
than	IN	than
this	DT	this
because	IN	because
there	EX	there
are	VBP	be
several	JJ	several
thousand	CD	thousand
people	NNS	people
who	WP	who
are	VBP	be
still	RB	still
considered	VVN	consider
as	IN	as
being	VBG	be
missing	JJ	missing
in	IN	in
Gaza	NP	Gaza
many	JJ	many
of	IN	of
them	PP	them
buried	VVD	bury
under	IN	under
the	DT	the
rubble	NN	rubble
of	IN	of
buildings	NNS	building
that	WDT	that
have	VHP	have
been	VBN	be
hit	VVN	hit
by	IN	by
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
now	RB	now
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
say	VV	say
that	IN/that	that
these	DT	these
figures	NNS	figure
do	VVP	do
not	RB	not
differentiate	VV	differentiate
between	IN	between
those	DT	those
who	WP	who
are	VBP	be
civilians	NNS	civilian
and	CC	and
and	CC	and
those	DT	those
uh	UH	uh
who	WP	who
are	VBP	be
uh	UH	uh
Fighters	NNS	fighter
with	IN	with
Hamas	JJ	Hamas
or	CC	or
other	JJ	other
groups	NNS	group
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
when	WRB	when
we	PP	we
'	POS	'
