<video_id>Xslg6RFtA3g</video_id>	JJ	<video_id>Xslg6RFtA3g</video_id>
<video_title>UN	NN	<video_title>UN
agency	NN	agency
warns	VVZ	warn
Gaza	NP	Gaza
operation	NN	operation
could	MD	could
end	VV	end
tomorrow	NN	tomorrow
without	IN	without
more	JJR	more
fuel	NN	fuel
–	:	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\UN	NN	<thumbnail_path>data/en_BBCNews\UN
agency	NN	agency
warns	VVZ	warn
Gaza	NP	Gaza
operation	NN	operation
could	MD	could
end	VV	end
tomorrow	NN	tomorrow
without	IN	without
more	JJR	more
fuel	NN	fuel
–	:	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231024</publish_date>	NN	<publish_date>20231024</publish_date>
<doc>	NN	<doc>
straight	RB	straight
away	RB	away
to	TO	to
tomara	NN	tomara
arifi	NN	arifi
who's	NNS	who's
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
Ana	NP	Ana
who	WP	who
of	IN	of
course	NN	course
are	VBP	be
working	VVG	work
there	RB	there
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
being	VBG	be
here	RB	here
on	IN	on
the	DT	the
program	NN	program
and	CC	and
the	DT	the
Secretary	NP	Secretary
General	NP	General
referencing	VVG	reference
the	DT	the
amount	NN	amount
of	IN	of
your	PP$	your
staff	NN	staff
that	WDT	that
are	VBP	be
being	VBG	be
lost	VVN	lose
in	IN	in
this	DT	this
conflict	NN	conflict
and	CC	and
those	DT	those
numbers	NNS	number
continue	VVP	continue
to	TO	to
go	VV	go
up	RP	up
35	CD	@card@
now	RB	now
in	IN	in
total	VV	total
yes	UH	yes
uh	UH	uh
the	DT	the
Secretary	NP	Secretary
General	NP	General
set	VVD	set
the	DT	the
bar	NN	bar
I	PP	I
think	VVP	think
for	IN	for
where	WRB	where
we	PP	we
all	RB	all
stand	VVP	stand
as	IN	as
humanitarians	NNS	humanitarian
with	IN	with
a	DT	a
very	RB	very
very	RB	very
urgent	JJ	urgent
call	NN	call
for	IN	for
a	DT	a
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
and	CC	and
for	IN	for
the	DT	the
application	NN	application
of	IN	of
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
that	WDT	that
is	VBZ	be
particularly	RB	particularly
relevant	JJ	relevant
to	TO	to
my	PP$	my
colleagues	NNS	colleague
at	IN	at
unra	NN	unra
the	DT	the
fact	NN	fact
that	WDT	that
unra	VVZ	unra
the	DT	the
largest	JJS	large
UN	NP	UN
agency	NN	agency
in	IN	in
Gaza	NP	Gaza
has	VHZ	have
already	RB	already
lost	VVN	lose
35	CD	@card@
Staff	NP	Staff
members	NNS	member
women	NNS	woman
and	CC	and
men	NNS	man
doctors	NNS	doctor
Engineers	NP	Engineers
nurses	VVZ	nurse
you	PP	you
name	VV	name
it	PP	it
it	PP	it
is	VBZ	be
devastating	JJ	devastating
it	PP	it
is	VBZ	be
shocking	JJ	shocking
and	CC	and
it	PP	it
is	VBZ	be
appalling	JJ	appalling
so	IN	so
we	PP	we
stand	VVP	stand
behind	IN	behind
the	DT	the
UN	NP	UN
secretary	NN	secretary
General's	NP	General's
call	NN	call
for	IN	for
a	DT	a
respect	NN	respect
for	IN	for
all	DT	all
civilians	NNS	civilian
those	DT	those
who	WP	who
have	VHP	have
nothing	NN	nothing
to	TO	to
do	VV	do
with	IN	with
this	DT	this
conflict	NN	conflict
including	VVG	include
Aid	NP	Aid
workers	NNS	worker
including	VVG	include
my	PP$	my
own	JJ	own
colleagues	NNS	colleague
at	IN	at
Ana	NP	Ana
now	RB	now
your	PP$	your
agency	NN	agency
spoke	VVD	speak
to	TO	to
the	DT	the
BBC	NP	BBC
only	RB	only
a	DT	a
couple	NN	couple
of	IN	of
hours	NNS	hour
ago	RB	ago
issued	VVD	issue
a	DT	a
warning	NN	warning
today	NN	today
about	IN	about
how	WRB	how
much	RB	much
longer	RBR	longer
you	PP	you
can	MD	can
keep	VV	keep
going	VVG	go
what	WP	what
are	VBP	be
you	PP	you
saying	VVG	say
be	VB	be
very	RB	very
clear	JJ	clear
about	IN	about
what	WP	what
that	DT	that
warning	NN	warning
is	VBZ	be
the	DT	the
warning	NN	warning
is	VBZ	be
if	IN	if
we	PP	we
do	VVP	do
not	RB	not
get	VV	get
more	JJR	more
fuel	NN	fuel
into	IN	into
Gaza	NP	Gaza
we	PP	we
as	RB	as
unra	VVZ	unra
the	DT	the
largest	JJS	large
Aid	NN	aid
agency	NN	agency
in	IN	in
Gaza	NP	Gaza
will	MD	will
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
carry	VV	carry
out	RP	out
any	DT	any
humanitarian	JJ	humanitarian
operations	NNS	operation
and	CC	and
that	DT	that
is	VBZ	be
because	IN	because
we	PP	we
need	VVP	need
the	DT	the
fuels	NNS	fuel
for	IN	for
our	PP$	our
trucks	NNS	truck
that	DT	that
uh	UH	uh
that	DT	that
whole	JJ	whole
conversation	NN	conversation
about	IN	about
convoys	NNS	convoy
coming	VVG	come
in	IN	in
from	IN	from
Rafa	NP	Rafa
we	PP	we
need	MD	need
fuel	VV	fuel
so	RB	so
so	RB	so
that	IN/that	that
our	PP$	our
trucks	NNS	truck
can	MD	can
pick	VV	pick
up	RP	up
that	DT	that
Aid	NN	aid
we	PP	we
need	MD	need
fuel	VV	fuel
for	IN	for
our	PP$	our
water	NN	water
desalination	NN	desalination
PL	NP	Pl
so	RB	so
that	IN/that	that
people	NNS	people
can	MD	can
have	VH	have
access	NN	access
to	TO	to
clean	VV	clean
water	NN	water
hospitals	NNS	hospital
need	VVP	need
fuel	NN	fuel
for	IN	for
life-saving	JJ	life-saving
machines	NNS	machine
without	IN	without
which	WDT	which
people	NNS	people
can	MD	can
die	VV	die
so	RB	so
fuel	NN	fuel
is	VBZ	be
a	DT	a
top	JJ	top
urgency	NN	urgency
my	PP$	my
colleagues	NNS	colleague
in	IN	in
Gaza	NP	Gaza
have	VHP	have
confirmed	VVN	confirm
that	IN/that	that
we	PP	we
have	VHP	have
enough	JJ	enough
fuel	NN	fuel
for	IN	for
about	RB	about
two	CD	two
to	TO	to
three	CD	three
days	NNS	day
after	IN	after
that	WDT	that
we	PP	we
will	MD	will
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
work	VV	work
neither	CC	neither
will	MD	will
the	DT	the
bakeries	NNS	bakery
that	WDT	that
need	VVP	need
fuel	NN	fuel
electricity	NN	electricity
neither	CC	neither
will	MD	will
the	DT	the
water	NN	water
salination	NN	salination
plant	NN	plant
or	CC	or
the	DT	the
life-saving	JJ	life-saving
machines	NNS	machine
and	CC	and
hospitals	NNS	hospital
just	RB	just
just	RB	just
be	VB	be
very	RB	very
clear	JJ	clear
because	IN	because
one	CD	one
of	IN	of
your	PP$	your
colleagues	NNS	colleague
said	VVD	say
you	PP	you
had	VHD	have
enough	JJ	enough
fuel	NN	fuel
to	TO	to
last	VV	last
till	IN	till
tomorrow	NN	tomorrow
night	NN	night
is	VBZ	be
that	IN/that	that
what	WP	what
you're	NN	you're
saying	VVG	say
and	CC	and
also	RB	also
just	RB	just
tell	VV	tell
me	PP	me
the	DT	the
consequences	NNS	consequence
if	IN	if
you	PP	you
get	VVP	get
no	RB	no
more	RBR	more
fuel	VV	fuel
the	DT	the
consequences	NNS	consequence
if	IN	if
you	PP	you
have	VHP	have
to	TO	to
Halt	NP	Halt
operations	NNS	operation
if	IN	if
we	PP	we
get	VVP	get
no	RB	no
fuel	VV	fuel
we	PP	we
cannot	MD	can
work	VV	work
and	CC	and
people	NNS	people
can	MD	can
die	VV	die
people	NNS	people
can	MD	can
die	VV	die
because	IN	because
there	EX	there
will	MD	will
will	MD	will
no	RB	no
longer	RBR	longer
be	VB	be
electricity	NN	electricity
in	IN	in
hospitals	NNS	hospital
for	IN	for
life-saving	JJ	life-saving
machines	NNS	machine
people	NNS	people
will	MD	will
no	RB	no
longer	RBR	longer
have	VH	have
access	NN	access
to	TO	to
bread	NN	bread
that	WDT	that
is	VBZ	be
almost	RB	almost
the	DT	the
only	JJ	only
thing	NN	thing
people	NNS	people
are	VBP	be
eating	VVG	eat
now	RB	now
and	CC	and
that	DT	that
is	VBZ	be
because	IN	because
Ona	NP	Ona
and	CC	and
the	DT	the
world	NN	world
food	NN	food
program	NN	program
have	VHP	have
been	VBN	be
Distributing	VVG	distribute
wheat	NN	wheat
flour	NN	flour
to	TO	to
bakeries	NNS	bakery
in	IN	in
those	DT	those
bakeries	NNS	bakery
in	IN	in
order	NN	order
to	TO	to
make	VV	make
bread	NN	bread
we	PP	we
need	VVP	need
electricity	NN	electricity
and	CC	and
water	NN	water
for	IN	for
the	DT	the
wheat	NN	wheat
the	DT	the
water	NN	water
we	PP	we
get	VVP	get
it	PP	it
through	IN	through
a	DT	a
water	NN	water
desalination	NN	desalination
plant	NN	plant
that	WDT	that
works	VVZ	work
through	IN	through
a	DT	a
generator	NN	generator
that	WDT	that
is	VBZ	be
powered	VVN	power
with	IN	with
the	DT	the
fuel	NN	fuel
so	RB	so
if	IN	if
we	PP	we
don't	VVD	don't
get	VV	get
the	DT	the
fuel	NN	fuel
there's	RB	there's
no	DT	no
water	NN	water
there	EX	there
is	VBZ	be
no	DT	no
baking	VVG	bake
Bakery	NN	bakery
and	CC	and
there	EX	there
is	VBZ	be
no	DT	no
machines	NNS	machine
in	IN	in
hospitals	NNS	hospital
and	CC	and
there	EX	there
will	MD	will
be	VB	be
no	DT	no
trucks	NNS	truck
to	TO	to
pick	VV	pick
up	RP	up
the	DT	the
humanitarian	JJ	humanitarian
supplies	NNS	supply
from	IN	from
the	DT	the
borders	NNS	border
let	VVP	let
me	PP	me
put	VV	put
to	TO	to
you	PP	you
what	WP	what
Israel	NP	Israel
their	PP$	their
army	NN	army
spokesman	NN	spokesman
has	VHZ	have
said	VVN	say
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
stockpiling	VVG	stockpile
fuel	NN	fuel
can	MD	can
you	PP	you
understand	VV	understand
the	DT	the
reasons	NNS	reason
why	WRB	why
fuel	NN	fuel
is	VBZ	be
not	RB	not
being	VBG	be
allowed	VVN	allow
in	IN	in
to	TO	to
you	PP	you
and	CC	and
others	NNS	other
that	IN/that	that
that	WDT	that
are	VBP	be
being	VBG	be
actually	RB	actually
given	VVN	give
and	CC	and
articulated	VVN	articulate
no	RB	no
I	PP	I
cannot	MD	can
understand	VV	understand
it	PP	it
as	IN	as
a	DT	a
representative	NN	representative
of	IN	of
a	DT	a
humanitarian	JJ	humanitarian
agency	NN	agency
we	PP	we
are	VBP	be
not	RB	not
responsible	JJ	responsible
for	IN	for
what	WP	what
a	DT	a
party	NN	party
at	IN	at
war	NN	war
is	VBZ	be
doing	VVG	do
we	PP	we
are	VBP	be
responsible	JJ	responsible
for	IN	for
enabling	VVG	enable
our	PP$	our
own	JJ	own
humanitarian	JJ	humanitarian
operations	NNS	operation
and	CC	and
therefore	RB	therefore
it	PP	it
is	VBZ	be
not	RB	not
okay	JJ	okay
to	TO	to
not	RB	not
allow	VV	allow
the	DT	the
UN	NP	UN
and	CC	and
the	DT	the
larger	JJR	large
humanitarian	JJ	humanitarian
Community	NP	Community
to	TO	to
have	VH	have
access	NN	access
to	TO	to
something	NN	something
as	IN	as
basic	JJ	basic
as	IN	as
fuel	NN	fuel
for	IN	for
our	PP$	our
cars	NNS	car
so	RB	so
so	RB	so
tell	VV	tell
me	PP	me
what	WP	what
conditions	NNS	condition
are	VBP	be
like	JJ	like
in	IN	in
the	DT	the
UN	NP	UN
hospitals	NNS	hospital
in	IN	in
the	DT	the
UN	NP	UN
schools	NNS	school
which	WDT	which
are	VBP	be
being	VBG	be
used	VVN	use
as	IN	as
shelters	NNS	shelter
and	CC	and
which	WDT	which
parts	NNS	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
currently	RB	currently
where	WRB	where
AID	NN	aid
is	VBZ	be
needed	VVN	need
the	DT	the
most	RBS	most
the	DT	the
North	NP	North
or	CC	or
the	DT	the
South	NP	South
Aid	NP	Aid
is	VBZ	be
needed	VVN	need
everywhere	RB	everywhere
people	NNS	people
are	VBP	be
displaced	VVN	displace
everywhere	RB	everywhere
there	EX	there
was	VBD	be
a	DT	a
huge	JJ	huge
wave	NN	wave
of	IN	of
displacement	NN	displacement
about	IN	about
a	DT	a
week	NN	week
ago	RB	ago
from	IN	from
the	DT	the
north	NN	north
of	IN	of
the	DT	the
strip	NN	strip
to	TO	to
the	DT	the
south	NN	south
of	IN	of
the	DT	the
strip	NN	strip
so	IN	so
there	EX	there
is	VBZ	be
overcrowding	NN	overcrowding
in	IN	in
unaa	NN	unaa
shelters	NNS	shelter
in	IN	in
the	DT	the
south	NN	south
of	IN	of
the	DT	the
