large	JJ	large
numbers	NNS	number
of	IN	of
Palestinians	NPS	Palestinians
have	VHP	have
continued	VVN	continue
to	TO	to
flee	VV	flee
from	IN	from
Han	NP	Han
Yunis	NP	Yunis
the	DT	the
second	JJ	second
biggest	JJS	big
city	NN	city
after	IN	after
an	DT	an
Israeli	JJ	Israeli
evacuation	NN	evacuation
order	NN	order
the	DT	the
UN	NP	UN
says	VVZ	say
that	IN/that	that
a	DT	a
quarter	NN	quarter
of	IN	of
a	DT	a
million	CD	million
people	NNS	people
have	VHP	have
been	VBN	be
warned	VVN	warn
to	TO	to
move	VV	move
from	IN	from
the	DT	the
east	JJ	east
of	IN	of
the	DT	the
city	NN	city
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
told	VVN	tell
to	TO	to
seek	VV	seek
refuge	NN	refuge
in	IN	in
a	DT	a
coastal	JJ	coastal
area	NN	area
where	WRB	where
there	EX	there
are	VBP	be
few	JJ	few
basic	JJ	basic
Services	NPS	Services
Reports	NPS	Reports
say	VVP	say
that	IN/that	that
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
killed	VVD	kill
12	CD	@card@
Palestinians	NPS	Palestinians
who	WP	who
just	RB	just
arrived	VVD	arrive
there	RB	there
despite	IN	despite
it	PP	it
being	VBG	be
designated	VVN	designate
as	IN	as
a	DT	a
safe	JJ	safe
Zone	NP	Zone
by	IN	by
Israel	NP	Israel
well	RB	well
earlier	RBR	earlier
I	PP	I
spoke	VVD	speak
to	TO	to
our	PP$	our
Middle	NP	Middle
East	NP	East
Corr	NP	Corr
respondent	NN	respondent
yolan	NP	yolan
Nell	NP	Nell
who	WP	who
gave	VVD	give
us	PP	us
this	DT	this
update	NN	update
so	IN	so
this	DT	this
is	VBZ	be
the	DT	the
latest	JJS	late
evacuation	NN	evacuation
order	NN	order
from	IN	from
the	DT	the
Israeli	JJ	Israeli
military	NN	military
it	PP	it
was	VBD	be
issued	VVN	issue
on	IN	on
Monday	NP	Monday
evening	NN	evening
and	CC	and
very	RB	very
quickly	RB	quickly
we	PP	we
saw	VVD	see
thousands	NNS	thousand
of	IN	of
people	NNS	people
uh	UH	uh
fleeing	VVG	flee
uh	UH	uh
towards	IN	towards
this	DT	this
Coastal	NP	Coastal
area	NN	area
um	NNS	um
over	RB	over
in	IN	in
in	IN	in
the	DT	the
west	NN	west
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
um	VVZ	um
those	DT	those
scenes	NNS	scene
have	VHP	have
been	VBN	be
continuing	VVG	continue
panicky	JJ	panicky
chaotic	JJ	chaotic
people	NNS	people
who	WP	who
'	POS	'
ve	RB	ve
been	VBN	be
displaced	VVN	displace
already	RB	already
multiple	JJ	multiple
times	NNS	time
and	CC	and
the	DT	the
reason	NN	reason
just	RB	just
so	RB	so
many	JJ	many
people	NNS	people
are	VBP	be
affected	VVN	affect
in	IN	in
this	DT	this
part	NN	part
of	IN	of
Kanan	NP	Kanan
yunes	NP	Yunes
is	VBZ	be
because	IN	because
the	DT	the
city	NN	city
although	IN	although
it	PP	it
had	VHD	have
been	VBN	be
largely	RB	largely
destroyed	VVN	destroy
by	IN	by
an	DT	an
Israeli	JJ	Israeli
military	JJ	military
offensive	NN	offensive
that	WDT	that
ended	VVD	end
uh	UH	uh
back	RB	back
in	IN	in
April	NP	April
you	PP	you
'	POS	'
ll	NNS	ll
remember	VVP	remember
that	IN/that	that
it	PP	it
was	VBD	be
seen	VVN	see
as	IN	as
being	VBG	be
a	DT	a
stronghold	NN	stronghold
of	IN	of
Hamas	JJ	Hamas
well	NN	well
people	NNS	people
had	VHD	have
begun	VVN	begin
to	TO	to
return	VV	return
to	TO	to
their	PP$	their
homes	NNS	home
there	RB	there
even	RB	even
if	IN	if
they	PP	they
were	VBD	be
camping	VVG	camp
out	RP	out
in	IN	in
the	DT	the
rubble	NN	rubble
and	CC	and
