thanks	NNS	thanks
nafisa	NN	nafisa
now	RB	now
if	IN	if
you	PP	you
'	POS	'
re	NN	re
just	RB	just
joining	VVG	join
us	PP	us
here	RB	here
on	IN	on
BBC	NP	BBC
News	NP	News
just	RB	just
to	TO	to
bring	VV	bring
you	PP	you
up	RP	up
to	TO	to
speed	VV	speed
with	IN	with
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
happening	VVG	happen
Israel	NP	Israel
has	VHZ	have
confirmed	VVN	confirm
that	IN/that	that
it	PP	it
has	VHZ	have
carried	VVN	carry
out	RP	out
a	DT	a
targeted	JJ	targeted
strike	NN	strike
Israel	NP	Israel
'	POS	'
s	NN	S
Army	NN	army
says	VVZ	say
it	PP	it
has	VHZ	have
carried	VVN	carry
out	RP	out
a	DT	a
strike	NN	strike
in	IN	in
Beirut	NP	Beirut
targeting	VVG	target
the	DT	the
Hezbollah	NP	Hezbollah
Commander	NP	Commander
it	PP	it
says	VVZ	say
was	VBD	be
responsible	JJ	responsible
for	IN	for
the	DT	the
attack	NN	attack
on	IN	on
the	DT	the
Golden	NP	Golden
Heights	NP	Heights
now	RB	now
we	PP	we
are	VBP	be
joined	VVN	join
by	IN	by
Hugo	NP	Hugo
BGA	NP	BGA
who	WP	who
is	VBZ	be
in	IN	in
southern	JJ	southern
Lebanon	NP	Lebanon
Mark	NP	Mark
loen	NP	loen
in	IN	in
Jerusalem	NP	Jerusalem
as	RB	as
well	RB	well
as	IN	as
nafisa	NN	nafisa
conad	NN	conad
who	WP	who
is	VBZ	be
joining	VVG	join
us	PP	us
from	IN	from
Beirut	NP	Beirut
itself	PP	itself
Hugo	NP	Hugo
get	VV	get
us	PP	us
up	RP	up
to	TO	to
speed	VV	speed
with	IN	with
with	IN	with
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
happening	VVG	happen
we	PP	we
just	RB	just
mentioned	VVD	mention
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
confirmed	VVN	confirm
that	IN/that	that
it	PP	it
carried	VVD	carry
out	RP	out
this	DT	this
targeted	JJ	targeted
uh	UH	uh
strike	NN	strike
into	IN	into
beout	NN	beout
do	VVP	do
we	PP	we
know	VVP	know
yet	RB	yet
casualties	NNS	casualty
or	CC	or
how	WRB	how
severe	JJ	severe
the	DT	the
the	DT	the
blast	NN	blast
was	VBD	be
yeah	RB	yeah
we	PP	we
are	VBP	be
seeing	VVG	see
some	DT	some
pictures	NNS	picture
of	IN	of
uh	UH	uh
of	IN	of
the	DT	the
destruction	NN	destruction
uh	UH	uh
at	IN	at
least	JJS	least
one	CD	one
building	NN	building
partially	RB	partially
collapsed	VVD	collapse
uh	UH	uh
in	IN	in
that	DT	that
area	NN	area
where	WRB	where
this	DT	this
attack	NN	attack
happened	VVD	happen
uh	UH	uh
in	IN	in
the	DT	the
southern	JJ	southern
suburbs	NNS	suburb
of	IN	of
Beirut	NP	Beirut
again	RB	again
uh	UH	uh
the	DT	the
significance	NN	significance
of	IN	of
this	DT	this
attack	NN	attack
is	VBZ	be
that	IN/that	that
this	DT	this
happened	VVN	happen
in	IN	in
an	DT	an
area	NN	area
that	WDT	that
is	VBZ	be
controlled	VVN	control
by	IN	by
Hezbollah	NP	Hezbollah
in	IN	in
the	DT	the
capital	JJ	capital
uh	UH	uh
beut	NN	beut
so	IN	so
Hezbollah	NP	Hezbollah
may	MD	may
see	VV	see
this	DT	this
Israeli	JJ	Israeli
attack	NN	attack
as	IN	as
a	DT	a
provocation	NN	provocation
as	IN	as
an	DT	an
escalation	NN	escalation
uh	UH	uh
in	IN	in
the	DT	the
hostilities	NNS	hostility
and	CC	and
may	MD	may
decide	VV	decide
that	DT	that
uh	UH	uh
they	PP	they
have	VHP	have
no	DT	no
other	JJ	other
option	NN	option
than	IN	than
uh	UH	uh
retaliate	VV	retaliate
so	IN	so
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
uh	UH	uh
the	DT	the
big	JJ	big
concern	NN	concern
here	RB	here
that	IN/that	that
this	DT	this
could	MD	could
lead	VV	lead
to	TO	to
another	DT	another
escalation	NN	escalation
in	IN	in
the	DT	the
hostilities	NNS	hostility
between	IN	between
Hezbollah	NP	Hezbollah
and	CC	and
Israel	NP	Israel
there	RB	there
have	VHP	have
been	VBN	be
reports	NNS	report
here	RB	here
in	IN	in
Lebanese	JJ	Lebanese
media	NNS	medium
suggesting	VVG	suggest
that	IN/that	that
at	IN	at
least	JJS	least
one	CD	one
person	NN	person
was	VBD	be
killed	VVN	kill
uh	UH	uh
several	JJ	several
people	NNS	people
have	VHP	have
been	VBN	be
uh	UH	uh
injured	VVN	injure
as	IN	as
a	DT	a
result	NN	result
of	IN	of
this	DT	this
attack	NN	attack
this	DT	this
is	VBZ	be
a	DT	a
densely	RB	densely
populated	VVD	populate
uh	UH	uh
area	NN	area
of	IN	of
Beirut	NP	Beirut
and	CC	and
this	DT	this
happened	VVD	happen
about	IN	about
an	DT	an
hour	NN	hour
ago	RB	ago
just	RB	just
after	IN	after
halfast	NN	halfast
7	CD	@card@
uh	UH	uh
in	IN	in
the	DT	the
evening	NN	evening
here	IN	here
uh	UH	uh
in	IN	in
Lebanon	NP	Lebanon
and	CC	and
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
have	VHP	have
confirmed	VVN	confirm
that	IN/that	that
they	PP	they
were	VBD	be
behind	RB	behind
this	DT	this
attack	VV	attack
