<video_id>Xl78GbeuIzs</video_id>	JJ	<video_id>Xl78GbeuIzs</video_id>
<video_title>US	NN	<video_title>US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
stresses	VVZ	stress
importance	NN	importance
of	IN	of
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\US	NP	<thumbnail_path>data/en_BBCNews\US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
stresses	VVZ	stress
importance	NN	importance
of	IN	of
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240822</publish_date>	JJ	<publish_date>20240822</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
turn	VVP	turn
our	PP$	our
attention	NN	attention
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
now	RB	now
during	IN	during
a	DT	a
phone	NN	phone
call	NN	call
with	IN	with
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
President	NP	President
Biden	NP	Biden
stressed	VVD	stress
the	DT	the
urgent	JJ	urgent
need	NN	need
to	TO	to
reach	VV	reach
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
hostage	NN	hostage
deal	NN	deal
in	IN	in
Gaza	NP	Gaza
the	DT	the
White	NP	White
House	NP	House
said	VVD	say
they	PP	they
also	RB	also
discussed	VVN	discuss
us	PP	us
efforts	NNS	effort
to	TO	to
support	VV	support
Israel's	NP	Israel's
defense	NN	defense
against	IN	against
what	WP	what
it	PP	it
called	VVD	call
all	DT	all
threats	NNS	threat
from	IN	from
Iran	NP	Iran
and	CC	and
proxy	JJ	proxy
terrorist	JJ	terrorist
groups	NNS	group
including	VVG	include
Hamas	JJ	Hamas
let's	NNS	let's
speak	VVP	speak
to	TO	to
uh	UH	uh
my	PP$	my
colleague	NN	colleague
uh	UH	uh
s	NN	S
shahata	NNS	shahata
from	IN	from
BBC	NP	BBC
Arabic	NP	Arabic
who's	NNS	who's
in	IN	in
Cairo	NP	Cairo
side	NN	side
we	PP	we
were	VBD	be
led	VVN	lead
to	TO	to
believe	VV	believe
last	JJ	last
week	NN	week
after	IN	after
the	DT	the
talks	NNS	talk
Drew	NP	Drew
to	TO	to
a	DT	a
close	NN	close
in	IN	in
K	NP	K
that	IN/that	that
they	PP	they
were	VBD	be
due	JJ	due
to	TO	to
start	VV	start
in	IN	in
Cairo	NP	Cairo
where	WRB	where
you	PP	you
are	VBP	be
what's	NNS	what's
happened	VVN	happen
uh	UH	uh
no	UH	no
news	NN	news
about	IN	about
any	DT	any
uh	UH	uh
resumption	NN	resumption
of	IN	of
the	DT	the
talks	VVZ	talk
uh	UH	uh
because	RB	because
uh	UH	uh
some	DT	some
of	IN	of
the	DT	the
Hamas	JJ	Hamas
members	NNS	member
of	IN	of
the	DT	the
political	JJ	political
Bureau	NP	Bureau
of	IN	of
Hamas	VVG	Hamas
uh	UH	uh
said	VVD	say
that	IN/that	that
