let	NN	let
'	POS	'
s	NNS	s
go	VVP	go
live	VV	live
to	TO	to
Jerusalem	NP	Jerusalem
straight	RB	straight
to	TO	to
our	PP$	our
diplomatic	JJ	diplomatic
correspondent	NN	correspondent
Paul	NP	Paul
Adams	NP	Adams
and	CC	and
Paul	NP	Paul
just	RB	just
quickly	RB	quickly
first	JJ	first
of	IN	of
all	DT	all
as	IN	as
we	PP	we
shift	VVP	shift
phases	NNS	phase
according	VVG	accord
to	TO	to
Israel	NP	Israel
'	POS	'
s	VVG	s
military	JJ	military
your	PP$	your
assessment	NN	assessment
of	IN	of
what	WP	what
we	PP	we
were	VBD	be
just	RB	just
listening	VVG	listen
to	TO	to
well	RB	well
I	PP	I
think	VVP	think
that	DT	that
note	NN	note
of	IN	of
urgency	NN	urgency
was	VBD	be
was	VBD	be
very	RB	very
very	RB	very
marked	JJ	marked
wasn	NN	wasn
'	POS	'
t	NN	t
it	PP	it
Matthew	NP	Matthew
uh	UH	uh
this	DT	this
was	VBD	be
I	PP	I
think	VVP	think
the	DT	the
sternest	JJS	stern
strongest	JJS	strong
most	RBS	most
perhaps	RB	perhaps
impassioned	JJ	impassioned
warning	NN	warning
from	IN	from
the	DT	the
Israelis	NNS	Israeli
that	IN/that	that
we	PP	we
have	VHP	have
seen	VVN	see
so	RB	so
far	RB	far
and	CC	and
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
also	RB	also
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
they	PP	they
have	VHP	have
said	VVN	say
that	IN/that	that
when	WRB	when
this	DT	this
is	VBZ	be
over	IN	over
you	PP	you
can	MD	can
go	VV	go
back	VV	back
uh	UH	uh
this	DT	this
is	VBZ	be
obviously	RB	obviously
addressing	VVG	address
the	DT	the
fears	NNS	fear
that	IN/that	that
many	JJ	many
many	JJ	many
Palestinians	NPS	Palestinians
have	VHP	have
which	WDT	which
is	VBZ	be
that	IN/that	that
if	IN	if
they	PP	they
leave	VVP	leave
their	PP$	their
homes	NNS	home
they	PP	they
'	POS	'
re	NN	re
never	RB	never
going	VVG	go
to	TO	to
go	VV	go
back	NN	back
to	TO	to
to	TO	to
them	PP	them
because	IN	because
the	DT	the
homes	NNS	home
won	VVD	win
'	''	'
t	NN	t
be	VB	be
there	RB	there
all	RB	all
somehow	RB	somehow
they	PP	they
will	MD	will
be	VB	be
driven	VVN	drive
uh	UH	uh
further	RBR	further
maybe	RB	maybe
even	RB	even
South	JJ	South
into	IN	into
Egypt	NP	Egypt
so	IN	so
I	PP	I
think	VVP	think
that	WDT	that
was	VBD	be
quite	RB	quite
a	DT	a
not	RB	not
noticeable	JJ	noticeable
addition	NN	addition
to	TO	to
uh	UH	uh
his	PP$	his
remarks	VVZ	remark
uh	UH	uh
as	RB	as
for	IN	for
how	WRB	how
long	RB	long
this	DT	this
latest	JJS	late
operation	NN	operation
is	VBZ	be
going	VVG	go
to	TO	to
go	VV	go
on	IN	on
well	RB	well
the	DT	the
defense	NN	defense
minister	NN	minister
has	VHZ	have
said	VVN	say
the	DT	the
oper	JJR	ope
operation	NN	operation
will	MD	will
continue	VV	continue
until	IN	until
further	JJR	further
notice	NN	notice
and	CC	and
he	PP	he
has	VHZ	have
referred	VVN	refer
to	TO	to
the	DT	the
fact	NN	fact
that	IN/that	that
we	PP	we
have	VHP	have
accomplished	VVN	accomplish
a	DT	a
phase	NN	phase
in	IN	in
the	DT	the
war	NN	war
so	RB	so
clearly	RB	clearly
the	DT	the
Israelis	NPS	Israelis
feel	VVP	feel
that	IN/that	that
they	PP	they
are	VBP	be
doing	VVG	do
something	NN	something
slightly	RB	slightly
different	JJ	different
now	RB	now
uh	UH	uh
whether	IN	whether
this	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
is	VBZ	be
going	VVG	go
to	TO	to
continue	VV	continue
in	IN	in
the	DT	the
coming	VVG	come
days	NNS	day
or	CC	or
we	PP	we
we	PP	we
don	VVP	don
'	''	'
t	NN	t
know	VVP	know
or	CC	or
whether	IN	whether
they	PP	they
feel	VVP	feel
they	PP	they
have	VHP	have
somehow	RB	somehow
accomplished	VVN	accomplish
something	NN	something
we	PP	we
also	RB	also
don	VVP	don
'	POS	'
t	NN	t
know	VVP	know
that	IN/that	that
the	DT	the
attack	NN	attack
by	IN	by
Hass	NP	Hass
was	VBD	be
unprecedented	JJ	unprecedented
the	DT	the
response	NN	response
is	VBZ	be
unprecedented	JJ	unprecedented
but	CC	but
also	RB	also
the	DT	the
situ	NN	situ
with	IN	with
the	DT	the
hostages	NNS	hostage
unprecedented	JJ	unprecedented
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
really	RB	really
interesting	JJ	interesting
Matthew	NP	Matthew
the	DT	the
pressure	NN	pressure
the	DT	the
sense	NN	sense
of	IN	of
pressure	NN	pressure
on	IN	on
the	DT	the
government	NN	government
is	VBZ	be
mounting	VVG	mount
day	NN	day
by	IN	by
day	NN	day
it	PP	it
'	POS	'
s	NN	S
really	RB	really
really	RB	really
palpable	JJ	palpable
there	RB	there
'	''	'
s	VVG	s
another	DT	another
demonstration	NN	demonstration
going	NN	going
on	IN	on
uh	UH	uh
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
today	NN	today
as	IN	as
you	PP	you
'	POS	'
ve	NN	ve
already	RB	already
mentioned	VVD	mention
the	DT	the
uh	UH	uh
relatives	NNS	relative
are	VBP	be
demanding	VVG	demand
uh	UH	uh
to	TO	to
meet	VV	meet
with	IN	with
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
and	CC	and
the	DT	the
defense	NN	defense
minister	NN	minister
that	WDT	that
meeting	NN	meeting
we	PP	we
believe	VVP	believe
is	VBZ	be
going	VVG	go
to	TO	to
take	VV	take
place	NN	place
later	RBR	later
this	DT	this
evening	NN	evening
and	CC	and
if	IN	if
I	PP	I
can	MD	can
just	RB	just
read	VV	read
you	PP	you
for	IN	for
from	IN	from
a	DT	a
the	DT	the
statement	NN	statement
put	VVD	put
out	RP	out
by	IN	by
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
hostages	NNS	hostage
and	CC	and
missing	VVG	miss
families	NNS	family
we	PP	we
are	VBP	be
tired	VVN	tire
of	IN	of
slogans	NNS	slogan
they	PP	they
say	VVP	say
our	PP$	our
Lov	NP	Lov
ones	NNS	one
time	NN	time
is	VBZ	be
running	VVG	run
out	RP	out
and	CC	and
they	PP	they
have	VHP	have
been	VBN	be
held	VVN	hold
in	IN	in
appalling	JJ	appalling
conditions	NNS	condition
underground	JJ	underground
in	IN	in
the	DT	the
dark	NN	dark
for	IN	for
3	CD	@card@
weeks	NNS	week
some	DT	some
wounded	NN	wounded
and	CC	and
every	DT	every
additional	JJ	additional
hour	NN	hour
could	MD	could
be	VB	be
a	DT	a
death	NN	death
sentence	NN	sentence
we	PP	we
expect	VVP	expect
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
and	CC	and
defense	NN	defense
minister	NN	minister
to	TO	to
arrive	VV	arrive
with	IN	with
clear	JJ	clear
answers	NNS	answer
on	IN	on
how	WRB	how
to	TO	to
bring	VV	bring
the	DT	the
hostages	NNS	hostage
home	NN	home
that	RB	that
'	POS	'
s	NN	S
those	DT	those
are	VBP	be
really	RB	really
strong	JJ	strong
words	NNS	word
and	CC	and
I	PP	I
don	VVP	don
'	''	'
t	NN	t
think	VVP	think
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
can	MD	can
ignore	VV	ignore
that	IN/that	that
this	DT	this
sense	NN	sense
that	IN/that	that
both	DT	both
among	IN	among
Israelis	NNS	Israeli
but	CC	but
also	RB	also
among	IN	among
a	DT	a
number	NN	number
of	IN	of
foreign	JJ	foreign
governments	NNS	government
including	VVG	include
the	DT	the
United	NP	United
States	NP	States
they	PP	they
they	PP	they
really	RB	really
really	RB	really
want	VV	want
the	DT	the
Israeli	JJ	Israeli
government	NN	government
to	TO	to
do	VV	do
whatever	WDT	whatever
it	PP	it
takes	VVZ	take
to	TO	to
bring	VV	bring
hostages	NNS	hostage
home	RB	home
and	CC	and
there	EX	there
are	VBP	be
some	DT	some
people	NNS	people
with	IN	with
long	JJ	long
experience	NN	experience
of	IN	of
dealing	VVG	deal
with	IN	with
Gaza	NP	Gaza
who	WP	who
say	VVP	say
we	PP	we
should	MD	should
be	VB	be
pausing	VVG	pause
now	RB	now
we	PP	we
should	MD	should
stop	VV	stop
the	DT	the
fighting	NN	fighting
now	RB	now
to	TO	to
allow	VV	allow
an	DT	an
opportunity	NN	opportunity
to	TO	to
get	VV	get
the	DT	the
hostages	NNS	hostage
out	IN	out
that	DT	that
doesn	NN	doesn
'	POS	'
t	NN	t
mean	VV	mean
we	PP	we
won	NN	won
'	POS	'
t	NN	t
return	NN	return
to	TO	to
the	DT	the
fight	VV	fight
uh	UH	uh
eventually	RB	eventually
but	CC	but
just	RB	just
for	IN	for
now	RB	now
that	WDT	that
should	MD	should
be	VB	be
priority	NN	priority
number	NN	number
one	CD	one
Paul	NP	Paul
Adams	NP	Adams
there	RB	there
in	IN	in
Jerusalem	NP	Jerusalem
thanks	NNS	thanks
very	RB	very
much	RB	much
well	RB	well
the	DT	the
bombardment	NN	bombardment
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
continuing	VVG	continue
I	PP	I
was	VBD	be
just	RB	just
looking	VVG	look
out	RP	out
of	IN	of
the	DT	the
corner	NN	corner
of	IN	of
my	PP$	my
eye	NN	eye
another	DT	another
plume	NN	plume
of	IN	of
smoke	NN	smoke
there	RB	there
and	CC	and
we	PP	we
'	POS	'
ve	JJ	ve
seen	VVN	see
that	IN/that	that
in	IN	in
the	DT	the
intensification	NN	intensification
of	IN	of
this	DT	this
over	IN	over
the	DT	the
last	JJ	last
18	CD	@card@
24	CD	@card@
hours	NNS	hour
that	IN/that	that
the	DT	the
scene	NN	scene
of	IN	of
the	DT	the
skyline	NN	skyline
there	RB	there
you	PP	you
see	VVP	see
the	DT	the
clouds	NNS	cloud
of	IN	of
smoke	VV	smoke
uh	UH	uh
they	PP	they
have	VHP	have
been	VBN	be
throughout	IN	throughout
the	DT	the
course	NN	course
of	IN	of
the	DT	the
last	JJ	last
little	JJ	little
while	NN	while
as	IN	as
Israel	NP	Israel
moves	NNS	move
phases	NNS	phase
and	CC	and
our	PP$	our
correspondent	NN	correspondent
telling	VVG	tell
us	PP	us
just	RB	just
what	WP	what
that	DT	that
was	VBD	be
like	IN	like
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
of	IN	of
course	NN	course
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
Communications	NP	Communications
cut	VVD	cut
off	RP	off
but	CC	but
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
finally	RB	finally
reach	VV	reach
our	PP$	our
correspondent	NN	correspondent
rushi	NP	rushi
Abu	NP	Abu
Alou	NP	Alou
in	IN	in
Gaza	NP	Gaza
a	DT	a
little	RB	little
earlier	RBR	earlier
he	PP	he
used	VVD	use
a	DT	a
satellite	JJ	satellite
telephone	NN	telephone
to	TO	to
communicate	VV	communicate
with	IN	with
us	PP	us
have	VHP	have
a	DT	a
listen	NN	listen
to	TO	to
this	DT	this
it	PP	it
'	POS	'
s	NN	S
about	IN	about
13	CD	@card@
14	CD	@card@
hours	NNS	hour
Gaza	NP	Gaza
without	IN	without
communication	NN	communication
without	IN	without
internet	NN	Internet
and	CC	and
without	IN	without
mobile	JJ	mobile
signal	NN	signal
the	DT	the
Palestinian	JJ	Palestinian
Health	NP	Health
Minister	NP	Minister
just	RB	just
issue	VV	issue
a	DT	a
statement	NN	statement
saying	VVG	say
that	IN/that	that
about	RB	about
400	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
overnight	RB	overnight
in	IN	in
the	DT	the
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
in	IN	in
the	DT	the
north	NN	north
Israel	NP	Israel
said	VVD	say
that	IN/that	that
they	PP	they
have	VHP	have
expand	VV	expand
their	PP$	their
operation	NN	operation
especially	RB	especially
in	IN	in
Gaza	NP	Gaza
City	NP	City
and	CC	and
the	DT	the
north	NN	north
here	RB	here
in	IN	in
canun	NNS	canun
also	RB	also
there	EX	there
was	VBD	be
many	JJ	many
air	NN	air
strikes	NNS	strike
overnight	JJ	overnight
with	IN	with
about	RB	about
20	CD	@card@
people	NNS	people
killed	VVN	kill
about	IN	about
15	CD	@card@
targets	NNS	target
around	IN	around
this	DT	this
area	NN	area
and	CC	and
around	IN	around
the	DT	the
middle	JJ	middle
camps	NNS	camp
people	NNS	people
are	VBP	be
really	RB	really
worried	VVN	worry
since	IN	since
the	DT	the
Israel	NP	Israel
is	VBZ	be
cutting	VVG	cut
all	PDT	all
the	DT	the
communication	NN	communication
uh	UH	uh
people	NNS	people
can	MD	can
'	''	'
t	NN	t
communicate	VV	communicate
with	IN	with
their	PP$	their
relative	NN	relative
with	IN	with
their	PP$	their
friends	NNS	friend
in	IN	in
Gaza	NP	Gaza
City	NP	City
and	CC	and
the	DT	the
North	NP	North
and	CC	and
people	NNS	people
were	VBD	be
really	RB	really
in	IN	in
panic	NN	panic
I	PP	I
saw	VVD	see
people	NNS	people
in	IN	in
the	DT	the
streets	NNS	street
today	NN	today
less	JJR	less
people	NNS	people
in	IN	in
the	DT	the
streets	NNS	street
than	IN	than
yesterday	NN	yesterday
people	NNS	people
are	VBP	be
afraid	JJ	afraid
of	IN	of
the	DT	the
next	JJ	next
stage	NN	stage
of	IN	of
the	DT	the
operation	NN	operation
they	PP	they
believe	VVP	believe
that	IN/that	that
cutting	VVG	cut
the	DT	the
communication	NN	communication
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
ever	RB	ever
since	IN	since
Hamas	NP	Hamas
took	VVD	take
over	IN	over
Gaza	NP	Gaza
and	CC	and
four	CD	four
Wars	NNS	war
before	IN	before
uh	UH	uh
we	PP	we
haven	VVP	haven
'	''	'
t	NN	t
seen	VVN	see
Israel	NP	Israel
completely	RB	completely
cutting	VVG	cut
the	DT	the
communication	NN	communication
with	IN	with
Gaza	NP	Gaza
uh	UH	uh
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
is	VBZ	be
also	RB	also
getting	VVG	get
worse	JJR	bad
and	CC	and
wor	NN	wor
with	IN	with
Israel	NP	Israel
not	RB	not
allowing	VVG	allow
food	NN	food
and	CC	and
medicine	NN	medicine
I	NP	I
'	POS	'
ve	NNS	ve
have	VHP	have
seen	VVN	see
people	NNS	people
struggling	VVG	struggle
to	TO	to
find	VV	find
water	NN	water
here	RB	here
in	IN	in
the	DT	the
hospital	NN	hospital
people	NNS	people
are	VBP	be
struggling	VVG	struggle
to	TO	to
find	VV	find
fuel	NN	fuel
to	TO	to
run	VV	run
the	DT	the
generator	NN	generator
and	CC	and
work	NN	work
in	IN	in
the	DT	the
in	IN	in
the	DT	the
hospital	NN	hospital
the	DT	the
