<video_id>DLYQ7Kk36zc</video_id>	JJ	<video_id>DLYQ7Kk36zc</video_id>
<video_title>More	NN	<video_title>More
than	IN	than
100	CD	@card@
Palestinians	NNS	Palestinian
buried	VVN	bury
in	IN	in
mass	JJ	mass
grave	NN	grave
in	IN	in
Gaza’s	NP	Gaza’s
Khan	NP	Khan
Younis</video_title>	NP	Younis</video_title>
<thumbnail_path>data/en_AJ\More	NP	<thumbnail_path>data/en_AJ\More
than	IN	than
100	CD	@card@
Palestinians	NNS	Palestinian
buried	VVN	bury
in	IN	in
mass	JJ	mass
grave	NN	grave
in	IN	in
Gaza’s	NP	Gaza’s
Khan	NP	Khan
Younis.jpg</thumbnail_path>	NP	Younis.jpg</thumbnail_path>
<publish_date>20231122</publish_date>	NN	<publish_date>20231122</publish_date>
<doc>	NN	<doc>
the	DT	the
bodies	NNS	body
of	IN	of
more	JJR	more
than	IN	than
100	CD	@card@
Palestinians	NPS	Palestinians
who	WP	who
died	VVD	die
at	IN	at
elifa	NP	elifa
and	CC	and
B	NP	B
hanon	NN	hanon
hospitals	NNS	hospital
have	VHP	have
been	VBN	be
buried	VVN	bury
in	IN	in
a	DT	a
mass	JJ	mass
grave	NN	grave
in	IN	in
kanun	NN	kanun
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
the	DT	the
bodies	NNS	body
have	VHP	have
been	VBN	be
stuck	VVN	stick
at	IN	at
the	DT	the
hospitals	NNS	hospital
for	IN	for
several	JJ	several
days	NNS	day
as	IN	as
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
refused	VVD	refuse
to	TO	to
allow	VV	allow
them	PP	them
to	TO	to
be	VB	be
moved	VVN	move
the	DT	the
Gaza	NP	Gaza
Health	NP	Health
Ministry	NP	Ministry
says	VVZ	say
14,1	CD	@card@
128	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
attacks	NNS	attack
yumna	NN	yumna
has	VHZ	have
more	JJR	more
from	IN	from
Khan	NP	Khan
yunes	NNS	yunes
what	WP	what
you	PP	you
see	VVP	see
behind	IN	behind
me	PP	me
here	RB	here
is	VBZ	be
a	DT	a
mass	JJ	mass
grave	NN	grave
that	WDT	that
is	VBZ	be
being	VBG	be
d	SYM	d
inun	NN	inun
is	VBZ	be
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
for	IN	for
110	CD	@card@
Palestinians	NPS	Palestinians
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
attacks	NNS	attack
these	DT	these
Palestinians	NPS	Palestinians
bodies	NNS	body
have	VHP	have
come	VVN	come
from	IN	from
a	DT	a
shifa	NN	shifa
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
City	NP	City
where	WRB	where
they	PP	they
were	VBD	be
held	VVN	hold
but	CC	but
their	PP$	their
bodies	NNS	body
have	VHP	have
decomposed	VVN	decompose
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
electricity	NN	electricity
and	CC	and
fuel	NN	fuel
to	TO	to
operate	VV	operate
the	DT	the
morgs	NNS	morgs
at	IN	at
aifa	NN	aifa
men	NNS	man
women	NNS	woman
and	CC	and
children	NNS	child
all	RB	all
together	RB	together
buried	VVN	bury
in	IN	in
this	DT	this
Mass	NP	Mass
grave	NN	grave
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
enough	JJ	enough
Graves	NP	Graves
and	CC	and
these	DT	these
Palestinian	JJ	Palestinian
bodies	NNS	body
here	RB	here
the	DT	the
doctors	NNS	doctor
tell	VVP	tell
us	PP	us
are	VBP	be
without	IN	without
known	VVN	know
identities	NNS	identity
they	PP	they
have	VHP	have
come	VVN	come
in	IN	in
this	DT	this
container	NN	container
being	VBG	be
transferred	VVN	transfer
to	TO	to
the	DT	the
southern	JJ	southern
strip	NN	strip
where	WRB	where
they	PP	they
can	MD	can
all	RB	all
be	VB	be
at	IN	at
last	JJ	last
buried	VVN	bury
after	IN	after
being	VBG	be
held	VVN	hold
for	IN	for
so	RB	so
long	JJ	long
in	IN	in
the	DT	the
premises	NNS	premise
of	IN	of
a	DT	a
hospital	NN	hospital
this	DT	this
Mass	NP	Mass
grave	NN	grave
contains	VVZ	contain
110	CD	@card@
male	JJ	male
and	CC	and
female	JJ	female
MERS	NNS	MERS
they	PP	they
have	VHP	have
started	VVN	start
decomposing	VVG	decompose
because	IN	because
their	PP$	their
bodies	NNS	body
were	VBD	be
not	RB	not
kept	VVN	keep
in	IN	in
cold	JJ	cold
conditions	NNS	condition
and	CC	and
now	RB	now
they	PP	they
are	VBP	be
being	VBG	be
buried	VVN	bury
in	IN	in
this	DT	this
m	NN	m
grave	NN	grave
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
different	JJ	different
Israeli	JJ	Israeli
attacks	NNS	attack
they	PP	they
haven't	VVD	haven't
even	RB	even
found	VVN	find
the	DT	the
honor	NN	honor
of	IN	of
being	VBG	be
buried	VVN	bury
in	IN	in
a	DT	a
proper	JJ	proper
grave	NN	grave
on	IN	on
their	PP$	their
own	JJ	own
or	CC	or
their	PP$	their
families	NNS	family
to	TO	to
pray	VV	pray
for	IN	for
their	PP$	their
peace	NN	peace
elazer	NN	elazer
kanun	NN	kanun
in	IN	in
the	DT	the
sou	NN	sou
Gaza	NP	Gaza
Strip	NP	Strip
</doc>	NN	</doc>
