<video_id>SR6SzG-U2zk</video_id>	JJ	<video_id>SR6SzG-U2zk</video_id>
<video_title>UNRWA	NN	<video_title>UNRWA
chief:	NN	chief:
More	JJR	more
children	NNS	child
have	VHP	have
been	VBN	be
reported	VVN	report
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
than	IN	than
four	CD	four
years	NNS	year
of	IN	of
war	NN	war
worldwide</video_title>	NN	worldwide</video_title>
<thumbnail_path>data/en_AJ\UNRWA	VVZ	<thumbnail_path>data/en_AJ\UNRWA
chief	JJ	chief
More	JJR	more
children	NNS	child
have	VHP	have
been	VBN	be
reported	VVN	report
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
than	IN	than
four	CD	four
years	NNS	year
of	IN	of
war	NN	war
worldwide.jpg</thumbnail_path>	NN	worldwide.jpg</thumbnail_path>
<publish_date>20240312</publish_date>	NN	<publish_date>20240312</publish_date>
<doc>	NN	<doc>
well	RB	well
we	PP	we
can	MD	can
now	RB	now
speak	VV	speak
to	TO	to
Hassan	NP	Hassan
barari	NP	barari
he's	NNS	he's
joining	VVG	join
us	PP	us
here	RB	here
in	IN	in
our	PP$	our
studio	NN	studio
in	IN	in
Doha	NP	Doha
he's	NNS	he's
a	DT	a
professor	NN	professor
for	IN	for
international	JJ	international
Affairs	NPS	Affairs
at	IN	at
Qatar	NP	Qatar
University	NP	University
Welcome	NN	welcome
to	TO	to
Al	NP	Al
jazer	NN	jazer
um	NNS	um
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
the	DT	the
messaging	VVG	message
that's	NNS	that's
coming	VVG	come
out	RP	out
of	IN	of
the	DT	the
white	JJ	white
house	NN	house
because	IN	because
um	NNS	um
what	WP	what
Kimberly	NP	Kimberly
was	VBD	be
just	RB	just
referring	VVG	refer
to	TO	to
there	RB	there
a	DT	a
moment	NN	moment
ago	RB	ago
was	VBD	be
um	VVG	um
a	DT	a
few	JJ	few
earlier	RBR	earlier
this	DT	this
week	NN	week
when	WRB	when
the	DT	the
US	NP	US
President	NP	President
