<video_id>Niri_a_Vv7k</video_id>	JJ	<video_id>Niri_a_Vv7k</video_id>
<video_title>Gaza	NN	<video_title>Gaza
residents	NNS	resident
say	VVP	say
they’re	NN	they’re
stuck	VVN	stick
between	IN	between
death,	JJ	death,
starvation	NN	starvation
and	CC	and
displacement</video_title>	JJ	displacement</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
residents	NNS	resident
say	VVP	say
they’re	NN	they’re
stuck	VVN	stick
between	IN	between
death,	JJ	death,
starvation	NN	starvation
and	CC	and
displacement.jpg</thumbnail_path>	JJ	displacement.jpg</thumbnail_path>
<publish_date>20240212</publish_date>	NN	<publish_date>20240212</publish_date>
<doc>	NN	<doc>
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
deadliest	JJS	deadly
nights	NNS	night
that's	NN	that's
how	WRB	how
people	NNS	people
currently	RB	currently
evacuating	VVG	evacuate
from	IN	from
Rafa	NP	Rafa
described	VVD	describe
last	JJ	last
night	NN	night
as	IN	as
it	PP	it
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
deadliest	JJS	deadly
nights	NNS	night
they	PP	they
experienced	VVD	experience
since	IN	since
more	JJR	more
than	IN	than
128	CD	@card@
days	NNS	day
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
a	DT	a
lot	NN	lot
of	IN	of
Palestinians	NPS	Palestinians
currently	RB	currently
displaced	VVN	displace
in	IN	in
rafah	NN	rafah
are	VBP	be
currently	RB	currently
using	VVG	use
this	DT	this
road	NN	road
AR	NP	Ar
Rashid	NP	Rashid
Road	NP	Road
connecting	VVG	connect
gra	NN	gra
withun	NN	withun
there	RB	there
in	IN	in
and	CC	and
the	DT	the
middle	JJ	middle
area	NN	area
together	RB	together
this	DT	this
is	VBZ	be
the	DT	the
only	JJ	only
Road	NP	Road
they	PP	they
can	MD	can
take	VV	take
to	TO	to
evacuate	VV	evacuate
from	IN	from
place	NN	place
to	TO	to
another	DT	another
we	PP	we
have	VHP	have
been	VBN	be
talking	VVG	talk
to	TO	to
people	NNS	people
and	CC	and
they	PP	they
are	VBP	be
telling	VVG	tell
us	PP	us
that	IN/that	that
they	PP	they
do	VVP	do
not	RB	not
have	VH	have
any	DT	any
place	NN	place
to	TO	to
go	VV	go
to	TO	to
some	DT	some
people	NNS	people
have	VHP	have
been	VBN	be
um	NNS	um
searching	VVG	search
for	IN	for
a	DT	a
place	NN	place
since	IN	since
the	DT	the
morning	NN	morning
in	IN	in
inun	NN	inun
but	CC	but
they	PP	they
did	VVD	do
not	RB	not
find	VV	find
any	DT	any
place	NN	place
people	NNS	people
saying	VVG	say
that	IN/that	that
they	PP	they
have	VHP	have
this	DT	this
place	NN	place
for	IN	for
more	JJR	more
than	IN	than
five	CD	five
to	TO	to
six	CD	six
times	NNS	time
now	RB	now
and	CC	and
every	DT	every
time	NN	time
they're	NN	they're
trying	VVG	try
to	TO	to
search	VV	search
to	TO	to
for	IN	for
an	DT	an
area	NN	area
that	WDT	that
may	MD	may
be	VB	be
consider	VV	consider
safe	JJ	safe
but	CC	but
they	PP	they
also	RB	also
believe	VVP	believe
that	IN/that	that
even	RB	even
if	IN	if
they	PP	they
are	VBP	be
evacuated	VVN	evacuate
to	TO	to
or	CC	or
to	TO	to
or	CC	or
to	TO	to
any	DT	any
place	NN	place
it's	NNS	it's
going	VVG	go
to	TO	to
come	VV	come
a	DT	a
time	NN	time
where	WRB	where
they	PP	they
are	VBP	be
going	VVG	go
to	TO	to
evacuate	VV	evacuate
another	DT	another
time	NN	time
we	PP	we
felt	VVD	feel
it	PP	it
might	MD	might
be	VB	be
slightly	RB	slightly
safer	JJR	safe
here	RB	here
in	IN	in
der	NP	der
Al	NP	Al
Bala	NP	Bala
we're	NN	we're
not	RB	not
completely	RB	completely
safe	JJ	safe
anywhere	RB	anywhere
of	IN	of
course	NN	course
but	CC	but
it's	NNS	it's
better	JJR	good
to	TO	to
be	VB	be
in	IN	in
a	DT	a
group	NN	group
there's	RB	there's
also	RB	also
access	VV	access
to	TO	to
some	DT	some
fresh	JJ	fresh
water	NN	water
here	RB	here
so	IN	so
things	NNS	thing
are	VBP	be
slightly	RB	slightly
better	JJR	good
I'm	NN	I'm
currently	RB	currently
in	IN	in
an	DT	an
empty	JJ	empty
area	NN	area
inah	NN	inah
this	DT	this
area	NN	area
was	VBD	be
completely	RB	completely
empty	JJ	empty
this	DT	this
morning	NN	morning
all	RB	all
of	IN	of
these	DT	these
people	NNS	people
that	WDT	that
are	VBP	be
building	VVG	build
up	RP	up
their	PP$	their
tents	NNS	tent
came	VVD	come
in	IN	in
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
the	DT	the
morning	NN	morning
to	TO	to
D	NP	D
balah	NN	balah
and	CC	and
chose	VVD	choose
this	DT	this
area	NN	area
because	IN	because
it's	NP	it's
one	CD	one
of	IN	of
the	DT	the
areas	NNS	area
that	WDT	that
have	VHP	have
uh	UH	uh
close	VV	close
water	NN	water
because	IN	because
it's	NNS	it's
very	RB	very
close	VV	close
to	TO	to
the	DT	the
Sea	NP	Sea
as	IN	as
you	PP	you
see	VVP	see
people	NNS	people
have	VHP	have
been	VBN	be
displaced	VVN	displace
more	JJR	more
than	IN	than
one	CD	one
time	NN	time
this	DT	this
family	NN	family
was	VBD	be
displaced	VVN	displace
for	IN	for
more	JJR	more
than	IN	than
seven	CD	seven
times	NNS	time
and	CC	and
now	RB	now
they	PP	they
came	VVD	come
to	TO	to
because	IN	because
they	PP	they
think	VVP	think
that	IN/that	that
it	PP	it
is	VBZ	be
safe	JJ	safe
we	PP	we
first	RB	first
fled	VVD	flee
to	TO	to
Ali	NP	Ali
then	RB	then
and	CC	and
then	RB	then
ra	JJ	ra
last	JJ	last
night	NN	night
we	PP	we
had	VHD	have
to	TO	to
leave	VV	leave
the	DT	the
school	NN	school
where	WRB	where
we	PP	we
were	VBD	be
Sheltering	VVG	shelter
we	PP	we
decided	VVD	decide
to	TO	to
flee	VV	flee
to	TO	to
the	DT	the
nearest	JJS	near
area	NN	area
vacated	VVN	vacate
by	IN	by
the	DT	the
Israelis	NNS	Israeli
which	WDT	which
is	VBZ	be
all	RB	all
of	IN	of
the	DT	the
people	NNS	people
are	VBP	be
frustrated	VVN	frustrate
are	VBP	be
