<video_id>WwQXAmW4tUk</video_id>	NP	<video_id>WwQXAmW4tUk</video_id>
<video_title>Mahmoud	NP	<video_title>Mahmoud
Abbas	NP	Abbas
condemns	VVZ	condemn
killing	VVG	kill
of	IN	of
Haniyeh,	NP	Haniyeh,
calls	NNS	call
on	IN	on
Palestinians	NPS	Palestinians
to	TO	to
unite</video_title>	JJ	unite</video_title>
<thumbnail_path>data/en_AJ\Mahmoud	NP	<thumbnail_path>data/en_AJ\Mahmoud
Abbas	NP	Abbas
condemns	VVZ	condemn
killing	VVG	kill
of	IN	of
Haniyeh,	NP	Haniyeh,
calls	NNS	call
on	IN	on
Palestinians	NPS	Palestinians
to	TO	to
unite.jpg</thumbnail_path>	JJ	unite.jpg</thumbnail_path>
<publish_date>20240731</publish_date>	JJ	<publish_date>20240731</publish_date>
<doc>	NN	<doc>
statement	NN	statement
now	RB	now
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
president	NN	president
mmud	NN	mmud
Abbas	NP	Abbas
he's	NNS	he's
released	VVD	release
a	DT	a
statement	NN	statement
online	JJ	online
saying	VVG	say
he	PP	he
strongly	RB	strongly
condemns	VVZ	condemn
the	DT	the
assassination	NN	assassination
uh	UH	uh
as	IN	as
a	DT	a
cowardly	JJ	cowardly
act	NN	act
and	CC	and
a	DT	a
dangerous	JJ	dangerous
development	NN	development
he	PP	he
also	RB	also
called	VVD	call
on	IN	on
Palestinians	NPS	Palestinians
to	TO	to
unite	VV	unite
and	CC	and
be	VB	be
patient	JJ	patient
and	CC	and
steadfast	JJ	steadfast
in	IN	in
the	DT	the
face	NN	face
of	IN	of
Israeli	JJ	Israeli
occupation	NN	occupation
Al	NP	Al
jaer	NP	jaer
nuro	NP	nuro
joins	VVZ	join
us	PP	us
live	VVP	live
again	RB	again
from	IN	from
rala	NN	rala
that's	NNS	that's
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
so	IN	so
no	DT	no
we've	NN	we've
got	VVD	get
that	IN/that	that
response	NN	response
um	NNS	um
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
president	NN	president
marad	NP	Marad
Abbas	NP	Abbas
tell	VV	tell
us	PP	us
a	DT	a
bit	NN	bit
more	JJR	more
about	IN	about
what	WP	what
he's	NNS	he's
been	VBN	be
saying	VVG	say
uh	UH	uh
and	CC	and
and	CC	and
and	CC	and
the	DT	the
official	JJ	official
PA	NN	pa
response	NN	response
yes	RB	yes
well	RB	well
the	DT	the
Palestinian	JJ	Palestinian
president	NN	president
uh	UH	uh
wasting	VVG	waste
no	DT	no
time	NN	time
to	TO	to
issue	VV	issue
that	DT	that
statement	NN	statement
calling	VVG	call
this	DT	this
a	DT	a
cowardly	JJ	cowardly
act	NN	act
a	DT	a
political	JJ	political
assassination	NN	assassination
and	CC	and
also	RB	also
treating	VVG	treat
uh	UH	uh
isma	NP	isma
Han	NP	Han
as	IN	as
a	DT	a
senior	JJ	senior
um	NN	um
National	NP	National
political	JJ	political
figure	NN	figure
not	RB	not
just	RB	just
as	IN	as
a	DT	a
senior	JJ	senior
figure	NN	figure
or	CC	or
the	DT	the
head	NN	head
of	IN	of
the	DT	the
Hamas	JJ	Hamas
political	JJ	political
Wing	NP	Wing
we	PP	we
heard	VVD	hear
those	DT	those
same	JJ	same
uh	UH	uh
sentiments	NNS	sentiment
echoed	VVN	echo
by	IN	by
the	DT	the
Secretary	NP	Secretary
General	NP	General
of	IN	of
the	DT	the
pl's	JJ	pl's
executive	JJ	executive
committee	NN	committee
hin	NN	hin
and	CC	and
we	PP	we
also	RB	also
heard	VVD	hear
from	IN	from
all	DT	all
Palestinian	JJ	Palestinian
factions	NNS	faction
declaring	VVG	declare
a	DT	a
general	JJ	general
strike	NN	strike
across	IN	across
the	DT	the
occupied	JJ	occupied
uh	UH	uh
West	NP	West
Bank	NP	Bank
this	DT	this
is	VBZ	be
a	DT	a
moment	NN	moment
uh	UH	uh
where	WRB	where
you	PP	you
know	VVP	know
all	DT	all
political	JJ	political
differences	NNS	difference
are	VBP	be
set	VVN	set
aside	RP	aside
and	CC	and
Palestinians	NPS	Palestinians
who've	NN	who've
seen	VVN	see
and	CC	and
experienced	VVN	experience
political	JJ	political
assassinations	NNS	assassination
in	IN	in
the	DT	the
past	JJ	past
decades	NNS	decade
know	VVP	know
very	RB	very
well	RB	well
that	DT	that
uh	UH	uh
targeting	VVG	target
or	CC	or
singaling	VVG	singaling
out	RP	out
one	CD	one
faction	NN	faction
does	VVZ	do
not	RB	not
mean	VV	mean
that	IN/that	that
anyone	NN	anyone
is	VBZ	be
immune	JJ	immune
and	CC	and
they've	NN	they've
seen	VVN	see
that	DT	that
uh	UH	uh
work	NN	work
out	IN	out
you	PP	you
know	VVP	know
play	NN	play
out	IN	out
uh	UH	uh
throughout	IN	throughout
the	DT	the
past	JJ	past
decade	NN	decade
so	IN	so
a	DT	a
moment	NN	moment
a	DT	a
very	RB	very
somber	JJ	somber
moment	NN	moment
very	RB	very
um	JJ	um
sad	JJ	sad
moment	NN	moment
for	IN	for
Palestinians	NPS	Palestinians
the	DT	the
public	JJ	public
opinion	NN	opinion
here	RB	here
views	VVZ	view
is	VBZ	be
Han	NP	Han
as	IN	as
a	DT	a
very	RB	very
prominent	JJ	prominent
very	RB	very
influential	JJ	influential
political	JJ	political
figure	NN	figure
one	CD	one
that	WDT	that
represents	VVZ	represent
a	DT	a
you	PP	you
know	VVP	know
a	DT	a
a	DT	a
front	NN	front
a	DT	a
different	JJ	different
front	NN	front
from	IN	from
the	DT	the
more	RBR	more
acquiescent	JJ	acquiescent
the	DT	the
more	RBR	more
willing	JJ	willing
to	TO	to
talk	VV	talk
a	DT	a
um	NN	um
and	CC	and
perhaps	RB	perhaps
even	RB	even
you	PP	you
know	VVP	know
be	VB	be
subjected	VVN	subject
to	TO	to
outside	JJ	outside
dictates	NNS	dictate
the	DT	the
expectation	NN	expectation
of	IN	of
course	NN	course
is	VBZ	be
that	IN/that	that
this	DT	this
attack	NN	attack
this	DT	this
assassination	NN	assassination
would	MD	would
give	VV	give
rise	NN	rise
and	CC	and
would	MD	would
strengthen	VV	strengthen
the	DT	the
more	JJR	more
Hardline	NN	hardline
positions	NNS	position
in	IN	in
Palestinian	JJ	Palestinian
politics	NNS	politics
Palestinians	NPS	Palestinians
see	VVP	see
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
a	DT	a
zero	NN	zero
some	DT	some
approach	NN	approach
to	TO	to
the	DT	the
events	NNS	event
going	VVG	go
on	IN	on
right	NN	right
now	RB	now
and	CC	and
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
they	PP	they
are	VBP	be
not	RB	not
just	RB	just
targeting	VVG	target
military	JJ	military
figures	NNS	figure
in	IN	in
Gaza	NP	Gaza
they're	NN	they're
targeting	VVG	target
the	DT	the
head	NN	head
of	IN	of
the	DT	the
Hamas	JJ	Hamas
movement	NN	movement
someone	NN	someone
who's	NNS	who's
known	VVN	know
to	TO	to
be	VB	be
a	DT	a
purely	RB	purely
political	JJ	political
figure	NN	figure
someone	NN	someone
who's	NNS	who's
known	VVN	know
to	TO	to
be	VB	be
pragmatic	JJ	pragmatic
willing	JJ	willing
to	TO	to
talk	VV	talk
trying	VVG	try
to	TO	to
open	VV	open
Pathways	NNS	pathway
to	TO	to
dialogue	VV	dialogue
around	RP	around
the	DT	the
world	NN	world
uh	UH	uh
visiting	VVG	visit
various	JJ	various
capitals	NNS	capital
we've	NN	we've
already	RB	already
heard	VVN	hear
from	IN	from
the	DT	the
foreign	JJ	foreign
Ministry	NP	Ministry
of	IN	of
turkey	NN	turkey
and	CC	and
uh	UH	uh
Russia	NP	Russia
commenting	VVG	comment
about	IN	about
this	DT	this
uh	UH	uh
assassination	NN	assassination
so	IN	so
that	WDT	that
gives	VVZ	give
you	PP	you
an	DT	an
idea	NN	idea
of	IN	of
the	DT	the
kind	NN	kind
of	IN	of
Engagement	NN	engagement
is	VBZ	be
Han	NP	Han
had	VHD	have
on	IN	on
the	DT	the
world	NN	world
stage	NN	stage
as	IN	as
well	RB	well
yeah	RB	yeah
no	DT	no
and	CC	and
it's	JJ	it's
important	JJ	important
um	NNS	um
you	PP	you
talking	VVG	talk
about	IN	about
the	DT	the
issue	NN	issue
of	IN	of
Palestinian	NP	Palestinian
Unity	NP	Unity
at	IN	at
this	DT	this
at	IN	at
this	DT	this
specific	JJ	specific
moment	NN	moment
abas	NNS	aba
talking	VVG	talk
about	IN	about
Palestinians	NPS	Palestinians
coming	VVG	come
together	RB	together
putting	VVG	put
political	JJ	political
differences	NNS	difference
aside	RB	aside
for	IN	for
now	RB	now
anyway	RB	anyway
I	PP	I
mean	VVP	mean
so	RB	so
so	RB	so
how	WRB	how
significant	JJ	significant
is	VBZ	be
his	PP$	his
death	NN	death
then	RB	then
and	CC	and
what	WP	what
does	VVZ	do
this	DT	this
mean	NN	mean
then	RB	then
for	IN	for
Palestinian	NP	Palestinian
Unity	NP	Unity
given	VVN	give
those	DT	those
divisions	NNS	division
that	IN/that	that
you've	NN	you've
talked	VVD	talk
about	RB	about
between	IN	between
Hamas	JJ	Hamas
and	CC	and
fat	JJ	fat
well	NN	well
it	PP	it
would	MD	would
present	VV	present
an	DT	an
opportunity	NN	opportunity
uh	UH	uh
one	PP	one
might	MD	might
dare	VV	dare
say	VV	say
for	IN	for
Palestinian	JJ	Palestinian
factions	NNS	faction
to	TO	to
find	VV	find
a	DT	a
different	JJ	different
path	NN	path
forward	RB	forward
we	PP	we
know	VVP	know
that	IN/that	that
over	IN	over
the	DT	the
past	JJ	past
17	CD	@card@
years	NNS	year
Palestinian	JJ	Palestinian
factions	NNS	faction
have	VHP	have
failed	VVN	fail
to	TO	to
uh	UH	uh
put	VV	put
aside	RP	aside
their	PP$	their
differences	NNS	difference
to	TO	to
reach	VV	reach
a	DT	a
Unity	NP	Unity
agreement	NN	agreement
and	CC	and
to	TO	to
unify	VV	unify
their	PP$	their
political	JJ	political
system	NN	system
there	EX	there
was	VBD	be
a	DT	a
recent	JJ	recent
attempt	NN	attempt
in	IN	in
Beijing	NP	Beijing
uh	UH	uh
a	DT	a
declaration	NN	declaration
was	VBD	be
issued	VVN	issue
about	IN	about
the	DT	the
need	NN	need
to	TO	to
form	VV	form
a	DT	a
consensus	NN	consensus
government	NN	government
and	CC	and
to	TO	to
work	VV	work
towards	IN	towards
um	JJ	um
holding	NN	holding
elections	NNS	election
and	CC	and
and	CC	and
renewing	VVG	renew
the	DT	the
Palestinian	JJ	Palestinian
political	JJ	political
system	NN	system
uh	UH	uh
once	RB	once
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
is	VBZ	be
over	IN	over
but	CC	but
there	EX	there
was	VBD	be
very	RB	very
little	JJ	little
expectation	NN	expectation
that	IN/that	that
that	DT	that
declaration	NN	declaration
would	MD	would
be	VB	be
translated	VVN	translate
into	IN	into
action	NN	action
this	DT	this
assassin	NN	assassin
might	MD	might
give	VV	give
all	PDT	all
all	DT	all
actors	NNS	actor
an	DT	an
opportunity	NN	opportunity
to	TO	to
kind	NN	kind
of	IN	of
move	NN	move
forward	RB	forward
and	CC	and
