<video_id>LCEhO9PCyhQ</video_id>	JJ	<video_id>LCEhO9PCyhQ</video_id>
<video_title>In	NN	<video_title>In
bloody	JJ	bloody
night	NN	night
of	IN	of
attacks,	NP	attacks,
Israeli	NP	Israeli
military	JJ	military
steps	NNS	step
up	IN	up
strikes	NNS	strike
across	IN	across
Gaza:	NP	Gaza:
AJE	NP	AJE
correspondent</video_title>	NN	correspondent</video_title>
<thumbnail_path>data/en_AJ\In	NN	<thumbnail_path>data/en_AJ\In
bloody	JJ	bloody
night	NN	night
of	IN	of
attacks,	NP	attacks,
Israeli	NP	Israeli
military	JJ	military
steps	NNS	step
up	IN	up
strikes	NNS	strike
across	IN	across
Gaza	NP	Gaza
AJE	NP	AJE
correspondent.jpg</thumbnail_path>	JJ	correspondent.jpg</thumbnail_path>
<publish_date>20240625</publish_date>	NN	<publish_date>20240625</publish_date>
<doc>	NN	<doc>
at	IN	at
least	JJS	least
30	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
strikes	NNS	strike
since	IN	since
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
Tuesday	NP	Tuesday
Morning	NP	Morning
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
on	IN	on
Al	NP	Al
magazi	NP	magazi
refugee	NN	refugee
camp	NN	camp
in	IN	in
central	JJ	central
Gaza	NP	Gaza
killed	VVD	kill
five	CD	five
Palestinians	NPS	Palestinians
three	CD	three
children	NNS	child
are	VBP	be
among	IN	among
the	DT	the
dead	NN	dead
I	PP	I
speak	VVP	speak
to	TO	to
Tark	NP	Tark
abum	NN	abum
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
De	NP	De
alala	NN	alala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
T	NN	T
so	RB	so
more	RBR	more
deadly	JJ	deadly
attacks	NNS	attack
overnight	JJ	overnight
in	IN	in
Gaza	NP	Gaza
one	CD	one
of	IN	of
the	DT	the
attacks	NNS	attack
killed	VVD	kill
the	DT	the
sister	NN	sister
of	IN	of
hamas's	NNS	hamas's
political	JJ	political
leader	NN	leader
isal	JJ	isal
hania	NN	hania
what	WP	what
more	RBR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
yes	NN	yes
that's	NNS	that's
why	WRB	why
this	DT	this
attack	NN	attack
in	IN	in
fact	NN	fact
was	VBD	be
carried	VVN	carry
out	RP	out
in	IN	in
a	DT	a
shti	NP	shti
refugee	NN	refugee
camp	NN	camp
at	IN	at
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
now	RB	now
we	PP	we
could	MD	could
clearly	RB	clearly
observe	VV	observe
that	IN/that	that
within	IN	within
the	DT	the
past	JJ	past
couple	NN	couple
of	IN	of
days	NNS	day
and	CC	and
within	IN	within
the	DT	the
past	NN	past
even	RB	even
24	CD	@card@
hours	NNS	hour
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
been	VBN	be
focusing	VVG	focus
on	IN	on
a	DT	a
refugee	NN	refugee
camp	NN	camp
targeting	VVG	target
residential	JJ	residential
buildings	NNS	building
and	CC	and
other	JJ	other
night	NN	night
strikes	NNS	strike
also	RB	also
have	VHP	have
bounded	VVN	bound
one	CD	one
of	IN	of
the	DT	the
evacuation	NN	evacuation
centers	VVZ	center
there	RB	there
Amed	JJ	Amed
at	IN	at
least	JJS	least
13	CD	@card@
Palestinians	NNS	Palestinian
until	IN	until
now	RB	now
have	VH	have
been	VBN	be
recorded	VVN	record
killed	VVN	kill
after	IN	after
the	DT	the
evacuation	NN	evacuation
Center	NN	center
alongside	IN	alongside
the	DT	the
two	CD	two
residential	JJ	residential
buildings	NNS	building
were	VBD	be
targeted	VVN	target
in	IN	in
Gaza	NP	Gaza
City	NP	City
but	CC	but
even	RB	even
that	DT	that
uh	UH	uh
we	PP	we
have	VHP	have
also	RB	also
getting	VVG	get
some	DT	some
confirmation	NN	confirmation
that	IN/that	that
at	IN	at
least	JJS	least
six	CD	six
members	NNS	member
of	IN	of
hania's	NN	hania's
family	NN	family
were	VBD	be
killed	VVN	kill
in	IN	in
that	DT	that
attack	NN	attack
as	IN	as
a	DT	a
part	NN	part
of	IN	of
the	DT	the
Israeli	JJ	Israeli
ongoing	JJ	ongoing
upscaling	JJ	upscaling
