C	SYM	c
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
is	VBZ	be
reiterating	VVG	reiterate
its	PP$	its
demand	NN	demand
to	TO	to
scale	VV	scale
up	RP	up
humanitarian	JJ	humanitarian
Aid	NN	aid
to	TO	to
Gaza	NP	Gaza
even	RB	even
though	IN	though
some	DT	some
of	IN	of
its	PP$	its
members	NNS	member
are	VBP	be
withholding	VVG	withhold
funding	NN	funding
to	TO	to
gaza	NP	Gaza
'	POS	'
s	JJ	s
largest	JJS	large
Aid	NN	aid
agency	NN	agency
unra	NN	unra
behind	IN	behind
closed	JJ	closed
doors	NNS	door
they	PP	they
met	VVD	meet
with	IN	with
the	DT	the
woman	NN	woman
tasked	VVN	task
with	IN	with
making	VVG	make
it	PP	it
happened	VVD	happen
sigd	RB	sigd
Cog	VV	cog
un	JJ	un
senior	JJ	senior
humanitarian	NN	humanitarian
and	CC	and
reconstruction	NN	reconstruction
coordinator	NN	coordinator
there	RB	there
is	VBZ	be
no	DT	no
way	NN	way
uh	UH	uh
any	DT	any
organization	NN	organization
can	MD	can
replace	VV	replace
or	CC	or
substitute	VV	substitute
the	DT	the
tremendous	JJ	tremendous
capacity	NN	capacity
the	DT	the
fabric	NN	fabric
of	IN	of
unra	NN	unra
the	DT	the
ability	NN	ability
uh	UH	uh
and	CC	and
their	PP$	their
knowledge	NN	knowledge
of	IN	of
the	DT	the
population	NN	population
in	IN	in
Gaza	NP	Gaza
Cog	VVP	cog
barely	RB	barely
a	DT	a
month	NN	month
into	IN	into
her	PP$	her
job	NN	job
has	VHZ	have
already	RB	already
met	VVN	meet
with	IN	with
officials	NNS	official
in	IN	in
Israel	NP	Israel
Gaza	NP	Gaza
Egypt	NP	Egypt
and	CC	and
Jordan	NP	Jordan
Cog	NN	cog
told	VVD	tell
the	DT	the
council	NN	council
more	JJR	more
Aid	NN	aid
routs	NNS	rout
into	IN	into
Gaza	NP	Gaza
as	RB	as
well	RB	well
as	IN	as
a	DT	a
resumption	NN	resumption
of	IN	of
commercial	JJ	commercial
deliveries	NNS	delivery
are	VBP	be
needed	VVN	need
to	TO	to
meet	VV	meet
the	DT	the
Staggering	JJ	staggering
needs	NNS	need
of	IN	of
the	DT	the
people	NNS	people
but	CC	but
she	PP	she
offered	VVD	offer
no	DT	no
alternative	NN	alternative
