<video_id>D33ioQTcwrM</video_id>	JJ	<video_id>D33ioQTcwrM</video_id>
<video_title>Can	JJ	<video_title>Can
South	JJ	South
Africa’s	NNS	Africa’s
genocide	NN	genocide
case	NN	case
at	IN	at
the	DT	the
ICJ	NP	ICJ
stop	NN	stop
Israel?	NP	Israel?
|	SYM	|
UpFront</video_title>	NP	UpFront</video_title>
<thumbnail_path>data/en_AJ\Can	NP	<thumbnail_path>data/en_AJ\Can
South	NP	South
Africa’s	NNS	Africa’s
genocide	NN	genocide
case	NN	case
at	IN	at
the	DT	the
ICJ	NP	ICJ
stop	NN	stop
Israel	NP	Israel
UpFront.jpg</thumbnail_path>	NP	UpFront.jpg</thumbnail_path>
<publish_date>20240202</publish_date>	NN	<publish_date>20240202</publish_date>
<doc>	NN	<doc>
Ambassador	NP	Ambassador
ninga	NP	ninga
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
joining	VVG	join
me	PP	me
on	IN	on
upfront	NN	upfront
thank	VVP	thank
you	PP	you
thank	VVP	thank
you	PP	you
uh	UH	uh
since	IN	since
October	NP	October
7th	JJ	7th
countries	NNS	country
all	RB	all
around	IN	around
the	DT	the
world	NN	world
have	VHP	have
been	VBN	be
critical	JJ	critical
of	IN	of
Israel's	NP	Israel's
campaign	NN	campaign
in	IN	in
Gaza	NP	Gaza
but	CC	but
it	PP	it
was	VBD	be
South	NP	South
Africa	NP	Africa
that	WDT	that
brought	VVD	bring
the	DT	the
case	NN	case
to	TO	to
the	DT	the
icj	NN	icj
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
why	WRB	why
I	PP	I
think	VVP	think
you	PP	you
must	MD	must
remember	VV	remember
that	DT	that
uh	UH	uh
we	PP	we
come	VVP	come
from	IN	from
a	DT	a
a	DT	a
similar	JJ	similar
situation	NN	situation
as	IN	as
the	DT	the
as	IN	as
the	DT	the
Palestinians	NPS	Palestinians
we	PP	we
come	VVP	come
from	IN	from
a	DT	a
party	NN	party
to	TO	to
where	WRB	where
we	PP	we
were	VBD	be
oppressed	VVN	oppress
we	PP	we
deny	VVP	deny
our	PP$	our
basic	JJ	basic
rights	NNS	right
and	CC	and
all	DT	all
of	IN	of
that	DT	that
so	IN	so
the	DT	the
plight	NN	plight
of	IN	of
of	IN	of
Palestinians	NPS	Palestinians
we	PP	we
we	PP	we
we	PP	we
we	PP	we
we	PP	we
can	MD	can
relate	VV	relate
to	TO	to
um	NNS	um
and	CC	and
that	IN/that	that
we	PP	we
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
be	VB	be
indifferent	JJ	indifferent
to	TO	to
such	JJ	such
plight	NN	plight
because	IN	because
it's	NNS	it's
just	RB	just
like	VVP	like
ours	PP	ours
it's	NNS	it's
identical	JJ	identical
to	TO	to
to	RB	to
to	TO	to
our	PP$	our
plight	NN	plight
and	CC	and
their	PP$	their
Agony	NN	agony
we	PP	we
we	PP	we
can	MD	can
relate	VV	relate
to	TO	to
to	TO	to
we	PP	we
are	VBP	be
came	VVD	come
to	TO	to
a	DT	a
conclusion	NN	conclusion
