isra	NN	isra
jabis	NNS	jabis
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
released	VVN	release
as	IN	as
part	NN	part
of	IN	of
the	DT	the
deal	NN	deal
after	IN	after
8	CD	@card@
years	NNS	year
in	IN	in
prison	NN	prison
she	PP	she
spoke	VVD	speak
about	IN	about
her	PP$	her
feelings	NNS	feeling
and	CC	and
being	VBG	be
set	VVN	set
free	JJ	free
I	PP	I
am	VBP	be
very	RB	very
shy	JJ	shy
and	CC	and
ashamed	JJ	ashamed
to	TO	to
celebrate	VV	celebrate
while	IN	while
the	DT	the
whole	JJ	whole
first	JJ	first
sign	NN	sign
is	VBZ	be
bleeding	VVG	bleed
we	PP	we
had	VHD	have
some	DT	some
fresh	JJ	fresh
air	NN	air
in	IN	in
the	DT	the
prison	NN	prison
style	NN	style
the	DT	the
prisoners	NNS	prisoner
who	WP	who
get	VVP	get
who	WP	who
get	VVP	get
some	DT	some
release	NN	release
from	IN	from
one	CD	one
p	NN	p
to	TO	to
another	DT	another
P	NN	P
you	PP	you
in	IN	in
particular	JJ	particular
suffered	VVD	suffer
a	DT	a
lot	NN	lot
the	DT	the
prison	NN	prison
and	CC	and
the	DT	the
burns	NNS	burn
but	CC	but
today	NN	today
is	VBZ	be
a	DT	a
moment	NN	moment
of	IN	of
Happiness	NN	happiness
finally	RB	finally
you	PP	you
are	VBP	be
reunited	VVN	reunite
with	IN	with
mam	NN	mam
after	IN	after
eight	CD	eight
years	NNS	year
thank	VVP	thank
God	NP	God
he	PP	he
waited	VVD	wait
a	DT	a
lot	NN	lot
for	IN	for
you	PP	you
what	WP	what
would	MD	would
you	PP	you
say	VV	say
for	IN	for
him	PP	him
also	RB	also
Palestine	NP	Palestine
waited	VVD	wait
a	DT	a
lot	NN	lot
for	IN	for
us	PP	us
our	PP$	our
wounds	NNS	wound
waited	VVD	wait
a	DT	a
lot	NN	lot
since	IN	since
we	PP	we
were	VBD	be
little	JJ	little
since	IN	since
we	PP	we
were	VBD	be
kids	VVZ	kid
our	PP$	our
wounds	NNS	wound
were	VBD	be
with	IN	with
us	PP	us
is	VBZ	be
you	PP	you
always	RB	always
said	VVD	say
how	WRB	how
much	JJ	much
you	PP	you
were	VBD	be
suffering	NN	suffering
could	MD	could
you	PP	you
please	VV	please
tell	VV	tell
us	PP	us
more	RBR	more
thank	VV	thank
God	NP	God
thank	VV	thank
God	NP	God
my	PP$	my
wounds	NNS	wound
are	VBP	be
visible	JJ	visible
and	CC	and
my	PP$	my
struggles	NNS	struggle
I	PP	I
don	VVP	don
'	''	'
t	NN	t
need	VVP	need
to	TO	to
talk	VV	talk
about	IN	about
it	PP	it
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
struggle	NN	struggle
with	IN	with
the	DT	the
feelings	NNS	feeling
and	CC	and
with	IN	with
your	PP$	your
rning	NN	rning
to	TO	to
the	DT	the
family	NN	family
but	CC	but
this	DT	this
is	VBZ	be
the	DT	the
price	NN	price
the	DT	the
prisoners	NNS	prisoner
pay	VVP	pay
and	CC	and
that	WDT	that
'	POS	'
s	NN	S
for	IN	for
the	DT	the
feeling	NN	feeling
and	CC	and
longing	NN	longing
to	TO	to
the	DT	the
family	NN	family
did	VVD	do
you	PP	you
know	VVP	know
that	IN/that	that
you	PP	you
were	VBD	be
going	VVG	go
to	TO	to
be	VB	be
released	VVN	release
no	DT	no
I	NP	I
didn	NN	didn
'	POS	'
t	NN	t
I	PP	I
was	VBD	be
feeling	VVG	feel
uh	UH	uh
let	VV	let
down	RP	down
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
because	IN	because
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
injured	JJ	injured
people	NNS	people
in	IN	in
the	DT	the
prisons	NNS	prison
and	CC	and
they	PP	they
were	VBD	be
spending	VVG	spend
years	NNS	year
I	PP	I
had	VHD	have
left	VVN	leave
22	CD	@card@
months	NNS	month
when	WRB	when
I	PP	I
see	VVP	see
a	DT	a
child	NN	child
only	RB	only
with	IN	with
18	CD	@card@
days	NNS	day
left	VVD	leave
he	PP	he
was	VBD	be
released	VVN	release
and	CC	and
other	JJ	other
people	NNS	people
who	WP	who
were	VBD	be
there	RB	there
inside	RB	inside
for	IN	for
more	JJR	more
than	IN	than
18	CD	@card@
years	NNS	year
and	CC	and
they	PP	they
are	VBP	be
still	RB	still
Liv	NP	Liv
there	RB	there
for	IN	for
18	CD	@card@
days	NNS	day
he	PP	he
was	VBD	be
released	VVN	release
for	IN	for
me	PP	me
personally	RB	personally
that	RB	that
'	''	'
s	NNS	s
strange	RB	strange
thank	VVP	thank
God	NP	God
for	IN	for
everything	NN	everything
thank	VVP	thank
God	NP	God
for	IN	for
your	PP$	your
safety	NN	safety
they	PP	they
should	MD	should
release	VV	release
everybody	NN	everybody
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
18	CD	@card@
days	NNS	day
or	CC	or
it	PP	it
'	POS	'
s	NN	S
years	NNS	year
but	CC	but
it	PP	it
'	POS	'
s	NN	S
really	RB	really
really	RB	really
setting	VVG	set
the	DT	the
prisoner	NN	prisoner
in	IN	in
the	DT	the
prison	NN	prison
who	WP	who
just	RB	just
entered	VVD	enter
he	PP	he
hasn	NP	hasn
'	POS	'
t	NN	t
been	VBN	be
there	RB	there
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
he	PP	he
get	VVP	get
released	VVN	release
and	CC	and
a	DT	a
person	NN	person
who	WP	who
has	VHZ	have
been	VBN	be
there	RB	there
struggling	VVG	struggle
for	IN	for
years	NNS	year
and	CC	and
men	NNS	man
men	NNS	man
are	VBP	be
being	VBG	be
beaten	VVN	beat
up	RP	up
and	CC	and
even	RB	even
the	DT	the
women	NNS	woman
we	PP	we
are	VBP	be
being	VBG	be
beaten	VVN	beat
up	IN	up
I	PP	I
want	VVP	want
to	TO	to
tell	VV	tell
you	PP	you
that	IN/that	that
if	IN	if
a	DT	a
child	NN	child
in	IN	in
the	DT	the
street	NN	street
hit	VVD	hit
me	PP	me
with	IN	with
a	DT	a
stone	NN	stone
I	PP	I
would	MD	would
just	RB	just
tell	VV	tell
him	PP	him
go	VVP	go
away	RB	away
go	VV	go
away	RP	away
little	JJ	little
boy	NN	boy
but	CC	but
look	VV	look
how	WRB	how
silly	JJ	silly
the	DT	the
government	NN	government
is	VBZ	be
when	WRB	when
the	DT	the
little	JJ	little
girls	NNS	girl
in	IN	in
my	PP$	my
room	NN	room
I	PP	I
left	VVD	leave
them	PP	them
they	PP	they
were	VBD	be
crying	VVG	cry
because	IN	because
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
subjected	VVN	subject
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
little	JJ	little
girl	NN	girl
I	NP	I
'	POS	'
m	NN	m
not	RB	not
even	RB	even
talking	VVG	talk
about	IN	about
the	DT	the
grown	VVN	grow
-	NN	-
up	IN	up
women	NNS	woman
I	PP	I
'	POS	'
m	NN	m
talking	VVG	talk
about	IN	about
the	DT	the
small	JJ	small
girls	NNS	girl
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
through	IN	through
things	NNS	thing
that	IN/that	that
nobody	NN	nobody
should	MD	should
witness	VV	witness
did	VVD	do
this	DT	this
uh	UH	uh
practices	NNS	practice
increase	NN	increase
during	IN	during
the	DT	the
war	NN	war
