<video_id>DrDtwqKdxFc</video_id>	JJ	<video_id>DrDtwqKdxFc</video_id>
<video_title>No	NN	<video_title>No
child	NN	child
should	MD	should
experience	VV	experience
‘absolutely	RB	‘absolutely
terrifying’	JJ	terrifying’
journey	NN	journey
out	IN	out
of	IN	of
Rafah</video_title>	NP	Rafah</video_title>
<thumbnail_path>data/en_AJ\No	NP	<thumbnail_path>data/en_AJ\No
child	NN	child
should	MD	should
experience	VV	experience
‘absolutely	RB	‘absolutely
terrifying’	JJ	terrifying’
journey	NN	journey
out	IN	out
of	IN	of
Rafah.jpg</thumbnail_path>	NP	Rafah.jpg</thumbnail_path>
<publish_date>20240513</publish_date>	JJ	<publish_date>20240513</publish_date>
<doc>	NN	<doc>
and	CC	and
aljazera	NN	aljazera
spoke	VVD	speak
to	TO	to
a	DT	a
13-year-old	JJ	13-year-old
displaced	VVN	displace
Palestinian	JJ	Palestinian
her	PP$	her
name	NN	name
is	VBZ	be
Nadin	NP	Nadin
abdulatif	NN	abdulatif
and	CC	and
she	PP	she
says	VVZ	say
she's	NNS	she's
been	VBN	be
traumatized	VVN	traumatize
by	IN	by
being	VBG	be
repeatedly	RB	repeatedly
forced	VVN	force
to	TO	to
flee	VV	flee
the	DT	the
fighting	NN	fighting
she	PP	she
spoke	VVD	speak
to	TO	to
our	PP$	our
correspondent	NN	correspondent
Tark	NP	Tark
Abu	NP	Abu
aom	NN	aom
in	IN	in
darl	NP	Darl
Bala	NP	Bala
first	JJ	first
of	IN	of
all	PDT	all
my	PP$	my
name	NN	name
is	VBZ	be
Nadine	NP	Nadine
I'm	NP	I'm
13	CD	@card@
years	NNS	year
old	JJ	old
and	CC	and
I	PP	I
was	VBD	be
a	DT	a
i	NP	i
a	DT	a
refugee	NN	refugee
from	IN	from
many	JJ	many
places	NNS	place
not	RB	not
only	RB	only
from	IN	from
Raa	NP	Raa
from	IN	from
many	JJ	many
places	NNS	place
from	IN	from
Gaza	NP	Gaza
to	TO	to
an	DT	an
TOA	NP	TOA
we	PP	we
have	VHP	have
been	VBN	be
more	RBR	more
traumatized	VVN	traumatize
from	IN	from
this	DT	this
experience	NN	experience
my	PP$	my
experience	NN	experience
from	IN	from
was	VBD	be
absolutely	RB	absolutely
terrifying	JJ	terrifying
first	RB	first
of	IN	of
all	DT	all
it	PP	it
was	VBD	be
let's	NNS	let's
not	RB	not
forget	VVP	forget
the	DT	the
fact	NN	fact
that	IN/that	that
it	PP	it
was	VBD	be
expensive	JJ	expensive
to	TO	to
find	VV	find
a	DT	a
car	NN	car
and	CC	and
was	VBD	be
hard	JJ	hard
to	TO	to
find	VV	find
a	DT	a
car	NN	car
and	CC	and
we	PP	we
can't	VVD	can't
even	RB	even
we	PP	we
couldn't	NN	couldn't
even	RB	even
put	VVD	put
all	DT	all
of	IN	of
our	PP$	our
stuff	NN	stuff
we	PP	we
had	VHD	have
