hundreds	NNS	hundred
of	IN	of
people	NNS	people
have	VHP	have
been	VBN	be
taking	VVG	take
part	NN	part
in	IN	in
a	DT	a
pro	JJ	pro
peace	NN	peace
rally	NN	rally
on	IN	on
the	DT	the
streets	NNS	street
of	IN	of
Tel	NP	Tel
Aviv	NP	Aviv
the	DT	the
demonstrators	NNS	demonstrator
are	VBP	be
calling	VVG	call
for	IN	for
an	DT	an
immediate	JJ	immediate
end	NN	end
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
organized	VVN	organize
by	IN	by
standing	VVG	stand
together	RB	together
a	DT	a
Grassroots	NNS	grassroots
organization	NN	organization
including	VVG	include
Jewish	JJ	Jewish
and	CC	and
Palestinian	JJ	Palestinian
Israeli	JJ	Israeli
citizens	NNS	citizen
our	PP$	our
correspondent	JJ	correspondent
Sara	NP	Sara
kyat	NN	kyat
is	VBZ	be
at	IN	at
the	DT	the
protest	NN	protest
and	CC	and
asked	VVD	ask
standing	VVG	stand
together	RB	together
as	IN	as
co	NN	Co
-	NN	-
director	NN	director
what	WP	what
they	PP	they
hoped	VVD	hope
to	TO	to
achieve	VV	achieve
we	PP	we
are	VBP	be
moving	VVG	move
from	IN	from
one	CD	one
city	NN	city
in	IN	in
the	DT	the
other	JJ	other
in	IN	in
Israel	NP	Israel
Palestinians	NPS	Palestinians
cities	NNS	city
and	CC	and
Jewish	JJ	Jewish
cities	NNS	city
in	IN	in
Israel	NP	Israel
and	CC	and
mixed	JJ	mixed
cities	NNS	city
in	IN	in
this	DT	this
um	JJ	um
demand	NN	demand
of	IN	of
us	PP	us
to	TO	to
end	VV	end
this	DT	this
war	NN	war
to	TO	to
achieve	VV	achieve
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
that	WDT	that
will	MD	will
allow	VV	allow
to	TO	to
bring	VV	bring
back	RB	back
the	DT	the
hostages	NNS	hostage
the	DT	the
Israeli	JJ	Israeli
hostages	NNS	hostage
from	IN	from
Gaza	NP	Gaza
and	CC	and
that	WDT	that
will	MD	will
end	VV	end
the	DT	the
killing	NN	killing
of	IN	of
innocent	JJ	innocent
people	NNS	people
in	IN	in
Gaza	NP	Gaza
we	PP	we
understand	VVP	understand
that	IN/that	that
this	DT	this
way	NN	way
of	IN	of
Wars	NP	Wars
one	CD	one
war	NN	war
after	IN	after
the	DT	the
other	JJ	other
has	VHZ	have
achieved	VVN	achieve
nothing	NN	nothing
it	PP	it
achieved	VVD	achieve
only	RB	only
destruction	NN	destruction
and	CC	and
death	NN	death
and	CC	and
more	JJR	more
hatred	NN	hatred
between	IN	between
the	DT	the
people	NNS	people
and	CC	and
we	PP	we
are	VBP	be
