Palestinians	NPS	Palestinians
ried	VVD	ried
in	IN	in
cities	NNS	city
across	IN	across
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
to	TO	to
protest	VV	protest
against	IN	against
the	DT	the
death	NN	death
of	IN	of
Salah	NP	Salah
Ali	NP	Ali
demonstrations	NNS	demonstration
have	VHP	have
taken	VVN	take
place	NN	place
in	IN	in
towns	NNS	town
and	CC	and
cities	NNS	city
including	VVG	include
rala	NP	rala
UDA	NP	UDA
Janine	NP	Janine
Hebron	NP	Hebron
and	CC	and
nepas	NNS	nepas
well	RB	well
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
let	NN	let
bring	VV	bring
in	IN	in
Nita	NP	Nita
Ibraham	NP	Ibraham
who	WP	who
is	VBZ	be
in	IN	in
Oda	NP	Oda
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
you	PP	you
'	POS	'
re	NN	re
in	IN	in
Al	NP	Al
aru	NP	aru
'	POS	'
s	JJ	s
Hometown	NN	hometown
what	WP	what
has	VHZ	have
been	VBN	be
the	DT	the
reaction	NN	reaction
there	RB	there
to	TO	to
his	PP$	his
killing	NN	killing
not	RB	not
only	RB	only
am	VBP	be
I	PP	I
in	IN	in
Al	NP	Al
'	POS	'
s	JJ	s
home	NN	home
town	NN	town
but	CC	but
I	PP	I
am	VBP	be
at	IN	at
the	DT	the
house	NN	house
where	WRB	where
he	PP	he
was	VBD	be
born	VVN	bear
and	CC	and
raised	VVN	raise
uh	UH	uh
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
be	VB	be
speaking	VVG	speak
in	IN	in
a	DT	a
bit	NN	bit
to	TO	to
his	PP$	his
mother	NN	mother
this	DT	this
is	VBZ	be
his	PP$	his
picture	NN	picture
as	IN	as
he	PP	he
was	VBD	be
imprisoned	VVN	imprison
by	IN	by
Israel	NP	Israel
in	IN	in
total	NN	total
he	PP	he
spent	VVD	spend
18	CD	@card@
years	NNS	year
in	IN	in
Israeli	JJ	Israeli
prisons	NNS	prison
before	IN	before
he	PP	he
has	VHZ	have
been	VBN	be
deported	VVN	deport
outside	IN	outside
of	IN	of
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
as	IN	as
we	PP	we
were	VBD	be
talking	VVG	talk
to	TO	to
the	DT	the
family	NN	family
that	WDT	that
are	VBP	be
expecting	VVG	expect
MERS	NNS	MERS
to	TO	to
come	VV	come
here	RB	here
to	TO	to
arura	NN	arura
in	IN	in
the	DT	the
next	JJ	next
uh	UH	uh
hour	NN	hour
or	CC	or
so	RB	so
I	PP	I
was	VBD	be
asking	VVG	ask
them	PP	them
if	IN	if
they	PP	they
think	VVP	think
that	IN/that	that
this	DT	this
is	VBZ	be
something	NN	something
that	IN/that	that
they	PP	they
were	VBD	be
expecting	VVG	expect
uh	UH	uh
I	PP	I
have	VHP	have
here	RB	here
his	PP$	his
Moma	NP	Moma
and	CC	and
uh	UH	uh
she	PP	she
has	VHZ	have
