<video_id>GeRrWg-yRy8</video_id>	JJ	<video_id>GeRrWg-yRy8</video_id>
<video_title>War	NN	<video_title>War
on	IN	on
Gaza:	NP	Gaza:
Aid	NP	Aid
workers	NNS	worker
killed	VVD	kill
getting	VVG	get
food	NN	food
to	TO	to
people	NNS	people
‘on	NN	‘on
the	DT	the
precipice	NN	precipice
of	IN	of
famine’</video_title>	JJ	famine’</video_title>
<thumbnail_path>data/en_AJ\War	NN	<thumbnail_path>data/en_AJ\War
on	IN	on
Gaza	NP	Gaza
Aid	NP	Aid
workers	NNS	worker
killed	VVD	kill
getting	VVG	get
food	NN	food
to	TO	to
people	NNS	people
‘on	NN	‘on
the	DT	the
precipice	NN	precipice
of	IN	of
famine’.jpg</thumbnail_path>	JJ	famine’.jpg</thumbnail_path>
<publish_date>20240402</publish_date>	NN	<publish_date>20240402</publish_date>
<doc>	JJ	<doc>
Al	NP	Al
jaz's	NNS	jaz's
hind	JJ	hind
Al	NP	Al
hudi	NN	hudi
is	VBZ	be
in	IN	in
Dar	NP	Dar
Bala	NP	Bala
where	WRB	where
that	DT	that
attack	NN	attack
on	IN	on
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
employees	NNS	employee
happened	VVD	happen
she	PP	she
reports	VVZ	report
from	IN	from
the	DT	the
scene	NN	scene
I'm	NN	I'm
currently	RB	currently
standing	VVG	stand
in	IN	in
front	RB	front
one	CD	one
of	IN	of
the	DT	the
vehicles	NNS	vehicle
that	WDT	that
has	VHZ	have
been	VBN	be
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
last	JJ	last
night	NN	night
this	DT	this
car	NN	car
and	CC	and
two	CD	two
other	JJ	other
cars	NNS	car
across	IN	across
the	DT	the
AR	NP	Ar
Rashid	NP	Rashid
Street	NP	Street
have	VHP	have
been	VBN	be
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	NP	Israeli
forces	VVZ	force
three	CD	three
of	IN	of
the	DT	the
cars	NNS	car
are	VBP	be
for	IN	for
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
and	CC	and
they	PP	they
had	VHD	have
uh	UH	uh
Aid	NN	aid
workers	NNS	worker
in	IN	in
uh	UH	uh
inside	IN	inside
the	DT	the
cars	NNS	car
uh	UH	uh
so	RB	so
far	RB	far
we	PP	we
know	VVP	know
that	IN/that	that
an	DT	an
Australian	JJ	Australian
a	DT	a
Polish	JJ	Polish
a	DT	a
British	NP	British
a	DT	a
