<video_id>o50ZN-TOtII</video_id>	JJ	<video_id>o50ZN-TOtII</video_id>
<video_title>Biden	JJ	<video_title>Biden
proven	JJ	proven
unreliable	JJ	unreliable
and	CC	and
untrustworthy	JJ	untrustworthy
regarding	VVG	regard
Israel	NP	Israel
war	NN	war
on	IN	on
Gaza:	NP	Gaza:
Marwan	NP	Marwan
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\Biden	JJ	<thumbnail_path>data/en_AJ\Biden
proven	JJ	proven
unreliable	JJ	unreliable
and	CC	and
untrustworthy	JJ	untrustworthy
regarding	VVG	regard
Israel	NP	Israel
war	NN	war
on	IN	on
Gaza	NP	Gaza
Marwan	NP	Marwan
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20240531</publish_date>	NN	<publish_date>20240531</publish_date>
<doc>	NN	<doc>
senior	JJ	senior
political	JJ	political
anal	JJ	anal
Maran	NP	Maran
bashara	NN	bashara
he	PP	he
joins	VVZ	join
us	PP	us
on	IN	on
Skype	NP	Skype
from	IN	from
London	NP	London
now	RB	now
and	CC	and
I	PP	I
don't	VVD	don't
know	VV	know
if	IN	if
you're	NN	you're
listening	VVG	listen
Maran	NP	Maran
to	TO	to
some	DT	some
of	IN	of
what	WP	what
uh	UH	uh
Omar	NP	Omar
was	VBD	be
saying	VVG	say
but	CC	but
uh	UH	uh
I	PP	I
suppose	VVP	suppose
the	DT	the
calculation	NN	calculation
on	IN	on
the	DT	the
part	NN	part
of	IN	of
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
now	RB	now
is	VBZ	be
that	IN/that	that
after	IN	after
their	PP$	their
strong	JJ	strong
support	NN	support
for	IN	for
Israel	NP	Israel
over	IN	over
the	DT	the
past	JJ	past
seven	CD	seven
months	NNS	month
and	CC	and
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinian	JJ	Palestinian
deaths	NNS	death
including	VVG	include
women	NNS	woman
children	NNS	child
and	CC	and
civilians	NNS	civilian
that	IN/that	that
if	IN	if
this	DT	this
continues	VVZ	continue
it's	NNS	it's
going	VVG	go
to	TO	to
lose	VV	lose
him	PP	him
the	DT	the
election	NN	election
well	RB	well
look	VVP	look
I	PP	I
mean	VVP	mean
I	PP	I
hate	VVP	hate
to	TO	to
