tar	NN	tar
kabu	NN	kabu
aoom	NN	aoom
is	VBZ	be
inside	IN	inside
Gaza	NP	Gaza
for	IN	for
us	PP	us
it	PP	it
is	VBZ	be
9900	CD	@card@
p	NN	p
.	SENT	.
m	NN	m
.	SENT	.
where	WRB	where
you	PP	you
are	VBP	be
behind	IN	behind
you	PP	you
I	PP	I
see	VVP	see
some	DT	some
light	NN	light
but	CC	but
mostly	RB	mostly
Darkness	NN	darkness
talk	NN	talk
to	TO	to
us	PP	us
about	IN	about
how	WRB	how
Palestinian	JJ	Palestinian
families	NNS	family
live	VVP	live
after	RB	after
dark	VV	dark
well	UH	well
uh	UH	uh
the	DT	the
uh	UH	uh
since	IN	since
the	DT	the
the	DT	the
the	DT	the
early	JJ	early
outbreak	NN	outbreak
of	IN	of
the	DT	the
current	JJ	current
conflict	VV	conflict
uh	UH	uh
thousands	NNS	thousand
and	CC	and
hundred	CD	hundred
thousands	NNS	thousand
of	IN	of
Palestinian	JJ	Palestinian
families	NNS	family
were	VBD	be
forced	VVN	force
to	TO	to
evacuate	VV	evacuate
the	DT	the
houses	NNS	house
in	IN	in
order	NN	order
to	TO	to
be	VB	be
safe	JJ	safe
from	IN	from
the	DT	the
Israeli	JJ	Israeli
ongoing	JJ	ongoing
bombardment	NN	bombardment
um	NN	um
30	CD	@card@
to	TO	to
uh	UH	uh
uh	UH	uh
30	CD	@card@
to	TO	to
70	CD	@card@
%	NN	%
of	IN	of
those	DT	those
displaced	VVN	displace
people	NNS	people
head	NN	head
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
Affiliated	NP	Affiliated
schools	NNS	school
in	IN	in
order	NN	order
to	TO	to
take	VV	take
them	PP	them
as	IN	as
safe	JJ	safe
shelters	NNS	shelter
from	IN	from
the	DT	the
Israeli	JJ	Israeli
bombardment	NN	bombardment
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
said	VVD	say
that	DT	that
uh	UH	uh
the	DT	the
number	NN	number
of	IN	of
displaced	VVN	displace
people	NNS	people
reached	VVN	reach
around	IN	around
175	CD	@card@
,	,	,
000	CD	@card@
uh	UH	uh
displaced	VVN	displace
Palestinian	NN	Palestinian
who	WP	who
are	VBP	be
receiving	VVG	receive
now	RB	now
humanitarian	JJ	humanitarian
Aid	NN	aid
and	CC	and
even	RB	even
help	VV	help
from	IN	from
the	DT	the
United	NP	United
Nation	NP	Nation
uh	UH	uh
staff	NN	staff
in	IN	in
the	DT	the
United	NP	United
Nations	NPS	Nations
Affiliated	NP	Affiliated
school	NN	school
as	IN	as
well	UH	well
uh	UH	uh
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
was	VBD	be
happening	VVG	happen
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
St	NP	St
during	IN	during
the	DT	the
the	DT	the
past	JJ	past
hour	NN	hour
the	DT	the
uh	UH	uh
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
has	VHZ	have
been	VBN	be
highly	RB	highly
uh	UH	uh
bombarded	VVN	bombard
specifically	RB	specifically
by	IN	by
the	DT	the
Israeli	JJ	Israeli
naval	JJ	naval
ships	VVZ	ship
uh	UH	uh
which	WDT	which
was	VBD	be
targeting	VVG	target
the	DT	the
coastline	NN	coastline
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
destroying	VVG	destroy
uh	UH	uh
adjacent	JJ	adjacent
buildings	NNS	building
to	TO	to
the	DT	the
uh	UH	uh
to	TO	to
the	DT	the
coast	NN	coast
as	IN	as
well	UH	well
uh	UH	uh
according	VVG	accord
to	TO	to
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
the	DT	the
death	NN	death
casualties	NNS	casualty
and	CC	and
the	DT	the
death	NN	death
doll	NN	doll
has	VHZ	have
risen	VVN	rise
uh	UH	uh
in	IN	in
both	DT	both
sides	NNS	side
and	CC	and
in	IN	in
particular	JJ	particular
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
among	IN	among
the	DT	the
victims	NNS	victim
of	IN	of
the	DT	the
ongoing	JJ	ongoing
Israeli	JJ	Israeli
strikes	NNS	strike
were	VBD	be
around	RB	around
13	CD	@card@
Palestinian	JJ	Palestinian
health	NN	health
workers	NNS	worker
who	WP	who
were	VBD	be
uh	UH	uh
killed	VVN	kill
during	IN	during
doing	VVG	do
the	DT	the
job	NN	job
in	IN	in
evacuating	VVG	evacuate
victims	NNS	victim
in	IN	in
this	DT	this
trip	NN	trip
as	RB	as
well	RB	well
in	IN	in
addition	NN	addition
eight	CD	eight
Palestinian	JJ	Palestinian
journalists	NNS	journalist
were	VBD	be
killed	VVN	kill
two	CD	two
others	NNS	other
are	VBP	be
still	RB	still
missing	VVG	miss
uh	UH	uh
since	IN	since
the	DT	the
early	JJ	early
outbreak	NN	outbreak
of	IN	of
the	DT	the
uh	UH	uh
this	DT	this
current	JJ	current
conflict	NN	conflict
T	NN	T
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
for	IN	for
that	WDT	that
recap	VVP	recap
I	PP	I
I	PP	I
do	VVP	do
want	VV	want
to	TO	to
ask	VV	ask
you	PP	you
again	RB	again
how	WRB	how
are	VBP	be
