<video_id>RElRxUiU2U8</video_id>	NP	<video_id>RElRxUiU2U8</video_id>
<video_title>Gaza,	NP	<video_title>Gaza,
the	DT	the
twilight	NN	twilight
zone	NN	zone
where	WRB	where
Israeli	JJ	Israeli
morality	NN	morality
meets	VVZ	meet
the	DT	the
Palestinian	JJ	Palestinian
tragedy	NN	tragedy
it	PP	it
created:	NP	created:
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\Gaza,	NP	<thumbnail_path>data/en_AJ\Gaza,
the	DT	the
twilight	NN	twilight
zone	NN	zone
where	WRB	where
Israeli	JJ	Israeli
morality	NN	morality
meets	VVZ	meet
the	DT	the
Palestinian	JJ	Palestinian
tragedy	NN	tragedy
it	PP	it
created	VVD	create
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20240328</publish_date>	NP	<publish_date>20240328</publish_date>
<doc>	NP	<doc>
Maran	NP	Maran
bashara	NP	Bashara
Maran	NP	Maran
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
these	DT	these
extraordinary	JJ	extraordinary
pictures	VVZ	picture
uh	UH	uh
that	IN/that	that
we	PP	we
are	VBP	be
that	DT	that
we've	NN	we've
just	RB	just
been	VBN	be
playing	VVG	play
uh	UH	uh
T	NN	T
Abu	NP	Abu
aom	NN	aom
telling	VVG	tell
us	PP	us
that	DT	that
uh	UH	uh
this	DT	this
incident	NN	incident
taking	VVG	take
place	NN	place
in	IN	in
the	DT	the
North	NP	North
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
very	RB	very
close	VV	close
to	TO	to
the	DT	the
area	NN	area
where	WRB	where
that	DT	that
Pier	NP	Pier
was	VBD	be
built	VVN	build
to	TO	to
bring	VV	bring
in	IN	in
humanitarian	JJ	humanitarian
aid	NN	aid
from	IN	from
the	DT	the
sea	NN	sea
I	PP	I
mean	VVP	mean
it's	NNS	it's
it's	NNS	it's
just	RB	just
so	RB	so
distressing	JJ	distressing
isn't	NN	isn't
it	PP	it
I	PP	I
mean	VVP	mean
you	PP	you
know	VVP	know
probably	RB	probably
certain	JJ	certain
words	NNS	word
should	MD	should
be	VB	be
invented	VVN	invent
uh	UH	uh
for	IN	for
this	DT	this
sorts	NNS	sort
of	IN	of
thing	NN	thing
I'm	NN	I'm
not	RB	not
sure	RB	sure
we	PP	we
do	VVP	do
have	VH	have
sufficient	JJ	sufficient
vocabulary	NN	vocabulary
to	TO	to
describe	VV	describe
um	NNS	um
this	DT	this
sort	NN	sort
of	IN	of
um	JJ	um
Twilight	NN	twilight
Zone	NP	Zone
really	RB	really
it's	NNS	it's
a	DT	a
it's	NN	it's
a	DT	a
it's	NNS	it's
quite	PDT	quite
the	DT	the
Twilight	NN	twilight
Zone	NP	Zone
between	IN	between
um	JJ	um
Israel's	NP	Israel's
fantasy	NN	fantasy
of	IN	of
the	DT	the
most	RBS	most
moral	JJ	moral
Army	NN	army
and	CC	and
here	RB	here
it	PP	it
is	VBZ	be
now	RB	now
in	IN	in
black	JJ	black
and	CC	and
white	JJ	white
for	IN	for
everyone	NN	everyone
to	TO	to
see	VV	see
there	RB	there
there's	RB	there's
there's	RB	there's
there's	RB	there's
no	DT	no
hiding	NN	hiding
behind	IN	behind
these	DT	these
pictures	NNS	picture
about	IN	about
what	WP	what
is	VBZ	be
happening	VVG	happen
there's	RB	there's
absolutely	RB	absolutely
no	DT	no
hiding	NN	hiding
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
thing	NN	thing
