okay	JJ	okay
let	NN	let
'	POS	'
s	NNS	s
speak	VVP	speak
now	RB	now
on	IN	on
the	DT	the
phone	NN	phone
to	TO	to
safwat	NP	safwat
Al	NP	Al
kalut	NN	kalut
our	PP$	our
correspondent	NN	correspondent
in	IN	in
Gaza	NP	Gaza
some	DT	some
positive	JJ	positive
news	NN	news
at	IN	at
least	JJS	least
with	IN	with
the	DT	the
return	NN	return
of	IN	of
telephone	NN	telephone
and	CC	and
internet	NN	Internet
communication	NN	communication
stff	NN	stff
what	WP	what
talk	VVP	talk
us	PP	us
through	IN	through
what	WP	what
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
have	VHP	have
been	VBN	be
like	IN	like
look	NN	look
let	VVP	let
me	PP	me
say	VVP	say
the	DT	the
first	JJ	first
that	IN/that	that
all	DT	all
of	IN	of
our	PP$	our
neighbors	NNS	neighbor
here	RB	here
where	WRB	where
we	PP	we
are	VBP	be
displaced	VVN	displace
our	PP$	our
work	NN	work
up	RB	up
and	CC	and
immediately	RB	immediately
they	PP	they
grab	VVP	grab
their	PP$	their
phones	NNS	phone
and	CC	and
try	VVP	try
to	TO	to
communicate	VV	communicate
with	IN	with
their	PP$	their
families	NNS	family
since	IN	since
most	JJS	most
of	IN	of
the	DT	the
people	NNS	people
here	RB	here
have	VHP	have
been	VBN	be
displaced	VVN	displace
from	IN	from
uh	UH	uh
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	RB	as
well	RB	well
as	IN	as
Gaza	NP	Gaza
City	NP	City
to	TO	to
the	DT	the
southern	JJ	southern
area	NN	area
based	VVN	base
on	IN	on
the	DT	the
Israeli	JJ	Israeli
War	NN	war
so	IN	so
uh	UH	uh
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
was	VBD	be
uh	UH	uh
let	VV	let
'	''	'
s	NNS	s
say	VVP	say
the	DT	the
hardest	JJS	hard
in	IN	in
the	DT	the
last	JJ	last
uh	UH	uh
three	CD	three
weeks	NNS	week
of	IN	of
Israeli	NP	Israeli
War	NP	War
and	CC	and
God	NP	God
since	IN	since
at	IN	at
least	JJS	least
people	NNS	people
cannot	MD	can
or	CC	or
could	MD	could
not	RB	not
communicate	VV	communicate
and	CC	and
ask	VV	ask
about	IN	about
theirs	PP	theirs
following	VVG	follow
as	RB	as
as	IN	as
they	PP	they
have	VHP	have
been	VBN	be
used	VVN	use
using	VVG	use
to	TO	to
do	VV	do
following	VVG	follow
every	DT	every
Israeli	JJ	Israeli
air	NN	air
strike	VV	strike
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
internet	NN	Internet
and	CC	and
social	JJ	social
media	NNS	medium
was	VBD	be
the	DT	the
only	JJ	only
way	NN	way
that	IN/that	that
people	NNS	people
could	MD	could
communicate	VV	communicate
especially	RB	especially
in	IN	in
different	JJ	different
areas	NNS	area
in	IN	in
the	DT	the
Gip	NN	gip
and	CC	and
to	TO	to
communicate	VV	communicate
also	RB	also
with	IN	with
the	DT	the
with	IN	with
theirs	PP	theirs
who	WP	who
are	VBP	be
who	WP	who
