Peace	NN	peace
be	VB	be
upon	IN	upon
you	PP	you
.	SENT	.
I	PP	I
am	VBP	be
Al	NP	Al
-	NN	-
Hakimah	NP	Hakimah
Warda	NP	Warda
Al	NP	Al
-	NP	-
Awawda	NP	Awawda
.	SENT	.
I	PP	I
work	VVP	work
in	IN	in
Al	NP	Al
-	NP	-
Aqsa	NP	Aqsa
Hospital	NP	Hospital
,	,	,
the	DT	the
nursery	NN	nursery
department	NN	department
.	SENT	.
Nursery	NN	nursery
care	NN	care
.	SENT	.
Fakfak	NP	Fakfak
.	SENT	.
Al	NP	Al
-	NP	-
Aqsa	NP	Aqsa
Hospital	NP	Hospital
includes	VVZ	include
two	CD	two
departments	NNS	department
,	,	,
an	DT	an
intermediate	JJ	intermediate
care	NN	care
department	NN	department
,	,	,
an	DT	an
intermediate	JJ	intermediate
nursery	NN	nursery
and	CC	and
an	DT	an
intensive	JJ	intensive
care	NN	care
department	NN	department
.	SENT	.
Now	RB	now
,	,	,
with	IN	with
regard	NN	regard
to	TO	to
women	NNS	woman
giving	VVG	give
birth	NN	birth
during	IN	during
the	DT	the
Al	NP	Al
-	NN	-
Aqsa	NP	Aqsa
flood	NN	flood
war	NN	war
,	,	,
we	PP	we
noticed	VVD	notice
a	DT	a
high	JJ	high
admission	NN	admission
rate	NN	rate
in	IN	in
the	DT	the
care	NN	care
department	NN	department
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
case	NN	case
in	IN	in
the	DT	the
Han	NP	Han
department	NN	department
,	,	,
a	DT	a
child	NN	child
care	NN	care
department	NN	department
.	SENT	.
We	PP	we
are	VBP	be
forced	VVN	force
to	TO	to
receive	VV	receive
children	NNS	child
according	VVG	accord
to	TO	to
the	DT	the
intention	NN	intention
of	IN	of
children	NNS	child
who	WP	who
were	VBD	be
bombed	VVN	bomb
,	,	,
there	EX	there
are	VBP	be
families	NNS	family
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
mother	NN	mother
or	CC	or
father	NN	father
,	,	,
there	EX	there
is	VBZ	be
no	RB	no
one	CD	one
for	IN	for
them	PP	them
,	,	,
but	CC	but
we	PP	we
know	VVP	know
who	WP	who
they	PP	they
are	VBP	be
.	SENT	.
We	PP	we
also	RB	also
deal	VVP	deal
with	IN	with
these	DT	these
children	NNS	child
,	,	,
and	CC	and
also	RB	also
in	IN	in
terms	NNS	term
of	IN	of
care	NN	care
,	,	,
we	PP	we
always	RB	always
have	VHP	have
a	DT	a
family	NN	family
of	IN	of
one	CD	one
or	CC	or
more	JJR	more
,	,	,
meaning	VVG	mean
the	DT	the
future	NN	future
of	IN	of
more	JJR	more
cases	NNS	case
than	IN	than
the	DT	the
number	NN	number
of	IN	of
existing	VVG	exist
beds	NNS	bed
,	,	,
except	IN	except
that	WDT	that
there	EX	there
is	VBZ	be
a	DT	a
supply	NN	supply
transport	NN	transport
.	SENT	.
There	EX	there
are	VBP	be
certain	JJ	certain
medical	JJ	medical
supplies	NNS	supply
for	IN	for
basic	JJ	basic
and	CC	and
necessary	JJ	necessary
treatments	NNS	treatment
.	SENT	.
This	DT	this
is	VBZ	be
in	IN	in
danger	NN	danger
.	SENT	.
If	IN	if
this	DT	this
treatment	NN	treatment
is	VBZ	be
lacking	VVG	lack
,	,	,
there	EX	there
will	MD	will
be	VB	be
a	DT	a
problem	NN	problem
.	SENT	.
This	DT	this
means	VVZ	mean
that	IN/that	that
this	DT	this
will	MD	will
have	VH	have
a	DT	a
direct	JJ	direct
impact	NN	impact
on	IN	on
the	DT	the
lives	NNS	life
of	IN	of
premature	JJ	premature
patients	NNS	patient
,	,	,
heart	NN	heart
patients	NNS	patient
,	,	,
children	NNS	child
,	,	,
basic	JJ	basic
care	NN	care
.	SENT	.
Sometimes	RB	sometimes
there	EX	there
is	VBZ	be
