<video_id>NsTSV7QlUh0</video_id>	JJ	<video_id>NsTSV7QlUh0</video_id>
<video_title>Palestinians	NNS	<video_title>Palestinians
in	IN	in
occupied	JJ	occupied
west	JJ	west
bank	NN	bank
are	VBP	be
expected	VVN	expect
to	TO	to
march	VV	march
on	IN	on
illegal	JJ	illegal
Israeli	JJ	Israeli
settlements</video_title>	NN	settlements</video_title>
<thumbnail_path>data/en_AJ\Palestinians	NNS	<thumbnail_path>data/en_AJ\Palestinians
in	IN	in
occupied	JJ	occupied
west	JJ	west
bank	NN	bank
are	VBP	be
expected	VVN	expect
to	TO	to
march	VV	march
on	IN	on
illegal	JJ	illegal
Israeli	JJ	Israeli
settlements.jpg</thumbnail_path>	NN	settlements.jpg</thumbnail_path>
<publish_date>20231013</publish_date>	NN	<publish_date>20231013</publish_date>
<doc>	JJ	<doc>
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
killed	VVN	kill
at	IN	at
least	JJS	least
11	CD	@card@
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
on	IN	on
Friday	NP	Friday
the	DT	the
Palestinians	NPS	Palestinians
have	VHP	have
gathered	VVN	gather
in	IN	in
several	JJ	several
places	NNS	place
including	VVG	include
near	IN	near
the	DT	the
illegal	JJ	illegal
settlement	NN	settlement
of	IN	of
B	NP	B
Al	NP	Al
to	TO	to
protest	VV	protest
in	IN	in
support	NN	support
of	IN	of
Gaza	NP	Gaza
since	IN	since
Saturday	NP	Saturday
at	IN	at
least	JJS	least
47	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
either	CC	either
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
or	CC	or
in	IN	in
settler	NN	settler
attacks	NNS	attack
Nita	NP	Nita
Ibraham	NP	Ibraham
is	VBZ	be
in	IN	in
bate	NN	bate
Allen	NP	Allen
she	PP	she
joins	VVZ	join
us	PP	us
live	VV	live
so	IN	so
Nita	NP	Nita
11	NP	@card@
Palestinians	NPS	Palestinians
killed	VVD	kill
there	RB	there
today	NN	today
can	MD	can
you	PP	you
just	RB	just
bring	VVP	bring
us	PP	us
up	RP	up
to	TO	to
date	VV	date
with	IN	with
exactly	RB	exactly
what	WP	what
has	VHZ	have
happened	VVN	happen
well	RB	well
after	IN	after
the	DT	the
Friday	NP	Friday
prayers	NNS	prayer
Palestinians	NNS	Palestinian
have	VHP	have
took	VVD	take
to	TO	to
the	DT	the
streets	NNS	street
of	IN	of
different	JJ	different
Palestinian	JJ	Palestinian
cities	NNS	city
here	RB	here
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
and	CC	and
moved	VVD	move
to	TO	to
confrontation	NN	confrontation
points	NNS	point
with	IN	with
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
and	CC	and
tried	VVD	try
to	TO	to
show	VV	show
support	NN	support
for	IN	for
Gaza	NP	Gaza
and	CC	and
protesting	VVG	protest
against	IN	against
the	DT	the
Israeli	JJ	Israeli
bombardment	NN	bombardment
on	IN	on
their	PP$	their
fellow	JJ	fellow
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
besieged	JJ	besieged
Gaza	NP	Gaza
Strip	NP	Strip
we're	NN	we're
here	RB	here
in	IN	in
front	NN	front
of	IN	of
one	CD	one
protest	NN	protest
that	WDT	that
is	VBZ	be
happening	VVG	happen
in	IN	in
front	NN	front
of	IN	of
the	DT	the
illegalist	JJ	illegalist
Israeli	JJ	Israeli
settlement	NN	settlement
of	IN	of
b	NN	b
l	NN	l
and	CC	and
we're	NN	we're
seeing	VVG	see
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
using	VVG	use
live	JJ	live
ammunition	NN	ammunition
against	IN	against
the	DT	the
protesters	NNS	protester
you're	NN	you're
talking	VVG	talk
about	IN	about
people	NNS	people
who	WP	who
are	VBP	be
only	RB	only
armed	VVN	arm
with	IN	with
rocks	NNS	rock
if	IN	if
so	RB	so
and	CC	and
they're	NN	they're
being	VBG	be
hit	VVN	hit
with	IN	with
even	JJ	even
drones	NNS	drone
carrying	VVG	carry
tear	NN	tear
gas	NN	gas
and	CC	and
directing	VVG	direct
it	PP	it
towards	IN	towards
the	DT	the
protesters	NNS	protester
and	CC	and
as	RB	as
you	PP	you
can	MD	can
see	VV	see
now	RB	now
it's	NNS	it's
getting	VVG	get
darker	JJR	dark
which	WDT	which
means	VVZ	mean
it's	NNS	it's
going	VVG	go
to	TO	to
get	VV	get
more	RBR	more
risky	JJ	risky
for	IN	for
Palestinians	NPS	Palestinians
it's	NNS	it's
going	VVG	go
to	TO	to
be	VB	be
hard	JJ	hard
for	IN	for
them	PP	them
to	TO	to
identify	VV	identify
where	WRB	where
the	DT	the
shooting	NN	shooting
is	VBZ	be
coming	VVG	come
from	IN	from
as	IN	as
we	PP	we
are	VBP	be
seeing	VVG	see
these	DT	these
forces	NNS	force
moving	VVG	move
in	IN	in
different	JJ	different
directions	NNS	direction
around	IN	around
the	DT	the
military	JJ	military
checkpoint	NN	checkpoint
and	CC	and
around	IN	around
the	DT	the
illegal	JJ	illegal
Israeli	JJ	Israeli
settlement	NN	settlement
and	CC	and
let's	NNS	let's
not	RB	not
forget	VVP	forget
that	IN/that	that
in	IN	in
front	NN	front
of	IN	of
us	PP	us
also	RB	also
maybe	RB	maybe
we	PP	we
can	MD	can
Pan	NP	Pan
the	DT	the
camera	NN	camera
to	TO	to
show	VV	show
you	PP	you
is	VBZ	be
the	DT	the
center	NN	center
of	IN	of
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
the	DT	the
building	NN	building
where	WRB	where
basically	RB	basically
the	DT	the
Palestinian	JJ	Palestinian
movement	NN	movement
is	VBZ	be
decided	VVN	decide
the	DT	the
Palestinian	JJ	Palestinian
permits	NNS	permit
so	RB	so
when	WRB	when
we	PP	we
talk	VVP	talk
about	IN	about
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
a	DT	a
system	NN	system
of	IN	of
occupation	NN	occupation
that	WDT	that
has	VHZ	have
been	VBN	be
in	IN	in
place	NN	place
for	IN	for
decades	NNS	decade
where	WRB	where
Palestinians	NPS	Palestinians
even	RB	even
have	VHP	have
to	TO	to
take	VV	take
a	DT	a
military	JJ	military
permit	NN	permit
before	IN	before
they	PP	they
go	VVP	go
to	TO	to
a	DT	a
hospital	NN	hospital
before	IN	before
they	PP	they
go	VVP	go
from	IN	from
one	CD	one
place	NN	place
to	TO	to
another	DT	another
