now	RB	now
some	DT	some
bakeries	NNS	bakery
have	VHP	have
reopened	VVN	reopen
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
and	CC	and
have	VHP	have
started	VVN	start
selling	VVG	sell
small	JJ	small
amounts	NNS	amount
of	IN	of
bread	NN	bread
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
has	VHZ	have
destroyed	VVN	destroy
bakeries	NNS	bakery
right	RB	right
across	IN	across
Gaza	NP	Gaza
and	CC	and
has	VHZ	have
prevented	VVN	prevent
the	DT	the
entry	NN	entry
of	IN	of
flour	NN	flour
and	CC	and
other	JJ	other
basic	JJ	basic
Goods	NP	Goods
as	IN	as
Palestinians	NPS	Palestinians
struggle	NN	struggle
with	IN	with
forc	NN	forc
starvation	NN	starvation
let	VVD	let
'	''	'
s	NNS	s
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
with	IN	with
mu	NN	mu
alah	NN	alah
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
jabalia	NN	jabalia
so	IN	so
the	DT	the
opening	NN	opening
of	IN	of
a	DT	a
a	DT	a
small	JJ	small
number	NN	number
of	IN	of
bakeries	NNS	bakery
is	VBZ	be
that	IN/that	that
having	VHG	have
an	DT	an
impact	NN	impact
on	IN	on
the	DT	the
availability	NN	availability
and	CC	and
and	CC	and
price	NN	price
of	IN	of
bread	NN	bread
yes	NN	yes
Sami	NP	Sami
the	DT	the
uh	UH	uh
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
markets	NNS	market
is	VBZ	be
witnessing	VVG	witness
a	DT	a
lot	NN	lot
recovery	NN	recovery
after	IN	after
the	DT	the
entering	VVG	enter
of	IN	of
a	DT	a
view	NN	view
amount	NN	amount
of	IN	of
Flor	NP	Flor
and	CC	and
food	NN	food
and	CC	and
also	RB	also
supplies	VVZ	supply
to	TO	to
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
through	IN	through
arid	JJ	arid
Street	NP	Street
and	CC	and
finally	RB	finally
you	PP	you
can	MD	can
see	VV	see
flaw	NN	flaw
in	IN	in
the	DT	the
markets	NNS	market
finally	RB	finally
you	PP	you
can	MD	can
see	VV	see
food	NN	food
and	CC	and
tomato	NN	tomato
or	CC	or
potatoes	NNS	potato
in	IN	in
the	DT	the
markets	NNS	market
sellers	NNS	seller
have	VHP	have
something	NN	something
to	TO	to
offer	VV	offer
for	IN	for
after	IN	after
more	JJR	more
than	IN	than
half	PDT	half
a	DT	a
year	NN	year
of	IN	of
being	VBG	be
closed	VVN	close
and	CC	and
markets	NNS	market
are	VBP	be
destroyed	VVN	destroy
so	IN	so
sellers	NNS	seller
here	RB	here
are	VBP	be
offering	VVG	offer
uh	UH	uh
some	DT	some
food	NN	food
and	CC	and
supplies	NNS	supply
after	IN	after
a	DT	a
long	JJ	long
time	NN	time
of	IN	of
closing	VVG	close
despite	IN	despite
the	DT	the
the	DT	the
expensive	JJ	expensive
of	IN	of
these	DT	these
products	NNS	product
but	CC	but
still	RB	still
uh	UH	uh
the	DT	the
uh	UH	uh
pric	NN	pric
is	VBZ	be
getting	VVG	get
down	RP	down
every	DT	every
day	NN	day
every	DT	every
day	NN	day
is	VBZ	be
the	DT	the
prices	NNS	price
is	VBZ	be
getting	VVG	get
down	RP	down
so	IN	so
the	DT	the
prices	NNS	price
of	IN	of
today	NN	today
is	VBZ	be
cheaper	JJR	cheap
than	IN	than
the	DT	the
yesterday	NN	yesterday
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
flaw	VV	flaw
floor	NN	floor
is	VBZ	be
finally	RB	finally
offered	VVN	offer
in	IN	in
the	DT	the
markets	NNS	market
and	CC	and
there	EX	there
is	VBZ	be
one	CD	one
only	RB	only
a	DT	a
bakery	NN	bakery
in	IN	in
north	NN	north
of	IN	of
Gaza	NP	Gaza
and	CC	and
Gaza	NP	Gaza
City	NP	City
which	WDT	which
is	VBZ	be
Cal	NP	Cal
or	CC	or
camel	JJ	camel
Cal	NP	Cal
a	DT	a
bakery	NN	bakery
in	IN	in
the	DT	the
in	IN	in
the	DT	the
Gaza	NP	Gaza
City	NP	City
that	IN/that	that
to	TO	to
provide	VV	provide
uh	UH	uh
bread	NN	bread
for	IN	for
the	DT	the
people	NNS	people
and	CC	and
if	IN	if
you	PP	you
want	VVP	want
to	TO	to
buy	VV	buy
these	DT	these
bread	NN	bread
these	DT	these
three	CD	three
kilos	NNS	kilo
of	IN	of
bread	NN	bread
for	IN	for
five	CD	five
shakles	NNS	shakles
you	PP	you
would	MD	would
wait	VV	wait
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
line	NN	line
in	IN	in
in	IN	in
the	DT	the
bakery	NN	bakery
there	RB	there
so	CC	so
uh	UH	uh
these	DT	these
trucks	NNS	truck
and	CC	and
these	DT	these
floor	NN	floor
that	IN/that	that
arriving	VVG	arrive
to	TO	to
the	DT	the
north	NN	north
the	DT	the
to	TO	to
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
is	VBZ	be
elevating	VVG	elevate
the	DT	the
the	DT	the
problem	NN	problem
and	CC	and
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
but	CC	but
still	RB	still
not	RB	not
solving	VVG	solve
it	PP	it
so	IN	so
people	NNS	people
who	WP	who
are	VBP	be
are	VBP	be
here	RB	here
are	VBP	be
asking	VVG	ask
for	IN	for
more	JJR	more
trucks	NNS	truck
asking	VVG	ask
for	IN	for
not	RB	not
killing	VVG	kill
the	DT	the
coordinators	NNS	coordinator
between	IN	between
the	DT	the
Traders	NNS	trader
and	CC	and
the	DT	the
other	JJ	other
side	NN	side
in	IN	in
the	DT	the
South	JJ	South
people	NNS	people
are	VBP	be
asking	VVG	ask
for	IN	for
not	RB	not
pumping	VVG	pump
here	RB	here
and	CC	and
there	RB	there
okay	JJ	okay
in	IN	in
general	NN	general
they	PP	they
are	VBP	be
asking	VVG	ask
for	IN	for
Seas	NNS	sea
fire	NN	fire
all	RB	all
right	RB	right
thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
