<video_id>1TsgINcg-ss</video_id>	JJ	<video_id>1TsgINcg-ss</video_id>
<video_title>Hamas	NN	<video_title>Hamas
chief	NN	chief
says	VVZ	say
Palestinians	NPS	Palestinians
will	MD	will
‘never	RB	‘never
leave	VV	leave
Gaza’</video_title>	NP	Gaza’</video_title>
<thumbnail_path>data/en_AJ\Hamas	NN	<thumbnail_path>data/en_AJ\Hamas
chief	NN	chief
says	VVZ	say
Palestinians	NPS	Palestinians
will	MD	will
‘never	RB	‘never
leave	VV	leave
Gaza’.jpg</thumbnail_path>	NP	Gaza’.jpg</thumbnail_path>
<publish_date>20231014</publish_date>	JJ	<publish_date>20231014</publish_date>
<doc>	NN	<doc>
we	PP	we
are	VBP	be
going	VVG	go
to	TO	to
cross	VV	cross
live	VV	live
now	RB	now
to	TO	to
a	DT	a
senior	JJ	senior
leader	NN	leader
of	IN	of
Hamas	NP	Hamas
who	WP	who
is	VBZ	be
speaking	VVG	speak
now	RB	now
the	DT	the
lands	NNS	land
and	CC	and
territories	NNS	territory
of	IN	of
Gaza	NP	Gaza
and	CC	and
all	DT	all
over	IN	over
the	DT	the
Palestinian	JJ	Palestinian
ter	NN	ter
territories	NNS	territory
they	PP	they
have	VHP	have
written	VVN	write
the	DT	the
history	NN	history
OFA	NP	Ofa
flood	NN	flood
they	PP	they
have	VHP	have
put	VVN	put
the	DT	the
right	JJ	right
beginning	NN	beginning
to	TO	to
eliminate	VV	eliminate
the	DT	the
occupation	NN	occupation
we	PP	we
need	VVP	need
no	DT	no
more	JJR	more
occupation	NN	occupation
to	TO	to
our	PP$	our
land	NN	land
s	NNS	s
and	CC	and
our	PP$	our
this	DT	this
resistance	NN	resistance
in	IN	in
every	DT	every
single	JJ	single
hour	NN	hour
in	IN	in
every	DT	every
single	JJ	single
moment	NN	moment
they	PP	they
go	VVP	go
and	CC	and
they	PP	they
hit	VVD	hit
everywhere	RB	everywhere
in	IN	in
the	DT	the
heart	NN	heart
of	IN	of
this	DT	this
Zionist	JJ	Zionist
criminal	JJ	criminal
regime	NN	regime
the	DT	the
Zionist	JJ	Zionist
regime	NN	regime
didn't	NN	didn't
manage	VVP	manage
despite	IN	despite
the	DT	the
Army	NP	Army
and	CC	and
the	DT	the
weapons	NNS	weapon
to	TO	to
face	VV	face
our	PP$	our
brave	JJ	brave
men	NNS	man
so	IN	so
the	DT	the
zist	NN	zist
regime	NN	regime
is	VBZ	be
now	RB	now
committing	VVG	commit
this	DT	this
genocide	NN	genocide
burned	VVD	burn
land	NN	land
and	CC	and
the	DT	the
attempts	NNS	attempt
to	TO	to
relocate	VV	relocate
our	PP$	our
people	NNS	people
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
zist	NN	zist
regime	NN	regime
thinks	VVZ	think
that	IN/that	that
these	DT	these
crimes	NNS	crime
these	DT	these
brutal	JJ	brutal
crimes	NNS	crime
B	NP	B
Bar	NP	Bar
crimes	NNS	crime
committed	VVN	commit
by	IN	by
this	DT	this
regime	NN	regime
will	MD	will
eliminate	VV	eliminate
the	DT	the
disgrace	NN	disgrace
of	IN	of
being	VBG	be
defeated	VVN	defeat
and	CC	and
of	IN	of
being	VBG	be
broken	VVN	break
with	IN	with
the	DT	the
start	NN	start
of	IN	of
the	DT	the
Strategic	NP	Strategic
Kasam	NP	Kasam
attack	NN	attack
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
but	CC	but
no	DT	no
way	NN	way
this	DT	this
attack	NN	attack
will	MD	will
never	RB	never
eliminate	VV	eliminate
all	PDT	all
the	DT	the
tools	NNS	tool
of	IN	of
Oppression	NN	oppression
and	CC	and
killing	NN	killing
and	CC	and
the	DT	the
political	JJ	political
consequences	NNS	consequence
security	NN	security
consequences	NNS	consequence
media	NNS	medium
consequences	NNS	consequence
but	CC	but
I	PP	I
can	MD	can
say	VV	say
that	IN/that	that
this	DT	this
Alam	NP	Alam
attack	NN	attack
has	VHZ	have
put	VVN	put
end	NN	end
to	TO	to
this	DT	this
policy	NN	policy
and	CC	and
to	TO	to
these	DT	these
Zionist	JJ	Zionist
plans	NNS	plan
of	IN	of
this	DT	this
fascist	JJ	fascist
government	NN	government
in	IN	in
Israel	NP	Israel
against	IN	against
our	PP$	our
prisoners	NNS	prisoner
against	IN	against
our	PP$	our
people	NNS	people
in	IN	in
Gaza	NP	Gaza
West	NP	West
Bank	NP	Bank
against	IN	against
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
everywhere	RB	everywhere
we	PP	we
will	MD	will
sort	VV	sort
and	CC	and
resume	VV	resume
the	DT	the
strategy	NN	strategy
of	IN	of
Freedom	NP	Freedom
