<video_id>LCr09c75u1c</video_id>	JJ	<video_id>LCr09c75u1c</video_id>
<video_title>Israeli	NN	<video_title>Israeli
military	NN	military
says	VVZ	say
Jabalia	NP	Jabalia
strike	NN	strike
targeted	VVD	target
Hamas	JJ	Hamas
commander</video_title>	JJ	commander</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
military	NN	military
says	VVZ	say
Jabalia	NP	Jabalia
strike	NN	strike
targeted	VVD	target
Hamas	JJ	Hamas
commander.jpg</thumbnail_path>	JJ	commander.jpg</thumbnail_path>
<publish_date>20231031</publish_date>	NN	<publish_date>20231031</publish_date>
<doc>	NN	<doc>
cross	VVP	cross
over	RP	over
now	RB	now
to	TO	to
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
and	CC	and
speak	VV	speak
to	TO	to
alzer's	NP	alzer's
Alan	NP	Alan
fiser	NP	Fiser
Alan	NP	Alan
so	IN	so
the	DT	the
Israelis	NPS	Israelis
finally	RB	finally
confirming	VVG	confirm
the	DT	the
attack	NN	attack
on	IN	on
the	DT	the
jabala	NN	jabala
refugee	NN	refugee
camp	NN	camp
that's	NNS	that's
right	JJ	right
they've	NN	they've
issued	VVD	issue
a	DT	a
statement	NN	statement
in	IN	in
the	DT	the
the	DT	the
last	JJ	last
hour	NN	hour
or	CC	or
so	RB	so
suggesting	VVG	suggest
that	IN/that	that
they	PP	they
were	VBD	be
targeting	VVG	target
Hamas	JJ	Hamas
Fighters	NNS	fighter
they	PP	they
say	VVP	say
that	IN/that	that
in	IN	in
the	DT	the
operation	NN	operation
they	PP	they
killed	VVD	kill
50	CD	@card@
Hamas	NN	Hamas
Fighters	NNS	fighter
some	RB	some
of	IN	of
them	PP	them
senior	JJ	senior
commanders	NNS	commander
and	CC	and
they	PP	they
also	RB	also
damaged	VVD	damage
what	WP	what
they	PP	they
describe	VVP	describe
as	IN	as
significant	JJ	significant
ter	NN	ter
IST	NP	ist
targets	VVZ	target
above	IN	above
and	CC	and
below	IN	below
ground	NN	ground
they	PP	they
say	VVP	say
the	DT	the
tunnels	NNS	tunnel
there	EX	there
were	VBD	be
being	VBG	be
used	VVN	use
to	TO	to
transport	VV	transport
fighters	NNS	fighter
to	TO	to
the	DT	the
beach	NN	beach
area	NN	area
and	CC	and
they	PP	they
were	VBD	be
using	VVG	use
that	IN/that	that
to	TO	to
launch	VV	launch
attacks	NNS	attack
on	IN	on
Israeli	JJ	Israeli
forces	NNS	force
so	IN	so
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
now	RB	now
talking	VVG	talk
about	IN	about
what	WP	what
happened	VVD	happen
in	IN	in
jabalia	NN	jabalia
but	CC	but
saying	VVG	say
it	PP	it
was	VBD	be
a	DT	a
military	JJ	military
operation	NN	operation
targeting	VVG	target
Hamas	JJ	Hamas
Fighters	NNS	fighter
and	CC	and
they	PP	they
killed	VVD	kill
50	CD	@card@
of	IN	of
them	PP	them
including	VVG	include
senior	JJ	senior
