<video_id>ZE8CR1fsKzg</video_id>	JJ	<video_id>ZE8CR1fsKzg</video_id>
<video_title>Israeli	NN	<video_title>Israeli
airstrikes	NNS	airstrikes
target	VVP	target
residential	JJ	residential
building	NN	building
near	IN	near
al-Shifa	NP	al-Shifa
Hospital</video_title>	NP	Hospital</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
airstrikes	NNS	airstrikes
target	VVP	target
residential	JJ	residential
building	NN	building
near	IN	near
al-Shifa	NP	al-Shifa
Hospital.jpg</thumbnail_path>	NP	Hospital.jpg</thumbnail_path>
<publish_date>20240318</publish_date>	NN	<publish_date>20240318</publish_date>
<doc>	NN	<doc>
another	DT	another
wave	NN	wave
of	IN	of
air	NN	air
strikes	NNS	strike
carried	VVD	carry
out	RP	out
by	IN	by
Israeli	JJ	Israeli
war	NN	war
planes	NNS	plane
on	IN	on
Gaza	NP	Gaza
City	NP	City
this	DT	this
time	NN	time
on	IN	on
alala	NP	Alala
Street	NP	Street
a	DT	a
short	JJ	short
while	IN	while
ago	RB	ago
a	DT	a
residential	JJ	residential
building	NN	building
on	IN	on
this	DT	this
road	NN	road
was	VBD	be
hit	VVN	hit
dust	NN	dust
and	CC	and
smoke	NN	smoke
is	VBZ	be
still	RB	still
Rising	VVG	rise
the	DT	the
building	NN	building
was	VBD	be
reduced	VVN	reduce
Rubble	NN	rubble
we	PP	we
will	MD	will
try	VV	try
to	TO	to
get	VV	get
closer	RBR	closer
to	TO	to
document	VV	document
the	DT	the
scale	NN	scale
of	IN	of
damage	NN	damage
as	IN	as
we	PP	we
speak	VVP	speak
the	DT	the
Israeli	JJ	Israeli
warplanes	NNS	warplane
and	CC	and
drones	NNS	drone
are	VBP	be
still	RB	still
hovering	VVG	hover
above	IN	above
our	PP$	our
heads	NNS	head
I'm	NP	I'm
trying	VVG	try
to	TO	to
reach	VV	reach
the	DT	the
building	NN	building
that	WDT	that
was	VBD	be
targeted	VVN	target
by	IN	by
the	DT	the
Israeli	JJ	Israeli
war	NN	war
planes	NNS	plane
the	DT	the
scale	NN	scale
of	IN	of
damage	NN	damage
is	VBZ	be
massive	JJ	massive
dozens	NNS	dozen
of	IN	of
people	NNS	people
were	VBD	be
killed	VVN	kill
dozens	NNS	dozen
more	RBR	more
were	VBD	be
injured	VVN	injure
we	PP	we
trying	VVG	try
to	TO	to
get	VV	get
closer	RBR	closer
to	TO	to
the	DT	the
targeted	JJ	targeted
Residential	JJ	residential
Building	NN	building
as	IN	as
you	PP	you
can	MD	can
see	VV	see
here	RB	here
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
victims	NNS	victim
killed	VVN	kill
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
air	NN	air
strikes	VVZ	strike
a	DT	a
young	JJ	young
girl	NN	girl
residents	NNS	resident
and	CC	and
neighbors	NNS	neighbor
