<video_id>wYoB8FvSG_0</video_id>	JJ	<video_id>wYoB8FvSG_0</video_id>
<video_title>Palestinians	NNS	<video_title>Palestinians
prevented	VVN	prevent
from	IN	from
worshipping	VVG	worship
at	IN	at
Al	NP	Al
Aqsa	NP	Aqsa
Mosque</video_title>	NP	Mosque</video_title>
<thumbnail_path>data/en_AJ\Palestinians	NNS	<thumbnail_path>data/en_AJ\Palestinians
prevented	VVN	prevent
from	IN	from
worshipping	VVG	worship
at	IN	at
Al	NP	Al
Aqsa	NP	Aqsa
Mosque.jpg</thumbnail_path>	NP	Mosque.jpg</thumbnail_path>
<publish_date>20231208</publish_date>	NN	<publish_date>20231208</publish_date>
<doc>	NN	<doc>
only	RB	only
5,000	CD	@card@
worshippers	NNS	worshipper
have	VHP	have
been	VBN	be
able	JJ	able
to	TO	to
perform	VV	perform
Friday	NP	Friday
praise	NN	praise
at	IN	at
the	DT	the
alaa	NN	alaa
mosque	NN	mosque
due	JJ	due
to	TO	to
restrictions	NNS	restriction
sahat	NN	sahat
isn't	NN	isn't
occupied	VVD	occupy
East	NP	East
Jerusalem	NP	Jerusalem
near	IN	near
the	DT	the
AL	NP	al
aamos	NNS	aamos
compound	VV	compound
where	WRB	where
Israeli	JJ	Israeli
forces	NNS	force
fired	VVD	fire
tear	VV	tear
gas	NN	gas
on	IN	on
worshippers	NNS	worshipper
going	VVG	go
to	TO	to
Friday	NP	Friday
prayers	NNS	prayer
we're	NN	we're
just	RB	just
going	VVG	go
to	TO	to
get	VV	get
out	RP	out
of	IN	of
the	DT	the
way	NN	way
cuz	NN	cuz
the	DT	the
smelly	JJ	smelly
water	NN	water
tank	NN	tank
is	VBZ	be
coming	VVG	come
over	IN	over
we	PP	we
don't	VVD	don't
want	VV	want
to	TO	to
get	VV	get
sprayed	VVN	spray
by	IN	by
that	DT	that
but	CC	but
Samir	NP	Samir
will	MD	will
show	VV	show
you	PP	you
as	IN	as
it's	NNS	it's
coming	VVG	come
tear	NN	tear
gas	NN	gas
has	VHZ	have
been	VBN	be
fired	VVN	fire
and	CC	and
that's	NNS	that's
the	DT	the
skunk	NN	skunk
water	NN	water
spray	VV	spray
oh	UH	oh
you've	NN	you've
just	RB	just
seen	VVN	see
a	DT	a
cameraman	NN	cameraman
fall	NN	fall
there	RB	there
this	DT	this
is	VBZ	be
the	DT	the
scene	NN	scene
that	IN/that	that
we're	NN	we're
seeing	VVG	see
every	DT	every
single	JJ	single
week	NN	week
now	RB	now
every	DT	every
Friday	NP	Friday
prayer	NN	prayer
surprisingly	RB	surprisingly
earlier	RBR	earlier
we	PP	we
didn't	VVD	didn't
see	VV	see
anything	NN	anything
happening	NN	happening
and	CC	and
we	PP	we
were	VBD	be
surprised	VVN	surprise
it	PP	it
seemed	VVD	seem
really	RB	really
quiet	VV	quiet
as	RB	as
soon	RB	soon
as	IN	as
the	DT	the
worshippers	NNS	worshipper
left	VVD	leave
M	NP	M
this	DT	this
is	VBZ	be
what	WP	what
happened	VVD	happen
we	PP	we
suddenly	RB	suddenly
saw	VVD	see
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
heading	VVG	head
down	RB	down
here	RB	here
this	DT	this
is	VBZ	be
WHYY	NP	WHYY
draws	VVZ	draw
just	RB	just
up	RB	up
the	DT	the
road	NN	road
there	EX	there
is	VBZ	be
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
that	WDT	that
tank	VVP	tank
there	RB	there
this	DT	this
is	VBZ	be
the	DT	the
one	CD	one
that	WDT	that
comes	VVZ	come
out	RP	out
every	DT	every
single	JJ	single
week	NN	week
to	TO	to
this	DT	this
area	NN	area
it	PP	it
stinks	VVZ	stink
it	PP	it
smells	VVZ	smell
really	RB	really
bad	JJ	bad
and	CC	and
they	PP	they
spray	VVP	spray
all	DT	all
of	IN	of
the	DT	the
streets	NNS	street
here	RB	here
earlier	RBR	earlier
last	JJ	last
week	NN	week
we	PP	we
were	VBD	be
seeking	VVG	seek
to	TO	to
one	CD	one
of	IN	of
the	DT	the
guys	NNS	guy
who	WP	who
told	VVD	tell
us	PP	us
that	IN/that	that
it	PP	it
really	RB	really
affects	VVZ	affect
their	PP$	their
business	NN	business
because	IN	because
no	DT	no
one	CD	one
wants	VVZ	want
to	TO	to
come	VV	come
down	RP	down
this	DT	this
route	NN	route
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
give	VV	give
you	PP	you
an	DT	an
idea	NN	idea
of	IN	of
what	WP	what
happens	VVZ	happen
tear	NN	tear
gas	NN	gas
has	VHZ	have
just	RB	just
been	VBN	be
fired	VVN	fire
there	RB	there
I	PP	I
want	VVP	want
to	TO	to
give	VV	give
you	PP	you
an	DT	an
idea	NN	idea
of	IN	of
why	WRB	why
this	DT	this
happens	VVZ	happen
every	DT	every
week	NN	week
every	DT	every
week	NN	week
young	JJ	young
worshippers	NNS	worshipper
try	VVP	try
to	TO	to
head	VV	head
to	TO	to
Al	NP	Al
AA	NN	aa
mosque	NN	mosque
just	RB	just
there	RB	there
up	IN	up
the	DT	the
road	NN	road
they	PP	they
are	VBP	be
prevented	VVN	prevent
from	IN	from
reaching	VVG	reach
there	EX	there
they	PP	they
don't	VVD	don't
even	RB	even
manage	VV	manage
to	TO	to
get	VV	get
close	RB	close
enough	RB	enough
because	IN	because
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
every	DT	every
single	JJ	single
Friday	NP	Friday
push	VV	push
them	PP	them
back	RB	back
with	IN	with
tear	NN	tear
gas	NN	gas
and	CC	and
with	IN	with
this	DT	this
uh	UH	uh
water	NN	water
now	RB	now
they	PP	they
only	RB	only
allow	VVP	allow
those	DT	those
that	WDT	that
are	VBP	be
older	JJR	old
in	IN	in
age	NN	age
to	TO	to
get	VV	get
past	JJ	past
and	CC	and
then	RB	then
what	WP	what
you	PP	you
often	RB	often
see	VVP	see
is	VBZ	be
those	DT	those
above	IN	above
the	DT	the
age	NN	age
of	IN	of
60	CD	@card@
we're	NN	we're
being	VBG	be
moved	VVN	move
now	RB	now
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
attitude	NN	attitude
they've	NN	they've
had	VHD	have
towards	IN	towards
the	DT	the
Press	NP	Press
we're	NN	we're
moving	VVG	move
we're	NN	we're
moving	VVG	move
don't	NN	don't
worry	VVP	worry
no	RB	no
need	VV	need
to	TO	to
push	VV	push
this	DT	this
is	VBZ	be
the	DT	the
attitude	NN	attitude
they	PP	they
have	VHP	have
towards	IN	towards
the	DT	the
media	NNS	medium
like	VVP	like
ourselves	PP	ourselves
yesterday	NN	yesterday
we	PP	we
tried	VVD	try
to	TO	to
cover	VV	cover
a	DT	a
march	NN	march
by	IN	by
Ultra	JJ	ultra
nationalists	NNS	nationalist
uh	UH	uh
heading	VVG	head
towards	IN	towards
the	DT	the
old	JJ	old
Damascus	NP	Damascus
gate	NN	gate
which	WDT	which
was	VBD	be
incredibly	RB	incredibly
