<video_id>sJzujH2W8EE</video_id>	NP	<video_id>sJzujH2W8EE</video_id>
<video_title>Israel	NP	<video_title>Israel
blocking	VVG	block
aid	NN	aid
despite	IN	despite
ICJ	NP	ICJ
genocide	NN	genocide
ruling,	NP	ruling,
Oxfam	NP	Oxfam
says</video_title>	NP	says</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
blocking	VVG	block
aid	NN	aid
despite	IN	despite
ICJ	NP	ICJ
genocide	NN	genocide
ruling,	NP	ruling,
Oxfam	NP	Oxfam
says.jpg</thumbnail_path>	NN	says.jpg</thumbnail_path>
<publish_date>20240318</publish_date>	NN	<publish_date>20240318</publish_date>
<doc>	NN	<doc>
a	DT	a
report	NN	report
by	IN	by
the	DT	the
charity	NN	charity
Oxfam	NP	Oxfam
says	VVZ	say
Israel	NP	Israel
is	VBZ	be
blocking	VVG	block
Aid	NN	aid
to	TO	to
Gaza	NP	Gaza
in	IN	in
spite	NN	spite
of	IN	of
a	DT	a
ruling	NN	ruling
by	IN	by
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
in	IN	in
January	NP	January
the	DT	the
court	NN	court
told	VVD	tell
Israel	NP	Israel
it	PP	it
cannot	MD	can
continue	VV	continue
to	TO	to
bombard	VV	bombard
displace	VV	displace
and	CC	and
starve	VV	starve
the	DT	the
population	NN	population
under	IN	under
its	PP$	its
obligations	NNS	obligation
to	TO	to
the	DT	the
genocide	NN	genocide
convention	NN	convention
the	DT	the
Oxfam	NP	Oxfam
report	NN	report
says	VVZ	say
the	DT	the
International	NP	International
Community	NP	Community
has	VHZ	have
failed	VVN	fail
to	TO	to
challenge	VV	challenge
Israel	NP	Israel
for	IN	for
systemically	RB	systemically
undermining	VVG	undermine
Aid	NN	aid
deliveries	NNS	delivery
and	CC	and
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
uh	UH	uh
made	VVN	make
bringing	VVG	bring
in	IN	in
Aid	NN	aid
so	IN	so
dangerous	JJ	dangerous
and	CC	and
dysfunctional	JJ	dysfunctional
that	IN/that	that
agencies	NNS	agency
cannot	MD	can
respond	VV	respond
to	TO	to
the	DT	the
scale	NN	scale
of	IN	of
suffering	NN	suffering
let's	NNS	let's
bring	VVP	bring
in	IN	in
Hassan	NP	Hassan
barari	NP	barari
professor	NN	professor
of	IN	of
international	JJ	international
Affairs	NPS	Affairs
at	IN	at
Qatar	NP	Qatar
University	NP	University
Hassan	NP	Hassan
the	DT	the
first	JJ	first
thing	NN	thing
that	WDT	that
jumps	VVZ	jump
out	RP	out
uh	UH	uh
to	TO	to
me	PP	me
when	WRB	when
I	PP	I
read	VVP	read
that	IN/that	that
report	NN	report
is	VBZ	be
once	RB	once
again	RB	again
making	VVG	make
crystal	NN	crystal
clear	JJ	clear
that	IN/that	that
Israel	NP	Israel
with	IN	with
the	DT	the
way	NN	way
it's	NNS	it's
behaving	VVG	behave
with	IN	with
humanitarian	JJ	humanitarian
Aid	NN	aid
not	RB	not
allowing	VVG	allow
it	PP	it
in	IN	in
at	IN	at
the	DT	the
pace	NN	pace
and	CC	and
volume	NN	volume
that	IN/that	that
it	PP	it
is	VBZ	be
needed	VVN	need
is	VBZ	be
in	IN	in
flagrant	JJ	flagrant
violation	NN	violation
of	IN	of
international	JJ	international
law	NN	law
it's	NNS	it's
not	RB	not
just	RB	just
the	DT	the
ruling	NN	ruling
of	IN	of
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
as	IN	as
oxan	NN	oxan
points	NNS	point
out	IN	out
it's	NNS	it's
also	RB	also
un	VVD	un
Security	NP	Security
Council	NP	Council
resolution	NN	resolution
back	RB	back
in	IN	in
December	NP	December
yeah	RB	yeah
well	RB	well
this	DT	this
is	VBZ	be
an	DT	an
indication	NN	indication
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
government	NN	government
doesn't	NN	doesn't
um	NNS	um
give	VVP	give
any	DT	any
attention	NN	attention
to	TO	to
these	DT	these
yeah	RB	yeah
all	PDT	all
the	DT	the
security	NN	security
Council	NN	council
or	CC	or
even	RB	even
the	DT	the
international	JJ	international
law	NN	law
uh	UH	uh
as	RB	as
long	RB	long
as	IN	as
they	PP	they
can't	VVD	can't
continue	VV	continue
the	DT	the
war	NN	war
the	DT	the
the	DT	the
one	CD	one
they	PP	they
want	VVP	want
the	DT	the
pace	NN	pace
they	PP	they
want	VVP	want
I	PP	I
mean	VVP	mean
they	PP	they
don't	JJ	don't
care	NN	care
I	PP	I
mean	VVP	mean
this	DT	this
is	VBZ	be
obvious	JJ	obvious
it	PP	it
has	VHZ	have
been	VBN	be
proved	VVN	prove
time	NN	time
and	CC	and
again	RB	again
uh	UH	uh
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
one	CD	one
strategy	NN	strategy
is	VBZ	be
to	TO	to
undermine	VV	undermine
the	DT	the
uh	UH	uh
the	DT	the
aid	NN	aid
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
order	NN	order
