<video_id>FyhhbXLXAKE</video_id>	JJ	<video_id>FyhhbXLXAKE</video_id>
<video_title>Several	JJ	<video_title>Several
arrests	NNS	arrest
as	IN	as
protesters	NNS	protester
march	NN	march
in	IN	in
New	NP	New
York	NP	York
City	NP	City
against	IN	against
Rafah	NP	Rafah
incursion</video_title>	JJ	incursion</video_title>
<thumbnail_path>data/en_AJ\Several	NN	<thumbnail_path>data/en_AJ\Several
arrests	NNS	arrest
as	IN	as
protesters	NNS	protester
march	NN	march
in	IN	in
New	NP	New
York	NP	York
City	NP	City
against	IN	against
Rafah	NP	Rafah
incursion.jpg</thumbnail_path>	JJ	incursion.jpg</thumbnail_path>
<publish_date>20240508</publish_date>	NN	<publish_date>20240508</publish_date>
<doc>	NN	<doc>
well	RB	well
Israel's	JJ	Israel's
attack	NN	attack
on	IN	on
Rafa	NP	Rafa
has	VHZ	have
inspired	VVN	inspire
protests	NNS	protest
around	IN	around
the	DT	the
world	NN	world
Teresa	NP	Teresa
Bo	NP	Bo
brings	VVZ	bring
us	PP	us
this	DT	this
report	NN	report
now	RB	now
from	IN	from
New	NP	New
York	NP	York
where	WRB	where
at	IN	at
least	JJS	least
seven	CD	seven
people	NNS	people
were	VBD	be
detained	VVN	detain
I'm	NN	I'm
here	RB	here
in	IN	in
Union	NP	Union
Square	NP	Square
in	IN	in
New	NP	New
York	NP	York
City	NP	City
where	WRB	where
hundreds	NNS	hundred
of	IN	of
people	NNS	people
have	VHP	have
gathered	VVN	gather
to	TO	to
demand	VV	demand
and	CC	and
enter	VV	enter
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
they're	NN	they're
chanting	VVG	chant
go	NN	go
so	IN	so
hands	NNS	hand
off	IN	off
Rafa	NP	Rafa
because	IN	because
of	IN	of
the	DT	the
current	JJ	current
incursion	NN	incursion
that	WDT	that
is	VBZ	be
ongoing	JJ	ongoing
in	IN	in
southern	JJ	southern
gasa	NN	gasa
these	DT	these
people	NNS	people
are	VBP	be
not	RB	not
students	NNS	student
there	EX	there
are	VBP	be
several	JJ	several
organizations	NNS	organization
that	WDT	that
have	VHP	have
gotten	VVN	get
together	RB	together
to	TO	to
demand	VV	demand
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
stops	VVZ	stop
financing	VVG	finance
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
stops	NNS	stop
funding	VVG	fund
Israel's	NP	Israel's
military	JJ	military
L	NP	L
fan	NN	fan
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
organizers	NNS	organizer
of	IN	of
this	DT	this
demonstrations	NNS	demonstration
we	PP	we
are	VBP	be
outraged	VVN	outrage
at	IN	at
the	DT	the
invasion	NN	invasion
of	IN	of
RAF	NN	RAF
has	VHZ	have
begun	VVN	begin
uh	UH	uh
and	CC	and
we	PP	we
are	VBP	be
here	RB	here
we	PP	we
call	VVP	call
an	DT	an
emergency	NN	emergency
rally	NN	rally
because	IN	because
the	DT	the
will	NN	will
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
people	NNS	people
is	VBZ	be
actually	RB	actually
to	TO	to
end	VV	end
the	DT	the
genocide	NN	genocide
to	TO	to
end	VV	end
the	DT	the
occupation	NN	occupation
and	CC	and
it	PP	it
seems	VVZ	seem
that	IN/that	that
the	DT	the
white	NN	white
house	VV	house
uh	UH	uh
cannot	MD	can
hear	VV	hear
this	DT	this
and	CC	and
is	VBZ	be
not	RB	not
putting	VVG	put
the	DT	the
uh	UH	uh
appropriate	JJ	appropriate
amount	NN	amount
of	IN	of
pressure	NN	pressure
and	CC	and
taking	VVG	take
action	NN	action
to	TO	to
end	VV	end
it	PP	it
protesters	NNS	protester
left	VVD	leave
the	DT	the
square	NN	square
and	CC	and
started	VVD	start
marching	VVG	march
through	IN	through
the	DT	the
streets	NNS	street
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
