thousands	NNS	thousand
of	IN	of
people	NNS	people
remain	VVP	remain
on	IN	on
the	DT	the
streets	NNS	street
of	IN	of
major	JJ	major
Israeli	JJ	Israeli
cities	NNS	city
for	IN	for
a	DT	a
third	JJ	third
day	NN	day
on	IN	on
Monday	NP	Monday
demonstrators	NNS	demonstrator
demanding	VVG	demand
the	DT	the
government	NN	government
sign	VV	sign
a	DT	a
deal	NN	deal
Benjamin	NP	Benjamin
netan	NP	netan
has	VHZ	have
just	RB	just
spoken	VVN	speak
on	IN	on
isra	NN	isra
television	NN	television
he	PP	he
'	POS	'
s	NNS	s
asking	VVG	ask
for	IN	for
forgiveness	NN	forgiveness
for	IN	for
not	RB	not
bringing	VVG	bring
the	DT	the
captives	NNS	captive
home	NN	home
I	PP	I
told	VVD	tell
the	DT	the
families	NNS	family
and	CC	and
I	PP	I
will	MD	will
say	VV	say
it	PP	it
again	RB	again
tonight	RB	tonight
I	PP	I
apologize	VV	apologize
and	CC	and
ask	VV	ask
for	IN	for
your	PP$	your
forgiveness	NN	forgiveness
because	IN	because
we	PP	we
couldn	NN	couldn
'	POS	'
t	NN	t
bring	VV	bring
them	PP	them
back	RB	back
alive	JJ	alive
we	PP	we
were	VBD	be
close	RB	close
close	JJ	close
but	CC	but
we	PP	we
failed	VVD	fail
let	VV	let
me	PP	me
say	VV	say
this	DT	this
again	RB	again
tonight	RB	tonight
Israel	NP	Israel
will	MD	will
not	RB	not
remain	VV	remain
silent	JJ	silent
on	IN	on
this	DT	this
massacre	NN	massacre
Hamas	NN	Hamas
will	MD	will
pay	VV	pay
the	DT	the
price	NN	price
a	DT	a
very	RB	very
high	JJ	high
price	NN	price
alar	JJ	alar
is	VBZ	be
a	DT	a
political	JJ	political
analyst	NN	analyst
and	CC	and
contributor	NN	contributor
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Daily	NP	Daily
Newspaper	NN	newspaper
haret	NN	haret
he	PP	he
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
so	IN	so
Netanyahu	NP	Netanyahu
they	PP	they
'	POS	'
re	NN	re
asking	VVG	ask
for	IN	for
forgiveness	NN	forgiveness
do	VVP	do
you	PP	you
think	VVP	think
most	JJS	most
Israelis	NPS	Israelis
particularly	RB	particularly
those	DT	those
on	IN	on
the	DT	the
streets	NNS	street
protesting	VVG	protest
against	IN	against
him	PP	him
are	VBP	be
ready	JJ	ready
to	TO	to
give	VV	give
him	PP	him
forgiveness	NN	forgiveness
well	RB	well
Sammy	NP	Sammy
uh	UH	uh
I	PP	I
don	VVP	don
'	''	'
t	NN	t
