<video_id>nBaqlf7KsNk</video_id>	JJ	<video_id>nBaqlf7KsNk</video_id>
<video_title>At	NN	<video_title>At
least	JJS	least
6	CD	@card@
Palestinians	NNS	Palestinian
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
strike	NN	strike
on	IN	on
UNRWA	NP	UNRWA
school</video_title>	JJ	school</video_title>
<thumbnail_path>data/en_AJ\At	NN	<thumbnail_path>data/en_AJ\At
least	JJS	least
6	CD	@card@
Palestinians	NNS	Palestinian
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
strike	NN	strike
on	IN	on
UNRWA	NP	UNRWA
school.jpg</thumbnail_path>	JJ	school.jpg</thumbnail_path>
<publish_date>20231017</publish_date>	NN	<publish_date>20231017</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
bring	VVP	bring
in	IN	in
Christian	NP	Christian
Cardon	NP	Cardon
he	PP	he
is	VBZ	be
the	DT	the
head	NN	head
of	IN	of
the	DT	the
office	NN	office
in	IN	in
Gaza	NP	Gaza
at	IN	at
the	DT	the
icrc	NN	icrc
the	DT	the
international	JJ	international
Committee	NN	committee
of	IN	of
the	DT	the
Red	NP	Red
Cross	NP	Cross
he	PP	he
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
Geneva	NP	Geneva
Christian	NP	Christian
you	PP	you
just	RB	just
heard	VVD	hear
blinken	NNS	blinken
there	RB	there
talk	VVP	talk
about	IN	about
their	PP$	their
plan	NN	plan
for	IN	for
Aid	NN	aid
to	TO	to
and	CC	and
I	PP	I
quote	VVP	quote
reach	VV	reach
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
and	CC	and
them	PP	them
alone	RB	alone
how	WRB	how
realistic	JJ	realistic
is	VBZ	be
that	IN/that	that
given	VVN	give
that	DT	that
we're	NN	we're
talking	VVG	talk
about	IN	about
an	DT	an
armed	JJ	armed
group	NN	group
that	IN/that	that
many	JJ	many
regard	NN	regard
as	IN	as
a	DT	a
social	JJ	social
movement	NN	movement
and	CC	and
and	CC	and
also	RB	also
just	RB	just
how	WRB	how
densely	RB	densely
populated	VVN	populate
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
well	RB	well
this	DT	this
is	VBZ	be
absolutely	RB	absolutely
needed	VVN	need
because	IN	because
the	DT	the
situ	NN	situ
that	WDT	that
is	VBZ	be
unfolding	VVG	unfold
at	IN	at
the	DT	the
moment	NN	moment
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
just	RB	just
there	EX	there
are	VBP	be
many	JJ	many
Declaration	NP	Declaration
of	IN	of
unprecedent	JJ	unprecedent
Crisis	NN	crisis
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
can	MD	can
definitely	RB	definitely
confirm	VV	confirm
lack	NN	lack
of	IN	of
food	NN	food
lack	NN	lack
of	IN	of
water	NN	water
lack	NN	lack
of	IN	of
access	NN	access
to	TO	to
electricity	NN	electricity
L	NN	L
lack	NN	lack
of	IN	of
medicines	NNS	medicine
and	CC	and
the	DT	the
situation	NN	situation
is	VBZ	be
definitely	RB	definitely
becoming	VVG	become
unturn	NN	unturn
for	IN	for
the	DT	the
population	NN	population
in	IN	in
addition	NN	addition
to	TO	to
that	DT	that
and	CC	and
you've	NN	you've
mentioned	VVD	mention
it	PP	it
in	IN	in
previous	JJ	previous
report	NN	report
the	DT	the
situation	NN	situation
remains	VVZ	remain
unsafe	JJ	unsafe
in	IN	in
the	DT	the
South	NP	South
so	IN	so
we	PP	we
have	VHP	have
colleagues	NNS	colleague
telling	VVG	tell
us	PP	us
that	IN/that	that
in	IN	in
24	CD	@card@
hours	NNS	hour
they	PP	they
had	VHD	have
to	TO	to
leave	VV	leave
the	DT	the
nose	NN	nose
and	CC	and
actually	RB	actually
reach	VV	reach
the	DT	the
sou	NN	sou
thinking	VVG	think
that	IN/that	that
they	PP	they
could	MD	could
find	VV	find
a	DT	a
safer	JJR	safe
place	NN	place
but	CC	but
at	IN	at
the	DT	the
moment	NN	moment
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
case	NN	case
there's	RB	there's
still	RB	still
bombing	VVG	bomb
ongoing	JJ	ongoing
and	CC	and
so	RB	so
yes	RB	yes
humanitarian	JJ	humanitarian
Aid	NN	aid
it's	NNS	it's
urgently	RB	urgently
needed	VVN	need
at	IN	at
the	DT	the
time	NN	time
and	CC	and
while	IN	while
I'm	NP	I'm
talking	VVG	talk
to	TO	to
you	PP	you
we	PP	we
haven't	VVD	haven't
seen	VVN	see
this	DT	this
entering	VVG	enter
into	IN	into
Gaza	NP	Gaza
this	DT	this
will	MD	will
be	VB	be
absolutely	RB	absolutely
key	JJ	key
but	CC	but
this	DT	this
is	VBZ	be
not	RB	not
enough	RB	enough
there	EX	there
are	VBP	be
many	JJ	many
other	JJ	other
things	NNS	thing
that	WDT	that
will	MD	will
be	VB	be
needed	VVN	need
letting	VVG	let
humanitarian	JJ	humanitarian
actors	NNS	actor
doing	VVG	do
their	PP$	their
job	NN	job
today	NN	today
this	DT	this
is	VBZ	be
not	RB	not
enough	RB	enough
the	DT	the
case	NN	case
we	PP	we
have	VHP	have
a	DT	a
very	RB	very
limited	JJ	limited
space	NN	space
in	IN	in
the	DT	the
South	NP	South
but	CC	but
it's	NNS	it's
very	RB	very
important	JJ	important
that	IN/that	that
humanitarian	JJ	humanitarian
actors	NNS	actor
including	VVG	include
the	DT	the
icrc	NN	icrc
the	DT	the
Palestine	NP	Palestine
red	JJ	red
PR	NP	PR
can	MD	can
access	VV	access
the	DT	the
north	NN	north
too	RB	too
Christian	JJ	Christian
this	DT	this
idea	NN	idea
though	IN	though
that	WDT	that
Aid	NP	Aid
will	MD	will
only	RB	only
be	VB	be
given	VVN	give
to	TO	to
civilians	NNS	civilian
and	CC	and
that	IN/that	that
that	DT	that
is	VBZ	be
possible	JJ	possible
in	IN	in
terms	NNS	term
of	IN	of
Aid	NN	aid
distribution	NN	distribution
is	VBZ	be
that	IN/that	that
realistic	JJ	realistic
are	VBP	be
you	PP	you
going	VVG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
have	VH	have
a	DT	a
plan	NN	plan
to	TO	to
get	VV	get
Aid	NN	aid
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
make	VV	make
sure	JJ	sure
that	IN/that	that
no	DT	no
one	CD	one
vaguely	RB	vaguely
Affiliated	VVN	affiliate
to	TO	to
Hamas	JJ	Hamas
or	CC	or
or	JJ	or
supports	NNS	support
ham	VVP	ham
Mass	NP	Mass
receives	VVZ	receive
any	DT	any
of	IN	of
it	PP	it
I	PP	I
think	VVP	think
we	PP	we
have	VHP	have
to	TO	to
be	VB	be
real	JJ	real
very	RB	very
realistic	JJ	realistic
in	IN	in
this	DT	this
situation	NN	situation
and	CC	and
and	CC	and
obviously	RB	obviously
ICC	NP	ICC
and	CC	and
many	JJ	many
other	JJ	other
actors	NNS	actor
we	PP	we
we	PP	we
have	VHP	have
a	DT	a
certain	JJ	certain
experience	NN	experience
and	CC	and
although	IN	although
this	DT	this
is	VBZ	be
uh	UH	uh
an	DT	an
unprecedent	JJ	unprecedent
situation	NN	situation
as	IN	as
I	PP	I
said	VVD	say
before	IN	before
we	PP	we
are	VBP	be
ready	JJ	ready
we	PP	we
have	VHP	have
many	JJ	many
AIDS	NP	AIDS
convos	NNS	convos
that	WDT	that
are	VBP	be
ready	JJ	ready
that	WDT	that
are	VBP	be
on	IN	on
the	DT	the
Move	VVP	move
we	PP	we
have	VHP	have
surgical	JJ	surgical
team	NN	team
we	PP	we
have	VHP	have
additional	JJ	additional
staff	NN	staff
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
case	NN	case
again	RB	again
for	IN	for
other	JJ	other
actors	NNS	actor
so	IN	so
it's	NNS	it's
urgent	JJ	urgent
to	TO	to
let	VV	let
them	PP	them
in	IN	in
when	WRB	when
this	DT	this
Aid	NN	aid
will	MD	will
come	VV	come
e	NN	e
come	VV	come
come	VVN	come
inside	IN	inside
the	DT	the
the	DT	the
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
obviously	RB	obviously
we	PP	we
will	MD	will
do	VV	do
our	PP$	our
best	JJS	good
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
you	PP	you
know	VVP	know
the	DT	the
civilian	JJ	civilian
population	NN	population
those	DT	those
who	WP	who
who	WP	who
be	VB	be
paed	JJ	paed
in	IN	in
this	DT	this
conflict	VV	conflict
uh	UH	uh
will	MD	will
actually	RB	actually
get	VV	get
that	DT	that
Aid	NP	Aid
first	JJ	first
that's	NN	that's
that's	NNS	that's
clearly	RB	clearly
always	RB	always
the	DT	the
top	JJ	top
priority	NN	priority
of	IN	of
the	DT	the
ICC	NP	ICC
wherever	WRB	wherever
we	PP	we
work	VVP	work
you	PP	you
mentioned	VVN	mention
the	DT	the
the	DT	the
danger	NN	danger
the	DT	the
ongoing	JJ	ongoing
danger	NN	danger
there	RB	there
human	JJ	human
rights	NNS	right
organizations	NNS	organization
have	VHP	have
described	VVN	describe
the	DT	the
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
as	IN	as
prioritizing	NN	prioritizing
damage	NN	damage
over	IN	over
Precision	NN	precision
we've	NN	we've
obviously	RB	obviously
seen	VVN	see
strikes	NNS	strike
take	VVP	take
out	RP	out
medical	JJ	medical
facilities	NNS	facility
ambulances	NNS	ambulance
now	RB	now
we've	VVP	we've
heard	VVN	hear
just	RB	just
in	IN	in
the	DT	the
last	JJ	last
last	JJ	last
few	JJ	few
minutes	NNS	minute
also	RB	also
this	DT	this
unra	NN	unra
shelter	NN	shelter
people	NNS	people
died	VVD	die
in	IN	in
a	DT	a
school	NN	school
what	WP	what
protection	NN	protection
can	MD	can
be	VB	be
offered	VVN	offer
to	TO	to
the	DT	the
aid	NN	aid
workers	NNS	worker
who	WP	who
will	MD	will
be	VB	be
doing	VVG	do
the	DT	the
Aid	NN	aid
distribution	NN	distribution
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
clear	JJ	clear
message	NN	message
that	IN/that	that
we	PP	we
have	VHP	have
reminded	VVN	remind
both	DT	both
parties	NNS	party
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
and	CC	and
the	DT	the
Hamas	JJ	Hamas
authorities	NNS	authority
the	DT	the
first	JJ	first
days	NNS	day
the	DT	the
first	JJ	first
minutes	NNS	minute
of	IN	of
this	DT	this
escalation	NN	escalation
we've	NN	we've
been	VBN	be
very	RB	very
clear	JJ	clear
on	IN	on
respecting	VVG	respect
the	DT	the
law	NN	law
of	IN	of
war	NN	war
and	CC	and
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
Toopy	NN	Toopy
you	PP	you
know	VVP	know
it's	NNS	it's
extremely	RB	extremely
realistic	JJ	realistic
it's	NNS	it's
extremely	RB	extremely
pragmatic	JJ	pragmatic
civilian	JJ	civilian
civilian	JJ	civilian
infrastructures	NNS	infrastructure
should	MD	should
be	VB	be
respected	VVN	respect
should	MD	should
be	VB	be
spad	NN	spad
at	IN	at
all	DT	all
time	NN	time
and	CC	and
and	CC	and
authorities	NNS	authority
on	IN	on
both	DT	both
Sid	NP	Sid
should	MD	should
make	VV	make
sure	JJ	sure
that	IN/that	that
these	DT	these
infrastructures	NNS	infrastructure
are	VBP	be
keep	VV	keep
their	PP$	their
nature	NN	nature
their	PP$	their
civilian	JJ	civilian
nature	NN	nature
so	IN	so
yes	UH	yes
what	WP	what
is	VBZ	be
unfolding	VVG	unfold
now	RB	now
is	VBZ	be
extremely	RB	extremely
Waring	NP	Waring
the	DT	the
icrc	NN	icrc
is	VBZ	be
in	IN	in
contact	NN	contact
with	IN	with
both	DT	both
parties	NNS	party
