<video_id>Jn1GrEcv5l0</video_id>	JJ	<video_id>Jn1GrEcv5l0</video_id>
<video_title>US	NN	<video_title>US
president	NN	president
Biden	NP	Biden
hopes	VVZ	hope
deal	NN	deal
for	IN	for
Gaza	NP	Gaza
ceasefire	NN	ceasefire
and	CC	and
release	NN	release
of	IN	of
captives	NNS	captive
can	MD	can
be	VB	be
reached	VVN	reach
by	IN	by
Monday</video_title>	NP	Monday</video_title>
<thumbnail_path>data/en_AJ\US	NN	<thumbnail_path>data/en_AJ\US
president	NN	president
Biden	NP	Biden
hopes	VVZ	hope
deal	NN	deal
for	IN	for
Gaza	NP	Gaza
ceasefire	NN	ceasefire
and	CC	and
release	NN	release
of	IN	of
captives	NNS	captive
can	MD	can
be	VB	be
reached	VVN	reach
by	IN	by
Monday.jpg</thumbnail_path>	NP	Monday.jpg</thumbnail_path>
<publish_date>20240228</publish_date>	JJ	<publish_date>20240228</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
get	VVP	get
the	DT	the
reaction	NN	reaction
then	RB	then
of	IN	of
Hamas	NN	Hamas
and	CC	and
speak	VV	speak
to	TO	to
Osama	NP	Osama
hamdan	NN	hamdan
who's	NNS	who's
the	DT	the
senior	JJ	senior
Hamas	JJ	Hamas
spokesman	NN	spokesman
he's	NNS	he's
joining	VVG	join
us	PP	us
on	IN	on
the	DT	the
phone	NN	phone
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
uh	UH	uh
Mr	NP	Mr
hamdan	NN	hamdan
for	IN	for
joining	VVG	join
us	PP	us
on	IN	on
Al	NP	Al
jazer	NN	jazer
so	IN	so
the	DT	the
US	NP	US
president	NN	president
there	RB	there
saying	VVG	say
that	IN/that	that
a	DT	a
temporary	JJ	temporary
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
could	MD	could
be	VB	be
reached	VVN	reach
in	IN	in
a	DT	a
few	JJ	few
days	NNS	day
what	WP	what
is	VBZ	be
your	PP$	your
reaction	NN	reaction
to	TO	to
that	DT	that
how	WRB	how
realistic	JJ	realistic
is	VBZ	be
that	IN/that	that
from	IN	from
hamas's	NN	hamas's
point	NN	point
of	IN	of
view	NN	view
well	RB	well
unfortunately	RB	unfortunately
I	PP	I
I	PP	I
don't	VVD	don't
know	VV	know
how	WRB	how
uh	UH	uh
President	NP	President
Biden	NP	Biden
came	VVD	come
up	RP	up
with	IN	with
this	DT	this
conclusion	NN	conclusion
because	IN	because
the	DT	the
paper	NN	paper
which	WDT	which
was	VBD	be
uh	UH	uh
introduced	VVN	introduce
by	IN	by
the	DT	the
American	JJ	American
side	NN	side
in	IN	in
Baris	NP	Baris
didn't	NP	didn't
show	VVP	show
any	DT	any
real	JJ	real
world	NN	world
to	TO	to
achieve	VV	achieve
a	DT	a
ceasefire	NN	ceasefire
it	PP	it
was	VBD	be
closely	RB	closely
most	RBS	most
closely	RB	closely
to	TO	to
the	DT	the
Israeli	JJ	Israeli
position	NN	position
and	CC	and
um	NN	um
and	CC	and
anyway	RB	anyway
prime	JJ	prime
minister	NN	minister
Nan	NP	Nan
yahu	NP	yahu
had	VHD	have
said	VVN	say
that	IN/that	that
there	EX	there
was	VBD	be
no	RB	no
any	DT	any
kind	NN	kind
there	EX	there
was	VBD	be
no	DT	no
kind	NN	kind
of	IN	of
an	DT	an
agreement	NN	agreement
with	IN	with
the	DT	the
American	JJ	American
side	NN	side
on	IN	on
a	DT	a
ceas	NNS	ceas
fire	NN	fire
so	IN	so
I	PP	I
I	PP	I
I	PP	I
I	PP	I
am	VBP	be
wondering	VVG	wonder
why	WRB	why
he	PP	he
is	VBZ	be
saying	VVG	say
that	IN/that	that
and	CC	and
how	WRB	how
he's	NNS	he's
saying	VVG	say
that	IN/that	that
how	WRB	how
he	PP	he
came	VVD	come
up	RP	up
with	IN	with
this	DT	this
conclusion	NN	conclusion
did	VVD	do
did	VVD	do
so	RB	so
did	VVD	do
President	NP	President
Biden's	NP	Biden's
comments	NNS	comment
come	VVP	come
to	TO	to
you	PP	you
as	IN	as
a	DT	a
surprise	NN	surprise
did	VVD	do
you	PP	you
receive	VV	receive
an	DT	an
official	JJ	official
proposal	NN	proposal
for	IN	for
a	DT	a
deal	NN	deal
or	CC	or
not	RB	not
well	RB	well
there	EX	there
was	VBD	be
no	RB	no
no	DT	no
official	JJ	official
proposal	NN	proposal
as	IN	as
an	DT	an
American	JJ	American
proposal	NN	proposal
but	CC	but
was	VBD	be
delivered	VVN	deliver
after	IN	after
uh	UH	uh
uh	UH	uh
the	DT	the
late	JJ	late
Baris	NP	Baris
meeting	NN	meeting
and	CC	and
uh	UH	uh
it	PP	it
was	VBD	be
the	DT	the
the	DT	the
paper	NN	paper
which	WDT	which
was	VBD	be
delivered	VVN	deliver
after	IN	after
this	DT	this
meeting	NN	meeting
was	VBD	be
an	DT	an
American	JJ	American
ideas	NNS	idea
about	IN	about
what	WP	what
uh	UH	uh
is	VBZ	be
supposed	VVN	suppose
to	TO	to
be	VB	be
discussed	VVN	discuss
nothing	NN	nothing
more	JJR	more
than	IN	than
this	DT	this
okay	JJ	okay
well	NN	well
Al	NP	Al
jazer	NN	jazer
we've	NN	we've
been	VBN	be
told	VVN	tell
that	IN/that	that
this	DT	this
deal	NN	deal
would	MD	would
include	VV	include
uh	UH	uh
the	DT	the
exchange	NN	exchange
of	IN	of
400	CD	@card@
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
for	IN	for
40	CD	@card@
Israeli	JJ	Israeli
captives	NNS	captive
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
um	NNS	um
can	MD	can
you	PP	you
confirm	VV	confirm
any	DT	any
of	IN	of
this	DT	this
was	VBD	be
this	DT	this
part	NN	part
of	IN	of
the	DT	the
deal	NN	deal
