<video_id>-z0hiPFFuQY</video_id>	JJ	<video_id>-z0hiPFFuQY</video_id>
<video_title>Israeli	JJ	<video_title>Israeli
military	JJ	military
moves	NNS	move
further	RBR	further
into	IN	into
Rafah,	NP	Rafah,
has	VHZ	have
full	JJ	full
control	NN	control
of	IN	of
Philadelphi	NP	Philadelphi
Corridor</video_title>	NP	Corridor</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
military	JJ	military
moves	NNS	move
further	RBR	further
into	IN	into
Rafah,	NP	Rafah,
has	VHZ	have
full	JJ	full
control	NN	control
of	IN	of
Philadelphi	NP	Philadelphi
Corridor.jpg</thumbnail_path>	NP	Corridor.jpg</thumbnail_path>
<publish_date>20240529</publish_date>	NN	<publish_date>20240529</publish_date>
<doc>	NN	<doc>
Gaza	NP	Gaza
where	WRB	where
the	DT	the
Israeli	JJ	Israeli
military	NN	military
continues	VVZ	continue
to	TO	to
move	VV	move
its	PP$	its
forces	NNS	force
further	RBR	further
into	IN	into
the	DT	the
Central	JJ	central
and	CC	and
western	JJ	western
parts	NNS	part
of	IN	of
Rafa	NP	Rafa
after	IN	after
plunging	VVG	plunge
the	DT	the
city	NN	city
into	IN	into
total	JJ	total
darkness	NN	darkness
overnight	JJ	overnight
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
seized	VVN	seize
more	JJR	more
of	IN	of
that	DT	that
border	NN	border
area	NN	area
there	RB	there
with	IN	with
Egypt	NP	Egypt
known	VVN	know
as	IN	as
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
now	RB	now
that	IN/that	that
area	NN	area
is	VBZ	be
about	RB	about
14	CD	@card@
km	NN	km
in	IN	in
length	NN	length
it's	NNS	it's
meant	VVD	mean
to	TO	to
be	VB	be
a	DT	a
demilitarized	VVN	demilitarize
buffer	NN	buffer
zone	NN	zone
running	VVG	run
along	IN	along
the	DT	the
Gaza	NP	Gaza
Egypt	NP	Egypt
border	NN	border
this	DT	this
all	RB	all
comes	VVZ	come
as	IN	as
Israeli	JJ	Israeli
strikes	NNS	strike
targeted	VVN	target
various	JJ	various
areas	NNS	area
in	IN	in
Rafa	NP	Rafa
overnight	RB	overnight
as	RB	as
well	RB	well
as	IN	as
in	IN	in
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
Wednesday	NP	Wednesday
nearly	RB	nearly
all	PDT	all
the	DT	the
hospitals	NNS	hospital
there	EX	there
are	VBP	be
now	RB	now
out	RB	out
of	IN	of
service	NN	service
let's	NNS	let's
get	VVP	get
the	DT	the
latest	JJS	late
from	IN	from
the	DT	the
ground	NN	ground
and	CC	and
speak	VV	speak
to	TO	to
