<video_id>AE5UyY4e5i0</video_id>	JJ	<video_id>AE5UyY4e5i0</video_id>
<video_title>Israeli	NN	<video_title>Israeli
airstrike	NN	airstrike
hits	VVZ	hit
a	DT	a
house	NN	house
in	IN	in
the	DT	the
Fallujah	NP	Fallujah
area	NN	area
killing	VVG	kill
dozens</video_title>	JJ	dozens</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
airstrike	NN	airstrike
hits	VVZ	hit
a	DT	a
house	NN	house
in	IN	in
the	DT	the
Fallujah	NP	Fallujah
area	NN	area
killing	VVG	kill
dozens.jpg</thumbnail_path>	JJ	dozens.jpg</thumbnail_path>
<publish_date>20240108</publish_date>	NN	<publish_date>20240108</publish_date>
<doc>	NN	<doc>
now	RB	now
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
has	VHZ	have
hit	VVN	hit
a	DT	a
house	NN	house
in	IN	in
the	DT	the
fua	NN	fua
area	NN	area
of	IN	of
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
at	IN	at
least	JJS	least
60	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
most	RBS	most
were	VBD	be
women	NNS	woman
and	CC	and
children	NNS	child
anas	NNS	ana
Sharif	NP	Sharif
has	VHZ	have
been	VBN	be
at	IN	at
the	DT	the
scene	NN	scene
this	DT	this
house	NN	house
which	WDT	which
is	VBZ	be
owned	VVN	own
by	IN	by
the	DT	the
Abu	NP	Abu
Elba	NP	Elba
family	NN	family
was	VBD	be
directly	RB	directly
targeted	VVN	target
by	IN	by
an	DT	an
occupation	NN	occupation
aircraft	NN	aircraft
without	IN	without
any	DT	any
prior	JJ	prior
warning	NN	warning
even	RB	even
though	IN	though
it	PP	it
was	VBD	be
inhabited	VVN	inhabit
destruction	NN	destruction
caused	VVN	cause
by	IN	by
the	DT	the
air	NN	air
strike	NN	strike
was	VBD	be
massive	JJ	massive
you	PP	you
can	MD	can
see	VV	see
how	WRB	how
adjacent	JJ	adjacent
houses	NNS	house
were	VBD	be
also	RB	also
affected	VVN	affect
by	IN	by
the	DT	the
air	NN	air
strike	NN	strike
we	PP	we
are	VBP	be
inside	IN	inside
the	DT	the
house	NN	house
of	IN	of
the	DT	the
Abu	NP	Abu
Elba	NP	Elba
family	NN	family
which	WDT	which
was	VBD	be
struck	VVN	strike
by	IN	by
enemy	NN	enemy
aircraft	NN	aircraft
last	JJ	last
night	NN	night
there	EX	there
were	VBD	be
many	JJ	many
civilians	NNS	civilian
including	VVG	include
women	NNS	woman
and	CC	and
children	NNS	child
inside	IN	inside
the	DT	the
house	NN	house
and	CC	and
you	PP	you
can	MD	can
see	VV	see
here	RB	here
the	DT	the
large	JJ	large
number	NN	number
of	IN	of
family	NN	family
