<video_id>Kkh8L_me7Wk</video_id>	JJ	<video_id>Kkh8L_me7Wk</video_id>
<video_title>Israeli	NN	<video_title>Israeli
army	NN	army
claims	VVZ	claim
it	PP	it
struck	VVD	strike
an	DT	an
Islamic	JJ	Islamic
Jihad	NP	Jihad
command	NN	command
centre	NN	centre
at	IN	at
Al-Aqsa	NP	Al-Aqsa
Hospital</video_title>	NP	Hospital</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
army	NN	army
claims	VVZ	claim
it	PP	it
struck	VVD	strike
an	DT	an
Islamic	JJ	Islamic
Jihad	NP	Jihad
command	NN	command
centre	NN	centre
at	IN	at
Al-Aqsa	NP	Al-Aqsa
Hospital.jpg</thumbnail_path>	NP	Hospital.jpg</thumbnail_path>
<publish_date>20240331</publish_date>	NN	<publish_date>20240331</publish_date>
<doc>	NN	<doc>
at	IN	at
least	JJS	least
four	CD	four
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
several	JJ	several
have	VHP	have
been	VBN	be
injured	VVN	injure
in	IN	in
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
on	IN	on
tents	NNS	tent
near	IN	near
the	DT	the
alaa	NN	alaa
hospital	NN	hospital
in	IN	in
daab	NP	daab
Bala	NP	Bala
the	DT	the
initial	JJ	initial
report	NN	report
suggest	VVP	suggest
that	IN/that	that
the	DT	the
attack	NN	attack
has	VHZ	have
been	VBN	be
aimed	VVN	aim
at	IN	at
tents	NNS	tent
that	WDT	that
have	VHP	have
been	VBN	be
housing	VVG	house
people	NNS	people
who	WP	who
have	VHP	have
been	VBN	be
Sheltering	VVG	shelter
from	IN	from
the	DT	the
violence	NN	violence
and	CC	and
journalists	NNS	journalist
we	PP	we
can	MD	can
join	VV	join
Al	NP	Al
jazer	NN	jazer
hind	NN	hind
kri	NNS	kri
now	RB	now
live	VVP	live
from	IN	from
the	DT	the
AL	NP	al
AXA	NP	Axa
Hospital	NP	Hospital
compound	NN	compound
hind	NNS	hind
I	PP	I
know	VVP	know
you	PP	you
and	CC	and
the	DT	the
team	NN	team
have	VHP	have
reported	VVN	report
on	IN	on
many	JJ	many
occasions	NNS	occasion
from	IN	from
Al	NP	Al
AXA	NP	Axa
hospital	NN	hospital
just	RB	just
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
date	VV	date
with	IN	with
first	JJ	first
of	IN	of
all	DT	all
with	IN	with
what's	NNS	what's
been	VBN	be
happening	VVG	happen
since	IN	since
this	DT	this
latest	JJS	late
attack	NN	attack
[Music]	NN	[Music]
it	PP	it
was	VBD	be
a	DT	a
horrifying	VVG	horrify
incident	NN	incident
where	WRB	where
at	IN	at
12:00	CD	@card@
p.m.	NN	p.m.
today	NN	today
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
targeted	VVD	target
a	DT	a
tent	NN	tent
in	IN	in
ALA	NN	ala
Hospital	NN	hospital
in	IN	in
it's	NNS	it's
a	DT	a
tent	NN	tent
surrounded	VVN	surround
by	IN	by
hundreds	NNS	hundred
of	IN	of
other	JJ	other
tents	NNS	tent
at	IN	at
least	JJS	least
two	CD	two
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
15	CD	@card@
have	VHP	have
been	VBN	be
injured	VVN	injure
including	VVG	include
at	IN	at
least	JJS	least
five	CD	five
journalists	NNS	journalist
this	DT	this
hospital	NN	hospital
is	VBZ	be
not	RB	not
only	RB	only
a	DT	a
hospital	NN	hospital
it's	NNS	it's
