right	NN	right
and	CC	and
another	DT	another
incident	NN	incident
that	RB	that
'	POS	'
s	JJ	s
causing	VVG	cause
concern	NN	concern
is	VBZ	be
one	CD	one
along	IN	along
the	DT	the
border	NN	border
with	IN	with
Egypt	NP	Egypt
and	CC	and
the	DT	the
Israelis	NPS	Israelis
admitting	VVG	admit
Imran	NP	Imran
that	IN/that	that
one	CD	one
of	IN	of
their	PP$	their
tanks	NNS	tank
accidentally	RB	accidentally
hit	VVD	hit
an	DT	an
Egyptian	JJ	Egyptian
position	NN	position
outside	IN	outside
the	DT	the
gaza	NN	gaza
'	POS	'
s	NN	S
trp	NN	trp
what	WP	what
more	RBR	more
do	VVP	do
we	PP	we
know	VVP	know
well	RB	well
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
actually	RB	actually
confirmed	VVN	confirm
that	IN/that	that
they	PP	they
'	''	'
ve	VVG	ve
uh	UH	uh
sent	VVD	send
out	RP	out
a	DT	a
statement	NN	statement
says	VVZ	say
an	DT	an
Israeli	JJ	Israeli
army	NN	army
tank	NN	tank
accidentally	RB	accidentally
fired	VVN	fire
and	CC	and
hit	VVN	hit
Egyptian	JJ	Egyptian
position	NN	position
near	IN	near
the	DT	the
border	NN	border
of	IN	of
KM	NP	KM
Shalom	NP	Shalom
area	NN	area
difficult	JJ	difficult
uh	UH	uh
to	TO	to
see	VV	see
how	WRB	how
a	DT	a
tank	NN	tank
accidentally	RB	accidentally
fires	VVZ	fire
uh	UH	uh
but	RB	but
that	RB	that
'	''	'
s	NNS	s
what	WP	what
they	PP	they
'	''	'
re	IN	re
saying	VVG	say
um	NNS	um
this	DT	this
is	VBZ	be
actually	RB	actually
a	DT	a
very	RB	very
serious	JJ	serious
incident	NN	incident
because	IN	because
when	WRB	when
that	DT	that
Aid	NP	Aid
Convoy	NN	convoy
was	VBD	be
Crossing	NN	crossing
into	IN	into
uh	UH	uh
through	IN	through
Rafer	NP	Rafer
and	CC	and
into	IN	into
uh	UH	uh
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
there	RB	there
was	VBD	be
an	DT	an
explosion	NN	explosion
that	WDT	that
was	VBD	be
heard	VVN	hear
that	RB	that
'	''	'
s	VVG	s
a	DT	a
real	JJ	real
concern	VV	concern
uh	UH	uh
to	TO	to
everybody	NN	everybody
on	IN	on
that	DT	that
border	NN	border
crossing	NN	crossing
is	VBZ	be
trying	VVG	try
to	TO	to
get	VV	get
that	DT	that
Aid	NN	aid
to	TO	to
the	DT	the
people	NNS	people
that	WDT	that
need	VVP	need
it	PP	it
most	JJS	most
1	CD	@card@
%	NN	%
of	IN	of
the	DT	the
aid	NN	aid
that	RB	that
'	POS	'
s	NN	S
needed	VVD	need
by	IN	by
the	DT	the
way	NN	way
not	RB	not
a	DT	a
tremendous	JJ	tremendous
amount	NN	amount
so	IN	so
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
confirmation	NN	confirmation
of	IN	of
that	DT	that
incident	NN	incident
they	PP	they
say	VVP	say
it	PP	it
was	VBD	be
an	DT	an
accident	NN	accident
no	DT	no
Palestinian	JJ	Palestinian
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
going	VVG	go
to	TO	to
believe	VV	believe
it	PP	it
was	VBD	be
an	DT	an
accident	NN	accident
simply	RB	simply
because	IN	because
of	IN	of
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	NN	crossing
has	VHZ	have
actually	RB	actually
been	VBN	be
shelled	VVN	shell
twice	RB	twice
already	RB	already
and	CC	and
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
publicly	RB	publicly
said	VVN	say
in	IN	in
the	DT	the
runup	NN	runup
uh	UH	uh
to	TO	to
the	DT	the
international	JJ	international
negotiations	NNS	negotiation
to	TO	to
get	VV	get
that	DT	that
border	NN	border
crossing	VVG	cross
open	JJ	open
