<video_id>-41vt7KAf70</video_id>	NN	<video_id>-41vt7KAf70</video_id>
<video_title>'The	NNS	<video_title>'The
most	RBS	most
dangerous	JJ	dangerous
words	NNS	word
for	IN	for
a	DT	a
Middle	NP	Middle
Easterner	JJR	eastern
are	VBP	be
the	DT	the
American	JJ	American
words:	NN	words:
Trust	NP	Trust
Us':	NP	Us':
Marwan	NP	Marwan
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\'The	NN	<thumbnail_path>data/en_AJ\'The
most	RBS	most
dangerous	JJ	dangerous
words	NNS	word
for	IN	for
a	DT	a
Middle	NP	Middle
Easterner	JJR	eastern
are	VBP	be
the	DT	the
American	JJ	American
words	NNS	word
Trust	NP	Trust
Us'	NP	Us'
Marwan	NP	Marwan
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20231115</publish_date>	NN	<publish_date>20231115</publish_date>
<doc>	NN	<doc>
the	DT	the
White	NP	White
House	NP	House
is	VBZ	be
saying	VVG	say
that	IN/that	that
the	DT	the
US	NP	US
has	VHZ	have
information	NN	information
that	IN/that	that
Hamas	NP	Hamas
Islamic	NP	Islamic
Jihad	NP	Jihad
uses	VVZ	use
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
to	TO	to
conceal	VV	conceal
their	PP$	their
operations	NNS	operation
and	CC	and
and	CC	and
to	TO	to
hold	VV	hold
hostages	NNS	hostage
and	CC	and
and	CC	and
you	PP	you
know	VVP	know
citing	VVG	cite
intelligence	NN	intelligence
sources	NNS	source
not	RB	not
really	RB	really
providing	VVG	provide
sources	NNS	source
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
the	DT	the
the	DT	the
timing	NN	timing
of	IN	of
these	DT	these
comments	NNS	comment
in	IN	in
particular	JJ	particular
uh	UH	uh
well	RB	well
suspicious	JJ	suspicious
uh	UH	uh
to	TO	to
say	VV	say
the	DT	the
least	JJS	least
but	CC	but
there's	RB	there's
only	RB	only
one	CD	one
thing	NN	thing
that	WDT	that
comes	VVZ	come
to	TO	to
mind	VV	mind
Darin	NP	Darin
and	CC	and
I	PP	I
think	VVP	think
it	PP	it
comes	VVZ	come
to	TO	to
mind	VV	mind
to	TO	to
almost	RB	almost
every	DT	every
person	NN	person
watching	VVG	watch
us	PP	us
today	NN	today
who	WP	who
have	VHP	have
been	VBN	be
watching	VVG	watch
events	NNS	event
uh	UH	uh
the	DT	the
past	JJ	past
20	CD	@card@
years	NNS	year
weapons	NNS	weapon
of	IN	of
mass	JJ	mass
destruction	NN	destruction
weapons	NNS	weapon
of	IN	of
mass	JJ	mass
destruction	NN	destruction
they	PP	they
haven't	VVD	haven't
found	VVD	find
a	DT	a
single	JJ	single
weapon	NN	weapon
of	IN	of
mass	JJ	mass
destruction	NN	destruction
in	IN	in
Iraq	NP	Iraq
after	IN	after
they	PP	they
destroyed	VVD	destroy
the	DT	the
entire	JJ	entire
country	NN	country
and	CC	and
this	DT	this
was	VBD	be
based	VVN	base
on	IN	on
solid	JJ	solid
intelligence	NN	intelligence
that	WDT	that
was	VBD	be
presented	VVN	present
at	IN	at
