<video_id>Fbelo3US5gY</video_id>	JJ	<video_id>Fbelo3US5gY</video_id>
<video_title>Israel’s	NNS	<video_title>Israel’s
hotel	NN	hotel
association	NN	association
says	VVZ	say
half	NN	half
of	IN	of
country's	JJ	country's
hotel	NN	hotel
rooms	NNS	room
are	VBP	be
occupied	VVN	occupy
by	IN	by
displaced	VVN	displace
people</video_title>	NN	people</video_title>
<thumbnail_path>data/en_AJ\Israel’s	NNS	<thumbnail_path>data/en_AJ\Israel’s
hotel	NN	hotel
association	NN	association
says	VVZ	say
half	NN	half
of	IN	of
country's	JJ	country's
hotel	NN	hotel
rooms	NNS	room
are	VBP	be
occupied	VVN	occupy
by	IN	by
displaced	VVN	displace
people.jpg</thumbnail_path>	JJ	people.jpg</thumbnail_path>
<publish_date>20231023</publish_date>	JJ	<publish_date>20231023</publish_date>
<doc>	NN	<doc>
as	IN	as
a	DT	a
trucks	NNS	truck
have	VHP	have
made	VVN	make
it	PP	it
through	RP	through
to	TO	to
displaced	VVN	displace
people	NNS	people
in	IN	in
Gaza	NP	Gaza
many	JJ	many
of	IN	of
them	PP	them
are	VBP	be
saying	VVG	say
they	PP	they
need	VVP	need
the	DT	the
Israeli	JJ	Israeli
bombing	NN	bombing
to	TO	to
stop	VV	stop
we	PP	we
don't	NN	don't
want	VVP	want
Aid	NN	aid
we	PP	we
want	VVP	want
to	TO	to
return	VV	return
to	TO	to
our	PP$	our
homes	NNS	home
enough	RB	enough
with	IN	with
the	DT	the
killing	NN	killing
of	IN	of
our	PP$	our
children	NNS	child
and	CC	and
slaughtering	VVG	slaughter
us	PP	us
we	PP	we
can't	VVD	can't
sleep	NN	sleep
neither	CC	neither
during	IN	during
day	NN	day
nor	CC	nor
at	IN	at
night	NN	night
because	IN	because
of	IN	of
the	DT	the
shelling	VVG	shell
and	CC	and
the	DT	the
misery	NN	misery
we	PP	we
are	VBP	be
living	VVG	live
in	IN	in
enough	RB	enough
we	PP	we
do	VVP	do
not	RB	not
have	VH	have
patience	NN	patience
anymore	RB	anymore
we	PP	we
are	VBP	be
drained	VVN	drain
we	PP	we
don't	NN	don't
feel	VVP	feel
human	JJ	human
anymore	RB	anymore
I	PP	I
left	VVD	leave
home	NN	home
without	IN	without
taking	VVG	take
anything	NN	anything
except	IN	except
this	DT	this
shirt	NN	shirt
and	CC	and
pants	NNS	pant
I	PP	I
have	VHP	have
on	IN	on
the	DT	the
aid	NN	aid
they	PP	they
brought	VVD	bring
for	IN	for
us	PP	us
is	VBZ	be
nothing	NN	nothing
but	CC	but
a	DT	a
small	JJ	small
amount	NN	amount
of	IN	of
what	WP	what
is	VBZ	be
needed	VVN	need
