<video_id>uEJHMZf4nEo</video_id>	JJ	<video_id>uEJHMZf4nEo</video_id>
<video_title>Israeli	JJ	<video_title>Israeli
military	JJ	military
bombs	NNS	bomb
areas	NNS	area
close	VV	close
to	TO	to
al-Quds	NP	al-Quds
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
after	IN	after
demanding	VVG	demand
evacuation</video_title>	JJ	evacuation</video_title>
<thumbnail_path>data/en_AJ\Israeli	JJ	<thumbnail_path>data/en_AJ\Israeli
military	JJ	military
bombs	NNS	bomb
areas	NNS	area
close	VV	close
to	TO	to
al-Quds	NP	al-Quds
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
after	IN	after
demanding	VVG	demand
evacuation.jpg</thumbnail_path>	JJ	evacuation.jpg</thumbnail_path>
<publish_date>20231029</publish_date>	NN	<publish_date>20231029</publish_date>
<doc>	NN	<doc>
welcome	JJ	welcome
to	TO	to
the	DT	the
program	NN	program
it's	NN	it's
1400	CD	@card@
hours	NNS	hour
GMT	NP	GMT
that's	NNS	that's
4:00	CD	@card@
in	IN	in
the	DT	the
afternoon	NN	afternoon
in	IN	in
Gaza	NP	Gaza
where	WRB	where
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
bombing	VVG	bomb
areas	NNS	area
close	VV	close
to	TO	to
Al's	NP	Al's
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
City	NP	City
after	IN	after
ordering	VVG	order
the	DT	the
hospital's	JJ	hospital's
immediate	JJ	immediate
evacuation	NN	evacuation
just	RB	just
a	DT	a
few	JJ	few
hours	NNS	hour
ago	RB	ago
more	JJR	more
than	IN	than
8,000	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
since	IN	since
the	DT	the
war	NN	war
started	VVD	start
a	DT	a
Palestinian	JJ	Palestinian
child	NN	child
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
killed	VVN	kill
by	IN	by
Israel	NP	Israel
every	DT	every
10	CD	@card@
minutes	NNS	minute
Al	NP	Al
jazer	NN	jazer
spoke	VVD	speak
to	TO	to
the	DT	the
director	NN	director
of	IN	of
the	DT	the
aluts	NNS	aluts
hospital	NN	hospital
on	IN	on
the	DT	the
phone	NN	phone
from	IN	from
Gaza	NP	Gaza
he	PP	he
says	VVZ	say
there's	RB	there's
no	DT	no
reason	NN	reason
for	IN	for
isra	NN	isra
to	TO	to
be	VB	be
targeting	VVG	target
the	DT	the
hospital	NN	hospital
there	EX	there
is	VBZ	be
no	DT	no
reason	NN	reason
in	IN	in
the	DT	the
hospital	NN	hospital
there	EX	there
is	VBZ	be
no	DT	no
police	NN	police
presence	NN	presence
no	DT	no
military	JJ	military
