<video_id>YV37A9NhVyE</video_id>	JJ	<video_id>YV37A9NhVyE</video_id>
<video_title>Why	NN	<video_title>Why
is	VBZ	be
Israel	NP	Israel
cocky	JJ	cocky
at	IN	at
the	DT	the
UN	NP	UN
but	CC	but
coy	JJ	coy
at	IN	at
the	DT	the
ICJ?:	NP	ICJ?:
Marwan	NP	Marwan
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\Why	NP	<thumbnail_path>data/en_AJ\Why
is	VBZ	be
Israel	NP	Israel
cocky	JJ	cocky
at	IN	at
the	DT	the
UN	NP	UN
but	CC	but
coy	JJ	coy
at	IN	at
the	DT	the
ICJ	NP	ICJ
Marwan	NP	Marwan
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20240517</publish_date>	NN	<publish_date>20240517</publish_date>
<doc>	NN	<doc>
Al	NP	Al
jazu	NP	jazu
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
Maran	NP	Maran
Bashar	NP	Bashar
is	VBZ	be
joining	VVG	join
us	PP	us
now	RB	now
in	IN	in
the	DT	the
studio	NN	studio
one	CD	one
of	IN	of
the	DT	the
fundamental	JJ	fundamental
elements	NNS	element
of	IN	of
the	DT	the
case	NN	case
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
representatives	NNS	representative
were	VBD	be
putting	VVG	put
forward	RB	forward
this	DT	this
morning	NN	morning
was	VBD	be
the	DT	the
degree	NN	degree
to	TO	to
which	WDT	which
that	DT	that
Israel	NP	Israel
was	VBD	be
apparently	RB	apparently
supplying	VVG	supply
humanitarian	JJ	humanitarian
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
one	CD	one
of	IN	of
them	PP	them
described	VVD	describe
it	PP	it
as	IN	as
a	DT	a
flood	NN	flood
yes	NN	yes
um	NNS	um
you	PP	you
know	VVP	know
it's	NNS	it's
uh	UH	uh
in	IN	in
in	IN	in
in	IN	in
a	DT	a
kind	NN	kind
of	IN	of
a	DT	a
theater	NN	theater
of	IN	of
the	DT	the
Absurd	JJ	absurd
this	NN	this
would	MD	would
be	VB	be
very	RB	very
funny	JJ	funny
I	PP	I
mean	VVP	mean
it's	NNS	it's
actually	RB	actually
comical	JJ	comical
but	CC	but
then	RB	then
it's	JJ	it's
tragic	JJ	tragic
um	NNS	um
if	IN	if
I	PP	I
had	VHD	have
a	DT	a
