<video_id>d89rU-Ak80E</video_id>	NP	<video_id>d89rU-Ak80E</video_id>
<video_title>Nur	NP	<video_title>Nur
Shams	NP	Shams
raid	NN	raid
continues	VVZ	continue
full	JJ	full
force</video_title>	NN	force</video_title>
<thumbnail_path>data/en_AJ\Nur	NN	<thumbnail_path>data/en_AJ\Nur
Shams	NP	Shams
raid	NN	raid
continues	VVZ	continue
full	JJ	full
force.jpg</thumbnail_path>	JJ	force.jpg</thumbnail_path>
<publish_date>20240420</publish_date>	NN	<publish_date>20240420</publish_date>
<doc>	NN	<doc>
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
the	DT	the
Israeli	JJ	Israeli
military	NN	military
is	VBZ	be
conducting	VVG	conduct
a	DT	a
raid	NN	raid
for	IN	for
a	DT	a
second	JJ	second
day	NN	day
at	IN	at
least	JJS	least
five	CD	five
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
operation	NN	operation
in	IN	in
the	DT	the
city	NN	city
of	IN	of
tul	NN	tul
and	CC	and
mass	NN	mass
arrests	NNS	arrest
have	VHP	have
been	VBN	be
made	VVN	make
at	IN	at
the	DT	the
Nur	NP	Nur
Shams	NP	Shams
refugee	NN	refugee
camp	NN	camp
Israeli	JJ	Israeli
forces	NNS	force
also	RB	also
raided	VVD	raid
several	JJ	several
homes	NNS	home
and	CC	and
used	VVN	use
bulldozers	NNS	bulldozer
to	TO	to
destroy	VV	destroy
home	NN	home
shops	NNS	shop
and	CC	and
other	JJ	other
critical	JJ	critical
facilities	NNS	facility
n	NN	n
Ibrahim	NP	Ibrahim
is	VBZ	be
our	PP$	our
correspondent	NN	correspondent
life	NN	life
for	IN	for
us	PP	us
in	IN	in
TM	NP	TM
in	IN	in
the	DT	the
occupied	JJ	occupied
uh	UH	uh
West	NP	West
Bank	NP	Bank
and	CC	and
we've	NN	we've
been	VBN	be
keeping	VVG	keep
a	DT	a
very	RB	very
close	JJ	close
eye	NN	eye
on	IN	on
this	DT	this
Israeli	JJ	Israeli
military	JJ	military
operation	NN	operation
Nida	NP	Nida
it's	NNS	it's
day	NN	day
two	CD	two
and	CC	and
there	RB	there
seems	VVZ	seem
to	TO	to
be	VB	be
no	DT	no
sign	NN	sign
that	IN/that	that
it's	NNS	it's
about	RB	about
to	TO	to
end	VV	end
yes	UH	yes
it's	NNS	it's
hard	JJ	hard
for	IN	for
Palestinians	NPS	Palestinians
to	TO	to
even	RB	even
know	VV	know
when	WRB	when
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
going	VVG	go
to	TO	to
leave	VV	leave
the	DT	the
refugee	NN	refugee
camp	NN	camp
specifically	RB	specifically
that	IN/that	that
some	DT	some
people	NNS	people
expected	VVN	expect
after	IN	after
the	DT	the
news	NN	news
emerged	VVD	emerge
of	IN	of
the	DT	the
killing	NN	killing
of	IN	of
one	CD	one
Palestinian	NN	Palestinian
who	WP	who
has	VHZ	have
been	VBN	be
deemed	VVN	deem
as	IN	as
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
wanted	VVN	want
here	RB	here
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
as	IN	as
the	DT	the
head	NN	head
of	IN	of
the	DT	the
T	NN	T
Kim	NP	Kim
Battalion	NN	battalion
from	IN	from
this	DT	this
is	VBZ	be
like	IN	like
the	DT	the
armed	JJ	armed
group	NN	group
of	IN	of
Palestinian	JJ	Palestinian
men	NNS	man
fighting	VVG	fight
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
they	PP	they
thought	VVD	think
maybe	RB	maybe
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
raid	NN	raid
will	MD	will
come	VV	come
to	TO	to
an	DT	an
end	NN	end
but	CC	but
as	IN	as
we've	NNS	we've
been	VBN	be
hearing	VVG	hear
now	RB	now
it	PP	it
doesn't	VVD	doesn't
seem	VV	seem
to	TO	to
be	VB	be
ending	VVG	end
because	IN	because
we're	NN	we're
not	RB	not
only	RB	only
hearing	VVG	hear
a	DT	a
sounds	NNS	sound
from	IN	from
the	DT	the
Israeli	JJ	Israeli
drone	NN	drone
but	CC	but
also	RB	also
of	IN	of
bombs	NNS	bomb
we're	NN	we're
hearing	NN	hearing
from	IN	from
the	DT	the
Battalion	NN	battalion
in	IN	in
tarim	NNS	tarim
they	PP	they
just	RB	just
released	VVD	release
a	DT	a
statement	NN	statement
saying	VVG	say
that	IN/that	that
they	PP	they
will	MD	will
continue	VV	continue
be	VB	be
engaging	VVG	engage
in	IN	in
armed	JJ	armed
confrontations	NNS	confrontation
with	IN	with
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
because	IN	because
of	IN	of
the	DT	the
situation	NN	situation
and	CC	and
how	WRB	how
risky	JJ	risky
it	PP	it
is	VBZ	be
it's	JJ	it's
hard	RB	hard
for	IN	for
us	PP	us
to	TO	to
go	VV	go
inside	IN	inside
and	CC	and
for	IN	for
much	JJ	much
of	IN	of
the	DT	the
media	NNS	medium
but	CC	but
we're	JJ	we're
seeing	VVG	see
videos	NNS	video
of	IN	of
Destruction	NN	destruction
that	WDT	that
is	VBZ	be
looking	VVG	look
like	IN	like
something	NN	something
we	PP	we
have	VHP	have
not	RB	not
seen	VVN	see
before	IN	before
and	CC	and
we've	NN	we've
seen	VVN	see
already	RB	already
a	DT	a
lot	NN	lot
in	IN	in
to	TO	to
Karim	NP	Karim
and	CC	and
in	IN	in
N	NP	N
Shams	NP	Shams
refugee	NN	refugee
camps	NNS	camp
in	IN	in
terms	NNS	term
of	IN	of
how	WRB	how
much	RB	much
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
damaging	VVG	damage
the	DT	the
infrastructure	NN	infrastructure
so	IN	so
we	PP	we
are	VBP	be
looking	VVG	look
at	IN	at
a	DT	a
very	RB	very
large	JJ	large
destruction	NN	destruction
and	CC	and
demolition	NN	demolition
I'm	NN	I'm
just	RB	just
going	VVG	go
to	TO	to
move	VV	move
away	RP	away
from	IN	from
the	DT	the
picture	NN	picture
to	TO	to
show	VV	show
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
the	DT	the
refugee	NN	refugee
camp	NN	camp
it's	NNS	it's
crowded	VVN	crowd
did	VVD	do
it	PP	it
has	VHZ	have
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
who	WP	who
have	VHP	have
been	VBN	be
saying	VVG	say
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
were	VBD	be
going	VVG	go
from	IN	from
one	CD	one
home	NN	home
to	TO	to
another	DT	another
this	DT	this
is	VBZ	be
something	NN	something
we've	NN	we've
seen	VVN	see
before	IN	before
also	RB	also
these	DT	these
Mass	NP	Mass
detentions	NNS	detention
of	IN	of
Palestinians	NPS	Palestinians
homes	NNS	home
being	VBG	be
turned	VVN	turn
into	IN	into
detention	NN	detention
centers	VVZ	center
uh	UH	uh
they	PP	they
would	MD	would
be	VB	be
evicted	VVN	evict
out	RP	out
of	IN	of
the	DT	the
residents	NNS	resident
when	WRB	when
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
arrive	VVP	arrive
they	PP	they
would	MD	would
stay	VV	stay
there	RB	there
and	CC	and
sometimes	RB	sometimes
they	PP	they
would	MD	would
do	VV	do
what	WP	what
we've	NN	we've
been	VBN	be
seeing	VVG	see
a	DT	a
lot	NN	lot
of	IN	of
lately	RB	lately
which	WDT	which
is	VBZ	be
like	IN	like
the	DT	the
field	NN	field
interrogations	NNS	interrogation
of	IN	of
Palestinians	NNS	Palestinian
so	IN	so
anyone	NN	anyone
who	WP	who
lives	VVZ	live
in	IN	in
that	DT	that
refugee	NN	refugee
camp	NN	camp
is	VBZ	be
enduring	VVG	endure
a	DT	a
lot	NN	lot
and	CC	and
could	MD	could
be	VB	be
subjected	VVN	subject
to	TO	to
uh	UH	uh
beating	VVG	beat
up	RP	up
arrests	NNS	arrest
and	CC	and
already	RB	already
when	WRB	when
we	PP	we
were	VBD	be
reporting	VVG	report
about	IN	about
the	DT	the
torture	NN	torture
and	CC	and
the	DT	the
beating	NN	beating
up	RP	up
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
we've	NN	we've
seen	VVN	see
that	IN/that	that
in	IN	in
those	DT	those
large	JJ	large
and	CC	and
long	JJ	long
raids	NNS	raid
we	PP	we
see	VVP	see
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
going	VVG	go
from	IN	from
one	CD	one
house	NN	house
to	TO	to
another	DT	another
in	IN	in
one	CD	one
incident	NN	incident
one	CD	one
