<video_id>SCdAPf5pqmA</video_id>	NP	<video_id>SCdAPf5pqmA</video_id>
<video_title>Khan	NP	<video_title>Khan
Younis	NP	Younis
‘destroyed	VVD	‘destroyed
beyond	IN	beyond
recognition’</video_title>	JJ	recognition’</video_title>
<thumbnail_path>data/en_AJ\Khan	NP	<thumbnail_path>data/en_AJ\Khan
Younis	NP	Younis
‘destroyed	VVD	‘destroyed
beyond	IN	beyond
recognition’.jpg</thumbnail_path>	JJ	recognition’.jpg</thumbnail_path>
<publish_date>20240409</publish_date>	JJ	<publish_date>20240409</publish_date>
<doc>	NN	<doc>
we're	NN	we're
currently	RB	currently
in	IN	in
abasan	NN	abasan
in	IN	in
the	DT	the
city	NN	city
of	IN	of
kanun	NN	kanun
the	DT	the
destruction	NN	destruction
is	VBZ	be
massive	JJ	massive
we	PP	we
have	VHP	have
been	VBN	be
talking	VVG	talk
to	TO	to
people	NNS	people
and	CC	and
we	PP	we
have	VHP	have
been	VBN	be
going	VVG	go
to	TO	to
them	PP	them
with	IN	with
them	PP	them
to	TO	to
their	PP$	their
houses	NNS	house
they're	NN	they're
saying	VVG	say
that	IN/that	that
there	EX	there
is	VBZ	be
nothing	NN	nothing
left	VVN	leave
and	CC	and
the	DT	the
only	JJ	only
reason	NN	reason
while	IN	while
people	NNS	people
are	VBP	be
not	RB	not
going	VVG	go
back	RB	back
to	TO	to
their	PP$	their
houses	NNS	house
is	VBZ	be
for	IN	for
two	CD	two
main	JJ	main
reasons	NNS	reason
the	DT	the
first	JJ	first
reason	NN	reason
is	VBZ	be
there's	RB	there's
no	DT	no
infrastructure	NN	infrastructure
there's	RB	there's
no	DT	no
electricity	NN	electricity
and	CC	and
there's	RB	there's
no	DT	no
water	NN	water
like	IN	like
even	RB	even
if	IN	if
they	PP	they
want	VVP	want
to	TO	to
put	VV	put
and	CC	and
set	VV	set
up	RP	up
their	PP$	their
tent	NN	tent
here	RB	here
everywhere	RB	everywhere
is	VBZ	be
rubble	NN	rubble
and	CC	and
rocks	NNS	rock
and	CC	and
it	PP	it
needs	VVZ	need
very	RB	very
big	JJ	big
and	CC	and
huge	JJ	huge
equipment	NN	equipment
to	TO	to
clean	VV	clean
up	RP	up
the	DT	the
area	NN	area
for	IN	for
them	PP	them
to	TO	to
put	VV	put
their	PP$	their
tents	NNS	tent
and	CC	and
the	DT	the
second	JJ	second
thing	NN	thing
is	VBZ	be
that	IN/that	that
they	PP	they
do	VVP	do
not	RB	not
trust	VV	trust
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
to	TO	to
invade	VV	invade
kanun	NN	kanun
once	RB	once
again	RB	again
just	RB	just
like	IN	like
they	PP	they
did	VVD	do
in	IN	in
the	DT	the
north	JJ	north
uh	UH	uh
of	IN	of
the	DT	the
Gaza	NP	Gaza
City	NN	city
in	IN	in
uh	UH	uh
Gaza	NP	Gaza
where	WRB	where
they	PP	they
stormed	VVD	storm
uh	UH	uh
ala	NN	ala
hospital	NN	hospital
after	IN	after
they	PP	they
withdrawed	VVD	withdrawed
from	IN	from
the	DT	the
area	NN	area
as	IN	as
you	PP	you
see	VVP	see
people	NNS	people
came	NN	came
are	VBP	be
coming	VVG	come
back	RB	back
trying	VVG	try
to	TO	to
take	VV	take
whatever	WDT	whatever
is	VBZ	be
left	VVN	leave
uh	UH	uh
from	IN	from
their	PP$	their
houses	NNS	house
some	DT	some
clothes	NNS	clothes
some	DT	some
Lenin	NP	Lenin
some	DT	some
blankets	NNS	blanket
as	IN	as
you	PP	you
see	VVP	see
the	DT	the
streets	NNS	street
are	VBP	be
completely	RB	completely
demolished	VVN	demolish
the	DT	the
infra	RB	infra
structure	NN	structure
have	VHP	have
been	VBN	be
severely	RB	severely
damaged	VVN	damage
and	CC	and
everyone	NN	everyone
is	VBZ	be
telling	VVG	tell
us	PP	us
they	PP	they
do	VVP	do
not	RB	not
recognize	VV	recognize
their	PP$	their
houses	NNS	house
they	PP	they
do	VVP	do
not	RB	not
recognize	VV	recognize
their	PP$	their
areas	NNS	area
where	WRB	where
these	DT	these
neighborhoods	NNS	neighborhood
have	VHP	have
been	VBN	be
completely	RB	completely
bombed	VVN	bomb
and	CC	and
and	CC	and
and	CC	and
and	CC	and
like	IN	like
flattened	VVN	flatten
to	TO	to
the	DT	the
ground	NN	ground
the	DT	the
people	NNS	people
and	CC	and
the	DT	the
residents	NNS	resident
of	IN	of
kanun	NN	kanun
are	VBP	be
all	RB	all
very	RB	very
frustrated	VVN	frustrate
they're	NN	they're
all	DT	all
very	RB	very
depressed	VVN	depress
from	IN	from
the	DT	the
amount	NN	amount
of	IN	of
Destruction	NN	destruction
in	IN	in
their	PP$	their
city	NN	city
they're	NN	they're
saying	VVG	say
that	IN/that	that
they	PP	they
can't	VVD	can't
go	VV	go
back	RB	back
to	TO	to
their	PP$	their
houses	NNS	house
because	IN	because
there's	RB	there's
simply	RB	simply
no	DT	no
houses	NNS	house
if	IN	if
the	DT	the
house	NN	house
was	VBD	be
not	RB	not
bombed	VVN	bomb
it's	NNS	it's
burned	VVN	burn
if	IN	if
it's	NNS	it's
not	RB	not
burned	VVN	burn
it's	NNS	it's
partially	RB	partially
damaged	VVN	damage
and	CC	and
despite	IN	despite
the	DT	the
Israelis	NPS	Israelis
withdrawal	NN	withdrawal
from	IN	from
this	DT	this
area	NN	area
they're	NN	they're
still	RB	still
homeless	JJ	homeless
