okay	JJ	okay
Anthony	NP	Anthony
blinkin	NN	blinkin
is	VBZ	be
speaking	VVG	speak
now	RB	now
at	IN	at
Cairo	NP	Cairo
Airport	NP	Airport
let	NN	let
'	POS	'
s	NNS	s
listen	VVP	listen
in	IN	in
we	PP	we
came	VVD	come
here	RB	here
with	IN	with
four	CD	four
key	JJ	key
objectives	NNS	objective
to	TO	to
make	VV	make
clear	JJ	clear
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
stands	VVZ	stand
with	IN	with
Israel	NP	Israel
to	TO	to
prevent	VV	prevent
the	DT	the
conflict	NN	conflict
from	IN	from
spreading	VVG	spread
to	TO	to
other	JJ	other
places	NNS	place
to	TO	to
work	VV	work
on	IN	on
securing	VVG	secure
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
including	VVG	include
American	JJ	American
citizens	NNS	citizen
and	CC	and
to	TO	to
address	VV	address
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
that	WDT	that
exists	VVZ	exist
in	IN	in
Gaza	NP	Gaza
um	NNS	um
we	PP	we
started	VVD	start
as	IN	as
you	PP	you
know	VVP	know
in	IN	in
in	IN	in
Israel	NP	Israel
and	CC	and
it	PP	it
was	VBD	be
important	JJ	important
to	TO	to
make	VV	make
it	PP	it
very	RB	very
clear	JJ	clear
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
Israel	NP	Israel
'	POS	'
s	NNS	s
back	VVP	back
we	PP	we
will	MD	will
stand	VV	stand
with	IN	with
it	PP	it
today	NN	today
tomorrow	NN	tomorrow
and	CC	and
every	DT	every
day	NN	day
and	CC	and
we	PP	we
'	POS	'
re	NN	re
doing	VVG	do
that	IN/that	that
in	IN	in
word	NN	word
and	CC	and
also	RB	also
In	IN	in
Deed	NP	Deed
I	PP	I
spent	VVD	spend
time	NN	time
with	IN	with
prime	JJ	prime
minister	NN	minister
Netanyahu	NP	Netanyahu
to	TO	to
go	VV	go
through	IN	through
the	DT	the
needs	VVZ	need
that	IN/that	that
Israel	NP	Israel
may	MD	may
have	VH	have
to	TO	to
um	RB	um
make	VV	make
sure	JJ	sure
it	PP	it
can	MD	can
effectively	RB	effectively
defend	VV	defend
itself	PP	itself
uh	UH	uh
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
already	RB	already
seen	VVN	see
a	DT	a
lot	NN	lot
of	IN	of
that	DT	that
assistance	NN	assistance
moving	VVG	move
forward	RB	forward
and	CC	and
that	IN/that	that
'	POS	'
s	NNS	s
a	DT	a
conversation	NN	conversation
that	RB	that
'	POS	'
ll	NNS	ll
continue	VVP	continue
um	JJ	um
Israel	NP	Israel
has	VHZ	have
the	DT	the
the	DT	the
right	NN	right
indeed	RB	indeed
it	PP	it
has	VHZ	have
the	DT	the
obligation	NN	obligation
to	TO	to
defend	VV	defend
itself	PP	itself
against	IN	against
these	DT	these
attacks	NNS	attack
from	IN	from
Hamas	NNS	Hamas
and	CC	and
to	TO	to
try	VV	try
to	TO	to
do	VV	do
what	WP	what
it	PP	it
can	MD	can
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
this	DT	this
never	RB	never
happens	VVZ	happen
again	RB	again
as	IN	as
I	PP	I
said	VVD	say
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
as	IN	as
President	NP	President
Biden	NP	Biden
has	VHZ	have
said	VVN	say
the	DT	the
way	NN	way
that	IN/that	that
Israel	NP	Israel
does	VVZ	do
this	DT	this
matters	VVZ	matter
uh	UH	uh
needs	VVZ	need
to	TO	to
do	VV	do
it	PP	it
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
affirms	VVZ	affirm
uh	UH	uh
the	DT	the
shared	VVN	share
values	NNS	value
that	IN/that	that
we	PP	we
have	VHP	have
for	IN	for
human	JJ	human
life	NN	life
and	CC	and
human	JJ	human
dignity	NN	dignity
taking	VVG	take
every	DT	every
possible	JJ	possible
precaution	NN	precaution
to	TO	to
avoid	VV	avoid
harming	VVG	harm
civilians	NNS	civilian
um	JJ	um
after	IN	after
we	PP	we
uh	UH	uh
left	VVD	leave
Israel	NP	Israel
we	PP	we
'	POS	'
ve	NNS	ve
gone	VVN	go
now	RB	now
to	TO	to
I	PP	I
think	VVP	think
I	PP	I
'	''	'
ve	NNS	ve
lost	VVD	lose
track	NN	track
but	CC	but
to	TO	to
six	CD	six
countries	NNS	country
in	IN	in
the	DT	the
region	NN	region
Jordan	NP	Jordan
uh	UH	uh
Bahrain	NP	Bahrain
cter	NN	cter
the	DT	the
United	NP	United
Arab	NP	Arab
Emirates	NPS	Emirates
Saudi	NP	Saudi
Arabia	NP	Arabia
now	RB	now
here	RB	here
in	IN	in
Egypt	NP	Egypt
and	CC	and
the	DT	the
purpose	NN	purpose
of	IN	of
um	NNS	um
seeing	VVG	see
all	DT	all
of	IN	of
our	PP$	our
partners	NNS	partner
was	VBD	be
first	JJ	first
and	CC	and
foremost	JJ	foremost
to	TO	to
listen	VV	listen
to	TO	to
them	PP	them
to	TO	to
hear	VV	hear
how	WRB	how
they	PP	they
'	POS	'
re	NN	re
seeing	VVG	see
this	DT	this
crisis	NN	crisis
and	CC	and
to	TO	to
look	VV	look
at	IN	at
what	WP	what
we	PP	we
can	MD	can
do	VV	do
together	RB	together
uh	UH	uh
to	TO	to
deal	VV	deal
with	IN	with
many	JJ	many
any	DT	any
of	IN	of
the	DT	the
concerns	NNS	concern
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
raised	VVD	raise
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
virtually	RB	virtually
every	DT	every
partner	NN	partner
was	VBD	be
a	DT	a
determination	NN	determination
a	DT	a
shared	JJ	shared
view	NN	view
it	PP	it
looks	VVZ	look
like	IN	like
we	PP	we
have	VHP	have
lost	VVN	lose
the	DT	the
feed	NN	feed
to	TO	to
Anthony	NP	Anthony
blinkin	NN	blinkin
there	RB	there
who	WP	who
was	VBD	be
speaking	VVG	speak
uh	UH	uh
before	IN	before
departing	VVG	depart
Cairo	NP	Cairo
where	WRB	where
he	PP	he
has	VHZ	have
been	VBN	be
on	IN	on
a	DT	a
whirlwind	JJ	whirlwind
diplomacy	NN	diplomacy
tour	NN	tour
right	NN	right
around	IN	around
uh	UH	uh
the	DT	the
region	NN	region
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
go	VV	go
now	RB	now
to	TO	to
Petty	NP	Petty
Khan	NP	Khan
who	WP	who
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
Washington	NP	Washington
DC	NP	DC
Petty	NP	Petty
we	PP	we
heard	VVD	hear
Anthony	NP	Anthony
blinkin	NP	blinkin
reiterate	VVP	reiterate
once	RB	once
again	RB	again
as	IN	as
we	PP	we
have	VHP	have
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
uh	UH	uh
the	DT	the
United	NP	United
States	NPS	States
uh	UH	uh
priorities	NNS	priority
here	RB	here
trying	VVG	try
to	TO	to
prevent	VV	prevent
the	DT	the
conflict	NN	conflict
from	IN	from
spreading	VVG	spread
the	DT	the
hostage	NN	hostage
release	NN	release
and	CC	and
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
was	VBD	be
there	RB	there
anything	NN	anything
else	NN	else
that	WDT	that
stood	VVD	stand
out	RP	out
for	IN	for
you	PP	you
in	IN	in
uh	UH	uh
in	IN	in
what	WP	what
we	PP	we
heard	VVD	hear
from	IN	from
uh	UH	uh
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
there	EX	there
I	PP	I
think	VVP	think
what	WP	what
stands	VVZ	stand
out	RP	out
for	IN	for
me	PP	me
is	VBZ	be
in	IN	in
all	DT	all
of	IN	of
the	DT	the
conversations	NNS	conversation
he	PP	he
'	POS	'
s	NN	S
