<video_id>angq5AoW4_0</video_id>	JJ	<video_id>angq5AoW4_0</video_id>
<video_title>Aid	NN	<video_title>Aid
agencies	NNS	agency
say	VVP	say
the	DT	the
flow	NN	flow
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
through	IN	through
the	DT	the
Rafah	NP	Rafah
crossing	NN	crossing
has	VHZ	have
been	VBN	be
halted</video_title>	JJ	halted</video_title>
<thumbnail_path>data/en_AJ\Aid	NN	<thumbnail_path>data/en_AJ\Aid
agencies	NNS	agency
say	VVP	say
the	DT	the
flow	NN	flow
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
through	IN	through
the	DT	the
Rafah	NP	Rafah
crossing	NN	crossing
has	VHZ	have
been	VBN	be
halted.jpg</thumbnail_path>	JJ	halted.jpg</thumbnail_path>
<publish_date>20240508</publish_date>	JJ	<publish_date>20240508</publish_date>
<doc>	NN	<doc>
on	IN	on
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
and	CC	and
in	IN	in
Rafa	NP	Rafa
in	IN	in
particular	JJ	particular
let's	NNS	let's
now	RB	now
speak	VVP	speak
to	TO	to
Richard	NP	Richard
Brennan	NP	Brennan
who's	NNS	who's
the	DT	the
Regional	JJ	regional
Emergency	NN	emergency
director	NN	director
for	IN	for
the	DT	the
Eastern	NP	Eastern
Mediterranean	NP	Mediterranean
at	IN	at
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
wh	NN	wh
he's	NNS	he's
joining	VVG	join
us	PP	us
from	IN	from
Cairo	NP	Cairo
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
Mr	NP	Mr
Brennan	NP	Brennan
uh	UH	uh
Rafa	NP	Rafa
as	IN	as
we	PP	we
heard	VVD	hear
there	EX	there
had	VHD	have
been	VBN	be
the	DT	the
only	JJ	only
Crossing	NN	crossing
in	IN	in
Gaza	NP	Gaza
not	RB	not
controlled	VVD	control
by	IN	by
Israel	NP	Israel
through	IN	through
which	WDT	which
much	RB	much
needed	VVD	need
humanitarian	JJ	humanitarian
aid	NN	aid
went	VVD	go
through	RB	through
and	CC	and
also	RB	also
from	IN	from
