<video_id>g8mr0_3b9W8</video_id>	JJ	<video_id>g8mr0_3b9W8</video_id>
<video_title>UN	NN	<video_title>UN
agency	NN	agency
for	IN	for
Gaza	NP	Gaza
has	VHZ	have
food	NN	food
and	CC	and
water	NN	water
supplies	NNS	supply
for	IN	for
12	CD	@card@
days</video_title>	NN	days</video_title>
<thumbnail_path>data/en_AJ\UN	NN	<thumbnail_path>data/en_AJ\UN
agency	NN	agency
for	IN	for
Gaza	NP	Gaza
has	VHZ	have
food	NN	food
and	CC	and
water	NN	water
supplies	NNS	supply
for	IN	for
12	CD	@card@
days.jpg</thumbnail_path>	NN	days.jpg</thumbnail_path>
<publish_date>20231011</publish_date>	NN	<publish_date>20231011</publish_date>
<doc>	NN	<doc>
well	RB	well
Jennifer	NP	Jennifer
Austin	NP	Austin
is	VBZ	be
the	DT	the
deputy	JJ	deputy
director	NN	director
of	IN	of
the	DT	the
UN	NP	UN
relief	NN	relief
and	CC	and
works	VVZ	work
Agency	NP	Agency
for	IN	for
Palestine	NP	Palestine
refugees	NNS	refugee
in	IN	in
Gaza	NP	Gaza
she	PP	she
described	VVD	describe
to	TO	to
my	PP$	my
colleague	NN	colleague
siril	NN	siril
vaner	NN	vaner
how	WRB	how
humanitarian	JJ	humanitarian
relief	NN	relief
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
needed	VVN	need
on	IN	on
an	DT	an
unprecedented	JJ	unprecedented
scale	NN	scale
we've	NN	we've
got	VVD	get
um	JJ	um
supplies	NNS	supply
for	IN	for
uh	UH	uh
12	CD	@card@
days	NNS	day
for	IN	for
food	NN	food
and	CC	and
water	NN	water
for	IN	for
those	DT	those
people	NNS	people
and	CC	and
but	RB	but
you	PP	you
know	VVP	know
there's	RB	there's
more	JJR	more
than	IN	than
those	DT	those
people	NNS	people
that	IN/that	that
that	WDT	that
are	VBP	be
in	IN	in
our	PP$	our
schools	NNS	school
there's	NNS	there's
people	NNS	people
Sheltering	VVG	shelter
in	IN	in
other	JJ	other
places	NNS	place
there's	NP	there's
people	NNS	people
Sheltering	VVG	shelter
with	IN	with
family	NN	family
and	CC	and
friends	NNS	friend
so	RB	so
there's	RB	there's
many	RB	many
more	RBR	more
displaced	VVN	displace
than	IN	than
are	VBP	be
going	VVG	go
to	TO	to
on	IN	on
schools	NNS	school
12	CD	@card@
days	NNS	day
of	IN	of
food	NN	food
and	CC	and
water	NN	water
that	IN/that	that
you	PP	you
have	VHP	have
left	VVN	leave
you	PP	you
say	VVP	say
you	PP	you
have	VHP	have
170,000	CD	@card@
people	NNS	people
roughly	RB	roughly
uh	UH	uh
closer	RBR	closer
to	TO	to
180,000	CD	@card@
I	PP	I
believe	VVP	believe
people	NNS	people
in	IN	in
your	PP$	your
facilities	NNS	facility
are	VBP	be
people	NNS	people
continuing	VVG	continue
to	TO	to
arrive	VV	arrive
yes	UH	yes
they're	NN	they're
arriving	VVG	arrive
um	JJ	um
they're	NN	they're
arriving	VVG	arrive
they're	JJ	they're
scared	JJ	scared
they're	NN	they're
coming	VVG	come
they're	NN	they're
arriving	VVG	arrive
overnight	JJ	overnight
we	PP	we
it's	NNS	it's
really	RB	really
difficult	JJ	difficult
for	IN	for
our	PP$	our
seral	NN	seral
to	TO	to
get	VV	get
numbers	NNS	number
to	TO	to
get	VV	get
specific	JJ	specific
numbers	NNS	number
until	IN	until
the	DT	the
next	JJ	next
day	NN	day
until	IN	until
we	PP	we
see	VVP	see
what's	NNS	what's
happening	VVG	happen
because	IN	because
you	PP	you
know	VVP	know
roads	NNS	road
are	VBP	be
blocked	VVN	block
um	NNS	um
we	PP	we
don't	VVD	don't
we	PP	we
don't	VVD	don't
have	VH	have
du	NP	du
we	PP	we
don't	VVD	don't
have	VH	have
telephone	NN	telephone
lines	NNS	line
our	PP$	our
VHS	NP	VHS
is	VBZ	be
down	RB	down
you	PP	you
know	VVP	know
um	NNS	um
you	PP	you
know	VVP	know
um	JJ	um
we've	NN	we've
had	VHD	have
networks	NNS	network
hit	VVN	hit
by	IN	by
by	IN	by
by	IN	by
air	NN	air
strikes	VVZ	strike
um	JJ	um
it's	NNS	it's
not	RB	not
our	PP$	our
network	NN	network
but	CC	but
um	VVG	um
we	PP	we
we	PP	we
it's	NNS	it's
really	RB	really
difficult	JJ	difficult
for	IN	for
us	PP	us
to	TO	to
know	VV	know
on	IN	on
the	DT	the
ground	NN	ground
what's	NNS	what's
happening	VVG	happen
out	RP	out
in	IN	in
the	DT	the
areas	NNS	area
and	CC	and
we're	NNS	we're
relying	VVG	rely
on	IN	on
our	PP$	our
staff	NN	staff
our	PP$	our
excellent	JJ	excellent
staff	NN	staff
who	WP	who
are	VBP	be
going	VVG	go
out	RP	out
who	WP	who
themselves	PP	themselves
are	VBP	be
refugees	NNS	refugee
and	CC	and
they	PP	they
might	MD	might
have	VH	have
lost	VVN	lose
their	PP$	their
home	NN	home
they	PP	they
might	MD	might
have	VH	have
themselves	PP	themselves
be	VB	be
in	IN	in
a	DT	a
shelter	NN	shelter
they	PP	they
might	MD	might
have	VH	have
lost	VVN	lose
family	NN	family
and	CC	and
they're	NN	they're
going	VVG	go
out	IN	out
doing	VVG	do
their	PP$	their
work	NN	work
they're	NN	they're
providing	VVG	provide
the	DT	the
services	NNS	service
for	IN	for
refugees	NNS	refugee
s	VVG	s
we're	NN	we're
providing	VVG	provide
Health	NP	Health
Services	NP	Services
critical	JJ	critical
life	NN	life
saving	VVG	save
Health	NP	Health
we're	NN	we're
providing	VVG	provide
Mental	JJ	mental
Health	NP	Health
and	CC	and
Social	NP	Social
Services	NPS	Services
for	IN	for
the	DT	the
refugees	NNS	refugee
who	WP	who
are	VBP	be
in	IN	in
the	DT	the
shelters	NNS	shelter
we're	NN	we're
also	RB	also
providing	VVG	provide
water	NN	water
well	NN	well
um	NN	um
which	WDT	which
is	VBZ	be
not	RB	not
drinking	VVG	drink
water	NN	water
but	CC	but
water	NN	water
well	RB	well
um	JJ	um
water	NN	water
for	IN	for
um	NNS	um
in	IN	in
the	DT	the
camps	NNS	camp
and	CC	and
you	PP	you
know	VVP	know
we're	NN	we're
doing	VVG	do
what	WP	what
we	PP	we
can	MD	can
for	IN	for
the	DT	the
refugees	NNS	refugee
but	CC	but
it's	NNS	it's
really	RB	really
difficult	JJ	difficult
difficult	JJ	difficult
times	NNS	time
um	NNS	um
and	CC	and
it's	NNS	it's
really	RB	really
an	DT	an
unprecedented	JJ	unprecedented
situation	NN	situation
that	IN/that	that
we're	NN	we're
facing	NN	facing
can	MD	can
any	DT	any
gazan	JJ	gazan
uh	UH	uh
family	NN	family
come	VV	come
and	CC	and
seek	VV	seek
shelter	NN	shelter
in	IN	in
the	DT	the
onor	JJ	onor
ra	NN	ra
facilities	NNS	facility
are	VBP	be
are	VBP	be
you	PP	you
turning	VVG	turn
anyone	NN	anyone
back	RB	back
we	PP	we
don't	VVD	don't
turn	VV	turn
anyone	NN	anyone
away	RB	away
um	JJ	um
on	IN	on
the	DT	the
Do	VVP	do
no	DT	no
harm	NN	harm
principle	NN	principle
we	PP	we
we	PP	we
accept	VVP	accept
anyone	NN	anyone
they	PP	they
don't	VVD	don't
have	VH	have
to	TO	to
be	VB	be
a	DT	a
refugee	NN	refugee
they	PP	they
can	MD	can
be	VB	be
a	DT	a
non-refugee	NN	non-refugee
and	CC	and
we	PP	we
will	MD	will
not	RB	not
turn	VV	turn
them	PP	them
away	RP	away
from	IN	from
an	DT	an
Ona	NP	Ona
school	NN	school
all	RB	all
the	DT	the
civilians	NNS	civilian
um	NNS	um
are	VBP	be
welcome	JJ	welcome
in	IN	in
our	PP$	our
schools	NNS	school
to	TO	to
seek	VV	seek
safety	NN	safety
under	IN	under
the	DT	the
UN	NP	UN
blue	JJ	blue
flag	NN	flag
and	CC	and
just	RB	just
before	IN	before
I	PP	I
let	VVP	let
you	PP	you
go	VVP	go
unra	NN	unra
has	VHZ	have
been	VBN	be
through	IN	through
War	NP	War
Wars	NP	Wars
high	JJ	high
intensity	NN	intensity
Wars	NNS	war
and	CC	and
periods	NNS	period
of	IN	of
bombardment	NN	bombardment
uh	UH	uh
before	RB	before
how	WRB	how
does	VVZ	do
this	DT	this
compare	NN	compare
to	TO	to
previous	JJ	previous
Wars	NPS	Wars
ah	UH	ah
this	DT	this
doesn't	NN	doesn't
even	RB	even
come	VVN	come
close	JJ	close
um	NNS	um
you	PP	you
know	VVP	know
our	PP$	our
own	JJ	own
compound	NN	compound
here	RB	here
where	WRB	where
I'm	NP	I'm
calling	NN	calling
from	IN	from
we	PP	we
were	VBD	be
we've	NN	we've
been	VBN	be
in	IN	in
a	DT	a
bunker	NN	bunker
for	IN	for
six	CD	six
hours	NNS	hour
yesterday	RB	yesterday
completely	RB	completely
bombarded	VVN	bombard
around	IN	around
us	PP	us
um	VVZ	um
our	PP$	our
whole	JJ	whole
infrastructure	NN	infrastructure
here	RB	here
is	VBZ	be
just	RB	just
about	RB	about
down	RB	down
um	JJ	um
we	PP	we
and	CC	and
you	PP	you
know	VVP	know
and	CC	and
we	PP	we
are	VBP	be
we	PP	we
are	VBP	be
relatively	RB	relatively
safe	JJ	safe
here	RB	here
compared	VVN	compare
to	TO	to
the	DT	the
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
this	DT	this
is	VBZ	be
just	RB	just
um	JJ	um
and	CC	and
and	CC	and
our	PP$	our
staff	NN	staff
and	CC	and
the	DT	the
people	NNS	people
who	WP	who
have	VHP	have
been	VBN	be
here	RB	here
a	DT	a
long	JJ	long
time	NN	time
they're	NN	they're
all	RB	all
saying	VVG	say
that	IN/that	that
this	DT	this
is	VBZ	be
unlike	IN	unlike
anything	NN	anything
that	IN/that	that
they've	NN	they've
ever	RB	ever
seen	VVN	see
before	IN	before
the	DT	the
intensity	NN	intensity
is	VBZ	be
is	VBZ	be
just	RB	just
unprecedented	JJ	unprecedented
The	DT	the
Situation's	NP	Situation's
evolving	VVG	evolve
it's	NNS	it's
ongoing	JJ	ongoing
and	CC	and
it	PP	it
could	MD	could
be	VB	be
even	RB	even
going	VVG	go
for	IN	for
a	DT	a
very	RB	very
a	DT	a
long	JJ	long
time	NN	time
</doc>	NN	</doc>
