<video_id>SLpq3SNlgiI</video_id>	NN	<video_id>SLpq3SNlgiI</video_id>
<video_title>Palestinians	NNS	<video_title>Palestinians
being	VBG	be
killed	VVN	kill
at	IN	at
historic	JJ	historic
pace	NN	pace
by	IN	by
Israeli	JJ	Israeli
bombing:	JJ	bombing:
AJE	NP	AJE
correspondent</video_title>	NN	correspondent</video_title>
<thumbnail_path>data/en_AJ\Palestinians	NNS	<thumbnail_path>data/en_AJ\Palestinians
being	VBG	be
killed	VVN	kill
at	IN	at
historic	JJ	historic
pace	NN	pace
by	IN	by
Israeli	JJ	Israeli
bombing	NN	bombing
AJE	NP	AJE
correspondent.jpg</thumbnail_path>	JJ	correspondent.jpg</thumbnail_path>
<publish_date>20231211</publish_date>	NN	<publish_date>20231211</publish_date>
<doc>	NN	<doc>
well	RB	well
hany	NP	hany
Mahmud	NP	Mahmud
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
hany	NN	hany
yet	RB	yet
more	JJR	more
strikes	NNS	strike
were	VBD	be
seen	VVN	see
overnight	RB	overnight
in	IN	in
Gaza	NP	Gaza
the	DT	the
death	NN	death
toll	NN	toll
it	PP	it
keeps	VVZ	keep
on	IN	on
Rising	VVG	rise
what's	NNS	what's
the	DT	the
situation	NN	situation
across	IN	across
the	DT	the
strip	NN	strip
there	RB	there
this	DT	this
morning	NN	morning
yes	NN	yes
M	NN	M
once	RB	once
again	RB	again
we're	NN	we're
seeing	VVG	see
more	JJR	more
distraction	NN	distraction
and	CC	and
More	JJR	more
Death	NN	death
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
just	RB	just
right	RB	right
here	RB	here
next	JJ	next
to	TO	to
this	DT	this
Smalls	NP	Smalls
siiz	NN	siiz
hospital	NN	hospital
overnight	JJ	overnight
uh	UH	uh
three	CD	three
bodies	NNS	body
were	VBD	be
reported	VVN	report
to	TO	to
this	DT	this
Hospital	NN	hospital
killed	VVN	kill
in	IN	in
overnight	JJ	overnight
air	NN	air
strikes	NNS	strike
in	IN	in
two	CD	two
different	JJ	different
locations	NNS	location
in	IN	in
Rafa	NP	Rafa
City	NP	City
in	IN	in
the	DT	the
western	JJ	western
side	NN	side
of	IN	of
raah	NN	raah
and	CC	and
also	RB	also
in	IN	in
the	DT	the
central	JJ	central
uh	UH	uh
central	JJ	central
part	NN	part
of	IN	of
raah	NP	raah
City	NP	City
an	DT	an
area	NN	area
that	WDT	that
is	VBZ	be
supposed	VVN	suppose
to	TO	to
be	VB	be
uh	UH	uh
an	DT	an
evacuation	NN	evacuation
Center	NN	center
safe	JJ	safe
for	IN	for
displ	NN	displ
Palestinians	NNS	Palestinian
and	CC	and
as	RB	as
according	VVG	accord
to	TO	to
to	TO	to
the	DT	the
municipality	NN	municipality
of	IN	of
ra	NN	ra
ra	NNS	ra
turned	VVN	turn
into	IN	into
a	DT	a
large	JJ	large
refugee	NN	refugee
camp	NN	camp
yet	CC	yet
people	NNS	people
are	VBP	be
getting	VVG	get
killed	VVN	kill
in	IN	in
their	PP$	their
homes	NNS	home
most	RBS	most
of	IN	of
the	DT	the
people	NNS	people
so	RB	so
far	RB	far
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Raa	NP	Raa
City	NP	City
happened	VVD	happen
to	TO	to
be	VB	be
evacuated	VVN	evacuate
displaced	VVN	displace
Palestinians	NNS	Palestinian
from	IN	from
different	JJ	different
parts	NNS	part
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
what	WP	what
we're	NNS	we're
seeing	VVG	see
now	RB	now
is	VBZ	be
Around	IN	around
the	DT	the
Clock	NP	Clock
more	JJR	more
reports	NNS	report
about	IN	about
people	NNS	people
being	VBG	be
killed	VVN	kill
arrived	VVN	arrive
to	TO	to
hospitals	NNS	hospital
across	IN	across
the	DT	the
central	JJ	central
part	NN	part
and	CC	and
the	DT	the
southern	JJ	southern
part	NN	part
people	NNS	people
Palestinians	NNS	Palestinian
are	VBP	be
dying	VVG	die
at	IN	at
a	DT	a
historic	JJ	historic
Pace	NP	Pace
compared	VVN	compare
to	TO	to
any	DT	any
other	JJ	other
uh	UH	uh
situations	NNS	situation
uh	UH	uh
within	IN	within
the	DT	the
past	JJ	past
years	NNS	year
but	CC	but
the	DT	the
worst	JJS	bad
of	IN	of
this	DT	this
