<video_id>doA6r8QIQqQ</video_id>	JJ	<video_id>doA6r8QIQqQ</video_id>
<video_title>Church	NN	<video_title>Church
service	NN	service
held	VVN	hold
in	IN	in
Occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
for	IN	for
those	DT	those
who	WP	who
have	VHP	have
lost	VVN	lose
their	PP$	their
lives	NNS	life
in	IN	in
war	NN	war
on	IN	on
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Church	NN	<thumbnail_path>data/en_AJ\Church
service	NN	service
held	VVN	hold
in	IN	in
Occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
for	IN	for
those	DT	those
who	WP	who
have	VHP	have
lost	VVN	lose
their	PP$	their
lives	NNS	life
in	IN	in
war	NN	war
on	IN	on
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231019</publish_date>	NN	<publish_date>20231019</publish_date>
<doc>	NN	<doc>
now	RB	now
it's	NNS	it's
been	VBN	be
nearly	RB	nearly
48	CD	@card@
hours	NNS	hour
since	IN	since
an	DT	an
Israeli	JJ	Israeli
strike	NN	strike
hid	VVD	hide
the	DT	the
alahi	NN	alahi
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
killing	VVG	kill
hundreds	NNS	hundred
of	IN	of
people	NNS	people
and	CC	and
triggering	VVG	trigger
Global	JJ	global
outrage	NN	outrage
many	JJ	many
of	IN	of
the	DT	the
victims	NNS	victim
were	VBD	be
taking	VVG	take
shelter	NN	shelter
at	IN	at
the	DT	the
hospital	NN	hospital
from	IN	from
Israel's	NP	Israel's
Relentless	JJ	relentless
bombardment	NN	bombardment
of	IN	of
The	DT	the
besieged	JJ	besieged
Enclave	NN	enclave
the	DT	the
Episcopal	JJ	Episcopal
Church	NN	church
in	IN	in
romala	NN	romala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
is	VBZ	be
holding	VVG	hold
a	DT	a
service	NN	service
for	IN	for
the	DT	the
victims	NNS	victim
of	IN	of
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
including	VVG	include
the	DT	the
people	NNS	people
massacred	VVN	massacre
at	IN	at
the	DT	the
alahi	NP	alahi
hospital	NN	hospital
H	NN	H
abdulhamid	NN	abdulhamid
is	VBZ	be
in	IN	in
rala	NN	rala
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
Hoda	NP	Hoda
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
this	DT	this
church	NN	church
service	NN	service
well	RB	well
the	DT	the
Episcopal	NP	Episcopal
Church	NP	Church
is	VBZ	be
actually	RB	actually
overseas	JJ	overseas
uh	UH	uh
the	DT	the
AL	NP	al
Hospital	NN	hospital
in	IN	in
uh	UH	uh
Gaza	NP	Gaza
uh	UH	uh
they	PP	they
had	VHD	have
it	PP	it
issued	VVD	issue
a	DT	a
statement	NN	statement
earlier	RBR	earlier
in	IN	in
the	DT	the
day	NN	day
uh	UH	uh
denouncing	VVG	denounce
what	WP	what
had	VHD	have
happened	VVN	happen
in	IN	in
Gaza	NP	Gaza
calling	VVG	call
it	PP	it
a	DT	a
crime	NN	crime
against	IN	against
humanity	NN	humanity
targeting	VVG	target
hospitals	NNS	hospital
and	CC	and
the	DT	the
church	NN	church
that	WDT	that
was	VBD	be
were	VBD	be
on	IN	on
that	DT	that
ground	NN	ground
at	IN	at
the	DT	the
Episcopal	NP	Episcopal
Church	NP	Church
saying	VVG	say
that	IN/that	that
that	DT	that
count	NN	count
amounts	VVZ	amount
to	TO	to
a	DT	a
a	DT	a
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
now	RB	now
this	DT	this
service	NN	service
is	VBZ	be
just	RB	just
under	IN	under
way	NN	way
it's	NNS	it's
basically	RB	basically
to	TO	to
pray	VV	pray
for	IN	for
all	PDT	all
those	DT	those
who	WP	who
have	VHP	have
fallen	VVN	fall
but	CC	but
it's	NNS	it's
also	RB	also
a	DT	a
show	NN	show
of	IN	of
defiance	NN	defiance
saying	VVG	say
the	DT	the
statement	NN	statement
clearly	RB	clearly
said	VVD	say
and	CC	and
the	DT	the
people	NNS	people
coming	VVG	come
in	IN	in
here	RB	here
clearly	RB	clearly
said	VVD	say
yes	UH	yes
they	PP	they
can	MD	can
hurt	VV	hurt
us	PP	us
yes	RB	yes
they	PP	they
can	MD	can
try	VV	try
to	TO	to
crush	VV	crush
it	PP	it
but	CC	but
we	PP	we
will	MD	will
all	RB	all
always	RB	always
stand	VV	stand
up	RB	up
again	RB	again
it	PP	it
we	PP	we
should	MD	should
be	VB	be
hearing	VVG	hear
a	DT	a
later	RBR	later
from	IN	from
the	DT	the
priest	NN	priest
I	PP	I
think	VVP	think
in	IN	in
his	PP$	his
serman	NN	serman
there'll	RB	there'll
be	VB	be
some	DT	some
uh	UH	uh
quite	PDT	quite
uh	UH	uh
harsh	JJ	harsh
words	NNS	word
towards	IN	towards
what	WP	what
is	VBZ	be
happening	VVG	happen
in	IN	in
Israel	NP	Israel
and	CC	and
in	IN	in
in	IN	in
Gaza	NP	Gaza
rather	RB	rather
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
a	DT	a
lot	NN	lot
of	IN	of
support	NN	support
to	TO	to
Gaza	NP	Gaza
rather	RB	rather
and	CC	and
harsh	JJ	harsh
words	NNS	word
towards	IN	towards
uh	UH	uh
the	DT	the
military	JJ	military
operation	NN	operation
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
undertaking	VVG	undertake
at	IN	at
the	DT	the
moment	NN	moment
HUD	NP	HUD
on	IN	on
Thursday	NP	Thursday
we	PP	we
saw	VVD	see
another	DT	another
Israeli	JJ	Israeli
raid	NN	raid
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
the	DT	the
arrests	NNS	arrest
and	CC	and
the	DT	the
killings	NNS	killing
by	IN	by
Israeli	JJ	Israeli
forces	VVZ	force
uh	UH	uh
have	VHP	have
just	RB	just
increased	VVN	increase
so	RB	so
sharply	RB	sharply
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
can	MD	can
you	PP	you
give	VV	give
us	PP	us
the	DT	the
context	NN	context
around	IN	around
that	DT	that
well	NN	well
that	WDT	that
is	VBZ	be
something	NN	something
that	WDT	that
is	VBZ	be
on	IN	on
going	VVG	go
every	DT	every
day	NN	day
all	DT	all
day	NN	day
I'm	NN	I'm
really	RB	really
sorry	RB	sorry
for	IN	for
this	DT	this
um	NN	um
every	DT	every
day	NN	day
you	PP	you
wake	VVP	wake
up	RP	up
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
you	PP	you
ask	VVP	ask
what	WP	what
happened	VVD	happen
overnight	JJ	overnight
how	WRB	how
many	JJ	many
uh	UH	uh
how	WRB	how
many	JJ	many
people	NNS	people
were	VBD	be
detained	VVN	detain
how	WRB	how
many	JJ	many
people	NNS	people
were	VBD	be
killed	VVN	kill
in	IN	in
overnight	JJ	overnight
traes	NNS	traes
um	RB	um
there	EX	there
is	VBZ	be
one	CD	one
a	DT	a
situation	NN	situation
a	DT	a
standoff	NN	standoff
that	WDT	that
has	VHZ	have
been	VBN	be
going	VVG	go
on	IN	on
actually	RB	actually
since	IN	since
uh	UH	uh
for	IN	for
more	JJR	more
than	IN	than
12	CD	@card@
hours	NNS	hour
now	RB	now
that	WDT	that
is	VBZ	be
in	IN	in
the	DT	the
North	NP	North
in	IN	in
taram	NN	taram
so	IN	so
far	RB	far
six	CD	six
people	NNS	people
have	VHP	have
died	VVN	die
there	RB	there
and	CC	and
the	DT	the
standoff	NN	standoff
is	VBZ	be
still	RB	still
ongoing	JJ	ongoing
the	DT	the
area	NN	area
is	VBZ	be
completely	RB	completely
shut	VVN	shut
down	RP	down
it's	NNS	it's
a	DT	a
refugee	NN	refugee
camp	NN	camp
next	JJ	next
to	TO	to
tul	NN	tul
car	NN	car
completely	RB	completely
sealed	VVD	seal
off	RP	off
at	IN	at
the	DT	the
moment	NN	moment
people	NNS	people
can	MD	can
come	VV	come
can't	NN	can't
come	VV	come
in	RP	in
and	CC	and
out	RP	out
and	CC	and
the	DT	the
last	JJ	last
we	PP	we
heard	VVD	hear
is	VBZ	be
that	IN/that	that
electricity	NN	electricity
and	CC	and
water	NN	water
was	VBD	be
also	RB	also
cut	VVN	cut
off	RP	off
from	IN	from
the	DT	the
area	NN	area
and	CC	and
then	RB	then
there	EX	there
were	VBD	be
three	CD	three
others	NNS	other
that	WDT	that
were	VBD	be
killed	VVN	kill
in	IN	in
also	RB	also
in	IN	in
overnight	JJ	overnight
raids	NNS	raid
but	CC	but
the	DT	the
tragic	JJ	tragic
story	NN	story
about	IN	about
this	DT	this
is	VBZ	be
that	IN/that	that
these	DT	these
numbers	NNS	number
keep	VVP	keep
on	IN	on
increasing	VVG	increase
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
every	DT	every
day	NN	day
you	PP	you
have	VHP	have
to	TO	to
update	VV	update
your	PP$	your
tally	VV	tally
uh	UH	uh
there	EX	there
were	VBD	be
more	JJR	more
than	IN	than
800	CD	@card@
people	NNS	people
who	WP	who
had	VHD	have
been	VBN	be
detained	VVN	detain
since	IN	since
October	NP	October
7th	JJ	7th
when	WRB	when
this	DT	this
crisis	NN	crisis
started	VVD	start
and	CC	and
one	CD	one
person	NN	person
I	PP	I
was	VBD	be
talking	VVG	talk
to	TO	to
earlier	JJR	early
in	IN	in
the	DT	the
day	NN	day
he	PP	he
said	VVD	say
you	PP	you
know	VVP	know
we	PP	we
keep	VV	keep
on	IN	on
praying	VVG	pray
on	IN	on
The	DT	the
Souls	NNS	soul
of	IN	of
those	DT	those
who	WP	who
have	VHP	have
died	VVN	die
but	CC	but
then	RB	then
next	JJ	next
morning	NN	morning
we	PP	we
have	VHP	have
to	TO	to
start	VV	start
all	DT	all
over	RB	over
again	RB	again
because	IN	because
next	JJ	next
morning	NN	morning
there	EX	there
are	VBP	be
new	JJ	new
victims	NNS	victim
uh	UH	uh
new	JJ	new
fallen	VVN	fall
new	JJ	new
people	NNS	people
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
so	IN	so
it	PP	it
is	VBZ	be
just	RB	just
this	DT	this
continuous	JJ	continuous
uh	UH	uh
cycle	NN	cycle
of	IN	of
death	NN	death
and	CC	and
violence	NN	violence
that	WDT	that
is	VBZ	be
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
that	WDT	that
has	VHZ	have
been	VBN	be
going	VVG	go
on	RP	on
since	IN	since
before	IN	before
this	DT	this
crisis	NN	crisis
and	CC	and
it's	NNS	it's
just	RB	just
ever	RB	ever
since	IN	since
October	NP	October
7th	JJ	7th
a	DT	a
big	JJ	big
Turning	VVG	turn
Point	NP	Point
things	NNS	thing
have	VHP	have
become	VVN	become
much	RB	much
worse	RBR	worse
uh	UH	uh
for	IN	for
anyone	NN	anyone
living	VVG	live
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
the	DT	the
number	NN	number
of	IN	of
settler	NN	settler
attacks	NNS	attack
which	WDT	which
used	VVD	use
to	TO	to
be	VB	be
on	IN	on
average	JJ	average
three	CD	three
per	IN	per
day	NN	day
according	VVG	accord
to	TO	to
the	DT	the
UN	NP	UN
humanitarian	JJ	humanitarian
agency	NN	agency
here	RB	here
well	RB	well
now	RB	now
they're	JJ	they're
at	IN	at
least	JJS	least
on	IN	on
average	JJ	average
eight	CD	eight
a	DT	a
day	NN	day
so	RB	so
as	IN	as
you	PP	you
can	MD	can
see	VV	see
these	DT	these
numbers	NNS	number
are	VBP	be
incre	RB	incre
increasing	VVG	increase
disproportionately	RB	disproportionately
and	CC	and
one	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
Hamas	VVZ	Hamas
uh	UH	uh
said	VVD	say
that	IN/that	that
it	PP	it
had	VHD	have
carry	NN	carry
out	IN	out
this	DT	this
operation	NN	operation
that	IN/that	that
it	PP	it
wanted	VVD	want
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
is	VBZ	be
also	RB	also
because	IN	because
of	IN	of
what	WP	what
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
go	VV	go
through	RP	through
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
it's	NNS	it's
a	DT	a
different	JJ	different
kind	NN	kind
of	IN	of
of	IN	of
of	IN	of
of	IN	of
occupation	NN	occupation
and	CC	and
Gaza	NP	Gaza
is	VBZ	be
under	IN	under
siege	NN	siege
whole	JJ	whole
year	NN	year
long	RB	long
but	CC	but
here	RB	here
in	IN	in
this	DT	this
part	NN	part
of	IN	of
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
the	DT	the
friction	NN	friction
with	IN	with
the	DT	the
occupation	NN	occupation
is	VBZ	be
constant	JJ	constant
day	NN	day
and	CC	and
night	NN	night
and	CC	and
you	PP	you
never	RB	never
know	VVP	know
if	IN	if
you're	NN	you're
a	DT	a
Palestinian	NN	Palestinian
from	IN	from
it's	NNS	it's
coming	VVG	come
to	TO	to
you	PP	you
Huda	NP	Huda
thank	VV	thank
you	PP	you
very	RB	very
much	JJ	much
that's	NN	that's
alaz	NP	alaz
ABD	NP	ABD
