US	NP	US
tech	NN	tech
State	NP	State
Anthony	NP	Anthony
blinkin	NP	blinkin
is	VBZ	be
meeting	VVG	meet
with	IN	with
Israeli	JJ	Israeli
president	NN	president
Isaac	NP	Isaac
Herzog	NP	Herzog
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
let	NN	let
'	POS	'
s	NNS	s
listen	VVP	listen
in	IN	in
the	DT	the
working	VVG	work
Place	NN	place
decided	VVD	decide
to	TO	to
murder	VV	murder
him	PP	him
simply	RB	simply
because	IN	because
he	PP	he
'	POS	'
s	NN	S
a	DT	a
Jew	NP	Jew
and	CC	and
in	IN	in
Israeli	NP	Israeli
a	DT	a
very	RB	very
great	JJ	great
tragedy	NN	tragedy
last	JJ	last
night	NN	night
we	PP	we
'	POS	'
ve	NN	ve
witnessed	VVN	witness
a	DT	a
a	DT	a
suspected	JJ	suspected
major	JJ	major
terror	NN	terror
attack	NN	attack
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
which	WDT	which
is	VBZ	be
under	IN	under
investigation	NN	investigation
with	IN	with
a	DT	a
possible	JJ	possible
suicide	NN	suicide
bomber	NN	bomber
and	CC	and
this	DT	this
morning	NN	morning
our	PP$	our
soldiers	NNS	soldier
have	VHP	have
being	VBG	be
attacked	VVN	attack
in	IN	in
y	NP	y
y	NP	y
is	VBZ	be
on	IN	on
the	DT	the
border	NN	border
with	IN	with
Lebanon	NP	Lebanon
byala	NP	byala
terrorists	NNS	terrorist
uh	UH	uh
with	IN	with
drones	NNS	drone
and	CC	and
uh	UH	uh
there	EX	there
are	VBP	be
some	RB	some
there	EX	there
is	VBZ	be
information	NN	information
that	IN/that	that
we	PP	we
have	VHP	have
suffered	VVN	suffer
uh	UH	uh
possible	JJ	possible
casualties	NNS	casualty
we	PP	we
are	VBP	be
under	IN	under
review	NN	review
of	IN	of
this	DT	this
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
way	NN	way
we	PP	we
are	VBP	be
living	VVG	live
these	DT	these
days	NNS	day
we	PP	we
are	VBP	be
surrounded	VVN	surround
by	IN	by
Terror	NN	terror
from	IN	from
four	CD	four
corners	NNS	corner
of	IN	of
the	DT	the
earth	NN	earth
and	CC	and
we	PP	we
are	VBP	be
fighting	VVG	fight
back	RB	back
as	IN	as
a	DT	a
resilient	JJ	resilient
and	CC	and
strong	JJ	strong
Nation	NN	nation
it	PP	it
also	RB	also
reflect	VVP	reflect
is	VBZ	be
reflected	VVN	reflect
in	IN	in
the	DT	the
attitude	NN	attitude
of	IN	of
Hamas	NNS	Hamas
in	IN	in
the	DT	the
negotiations	NNS	negotiation
for	IN	for
the	DT	the
release	NN	release
of	IN	of
our	PP$	our
hostages	NNS	hostage
because	IN	because
one	PP	one
has	VHZ	have
to	TO	to
remember	VV	remember
