<video_id>y6LD0d8lEb8</video_id>	JJ	<video_id>y6LD0d8lEb8</video_id>
<video_title>ICJ	NP	<video_title>ICJ
orders	NNS	order
Israel	NP	Israel
to	TO	to
end	VV	end
Rafah	NP	Rafah
assault:	JJ	assault:
Arab	JJ	Arab
ambassadors	NNS	ambassador
react	VVP	react
to	TO	to
ICJ	NP	ICJ
ruling</video_title>	NN	ruling</video_title>
<thumbnail_path>data/en_AJ\ICJ	NN	<thumbnail_path>data/en_AJ\ICJ
orders	NNS	order
Israel	NP	Israel
to	TO	to
end	VV	end
Rafah	NP	Rafah
assault	VV	assault
Arab	JJ	Arab
ambassadors	NNS	ambassador
react	VVP	react
to	TO	to
ICJ	NP	ICJ
ruling.jpg</thumbnail_path>	NN	ruling.jpg</thumbnail_path>
<publish_date>20240524</publish_date>	NN	<publish_date>20240524</publish_date>
<doc>	NN	<doc>
in	IN	in
chairman	NN	chairman
of	IN	of
the	DT	the
Arab	JJ	Arab
group	NN	group
for	IN	for
May	NP	May
and	CC	and
the	DT	the
resolution	NN	resolution
that	WDT	that
has	VHZ	have
been	VBN	be
endorsed	VVN	endorse
by	IN	by
the	DT	the
SC	NP	SC
Council	NP	Council
regarding	VVG	regard
protection	NN	protection
of	IN	of
civilians	NNS	civilian
and	CC	and
then	RB	then
Dr	NP	Dr
Mansour	NP	Mansour
will	MD	will
talk	VV	talk
to	TO	to
you	PP	you
the	DT	the
Arab	JJ	Arab
group	NN	group
confirmed	VVD	confirm
the	DT	the
necessity	NN	necessity
of	IN	of
protecting	VVG	protect
the	DT	the
civilians	NNS	civilian
and	CC	and
the	DT	the
humanitarian	JJ	humanitarian
Workers	NP	Workers
United	NP	United
Nations	NPS	Nations
employee	NN	employee
and	CC	and
staff	NN	staff
and	CC	and
uh	UH	uh
we	PP	we
denounce	VVP	denounce
all	DT	all
attacks	NNS	attack
against	IN	against
the	DT	the
civilians	NNS	civilian
and	CC	and
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
Gaza	NP	Gaza
and	CC	and
the	DT	the
violations	NNS	violation
committed	VVN	commit
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
against	IN	against
the	DT	the
humanitarian	JJ	humanitarian
workers	NNS	worker
and	CC	and
the	DT	the
civilians	NNS	civilian
I'll	NN	I'll
take	VVP	take
this	DT	this
opportunity	NN	opportunity
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
the	DT	the
main	JJ	main
principles	NNS	principle
and	CC	and
the	DT	the
main	JJ	main
interest	NN	interest
is	VBZ	be
to	TO	to
stop	VV	stop
fighting	VVG	fight
in	IN	in
Gaza	NP	Gaza
particularly	RB	particularly
in	IN	in
RAF	NN	RAF
and	CC	and
to	TO	to
deliver	VV	deliver
the	DT	the
humanitarian	JJ	humanitarian
Aid	NN	aid
necessary	JJ	necessary
for	IN	for
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
and	CC	and
to	TO	to
stop	VV	stop
the	DT	the
transfer	NN	transfer
the	DT	the
Arab	JJ	Arab
group	NN	group
welcomes	VVZ	welcome
the	DT	the
procedures	NNS	procedure
temporary	JJ	temporary
procedures	NNS	procedure
of	IN	of
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
and	CC	and
the	DT	the
issuance	NN	issuance
of	IN	of
an	DT	an
order	NN	order
to	TO	to
stop	VV	stop
immediately	RB	immediately
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
operations	NNS	operation
in	IN	in
Rafa	NP	Rafa
the	DT	the
Arab	JJ	Arab
group	NN	group
confirmed	VVD	confirm
the	DT	the
necessity	NN	necessity
of	IN	of
committing	VVG	commit
Israel	NP	Israel
to	TO	to
do	VV	do
this	DT	this
without	IN	without
any	DT	any
delay	NN	delay
his	PP$	his
Excellency	NN	Excellency
Dr	NN	Dr
rad	NN	rad
mans	VVZ	man
will	MD	will
talk	VV	talk
to	TO	to
you	PP	you
thank	VV	thank
you	PP	you
my	PP$	my
brother	NN	brother
Muhammad	NP	Muhammad
and	CC	and
thank	VV	thank
you	PP	you
for	IN	for
my	PP$	my
colleagues	NNS	colleague
the	DT	the
ambassadors	NNS	ambassador
of	IN	of
the	DT	the
Arab	JJ	Arab
countries	NNS	country
we	PP	we
decided	VVD	decide
yesterday	NN	yesterday
in	IN	in
a	DT	a
meeting	NN	meeting
to	TO	to
have	VH	have
this	DT	this
pressor	JJ	pressor
this	DT	this
uh	UH	uh
press	NN	press
conference	NN	conference
and	CC	and
as	RB	as
said	VVD	say
by	IN	by
my	PP$	my
brother	NN	brother
Muhammad	NP	Muhammad
there	EX	there
are	VBP	be
two	CD	two
topics	NNS	topic
that	WDT	that
are	VBP	be
of	IN	of
extremely	RB	extremely
importance	NN	importance
first	RB	first
the	DT	the
indorsement	NN	indorsement
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
regarding	VVG	regard
the	DT	the
resolution	NN	resolution
which	WDT	which
is	VBZ	be
mainly	RB	mainly
for	IN	for
or	CC	or
against	IN	against
the	DT	the
BR	NP	BR
uh	UH	uh
