First	RB	first
,	,	,
but	CC	but
the	DT	the
sequence	NN	sequence
that	WDT	that
happened	VVD	happen
was	VBD	be
that	IN/that	that
the	DT	the
occupation	NN	occupation
forces	NNS	force
initially	RB	initially
bulldozed	VVD	bulldoze
the	DT	the
journalists	NNS	journalist
’	POS	'
tent	NN	tent
.	SENT	.
Later	RBR	later
,	,	,
a	DT	a
foot	NN	foot
force	NN	force
descended	VVN	descend
and	CC	and
fixed	VVN	fix
the	DT	the
place	NN	place
with	IN	with
lasers	NNS	laser
and	CC	and
snipers	NNS	sniper
.	SENT	.
We	PP	we
were	VBD	be
forced	VVN	force
to	TO	to
surrender	VV	surrender
ourselves	PP	ourselves
due	JJ	due
to	TO	to
fear	VV	fear
that	IN/that	that
the	DT	the
occupation	NN	occupation
forces	NNS	force
would	MD	would
commit	VV	commit
a	DT	a
massacre	NN	massacre
,	,	,
execution	NN	execution
,	,	,
or	CC	or
even	RB	even
direct	JJ	direct
shooting	NN	shooting
,	,	,
given	VVN	give
knowledge	NN	knowledge
or	CC	or
the	DT	the
presence	NN	presence
of	IN	of
a	DT	a
slogan	NN	slogan
on	IN	on
this	DT	this
room	NN	room
.	SENT	.
Since	IN	since
this	DT	this
room	NN	room
belongs	VVZ	belong
to	TO	to
journalists	NNS	journalist
,	,	,
we	PP	we
were	VBD	be
forced	VVN	force
to	TO	to
surrender	VV	surrender
ourselves	PP	ourselves
and	CC	and
go	VV	go
outside	JJ	outside
.	SENT	.
The	DT	the
occupation	NN	occupation
forces	NNS	force
forced	VVD	force
us	PP	us
to	TO	to
take	VV	take
off	RP	off
our	PP$	our
clothes	NNS	clothes
completely	RB	completely
,	,	,
kneel	NN	kneel
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
place	VV	place
our	PP$	our
hands	NNS	hand
above	IN	above
our	PP$	our
heads	NNS	head
for	IN	for
about	RB	about
an	DT	an
hour	NN	hour
in	IN	in
a	DT	a
very	RB	very
cold	JJ	cold
and	CC	and
bitter	JJ	bitter
atmosphere	NN	atmosphere
.	SENT	.
The	DT	the
occupation	NN	occupation
forces	NNS	force
handcuffed	VVD	handcuff
our	PP$	our
hands	NNS	hand
and	CC	and
blindfolded	VVD	blindfold
us	PP	us
,	,	,
and	CC	and
we	PP	we
remained	VVD	remain
in	IN	in
this	DT	this
state	NN	state
.	SENT	.
About	RB	about
three	CD	three
hours	NNS	hour
from	IN	from
this	DT	this
morning	NN	morning
until	IN	until
the	DT	the
evening	NN	evening
hours	NNS	hour
until	IN	until
the	DT	the
military	JJ	military
intelligence	NN	intelligence
units	NNS	unit
of	IN	of
the	DT	the
occupation	NN	occupation
army	NN	army
arrived	VVD	arrive
to	TO	to
work	VV	work
on	IN	on
investigating	VVG	investigate
the	DT	the
journalists	NNS	journalist
and	CC	and
even	RB	even
those	DT	those
present	NN	present
in	IN	in
this	DT	this
field	NN	field
.	SENT	.
We	PP	we
found	VVD	find
the	DT	the
moment	NN	moment
we	PP	we
left	VVD	leave
the	DT	the
room	NN	room
in	IN	in
which	WDT	which
we	PP	we
stayed	VVD	stay
for	IN	for
several	JJ	several
hours	NNS	hour
in	IN	in
a	DT	a
cold	JJ	cold
atmosphere	NN	atmosphere
,	,	,
stripped	VVN	strip
of	IN	of
clothes	NNS	clothes
,	,	,
handcuffed	VVN	handcuff
and	CC	and
blindfolded	VVN	blindfold
,	,	,
almost	RB	almost
to	TO	to
the	DT	the
ground	NN	ground
.	SENT	.
For	IN	for
an	DT	an
hour	NN	hour
in	IN	in
this	DT	this
situation	NN	situation
,	,	,
without	IN	without
mercy	NN	mercy
from	IN	from
the	DT	the
occupation	NN	occupation
forces	NNS	force
or	CC	or
even	RB	even
giving	VVG	give
us	PP	us
some	DT	some
of	IN	of
the	DT	the
clothes	NNS	clothes
that	IN/that	that
they	PP	they
forced	VVD	force
us	PP	us
to	TO	to
take	VV	take
off	RP	off
,	,	,
some	DT	some
of	IN	of
the	DT	the
crews	NNS	crew
or	CC	or
the	DT	the
working	VVG	work
part	NN	part
of	IN	of
the	DT	the
crews	NNS	crew
were	VBD	be
interrogated	VVN	interrogate
,	,	,
while	IN	while
it	PP	it
means	VVZ	mean
that	IN/that	that
I	PP	I
succeeded	VVD	succeed
in	IN	in
helping	VVG	help
this	DT	this
elderly	JJ	elderly
man	NN	man
and	CC	and
getting	VVG	get
out	RP	out
of	IN	of
the	DT	the
complex	JJ	complex
so	RB	so
that	IN/that	that
no	DT	no
one	CD	one
would	MD	would
come	VV	come
to	TO	to
me	PP	me
.	SENT	.
Investigation	NN	investigation
,	,	,
and	CC	and
there	EX	there
have	VHP	have
been	VBN	be
great	JJ	great
efforts	NNS	effort
to	TO	to
release	VV	release
the	DT	the
working	VVG	work
crew	NN	crew
until	IN	until
this	DT	this
moment	NN	moment
.	SENT	.
This	DT	this
means	VVZ	mean
that	IN/that	that
the	DT	the
conditions	NNS	condition
are	VBP	be
difficult	JJ	difficult
,	,	,
and	CC	and
the	DT	the
occupation	NN	occupation
forces	NNS	force
are	VBP	be
largely	RB	largely
stationed	VVN	station
inside	IN	inside
the	DT	the
community	NN	community
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
violent	JJ	violent
bombardment	NN	bombardment
,	,	,
and	CC	and
there	EX	there
are	VBP	be
a	DT	a
number	NN	number
of	IN	of
structures	NNS	structure
that	WDT	that
were	VBD	be
destroyed	VVN	destroy
.	SENT	.
