<video_id>xALUlEYQBHA</video_id>	JJ	<video_id>xALUlEYQBHA</video_id>
<video_title>Several	JJ	<video_title>Several
gunmen	NNS	gunman
who	WP	who
infiltrated	VVD	infiltrate
from	IN	from
Lebanon	NP	Lebanon
killed:	NP	killed:
Israel	NP	Israel
army</video_title>	NN	army</video_title>
<thumbnail_path>data/en_AJ\Several	NN	<thumbnail_path>data/en_AJ\Several
gunmen	NNS	gunman
who	WP	who
infiltrated	VVD	infiltrate
from	IN	from
Lebanon	NP	Lebanon
killed	VVD	kill
Israel	NP	Israel
army.jpg</thumbnail_path>	NP	army.jpg</thumbnail_path>
<publish_date>20231009</publish_date>	JJ	<publish_date>20231009</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
turn	VVP	turn
now	RB	now
to	TO	to
Northern	NP	Northern
Israel	NP	Israel
where	WRB	where
the	DT	the
military	NN	military
says	VVZ	say
it	PP	it
has	VHZ	have
killed	VVN	kill
fighters	NNS	fighter
who	WP	who
have	VHP	have
infiltrated	VVN	infiltrate
from	IN	from
Lebanon	NP	Lebanon
the	DT	the
Iran	NP	Iran
backed	VVD	back
Hezbollah	NP	Hezbollah
movement	NN	movement
is	VBZ	be
denying	VVG	deny
any	DT	any
involvement	NN	involvement
in	IN	in
that	DT	that
Let's	NP	Let's
cross	NN	cross
to	TO	to
Zena	NP	Zena
Hoda	NP	Hoda
she	PP	she
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
the	DT	the
village	NN	village
of	IN	of
hamam	NN	hamam
in	IN	in
southern	JJ	southern
Lebanon	NP	Lebanon
at	IN	at
that	DT	that
border	NN	border
Zena	NP	Zena
tell	VV	tell
us	PP	us
what	WP	what
you	PP	you
know	VVP	know
to	TO	to
be	VB	be
happening	VVG	happen
there	RB	there
at	IN	at
the	DT	the
border	NN	border
well	RB	well
it	PP	it
is	VBZ	be
now	RB	now
an	DT	an
active	JJ	active
border	NN	border
line	NN	line
active	JJ	active
front	NN	front
line	NN	line
because	IN	because
I	PP	I
can	MD	can
hear	VV	hear
the	DT	the
sound	NN	sound
of	IN	of
shelling	VVG	shell
as	IN	as
we	PP	we
speak	VVP	speak
you	PP	you
mentioned	VVD	mention
an	DT	an
infiltration	NN	infiltration
attempt	NN	attempt
now	RB	now
this	DT	this
is	VBZ	be
according	VVG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
army	NN	army
they	PP	they
said	VVD	say
that	IN/that	that
there	EX	there
was	VBD	be
an	DT	an
attempt	NN	attempt
by	IN	by
a	DT	a
number	NN	number
of	IN	of
suspects	NNS	suspect
into	IN	into
Israel	NP	Israel
there	EX	there
was	VBD	be
a	DT	a
clash	NN	clash
and	CC	and
that	IN/that	that
they	PP	they
killed	VVD	kill
two	CD	two
of	IN	of
them	PP	them
so	IN	so
this	DT	this
is	VBZ	be
according	VVG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
and	CC	and
there	EX	there
was	VBD	be
an	DT	an
ensuing	VVG	ensue
clash	NN	clash
and	CC	and
uh	UH	uh
bombardment	NN	bombardment
in	IN	in
the	DT	the
area	NN	area
now	RB	now
Hezbollah	NP	Hezbollah
the	DT	the
Lebanese	JJ	Lebanese
armed	JJ	armed
group	NN	group
has	VHZ	have
said	VVN	say
that	IN/that	that
they	PP	they
were	VBD	be
not	RB	not
involved	VVN	involve
in	IN	in
this	DT	this
operation	NN	operation
they	PP	they
were	VBD	be
not	RB	not
involved	VVN	involve
in	IN	in
any	DT	any
operation	NN	operation
inside	IN	inside
Israel	NP	Israel
this	DT	this
was	VBD	be
a	DT	a
statement	NN	statement
that	WDT	that
was	VBD	be
um	NNS	um
that	WDT	that
was	VBD	be
made	VVN	make
by	IN	by
the	DT	the
group	NN	group
now	RB	now
we're	NN	we're
also	RB	also
getting	VVG	get
reports	NNS	report
that	IN/that	that
shells	NNS	shell
are	VBP	be
being	VBG	be
launched	VVN	launch
from	IN	from
Southern	NP	Southern
Lebanon	NP	Lebanon
into	IN	into
Northern	NP	Northern
Israel	NP	Israel
Israel	NP	Israel
responding	VVG	respond
so	RB	so
undoubtedly	RB	undoubtedly
an	DT	an
escalation	NN	escalation
along	IN	along
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
volatile	JJ	volatile
borders	NNS	border
in	IN	in
the	DT	the
region	NN	region
yesterday	RB	yesterday
yes	RB	yes
there	EX	there
was	VBD	be
an	DT	an
exchange	NN	exchange
of	IN	of
fire	NN	fire
between	IN	between
Hezbollah	NP	Hezbollah
and	CC	and
Israel	NP	Israel
Hezbollah	NP	Hezbollah
did	VVD	do
claim	NN	claim
responsibility	NN	responsibility
for	IN	for
targeting	VVG	target
an	DT	an
Israeli	JJ	Israeli
Army	NP	Army
position	NN	position
but	CC	but
it	PP	it
uh	UH	uh
it	PP	it
shows	VVZ	show
its	PP$	its
Target	NP	Target
well	NN	well
it	PP	it
made	VVD	make
sure	RB	sure
that	IN/that	that
it	PP	it
was	VBD	be
