while	IN	while
Israel	NP	Israel
presses	NNS	press
on	IN	on
with	IN	with
its	PP$	its
assault	NN	assault
on	IN	on
Gaza	NP	Gaza
its	PP$	its
forces	NNS	force
are	VBP	be
also	RB	also
engaged	VVN	engage
on	IN	on
the	DT	the
northern	JJ	northern
border	NN	border
with	IN	with
Lebanon	NP	Lebanon
the	DT	the
armeny	NN	armeny
says	VVZ	say
it	PP	it
'	''	'
s	NN	S
targeting	VVG	target
Hezbollah	NP	Hezbollah
military	JJ	military
sites	NNS	site
after	IN	after
several	JJ	several
shells	NNS	shell
were	VBD	be
fired	VVN	fire
at	IN	at
Israeli	JJ	Israeli
troops	NNS	troop
it	PP	it
'	POS	'
s	NN	S
also	RB	also
announced	VVD	announce
the	DT	the
closure	NN	closure
of	IN	of
several	JJ	several
main	JJ	main
roads	NNS	road
leading	VVG	lead
to	TO	to
Israeli	JJ	Israeli
border	NN	border
towns	NNS	town
this	DT	this
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
be	VB	be
joined	VVN	join
by	IN	by
Ali	NP	Ali
Hashim	NP	Hashim
who	WP	who
'	POS	'
s	NN	S
in	IN	in
nakora	NN	nakora
in	IN	in
southern	JJ	southern
Lebanon	NP	Lebanon
what	WP	what
'	POS	'
s	RB	s
been	VBN	be
happening	VVG	happen
Ali	NP	Ali
well	NN	well
Rob	NP	Rob
over	IN	over
the	DT	the
past	JJ	past
hours	NNS	hour
there	EX	there
were	VBD	be
several	JJ	several
Israeli	JJ	Israeli
uh	UH	uh
a	DT	a
in	IN	in
this	DT	this
area	NN	area
behind	IN	behind
me	PP	me
the	DT	the
launa	NN	launa
hills	VVZ	hill
that	IN/that	that
'	POS	'
s	JJ	s
overseeing	VVG	oversee
nakura	NN	nakura
and	CC	and
also	RB	also
it	PP	it
'	POS	'
s	NNS	s
overseeing	VVG	oversee
from	IN	from
the	DT	the
other	JJ	other
side	NN	side
shomi	NN	shomi
betet	NN	betet
and	CC	and
Ros	NP	Ros
hanikra	NP	hanikra
from	IN	from
the	DT	the
Israeli	NP	Israeli
side	VV	side
uh	UH	uh
couple	NN	couple
of	IN	of
attacks	NNS	attack
from	IN	from
hisbah	NN	hisbah
since	IN	since
this	DT	this
morning	NN	morning
and	CC	and
then	RB	then
Israeli	JJ	Israeli
uh	UH	uh
air	NN	air
strikes	VVZ	strike
several	JJ	several
air	NN	air
strikes	NNS	strike
for	IN	for
the	DT	the
moment	NN	moment
there	EX	there
were	VBD	be
no	DT	no
casualties	NNS	casualty
yet	RB	yet
before	IN	before
this	DT	this
was	VBD	be
intertwined	VVN	intertwine
with	IN	with
the	DT	the
war	NN	war
