<video_id>ew0mTiDYBJc</video_id>	JJ	<video_id>ew0mTiDYBJc</video_id>
<video_title>Joint	NN	<video_title>Joint
statement	NN	statement
on	IN	on
Gaza	NP	Gaza
ceasefire	NN	ceasefire
deal	NN	deal
puts	VVZ	put
pressure	NN	pressure
on	IN	on
Israel,	NP	Israel,
Hamas	NP	Hamas
but	CC	but
still	RB	still
‘no	NN	‘no
breakthrough’</video_title>	NN	breakthrough’</video_title>
<thumbnail_path>data/en_AJ\Joint	NN	<thumbnail_path>data/en_AJ\Joint
statement	NN	statement
on	IN	on
Gaza	NP	Gaza
ceasefire	NN	ceasefire
deal	NN	deal
puts	VVZ	put
pressure	NN	pressure
on	IN	on
Israel,	NP	Israel,
Hamas	NP	Hamas
but	CC	but
still	RB	still
‘no	NN	‘no
breakthrough’.jpg</thumbnail_path>	NN	breakthrough’.jpg</thumbnail_path>
<publish_date>20240606</publish_date>	NN	<publish_date>20240606</publish_date>
<doc>	NN	<doc>
17	CD	@card@
countries	NNS	country
including	VVG	include
the	DT	the
United	NP	United
States	NPS	States
have	VHP	have
released	VVN	release
a	DT	a
joint	JJ	joint
statement	NN	statement
calling	VVG	call
on	IN	on
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
to	TO	to
do	VV	do
whatever	WDT	whatever
is	VBZ	be
necessary	JJ	necessary
to	TO	to
agree	VV	agree
on	IN	on
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
they	PP	they
also	RB	also
want	VVP	want
the	DT	the
captives	NNS	captive
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
to	TO	to
be	VB	be
freed	VVN	free
let's	NNS	let's
get	VVP	get
the	DT	the
reaction	NN	reaction
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
now	RB	now
Alan	NP	Alan
Fischer	NP	Fischer
joins	VVZ	join
us	PP	us
from	IN	from
Washington	NP	Washington
what	WP	what
else	RB	else
did	VVD	do
this	DT	this
statement	NN	statement
have	VH	have
to	TO	to
say	VV	say
Alan	NP	Alan
well	RB	well
this	DT	this
coming	VVG	come
from	IN	from
Joe	NP	Joe
Biden	NP	Biden
who	WP	who
of	IN	of
course	NN	course
is	VBZ	be
in	IN	in
France	NP	France
for	IN	for
the	DT	the
80th	JJ	80th
anniversary	NN	anniversary
of	IN	of
the	DT	the
dday	NN	dday
commemorations	NNS	commemoration
but	CC	but
he's	NNS	he's
teamed	VVD	team
up	RP	up
with	IN	with
the	DT	the
6	CD	@card@
SE	FW	se
other	JJ	other
countries	NNS	country
who	WP	who
say	VVP	say
they	PP	they
have	VH	have
captives	NNS	captive
currently	RB	currently
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
to	TO	to
release	VV	release
this	DT	this
statement	NN	statement
it	PP	it
says	VVZ	say
As	IN	as
Leaders	NNS	leader
of	IN	of
the	DT	the
country's	NNS	country's
deeply	RB	deeply
concerned	VVN	concern
for	IN	for
the	DT	the
hostages	NNS	hostage
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
in	IN	in
Gaza	NP	Gaza
including	VVG	include
many	JJ	many
of	IN	of
uran	JJ	uran
citizens	NNS	citizen
we	PP	we
fully	RB	fully
support	VVP	support
the	DT	the
movement	NN	movement
towards	IN	towards
a	DT	a
ceire	NN	ceire
and	CC	and
hostage	NN	hostage
release	NN	release
deal	NN	deal
now	RB	now
on	IN	on
the	DT	the
table	NN	table
and	CC	and
is	VBZ	be
outlined	VVN	outline
by	IN	by
President	NP	President
Biden	NP	Biden
there	RB	there
is	VBZ	be
no	DT	no
time	NN	time
to	TO	to
lose	VV	lose
we	PP	we
call	VV	call
on	IN	on
Hamas	NN	Hamas
to	TO	to
close	VV	close
this	DT	this
agreement	NN	agreement
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
ready	JJ	ready
to	TO	to
move	VV	move
forward	RB	forward
with	IN	with
and	CC	and
begin	VV	begin
the	DT	the
process	NN	process
of	IN	of
releasing	VVG	release
our	PP$	our
citizens	NNS	citizen
now	RB	now
the	DT	the
statement	NN	statement
which	WDT	which
is	VBZ	be
only	RB	only
two	CD	two
paragraphs	NNS	paragraph
long	RB	long
continues	VVZ	continue
we	PP	we
note	VVP	note
that	IN/that	that
this	DT	this
agreement	NN	agreement
would	MD	would
lead	VV	lead
to	TO	to
an	DT	an
immediate	JJ	immediate
ceas	NNS	ceas
fire	NN	fire
and	CC	and
Rehabilitation	NP	Rehabilitation
of	IN	of
Gaza	NP	Gaza
together	RB	together
with	IN	with
security	NN	security
assurances	NNS	assurance
for	IN	for
Israelis	NPS	Israelis
and	CC	and
Palestinians	NPS	Palestinians
and	CC	and
opportunities	NNS	opportunity
for	IN	for
a	DT	a
more	RBR	more
enduring	JJ	enduring
long-term	JJ	long-term
peace	NN	peace
and	CC	and
a	DT	a
two-state	NN	two-state
solution	NN	solution
opportunities	NNS	opportunity
not	RB	not
committing	VVG	commit
to	TO	to
a	DT	a
St	NP	St
two-state	NN	two-state
solution	NN	solution
at	IN	at
that	DT	that
point	NN	point
at	IN	at
this	DT	this
decisive	JJ	decisive
moment	NN	moment
we	PP	we
call	VVP	call
on	IN	on
the	DT	the
leaders	NNS	leader
of	IN	of
Israel	NP	Israel
as	RB	as
well	RB	well
as	IN	as
Hamas	NP	Hamas
to	TO	to
make	VV	make
whatever	WDT	whatever
final	JJ	final
comp	NN	comp
compromises	NNS	compromise
are	VBP	be
necessary	JJ	necessary
to	TO	to
close	VV	close
this	DT	this
deal	NN	deal
now	RB	now
remember	VVP	remember
we	PP	we
were	VBD	be
told	VVN	tell
that	IN/that	that
this	DT	this
was	VBD	be
an	DT	an
Israeli	JJ	Israeli
plan	NN	plan
but	CC	but
here	RB	here
is	VBZ	be
a	DT	a
statement	NN	statement
saying	VVG	say
they	PP	they
have	VHP	have
to	TO	to
make	VV	make
compromises	NNS	compromise
to	TO	to
close	VV	close
the	DT	the
deal	NN	deal
and	CC	and
bring	VV	bring
relief	NN	relief
to	TO	to
the	DT	the
