let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
Hassan	NP	Hassan
barari	NP	barari
he	PP	he
'	POS	'
s	NNS	s
a	DT	a
professor	NN	professor
of	IN	of
international	JJ	international
Affairs	NPS	Affairs
at	IN	at
Qatar	NP	Qatar
University	NP	University
so	IN	so
Hassan	NP	Hassan
it	PP	it
feels	VVZ	feel
like	IN	like
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
all	RB	all
of	IN	of
this	DT	this
before	RB	before
right	JJ	right
a	DT	a
ceasefire	NN	ceasefire
proposal	NN	proposal
linkoln	NN	linkoln
comes	VVZ	come
to	TO	to
the	DT	the
region	NN	region
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
trade	NN	trade
blame	VVP	blame
you	PP	you
could	MD	could
tell	VV	tell
me	PP	me
this	DT	this
time	NN	time
is	VBZ	be
different	JJ	different
or	CC	or
you	PP	you
could	MD	could
tell	VV	tell
me	PP	me
it	PP	it
'	POS	'
s	VVG	s
all	PDT	all
the	DT	the
same	JJ	same
political	JJ	political
theater	NN	theater
to	TO	to
use	VV	use
the	DT	the
word	NN	word
that	IN/that	that
Zay	NP	Zay
used	VVD	use
earlier	RBR	earlier
and	CC	and
I	PP	I
would	MD	would
believe	VV	believe
you	PP	you
either	DT	either
way	NN	way
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
I	PP	I
agree	VVP	agree
with	IN	with
you	PP	you
that	IN/that	that
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
this	DT	this
movie	NN	movie
before	IN	before
quite	RB	quite
often	RB	often
and	CC	and
then	RB	then
it	PP	it
never	RB	never
yielded	VVD	yield
to	TO	to
the	DT	the
uh	UH	uh
desired	VVN	desire
outcome	NN	outcome
but	CC	but
this	DT	this
time	NN	time
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	VVG	s
a	DT	a
little	JJ	little
bit	NN	bit
different	JJ	different
uh	UH	uh
simply	RB	simply
because	IN	because
the	DT	the
regional	JJ	regional
Dynamics	NP	Dynamics
has	VHZ	have
changed	VVN	change
uh	UH	uh
with	IN	with
assassination	NN	assassination
of	IN	of
Hamas	JJ	Hamas
leaders	NNS	leader
and	CC	and
the	DT	the
Iranian	JJ	Iranian
in	IN	in
intention	NN	intention
to	TO	to
retaliate	VV	retaliate
uh	UH	uh
so	RB	so
here	RB	here
here	RB	here
'	''	'
s	VVG	s
the	DT	the
the	DT	the
the	DT	the
point	NN	point
that	IN/that	that
President	NP	President
Biden	NP	Biden
uh	UH	uh
wants	VVZ	want
to	TO	to
avoid	VV	avoid
a	DT	a
scenario	NN	scenario
where	WRB	where
the	DT	the
region	NN	region
degenerated	VVN	degenerate
into	IN	into
a	DT	a
regional	JJ	regional
War	NP	War
where	WRB	where
the	DT	the
where	WRB	where
the	DT	the
United	NP	United
States	NPS	States
would	MD	would
be	VB	be
involved	VVN	involve
so	IN	so
you	PP	you
'	POS	'
re	NN	re
saying	VVG	say
this	DT	this
time	NN	time
the	DT	the
cost	NN	cost
of	IN	of
not	RB	not
agreeing	VVG	agree
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
plan	NN	plan
is	VBZ	be
a	DT	a
lot	NN	lot
higher	RBR	higher
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
assumed	VVD	assume
so	RB	so
so	IN	so
the	DT	the
Americans	NPS	Americans
assume	VVP	assume
that	IN/that	that
short	JJ	short
of	IN	of
having	VHG	have
ceasefire	NN	ceasefire
right	RB	right
now	RB	now
the	DT	the
the	DT	the
Iranian	NP	Iranian
might	MD	might
retaliate	VV	retaliate
and	CC	and
in	IN	in
this	DT	this
way	NN	way
Netanyahu	NP	Netanyahu
would	MD	would
retaliate	VV	retaliate
again	RB	again
and	CC	and
this	DT	this
is	VBZ	be
this	DT	this
cycle	NN	cycle
would	MD	would
complicate	VV	complicate
the	DT	the
American	JJ	American
situation	NN	situation
in	IN	in
the	DT	the
region	NN	region
okay	RB	okay
the	DT	the
cost	NN	cost
of	IN	of
failure	NN	failure
is	VBZ	be
higher	JJR	high
so	IN	so
the	DT	the
chances	NNS	chance
of	IN	of
success	NN	success
awkwardly	RB	awkwardly
are	VBP	be
actually	RB	actually
high	JJ	high
I	PP	I
would	MD	would
say	VV	say
the	DT	the
pressure	NN	pressure
would	MD	would
be	VB	be
more	JJR	more
Ino	NN	Ino
I	PP	I
mean	VVP	mean
we	PP	we
cannot	MD	can
really	RB	really
guarantee	VV	guarantee
the	DT	the
well	RB	well
I	PP	I
want	VVP	want
to	TO	to
talk	VV	talk
about	IN	about
this	DT	this
pressure	NN	pressure
right	RB	right
because	IN	because
I	PP	I
think	VVP	think
there	EX	there
'	''	'
s	NN	S
consensus	NN	consensus
that	IN/that	that
the	DT	the
US	NP	US
is	VBZ	be
really	RB	really
the	DT	the
key	JJ	key
country	NN	country
that	WDT	that
can	MD	can
put	VV	put
pressure	NN	pressure
or	CC	or
choose	VV	choose
not	RB	not
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
the	DT	the
but	CC	but
we	PP	we
know	VVP	know
the	DT	the
US	NP	US
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
stop	VV	stop
arms	NNS	arm
deliveries	NNS	delivery
we	PP	we
know	VVP	know
they	PP	they
'	''	'
re	IN	re
not	RB	not
going	VVG	go
to	TO	to
suspend	VV	suspend
financial	JJ	financial
aid	NN	aid
and	CC	and
we	PP	we
know	VVP	know
they	PP	they
'	''	'
re	IN	re
going	VVG	go
to	TO	to
protect	VV	protect
Israel	NP	Israel
from	IN	from
potential	JJ	potential
Regional	JJ	regional
attacks	NNS	attack
So	RB	so
within	IN	within
those	DT	those
limits	NNS	limit
which	WDT	which
are	VBP	be
pretty	RB	pretty
clear	JJ	clear
now	RB	now
what	WP	what
really	RB	really
is	VBZ	be
the	DT	the
pressure	NN	pressure
that	IN/that	that
the	DT	the
US	NP	US
could	MD	could
put	VV	put
on	IN	on
Israel	NP	Israel
as	IN	as
you	PP	you
said	VVD	say
it	PP	it
'	POS	'
s	JJ	s
teethless	JJ	teethless
pressure	NN	pressure
you	PP	you
know	VVP	know
because	IN	because
if	IN	if
is	VBZ	be
not	RB	not
connected	VVN	connect
to	TO	to
threat	NN	threat
or	CC	or
a	DT	a
price	NN	price
tag	NN	tag
um	NNS	um
it	PP	it
seems	VVZ	seem
to	TO	to
be	VB	be
difficult	JJ	difficult
for	IN	for
Netanyahu	NP	Netanyahu
to	TO	to
cave	VV	cave
in	IN	in
unless	IN	unless
there	EX	there
is	VBZ	be
something	NN	something
internal	JJ	internal
in	IN	in
in	IN	in
Israel	NP	Israel
that	WDT	that
would	MD	would
uh	UH	uh
um	NNS	um
force	VVP	force
him	PP	him
to	TO	to
do	VV	do
so	RB	so
but	CC	but
within	IN	within
those	DT	those
parameters	NNS	parameter
is	VBZ	be
there	RB	there
something	NN	something
that	WDT	that
can	MD	can
Biden	NP	Biden
say	VVP	say
I	PP	I
know	VVP	know
I	PP	I
want	VVP	want
to	TO	to
keep	VV	keep
delivering	VVG	deliver
weapons	NNS	weapon
I	PP	I
know	VVP	know
I	PP	I
want	VVP	want
to	TO	to
keep	VV	keep
up	RP	up
the	DT	the
financial	JJ	financial
aid	NN	aid
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
already	RB	already
sent	VVD	send
my	PP$	my
carry	NN	carry
a	DT	a
strike	NN	strike
group	NN	group
to	TO	to
the	DT	the
region	NN	region
to	TO	to
protect	VV	protect
Israel	NP	Israel
all	DT	all
of	IN	of
that	WDT	that
is	VBZ	be
a	DT	a
given	VVN	give
but	CC	but
within	IN	within
that	WDT	that
I	PP	I
still	RB	still
want	VVP	want
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
just	RB	just
a	DT	a
hypothetical	JJ	hypothetical
if	IN	if
Biden	NP	Biden
is	VBZ	be
in	IN	in
that	DT	that
mindset	NN	mindset
what	WP	what
can	MD	can
he	PP	he
do	VVP	do
I	PP	I
think	VVP	think
n	NN	n
would	MD	would
have	VH	have
little	JJ	little
room	NN	room
to	TO	to
maneuver	VV	maneuver
and	CC	and
and	CC	and
this	DT	this
would	MD	would
create	VV	create
different	JJ	different
Dynamic	NN	dynamic
within	IN	within
Israel	NP	Israel
Society	NP	Society
within	IN	within
the	DT	the
Israeli	JJ	Israeli
politics	NNS	politics
that	IN/that	that
an	DT	an
would	MD	would
be	VB	be
you	PP	you
know	VVP	know
in	IN	in
really	RB	really
um	JJ	um
hard	JJ	hard
hard	JJ	hard
situation	NN	situation
that	IN/that	that
he	PP	he
will	MD	will
cave	VV	cave
in	RP	in
and	CC	and
we	PP	we
know	VVP	know
that	IN/that	that
netan	JJ	netan
caves	NNS	cave
in	IN	in
uh	UH	uh
whenever	WRB	whenever
there	EX	there
'	''	'
s	NNS	s
real	RB	real
pressure	VVP	pressure
we	PP	we
'	''	'
ve	NNS	ve
seen	VVN	see
him	PP	him
in	IN	in
19	CD	@card@
uh	UH	uh
1997	CD	@card@
1998	CD	@card@
with	IN	with
why	WRB	why
uh	UH	uh
with	IN	with
Y	NP	Y
River	NP	River
agreement	NN	agreement
and	CC	and
even	RB	even
this	DT	this
led	VVN	lead
to	TO	to
the	DT	the
dissolve	NN	dissolve
of	IN	of
his	PP$	his
his	PP$	his
government	NN	government
uh	UH	uh
but	CC	but
we	PP	we
know	VVP	know
n	NN	n
is	VBZ	be
not	RB	not
the	DT	the
one	CD	one
who	WP	who
would	MD	would
stand	VV	stand
up	RP	up
to	TO	to
the	DT	the
pressure	NN	pressure
if	IN	if
it	PP	it
'	POS	'
s	NNS	s
connected	VVN	connect
with	IN	with
price	NN	price
tech	NN	tech
but	CC	but
until	IN	until
this	DT	this
moment	NN	moment
Netanyahu	NP	Netanyahu
relies	VVZ	rely
in	IN	in
his	PP$	his
allies	NNS	ally
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
in	IN	in
the	DT	the
Congress	NP	Congress
for	IN	for
instance	NN	instance
the	DT	the
Republican	JJ	Republican
party	NN	party
and	CC	and
he	PP	he
realized	VVD	realize
in	IN	in
them	PP	them
to	TO	to
offset	VV	offset
the	DT	the
the	DT	the
pressure	NN	pressure
so	IN	so
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
game	NN	game
H	NN	H
whenever	WRB	whenever
Netanyahu	NP	Netanyahu
feels	VVZ	feel
that	IN/that	that
he	PP	he
going	VVG	go
to	TO	to
lose	VV	lose
in	IN	in
this	DT	this
game	NN	game
he	PP	he
he	PP	he
caves	VVZ	cave
in	IN	in
I	PP	I
keep	VVP	keep
hearing	NN	hearing
Biden	NP	Biden
wants	VVZ	want
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
for	IN	for
his	PP$	his
legacy	NN	legacy
for	IN	for
the	DT	the
way	NN	way
he	PP	he
'	''	'
ll	NN	ll
be	VB	be
remembered	VVN	remember
first	RB	first
of	IN	of
all	DT	all
do	VVP	do
you	PP	you
agree	VVP	agree
with	IN	with
that	DT	that
premise	NN	premise
to	TO	to
some	DT	some
extent	NN	extent
yeah	RB	yeah
well	RB	well
if	IN	if
that	DT	that
'	''	'
s	VVG	s
the	DT	the
case	NN	case
I	PP	I
mean	VVP	mean
the	DT	the
clock	NN	clock
'	POS	'
s	JJ	s
ticking	NN	ticking
for	IN	for
Biden	NP	Biden
right	NN	right
he	PP	he
doesn	NP	doesn
'	POS	'
t	NN	t
have	VHP	have
that	DT	that
long	RB	long
left	VVN	leave
in	IN	in
office	NN	office
I	PP	I
think	VVP	think
he	PP	he
could	MD	could
have	VH	have
done	VVN	do
this	DT	this
before	IN	before
H	NP	H
in	IN	in
in	IN	in
um	NNS	um
in	IN	in
November	NP	November
last	JJ	last
year	NN	year
there	EX	there
was	VBD	be
a	DT	a
chance	NN	chance
for	IN	for
perpetuating	VVG	perpetuate
the	DT	the
the	DT	the
ceasefire	NN	ceasefire
but	CC	but
he	PP	he
um	RB	um
chose	VVD	choose
not	RB	not
to	TO	to
interfere	VV	interfere
and	CC	and
he	PP	he
keps	VVZ	kep
protecting	VVG	protect
Israel	NP	Israel
and	CC	and
giving	VVG	give
Israel	NP	Israel
the	DT	the
the	DT	the
space	NN	space
to	TO	to
eliminate	VV	eliminate
Hamas	NNS	Hamas
when	WRB	when
Israel	NP	Israel
failed	VVD	fail
to	TO	to
do	VV	do
so	RB	so
so	RB	so
I	PP	I
think	VVP	think
he	PP	he
'	POS	'
s	JJ	s
lame	JJ	lame
duck	NN	duck
right	RB	right
now	RB	now
he	PP	he
can	MD	can
'	''	'
t	NN	t
really	RB	really
uh	UH	uh
bang	NN	bang
on	IN	on
a	DT	a
legacy	NN	legacy
all	RB	all
he	PP	he
needs	VVZ	need
probably	RB	probably
is	VBZ	be
to	TO	to
help	VV	help
Harris	NP	Harris
win	VV	win
election	NN	election
so	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
um	JJ	um
Legacy	NP	Legacy
and	NP	and
and	CC	and
I	PP	I
think	VVP	think
Biden	NP	Biden
understand	VVP	understand
very	RB	very
well	RB	well
that	IN/that	that
the	DT	the
the	DT	the
the	DT	the
peace	NN	peace
talks	NNS	talk
or	CC	or
the	DT	the
ceasefire	NN	ceasefire
proposal	NN	proposal
would	MD	would
be	VB	be
limit	NN	limit
to	TO	to
the	DT	the
first	JJ	first
phase	VV	phase
uh	UH	uh
so	RB	so
if	IN	if
he	PP	he
can	MD	can
is	VBZ	be
that	WDT	that
is	VBZ	be
that	IN/that	that
what	WP	what
you	PP	you
believe	VVP	believe
I	PP	I
think	VVP	think
they	PP	they
are	VBP	be
not	RB	not
related	VVN	relate
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
why	WRB	why
Hamas	NN	Hamas
is	VBZ	be
sorry	RB	sorry
what	WP	what
'	POS	'
s	NN	S
not	RB	not
related	VVN	relate
the	DT	the
the	DT	the
the	DT	the
proposal	NN	proposal
is	VBZ	be
three	CD	three
phases	NNS	phase
yes	RB	yes
you	PP	you
know	VVP	know
so	RB	so
phase	VV	phase
one	CD	one
Perman	NP	Perman
phase	NN	phase
one	PP	one
is	VBZ	be
temporary	JJ	temporary
cease	VV	cease
fire	NN	fire
for	IN	for
relas	NNS	relas
yeah	RB	yeah
in	IN	in
exchange	NN	exchange
for	IN	for
release	NN	release
of	IN	of
the	DT	the
the	DT	the
hostages	NNS	hostage
and	CC	and
this	DT	this
would	MD	would
be	VB	be
an	DT	an
achievement	NN	achievement
for	IN	for
Biden	NP	Biden
so	RB	so
after	IN	after
that	IN/that	that
it	PP	it
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
be	VB	be
difficult	JJ	difficult
a	DT	a
time	NN	time
would	MD	would
not	RB	not
really	RB	really
help	VV	help
uh	UH	uh
help	VV	help
