<video_id>Bq0krsSvjbM</video_id>	JJ	<video_id>Bq0krsSvjbM</video_id>
<video_title>Israeli	NN	<video_title>Israeli
forces	NNS	force
raid	VVP	raid
the	DT	the
al-Shifa	NP	al-Shifa
hospital	NN	hospital
where	WRB	where
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
are	VBP	be
taking	VVG	take
shelter</video_title>	JJ	shelter</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
forces	NNS	force
raid	VVP	raid
the	DT	the
al-Shifa	NP	al-Shifa
hospital	NN	hospital
where	WRB	where
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
are	VBP	be
taking	VVG	take
shelter.jpg</thumbnail_path>	JJ	shelter.jpg</thumbnail_path>
<publish_date>20231115</publish_date>	JJ	<publish_date>20231115</publish_date>
<doc>	NN	<doc>
we	PP	we
begin	VVP	begin
with	IN	with
breaking	VVG	break
news	NN	news
from	IN	from
Gaza	NP	Gaza
where	WRB	where
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
carrying	VVG	carry
out	RP	out
a	DT	a
raid	NN	raid
on	IN	on
gaza's	JJ	gaza's
largest	JJS	large
hospital	NN	hospital
alifa	NN	alifa
the	DT	the
director	NN	director
of	IN	of
Health	NP	Health
says	VVZ	say
he's	NNS	he's
heard	VVN	hear
gunfire	NN	gunfire
and	CC	and
the	DT	the
movement	NN	movement
of	IN	of
Israeli	JJ	Israeli
tanks	NNS	tank
inside	IN	inside
the	DT	the
complex	NN	complex
earlier	RBR	earlier
a	DT	a
doctor	NN	doctor
told	VVD	tell
alaz	NN	alaz
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
had	VHD	have
hit	VVN	hit
the	DT	the
fourth	JJ	fourth
floor	NN	floor
of	IN	of
the	DT	the
main	JJ	main
building	NN	building
well	NN	well
days	NNS	day
of	IN	of
air	NN	air
strikes	NNS	strike
have	VHP	have
crippled	VVN	cripple
alifa	NN	alifa
which	WDT	which
is	VBZ	be
situated	VVN	situate
in	IN	in
Gaza	NP	Gaza
City	NP	City
in	IN	in
the	DT	the
north	RB	north
more	JJR	more
than	IN	than
3,000	CD	@card@
patients	NNS	patient
medical	JJ	medical
staff	NN	staff
and	CC	and
displaced	VVN	displace
Palestinians	NPS	Palestinians
are	VBP	be
Sheltering	VVG	shelter
in	IN	in
the	DT	the
complex	JJ	complex
Dr	NP	Dr
Ahmed	NP	Ahmed
Malala	NP	Malala
is	VBZ	be
inside	IN	inside
alifa	NN	alifa
hospital	NN	hospital
he	PP	he
shared	VVD	share
what	WP	what
he's	NNS	he's
been	VBN	be
experiencing	VVG	experience
there	RB	there
overnight	RB	overnight
really	RB	really
more	JJR	more
and	CC	and
more	JJR	more
titer	NN	titer
it's	NNS	it's
really	RB	really
horrible	JJ	horrible
here	RB	here
it	PP	it
has	VHZ	have
been	VBN	be
continuous	JJ	continuous
bombing	NN	bombing
and	CC	and
firing	VVG	fire
uh	UH	uh
since	IN	since
the	DT	the
last	JJ	last
let	NN	let
me	PP	me
say	VVP	say
5	CD	@card@
hours	NNS	hour
almost	RB	almost
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
tanks	NNS	tank
are	VBP	be
moving	VVG	move
towards	IN	towards
the	DT	the
shifa	NN	shifa
hospital	NN	hospital
I've	NN	I've
seen	VVN	see
two	CD	two
tanks	NNS	tank
getting	VVG	get
in	IN	in
the	DT	the
gate	NN	gate
the	DT	the
main	JJ	main
gate	NN	gate
the	DT	the
Eastern	JJ	eastern
Gate	NN	gate
of	IN	of
shifa	NN	shifa
hospital	NN	hospital
and	CC	and
they	PP	they
were	VBD	be
inside	IN	inside
shifa	NN	shifa
hospital	NN	hospital
and	CC	and
we	PP	we
keep	VVP	keep
hearing	VVG	hear
the	DT	the
tanks	NNS	tank
moving	VVG	move
within	IN	within
the	DT	the
area	NN	area
of	IN	of
shifa	NP	Shifa
Hospital	NP	Hospital
the	DT	the
bombing	NN	bombing
have	VHP	have
been	VBN	be
really	RB	really
really	RB	really
aggressive	JJ	aggressive
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
many	JJ	many
hours	NNS	hour
with	IN	with
continuous	JJ	continuous
uh	UH	uh
shooting	NN	shooting
you	PP	you
know	VVP	know
all	DT	all
over	IN	over
the	DT	the
place	NN	place
all	RB	all
over	IN	over
the	DT	the
areas	NNS	area
you	PP	you
can	MD	can
know	VV	know
you	PP	you
don't	NN	don't
know	VVP	know
from	IN	from
where	WRB	where
exactly	RB	exactly
sometimes	RB	sometimes
you	PP	you
hear	VVP	hear
from	IN	from
the	DT	the
East	NP	East
the	DT	the
from	IN	from
the	DT	the
south	NN	south
or	CC	or
from	IN	from
the	DT	the
West	NN	west
so	IN	so
it's	NNS	it's
totally	RB	totally
like	IN	like
surrounding	VVG	surround
the	DT	the
hospital	NN	hospital
and	CC	and
keeps	VVZ	keep
firing	VVG	fire
continuously	RB	continuously
with	IN	with
all	DT	all
kinds	NNS	kind
of	IN	of
you	PP	you
know	VVP	know
to	TO	to
the	DT	the
hospital	NN	hospital
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
called	VVN	call
the	DT	the
hospital	NN	hospital
Administration	NN	administration
around	IN	around
an	DT	an
hour	NN	hour
ago	RB	ago
saying	VVG	say
that	IN/that	that
they	PP	they
are	VBP	be
uh	UH	uh
getting	VVG	get
in	IN	in
the	DT	the
hospital	NN	hospital
and	CC	and
they	PP	they
are	VBP	be
about	RB	about
to	TO	to
get	VV	get
inside	IN	inside
the	DT	the
buildings	NNS	building
and	CC	and
to	TO	to
investigate	VV	investigate
and	CC	and
to	TO	to
try	VV	try
to	TO	to
check	VV	check
each	DT	each
building	VVG	build
one	CD	one
by	IN	by
one	CD	one
and	CC	and
each	DT	each
room	NN	room
within	IN	within
the	DT	the
hospital	NN	hospital
and	CC	and
they	PP	they
advis	RB	advis
the	DT	the
people	NNS	people
they	PP	they
asked	VVD	ask
them	PP	them
not	RB	not
to	TO	to
look	VV	look
through	IN	through
the	DT	the
windows	NNS	window
or	CC	or
the	DT	the
doors	NNS	door
and	CC	and
that	DT	that
everyone	NN	everyone
might	MD	might
be	VB	be
at	IN	at
risk	NN	risk
if	IN	if
they	PP	they
doesn't	VVD	doesn't
do	VV	do
anything	NN	anything
so	IN	so
uh	UH	uh
and	CC	and
then	RB	then
they	PP	they
said	VVD	say
nothing	NN	nothing
about	IN	about
the	DT	the
way	NN	way
of	IN	of
doing	VVG	do
this	DT	this
they	PP	they
said	VVD	say
nothing	NN	nothing
about	IN	about
the	DT	the
mechanism	NN	mechanism
of	IN	of
getting	VVG	get
in	IN	in
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
weird	JJ	weird
thing	NN	thing
that	IN/that	that
since	IN	since
they	PP	they
ask	VVP	ask
about	IN	about
this	DT	this
thing	NN	thing
nothing	NN	nothing
has	VHZ	have
happened	VVN	happen
at	IN	at
least	JJS	least
in	IN	in
our	PP$	our
building	NN	building
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
and	CC	and
then	RB	then
the	DT	the
uh	UH	uh
you	PP	you
the	DT	the
the	DT	the
bombing	NN	bombing
and	CC	and
the	DT	the
shooting	NN	shooting
you	PP	you
can	MD	can
hear	VV	hear
it	PP	it
in	IN	in
ground	NN	ground
didn't	NN	didn't
stop	NN	stop
at	IN	at
all	DT	all
sometimes	RB	sometimes
it's	JJ	it's
really	RB	really
really	RB	really
very	RB	very
very	RB	very
dense	JJ	dense
so	IN	so
uh	UH	uh
so	RB	so
again	RB	again
the	DT	the
hospital	NN	hospital
is	VBZ	be
full	JJ	full
of	IN	of
patients	NNS	patient
have	VHP	have
around	RB	around
700	CD	@card@
patients	NNS	patient
we	PP	we
have	VHP	have
civilians	NNS	civilian
within	IN	within
the	DT	the
hospital	NN	hospital
Sheltering	VVG	shelter
there	EX	there
are	VBP	be
families	NNS	family
with	IN	with
kids	NNS	kid
with	IN	with
ladies	NNS	lady
and	CC	and
we	PP	we
have	VHP	have
the	DT	the
medical	JJ	medical
stuff	NN	stuff
so	RB	so
imagine	VV	imagine
how	WRB	how
scary	JJ	scary
is	VBZ	be
that	IN/that	that
to	TO	to
everyone	NN	everyone
here	RB	here
within	IN	within
the	DT	the
hospital	NN	hospital
TK	NP	TK
Abu	NP	Abu
AUM	NP	AUM
is	VBZ	be
live	JJ	live
for	IN	for
us	PP	us
now	RB	now
in	IN	in
kanun	NN	kanun
in	IN	in
the	DT	the
south	NN	south
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
T	NN	T
what's	NNS	what's
the	DT	the
very	RB	very
latest	JJS	late
you're	NN	you're
hearing	NN	hearing
about	IN	about
the	DT	the
Israeli	JJ	Israeli
raid	NN	raid
on	IN	on
alifa	NP	alifa
Hospital	NP	Hospital
yes	UH	yes
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
had	VHD	have
turned	VVN	turn
up	RP	up
to	TO	to
shifat	NN	shifat
hospital	NN	hospital
and	CC	and
managed	VVD	manage
to	TO	to
uh	UH	uh
get	VV	get
into	IN	into
the	DT	the
buildings	NNS	building
of	IN	of
this	DT	this
medical	JJ	medical
complex	NN	complex
after	IN	after
a	DT	a
series	NN	series
of	IN	of
rounds	NNS	round
of	IN	of
fighting	VVG	fight
between	IN	between
them	PP	them
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
fighters	NNS	fighter
in	IN	in
the	DT	the
streets	NNS	street
and	CC	and
the	DT	the
buildings	NNS	building
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
now	RB	now
the	DT	the
Israeli	JJ	Israeli
Special	JJ	special
Forces	NNS	force
manag	NN	manag
to	TO	to
right	NN	right
now	RB	now
to	TO	to
stand	VV	stand
in	IN	in
front	NN	front
of	IN	of
the	DT	the
Gate	NN	gate
of	IN	of
asifa	NN	asifa
hospital	NN	hospital
and	CC	and
even	RB	even
they	PP	they
get	VVP	get
into	IN	into
the	DT	the
main	JJ	main
buildings	NNS	building
searching	VVG	search
for	IN	for
more	JJR	more
military	JJ	military
infrastructure	NN	infrastructure
as	IN	as
they	PP	they
have	VHP	have
claimed	VVN	claim
since	IN	since
the	DT	the
early	JJ	early
beginning	NN	beginning
of	IN	of
this	DT	this
round	NN	round
of	IN	of
fighting	VVG	fight
now	RB	now
the	DT	the
maneuvering	NN	maneuvering
troops	VVZ	troop
uh	UH	uh
and	CC	and
the	DT	the
Israel	NP	Israel
artillery	NN	artillery
tanks	NNS	tank
are	VBP	be
stationed	VVN	station
in	IN	in
inside	RB	inside
and	CC	and
even	RB	even
in	IN	in
the	DT	the
yards	NNS	yard
of	IN	of
the	DT	the
hospital	NN	hospital
and	CC	and
they	PP	they
have	VHP	have
also	RB	also
open	JJ	open
gun	NN	gun
fires	NNS	fire
and	CC	and
the	DT	the
yards	NNS	yard
of	IN	of
the	DT	the
hospital	NN	hospital
as	IN	as
there	RB	there
the	DT	the
