<video_id>vLzC6vz0kOM</video_id>	JJ	<video_id>vLzC6vz0kOM</video_id>
<video_title>Court	NN	<video_title>Court
orders	NNS	order
Israel	NP	Israel
to	TO	to
halt	VV	halt
Rafah	NP	Rafah
offensive</video_title>	JJ	offensive</video_title>
<thumbnail_path>data/en_AJ\Court	NN	<thumbnail_path>data/en_AJ\Court
orders	NNS	order
Israel	NP	Israel
to	TO	to
halt	VV	halt
Rafah	NP	Rafah
offensive.jpg</thumbnail_path>	JJ	offensive.jpg</thumbnail_path>
<publish_date>20240524</publish_date>	NN	<publish_date>20240524</publish_date>
<doc>	NN	<doc>
January	NP	January
26	CD	@card@
2024	CD	@card@
it	PP	it
ordered	VVD	order
Israel	NP	Israel
inter	VV	inter
area	NN	area
to	TO	to
I	PP	I
quote	VVP	quote
take	VV	take
effective	JJ	effective
measures	NNS	measure
to	TO	to
prevent	VV	prevent
the	DT	the
destruction	NN	destruction
and	CC	and
ensure	VV	ensure
the	DT	the
preservation	NN	preservation
of	IN	of
evidence	NN	evidence
related	VVN	relate
to	TO	to
allegations	NNS	allegation
of	IN	of
Acts	NNS	act
within	IN	within
the	DT	the
scope	NN	scope
of	IN	of
Article	NP	Article
2	CD	@card@
and	CC	and
article	NN	article
3	CD	@card@
of	IN	of
the	DT	the
genocide	NN	genocide
convention	NN	convention
end	NN	end
of	IN	of
quote	NN	quote
in	IN	in
the	DT	the
present	JJ	present
circumstances	NNS	circumstance
the	DT	the
court	NN	court
is	VBZ	be
also	RB	also
of	IN	of
the	DT	the
view	NN	view
that	IN/that	that
in	IN	in
order	NN	order
to	TO	to
preserve	VV	preserve
evidence	NN	evidence
related	VVN	relate
to	TO	to
allegations	NNS	allegation
of	IN	of
Acts	NNS	act
falling	VVG	fall
within	IN	within
the	DT	the
scope	NN	scope
of	IN	of
Article	NP	Article
2	CD	@card@
and	CC	and
article	NN	article
3	CD	@card@
of	IN	of
the	DT	the
genocide	NN	genocide
convention	NN	convention
Israel	NP	Israel
must	MD	must
take	VV	take
effective	JJ	effective
measures	NNS	measure
to	TO	to
ensure	VV	ensure
the	DT	the
unimpeded	JJ	unimpeded
access	NN	access
to	TO	to
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
of	IN	of
any	DT	any
Commission	NP	Commission
of	IN	of
inquiry	NN	inquiry
fact	NN	fact
finding	VVG	find
Mission	NP	Mission
or	CC	or
other	JJ	other
investigative	JJ	investigative
body	NN	body
mandated	VVN	mandate
by	IN	by
competent	JJ	competent
organs	NNS	organ
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
to	TO	to
investigate	VV	investigate
allegations	NNS	allegation
of	IN	of
genocide	NN	genocide
the	DT	the
court	NN	court
also	RB	also
considers	VVZ	consider
that	IN/that	that
the	DT	the
catastrophic	JJ	catastrophic
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
confirmed	VVD	confirm
the	DT	the
need	NN	need
for	IN	for
the	DT	the
immediate	JJ	immediate
and	CC	and
effective	JJ	effective
implementation	NN	implementation
of	IN	of
the	DT	the
measures	NNS	measure
indicated	VVD	indicate
in	IN	in
its	PP$	its
orders	NNS	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
and	CC	and
March	NP	March
28th	JJ	28th
2024	CD	@card@
which	WDT	which
are	VBP	be
applicable	JJ	applicable
throughout	IN	throughout
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
including	VVG	include
in	IN	in
Rafa	NP	Rafa
in	IN	in
these	DT	these
circumstances	NNS	circumstance
the	DT	the
court	NN	court
finds	VVZ	find
it	PP	it
necessary	JJ	necessary
to	TO	to
reaffirm	VV	reaffirm
the	DT	the
measures	NNS	measure
indicated	VVN	indicate
in	IN	in
those	DT	those
orders	NNS	order
in	IN	in
so	RB	so
doing	VVG	do
the	DT	the
court	NN	court
wishes	VVZ	wish
to	TO	to
emphasize	VV	emphasize
that	IN/that	that
the	DT	the
measure	NN	measure
indicated	VVD	indicate
in	IN	in
paragraph	NN	paragraph
512a	NN	512a
of	IN	of
its	PP$	its
order	NN	order
of	IN	of
March	NP	March
28	CD	@card@
2024	CD	@card@
requiring	VVG	require
I	PP	I
quote	VVP	quote
the	DT	the
unhindered	JJ	unhindered
provision	NN	provision
at	IN	at
scale	NN	scale
by	IN	by
all	DT	all
concerned	VVN	concern
of	IN	of
urgently	RB	urgently
needed	VVN	need
basic	JJ	basic
services	NNS	service
and	CC	and
humanitarian	JJ	humanitarian
assistance	NN	assistance
and	CC	and
of	IN	of
course	NN	course
necessitates	VVZ	necessitate
that	IN/that	that
the	DT	the
respondent	NN	respondent
maintain	VVP	maintain
open	JJ	open
land	NN	land
Crossing	VVG	cross
points	NNS	point
and	CC	and
in	IN	in
particular	RB	particular
the	DT	the
Rafa	NP	Rafa
Crossing	VVG	cross
in	IN	in
view	NN	view
of	IN	of
the	DT	the
specific	JJ	specific
provisional	JJ	provisional
measures	NNS	measure
it	PP	it
has	VHZ	have
decided	VVN	decide
to	TO	to
indicate	VV	indicate
the	DT	the
court	NN	court
considered	VVD	consider
that	IN/that	that
Israel	NP	Israel
must	MD	must
submit	VV	submit
a	DT	a
report	NN	report
to	TO	to
the	DT	the
court	NN	court
on	IN	on
all	DT	all
measures	NNS	measure
taken	VVN	take
to	TO	to
give	VV	give
effect	NN	effect
to	TO	to
this	DT	this
order	NN	order
within	IN	within
1	CD	@card@
month	NN	month
from	IN	from
the	DT	the
date	NN	date
of	IN	of
this	DT	this
order	NN	order
the	DT	the
report	NN	report
so	IN	so
provider	NN	provider
will	MD	will
then	RB	then
be	VB	be
communicated	VVN	communicate
to	TO	to
South	NP	South
Africa	NP	Africa
which	WDT	which
shall	MD	shall
be	VB	be
given	VVN	give
the	DT	the
opportunity	NN	opportunity
to	TO	to
submit	VV	submit
to	TO	to
the	DT	the
court	NN	court
its	PP$	its
commments	NNS	commments
thereon	RB	thereon
the	DT	the
court	NN	court
recalls	VVZ	recall
that	IN/that	that
its	PP$	its
orders	NNS	order
on	IN	on
provisional	JJ	provisional
measures	NNS	measure
under	IN	under
article	NN	article
41	CD	@card@
of	IN	of
the	DT	the
statute	NN	statute
have	VHP	have
binding	JJ	binding
effect	NN	effect
and	CC	and
thus	RB	thus
create	VV	create
International	NP	International
legal	JJ	legal
obligations	NNS	obligation
for	IN	for
any	DT	any
party	NN	party
to	TO	to
whom	WP	whom
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
are	VBP	be
addressed	VVN	address
the	DT	the
court	NN	court
underlined	VVD	underline
that	IN/that	that
the	DT	the
present	JJ	present
order	NN	order
is	VBZ	be
without	IN	without
prejudice	NN	prejudice
to	TO	to
any	DT	any
findings	NNS	finding
concerning	VVG	concern
the	DT	the
respondent's	NN	respondent's
compliance	NN	compliance
with	IN	with
the	DT	the
orders	NNS	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
and	CC	and
March	NP	March
28	CD	@card@
2024	CD	@card@
in	IN	in
its	PP$	its
orders	NNS	order
of	IN	of
January	NP	January
26	CD	@card@
2024	CD	@card@
and	CC	and
March	NP	March
28th	JJ	28th
2024	CD	@card@
the	DT	the
court	NN	court
expressed	VVD	express
its	PP$	its
grave	JJ	grave
concern	NN	concern
over	IN	over
the	DT	the
fate	NN	fate
of	IN	of
the	DT	the
hostages	NNS	hostage
abducted	VVN	abduct
during	IN	during
the	DT	the
attacks	NNS	attack
in	IN	in
Israel	NP	Israel
on	IN	on
October	NP	October
7th	JJ	7th
in	IN	in
2023	CD	@card@
and	CC	and
H	NP	H
since	IN	since
then	RB	then
by	IN	by
Hamas	JJ	Hamas
and	CC	and
other	JJ	other
armed	JJ	armed
group	NN	group
and	CC	and
called	VVN	call
for	IN	for
their	PP$	their
immediate	JJ	immediate
and	CC	and
unconditional	JJ	unconditional
release	NN	release
the	DT	the
court	NN	court
finds	VVZ	find
it	PP	it
deeply	RB	deeply
troubling	JJ	troubling
that	IN/that	that
many	JJ	many
of	IN	of
these	DT	these
hostages	NNS	hostage
remain	VVP	remain
in	IN	in
captivity	NN	captivity
and	CC	and
reiterate	VV	reiterate
its	PP$	its
SC	NP	SC
release	NN	release
I	PP	I
shall	MD	shall
Now	RB	now
read	VV	read
out	RP	out
the	DT	the
operative	JJ	operative
part	NN	part
of	IN	of
the	DT	the
order	NN	order
for	IN	for
these	DT	these
reasons	NNS	reason
the	DT	the
court	NN	court
by	IN	by
13	CD	@card@
V	CD	@card@
to	TO	to
two	CD	two
reaffirms	VVZ	reaffirm
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
indicated	VVN	indicate
in	IN	in
its	PP$	its
orders	NNS	order
of	IN	of
26th	JJ	26th
January	NP	January
2024	CD	@card@
and	CC	and
March	NP	March
28th	JJ	28th
2024	CD	@card@
which	WDT	which
should	MD	should
be	VB	be
immediately	RB	immediately
and	CC	and
effectively	RB	effectively
implemented	VVN	implement
in	IN	in
favor	NN	favor
president	NN	president
Salam	NP	Salam
judges	NNS	judge
Abraham	NP	Abraham
YF	NP	YF
bandari	NP	bandari
iwasawa	NP	iwasawa
Mal	NP	Mal
charwell	NP	charwell
Brown	NP	Brown
Gomez	NP	Gomez
Roo	NP	Roo
Cleveland	NP	Cleveland
oresco	NP	oresco
CL	NP	CL
against	IN	against
vice	JJ	vice
president	NN	president
subu	NN	subu
judge	NN	judge
adok	NN	adok
Barak	NP	Barak
two	CD	two
indicates	VVZ	indicate
the	DT	the
following	VVG	follow
provisional	JJ	provisional
measures	NNS	measure
the	DT	the
states	NNS	state
of	IN	of
Israel	NP	Israel
shall	MD	shall
in	IN	in
Conformity	NN	conformity
with	IN	with
its	PP$	its
obligation	NN	obligation
under	IN	under
the	DT	the
convention	NN	convention
on	IN	on
the	DT	the
provent	JJ	provent
prevention	NN	prevention
and	CC	and
Punishment	NN	punishment
of	IN	of
the	DT	the
crime	NN	crime
of	IN	of
genocide	NN	genocide
and	CC	and
in	IN	in
view	NN	view
of	IN	of
the	DT	the
worsening	VVG	worsen
conditions	NNS	condition
of	IN	of
Life	NP	Life
faced	VVD	face
by	IN	by
civilian	JJ	civilian
in	IN	in
the	DT	the
ra	JJ	ra
Governor	NP	Governor
a	DT	a
by	IN	by
13	CD	@card@
VES	NN	VES
to	TO	to
two	CD	two
immediately	RB	immediately
hold	VVP	hold
its	PP$	its
military	JJ	military
offensive	NN	offensive
and	CC	and
any	DT	any
other	JJ	other
action	NN	action
in	IN	in
the	DT	the
RAF	NN	RAF
Governor	NP	Governor
which	WDT	which
may	MD	may
inflict	VV	inflict
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
group	NN	group
in	IN	in
Gaza	NP	Gaza
conditions	NNS	condition
of	IN	of
life	NN	life
that	WDT	that
would	MD	would
bring	VV	bring
about	IN	about
its	PP$	its
physical	JJ	physical
destruction	NN	destruction
in	IN	in
whole	NN	whole
or	CC	or
in	IN	in
part	NN	part
in	IN	in
favor	NN	favor
president	NN	president
Salam	NP	Salam
judges	NNS	judge
Abraham	NP	Abraham
YF	NP	YF
bandari	NP	bandari
iwazawa	NP	iwazawa
n	NN	n
Charlesworth	NP	Charlesworth
BR	NP	BR
gome	NN	gome
Roo	NP	Roo
Cleveland	NP	Cleveland
oresco	NN	oresco
against	IN	against
vice	JJ	vice
president	NN	president
cind	NN	cind
judge	NN	judge
Barak	NP	Barak
by	IN	by
13	CD	@card@
votes	NNS	vote
to	TO	to
two	CD	two
</doc>	NN	</doc>
